Title,Date,Rating,Comments
BOYHOOD,1 November 2014,9/10,"""Boyhood"" is one of the most original films I have seen and when it was over, it left me wanting more--both signs that it was a terrific film. What is so original about it? Instead of making the film during the usual film schedule lasting a few months, this film was made over 11 years! So, instead of having multiple kids playing the same character, here we see the same child actor as he grows from age 7 to 18. Similar sorts of things have been done with the ""Up"" series, but these are documentary films. Here, it's a fictional snapshot of a boy's life--and it's so unusual that I strongly recommend you see it.As for the story, I will admit that it will not appeal to everyone. After all, like real life, some parts are slow and not particularly interesting. Additionally, many viewers will be turned off by seeing the realism--showing kids doing illegal or dangerous things, cursing, teenage sexuality and the like. Plus, a few might not like the political or religious messages that come in the film. However, this last point I could easily overlook as politics and religion ARE parts of real life and discussing them is appropriate to heighten the film's realism--even if you don't agree with the orientation. Overall, an exciting sort of picture--one that must be praised for the care and efforts taken to create such a groundbreaking project."
BOYHOOD,5 July 2016,8/10,"'Boyhood' has a very unique and intriguing concept, in fact there has not been a concept like it (with taking 12 years to make and being encompassed over 12 years as well). But that is not the only selling point of the film, despite what the detractors have unfairly said.Granted, 'Boyhood' is not for all tastes, although it was almost unanimously praised by critics the IMDb reviews are much more divisive. This reviewer totally understands why people dislike, even flat out hate it, and shares some of their criticisms, and generally hates the incredibly condescending way they have been expressed, nobody who legitimately liked 'Boyhood' for perfectly valid reasons wants to feel that it is a criminal offence to like it, let alone love it.Does this reviewer think it is quite as good as the hype and critics say? Not quite. Does she think it is a very good, conceptually daring and in some ways misunderstood film, and towards the better end of the films released in 2014? Yes. It does have its problems, it is a case of two inconsistent halves with a great emotion-filled, honest, nostalgic and richly developed first half and a second half where the pace slackens, the story meanders and there are moments of awkwardness.Ellar Coltrane's performance is also uneven, he is excellent in the first half with a real sense of honesty and integrity, where the protagonist is much more interesting and likable, but rather stilted and not as involved in the second half. The editing is also choppy in places and although a vast majority of the performances are fantastic Lorelei Linklater is somewhat dull as Samantha and would never pass for Mason's sister.However, aside from the editing 'Boyhood' looks very accomplished with evocative production values and is beautifully filmed. Richard Linklater directs with a real generosity and lightness of touch. The script honest, poignant, thought-provoking and sometimes harrowing, and while not everything about the story works it has a real sense of nostalgia and richly rewarding in its emotional content. Really do not agree that nothing happens, it has a long running time and is deliberate in pacing but this reviewer really loved 'Boyhood's' understatedness, sincerity and subtlety as well as its spontaneity.Characters are interesting and developed, especially Ethan Hawke's and Patricia Arquette's. Hawke and Arquette are also the standouts in the cast, and deservedly garnered Oscar nominations which Arquette won. Arquette is particularly outstanding, with a genuine fullness of emotion and authority with no sense of over-acting or self-indulgence. Hawke also gives a compelling real performance.In conclusion, a very intriguing and very good film. Not quite as good as it's hyped to be but it has many more merits than the detractors lead you to believe.While the criticisms are understandable, this reviewer is having a hard time believing that there are those who cite 'Boyhood' as the worst film they've ever seen, or one of them. There are far worse out there, that are amateurishly made, ineptly directed, terribly acted and written even worse, distinctions that regardless of whether you hate it 'Boyhood belongs nowhere near in any of them. 8/10 Bethany Cox"
BOYHOOD,8 November 2014,,"Boyhood (2014)**** (out of 4)For a non-documentary, you have to agree that Richard Linklater's BOYHOOD is unlike any movie ever made. The idea of telling a coming-of-age story about a brother, sister and their parents and shoot it over an eleven year period is just something of genius or a train wreck. With someone like Linklater behind the project it could only turn out one way. The film follows Mason (Ellar Coltrane) as he grows from a young child until he enters college. Along the way we see the various ups and downs of his life with his mother (Patricia Arquette), father (Ethan Hawke) and sister (Lorelei Linklater).BOYHOOD had an incredible gimmick behind it. After all, in this day and age how could anyone do a project like this where the investors wouldn't see any money back for possibly over a decade. Not only that but what would have happened if in, say, year seven, something happened to one of the cast members. It would totally ruin the film or drastic changes would have to be made (especially had something happened to the actor). A lot of times these gimmick films only work because of the gimmick but that's not the case here. Again, we're dealing with one of the greatest filmmakers out there.What's so special about this film is that anyone watching it is going to be able to connect with something on the screen. Plus, the added benefit is seeing an actor kid age in front of our eyes. The coming-of-age genre has been beaten to death so many times that coming up with a new way to show it was just pure genius and it works. It's hard to believe that you can actually follow this families struggles from one year to the next. Seeing the boy's voice change. See his body change. See him go from a boy to a teenager to a young adult. With Hawke and Arquette you know you're going to get great work. The real highlight is seeing Coltrane go through these various stages and actually be able to deliver a real performance. I think it's fair to say that he becomes a better actor as the movie goes on and when the story really starts to focus on him, towards the end, you're seeing a really special performance. The entire cast are certainly at the top of their game and you really do see them as a family and not just a bunch of actors doing roles.BOYHOOD will probably never be matched due to countless production reasons. If you thought Linklater's ""BEFORE"" trilogy was something special, this here really takes things into a whole new direction and while I'd say the story is far from flawless, there's no question that this is one of the bravest, most unique and rather inspiring movies ever made."
BOYHOOD,12 March 2015,8/10,"Mason (Ellar Coltrane) and Samantha (Lorelei Linklater) are kids to single mom Olivia (Patricia Arquette) in Texas. Their dad Mason Sr. (Ethan Hawke) comes in and out of their lives. Olivia gets remarried to her professor Bill Welbrock who has two kids of his own. Bill turns out to be an abusive drunk. They would leave that situation and move on.Filmmaker Richard Linklater follows Mason from 6 year old to 18 when he's about to go to college. The story meanders. When drunk driving Bill almost kills the kids and doesn't, I realize that this is not about some big dramatic turn. It's life that isn't overly dramatized. It doesn't have a traditional movie plot. It definitely has Linklater's indie sensibilities. The standout performance is Patricia Arquette. Her character has more compelling growth and more compelling scenes. She is fearless and straight forward. She is the emotional center of this movie more than Coltrane. He is not necessarily a natural actor. He works well as a kid but not as well as an older teen. The good thing is that Linklater is not new at filming amateur actors. He is able to maintain the lead into his bitter angry teen years."
BOYHOOD,14 March 2015,6/10,"I didn't have any problem getting to the end of this film. I'm a patient man and I like documentaries and slice of life drama. All these people rating this a one out of ten are taking this so personally. Let's face it. Every new wave in anything has doubters. I did look at my watch from time to time, but I really had some interest in the people portrayed here. Life can be hard at times and we do make bad choices. The question that is fundamental to this is pretty simple: ""If this film had been made with a lead who was close to 18 years old and his younger incarnations were played by actors who were carefully cast to look like they could have been him, would that make it a lesser film. I do have some problems with them bothering to go through all that effort to do what they did. Imagine he expense and the riskiness of what was done. Did the end product live up to effort expended. For me, the jury is still out. I didn't find the principle character all that engaging. He is the strong silent type (like a young Matt Damon) and he is full of ideas, but as far as doing something with them, it falls pretty silent. I will need to digest this more, I guess."
BOYHOOD,22 December 2015,,"it is not easy say why. because not the story or performances are the important part, not the locations or dialogs.but, in strange manner, the atmosphere. the same atmosphere from many other films who propose honesty as the most important target of the each scene. ambitious project, Boyhood propose the ordinary life, every day life as only subject. and it does a real admirable work. not surprising. because the ages of Ellar Coltrane are not only pieces of realistic cinema but a special exercise to define America in different periods, to use the characteristic of ages to define social dilemmas, to define family's relationship, to remind old American cinema flavor from crisis periods. a film about nothing. at the first view. precious for its lost of precise message and idealistic roots."
BOYHOOD,16 October 2014,8/10,"And looking at the effort and the standard set by ""Boyhood"", there probably won't be many movies like this in the future either. This film was written and directed by Richard Linklater over the course of 12 years with a core of actors, who kept playing their parts as they grew older. If you are a bit familiar with Linklater's other works, you will know that the best way you could maybe describe him as a filmmaker is non-action. There are no huge events or great happenings that change everything for everybody in his films. The only thing that happens is life: moving places, school, first love, sex education, special talents and the most severe thing you get to witness here is domestic violence. It is a slow and steady process which works so well though as you can identify with the characters thanks to their imperfection and their ""normality"".The film is very long, almost three hours, which is pretty much the length of the first two ""Before...""-films taken together. Not a surprise though if you look how long they took for making this one. They met 3-4 days each year for twelve years and this is the final result. Consequently, we do not only see the central character growing up, but also his mother, father and sister (played by director Linklater's daughter Lorelei) getting older. The acting is convincing. Arquette and Hawke are considered options for the supporting categories at the Oscars, but I would not go that far. Arquette is more of a lead anyway in my opinion and unfortunately her final scene and possibly emotional highlight left me rather unattached. Hawke does a solid job, but the only real advantage he has over the other men (the professor and the ex-soldier) in Arquette's character's life is that he has much more screen time. They all played their parts very well. Another thing I really enjoyed here are the many contemporary references. These make it really worth watching. To mention two, there is for example the huge Britney Spears hype back in the day depicted by Lorelei's character's singing or the Harry Potter mania.Finally, my favorite scene probably was when they were all together singing at the house of the parents of Hawke's character's wife. Really an emotional highlight of togetherness. This film definitely is a must-see. It did not drag a single second during its massive runtime."
BOYHOOD,22 March 2015,6/10,"Richard Linklater's Boyhood filmed over the span of 12 years featuring the life of young Mason (and to a lesser extent, his sister) from boyhood until the verge of adulthood. His parents are divorced, his dad comes to see them at some weekends, they move house, sometimes forcibly as one of the step-dad's turns out to be a violent alcoholic.As he becomes older Mason becomes a bit of a goth and supposedly aimless. His mom still has difficulties to sustain long term relationships, his dad has remarried and had children from his second wife. The Mason at the end of the film with an interest in photography, working in a fast food outlet, about to go away to college still has not realised what he wants in life.There is no straight narrative, no overarching plot which has upset some critics. There are plenty of set ups where you think the film would go one way and they do not go anywhere. What you could say Chekhov's guns that remain unfired. In a sense the film shows the randomness of life where people and situations flit in and out.Observations I would make that the film does feel at times like a slog. I think the film does not entirely succeed and looks more like an experimental film. Linklater has form with the Sunrise/Sunset films with Ethan Hawke and Julie Delpy. However as it was being filmed the characters discuss current events around the time it happened from 9/11 to the Iraq invasion to Obama's election victory.When I was a teenager I had trouble walking and chewing gum at the same time I can relate to the issues facing Mason as a teenager. It looks like growing up today still throws up the same concerns now than it did during my time. You muddle through life and so do your parents who you thought would know better.The film speaks about the ambiguous status of the family unit in modern society with half siblings, step siblings, step fathers, live in partner's especially when these relations break apart. At one point we see Mason's mother living with an ex-soldier, it seems they were never married and he was at one point taking care of the family. Maybe this is all part of what it is like to live in 21st century America.When Mason's mother leaves her second husband due to his alcohol fuelled abuse, she leaves the house with Mason and his sister but leaves his own two children behind with him. She tells them that she has contacted social services but you never find out what happened to those two kids and it looks that Mason and his sister never had further contact with them even though they got on well and of course as the years go on we have the rise of social networking sites. Surely they would have Facebooked each other.The randomness of life is reinforced where we see a plumber who is encouraged by Mason's mum to go to college who pops up many years later. It seems he took her advice and bettered himself.There is no doubt that Boyhood is an ambitious film project. An intriguing premise which has left some people raving about it, others dismissing it as empty and boring. I am in the middle, a film that has something to offer but does not always deliver."
BOYHOOD,7 December 2018,5/10,"When I first read the DVD cover I was convinced I wouldn't like it. But after all the hype and Best Picture win I had to force myself to watch a story about a typical kid growing up. Now the film seems to imply mom's (Patricia Arquette) bad men choices may be in part at fault for Mason's (Ellar Coltrane) typically irresponsible choices. However Mason reminds me of my nephew, who may be in or out of rehab when you read this, and he's had the same parents all of his life. 30 minutes into the film, I was moaning that I had 2 hours left. Please get better. Mom meets a college professor in one scene and they are married in the next, apparently not enough time to figure out he had a drinking problem. The kid's divorced father (Ethan Hawke) was still in his boyhood, but was more likeable than mom.Good performance about real life? Sure. Good enough to bore me to tears.Guide: F-bomb. Implied sex. No nudity."
BOYHOOD,5 November 2014,9/10,"Obviously as others have stated too, this is as close to someone growing up as has been depicted on film. The director took risk, by making this a work in progress over 12 years for many reasons. You have to make schedule that is fitting for the actors to come back from time to time and while everyone was obviously committed (and fortunately talented, which is sometimes tough to foresee in young actors), there is also something no one can control: Death! There are digital solutions nowadays of course, but that wouldn't really fit the budget.But it never came to that, though the film can be as depressing at times (or overall depending on your view). It's not always sunshine and you don't get easy solutions for every problem that occurs. Having the movie span 12 years is a task that is being accomplished well enough, but you can't show everything. Even with almost 3 hours running time there is always something that has to be left out. If this is your cup of tea or not, is something only you know best ..."
