Title,Date,Rating,Comments
THE GRAND BUDAPEST HOTEL,15 June 2014,8/10,"Wes Anderson's films are really hard to describe or define. Suffice to say that he is unique in his style--very unique. This uniqueness is what makes ""The Grand Budapest Hotel"" worth seeing. It's an odd story where a story is told within a story--and it's filled with famous actors making lots of odd cameos. And, like Anderson's other films, it's full of odd characters, unusual dialog and brisk-paced editing. And, not surprisingly, it's NOTHING like other films by other directors.The bottom line is that all these weird factors work together to make a film that you'll probably enjoy--but, like me, you won't be exactly sure why!"
THE GRAND BUDAPEST HOTEL,5 August 2016,9/10,"That it was directed by Wes Anderson (who has a unique style that really fascinates, but admittedly not everybody will like or warm to his style) and that the cast is so stellar were reasons enough to see 'The Grand Budapest Hotel' in the first place, as well as its many accolades and critical acclaim.While it isn't quite flawless, and it is easy to see why a number of people don't like or will not like it (due to a lot of the cast's roles being pretty short, only Gustave and Zero being fully fleshed out of the characters and those who have a problem with Anderson's style), 'The Grand Budapest Hotel' is a visually stunning, hugely entertaining, wonderfully weird and impeccably cast and acted film.It really stuns visually, with cinematography that is not only clever in technique but also gorgeous in aesthetic and tight, fluid editing. The costumes, production design and hair and make-up richly deserved their Oscar/Academy Award wins, the costume and production design have a lusciously colourful fairy-tale feel while also given substance by the bleakly atmospheric quality that reflects the crime drama aspect of the story brilliantly.Alexandre Desplat also received an Oscar, and with its hauntingly hypnotic and entrancing tones it richly deserved it as to me it was by far the best score of those nominated. Anderson directs superbly, the story balances darkness and quirkiness to great effect (the prison scene is unforgettable) and it's never too simplistic or convoluted (though of course the visuals, dialogue and performances make much more of an impact) and the screenplay is a sublime mixture of the dark, the quirky, the witty and the subtle delivered with rapid-fire.'The Grand Budapest Hotel' boasts an impeccable cast and pretty much everybody does a splendid job, though many of the roles are short. My only criticism of the film is that Harvey Keitel and Saoirse Ronan are underused and just get lost amongst everything else, an unrecognisable Tilda Swinton also has little to do but still gives a bat-out-of-hell performance.Bill Murray, F. Murray Abraham, Jeff Goldblum, Jason Schwartzman and Owen Wilson give very entertaining performances, while Edward Norton is delightfully droll and Adrien Brody and especially Willem Dafoe bring sinister foreboding to the film. Some may say that Tony Revolori is overshadowed by the more experienced cast members (being the only newcomer in a large cast of big names), but to me he more than holds his own and effectively plays it straight. The film belongs to Ralph Fiennes, in what is essentially the heart of the film, while he has always been a fine actor he has not given a performance this brilliant in years, never knew he could be so riotously funny.In conclusion, a wonderful film and a hotel well worth revisiting more than once if to one's taste. 9/10 Bethany Cox"
THE GRAND BUDAPEST HOTEL,14 February 2015,,"The Grand Budapest Hotel (2014)** (out of 4) Wes Anderson's critically acclaimed film tells the story of concierge M. Gustave (Ralph Fiennes) who befriends a young lobby boy and goes on an adventure dealing with a priceless stolen painting.THE GRAND BUDAPEST HOTEL has gotten some of the greatest reviews of the year and it even managed to pick up several Oscar-nominations but it just didn't work for me. Every once in a while a film will come along that I watch and I can understand why so many people love it but it just doesn't sit well with me. This film is a perfect example because there's no question that the film has some very good performance, has it's own look, feel and style and there's also no doubt that it's really unlike anything you've seen before. With that said, the film just felt like all style and very little actual substance.There's no question that Anderson is one of the most interesting director's working today and he often creates films that are just so original and fresh that they seem to take place in some weird, alternate universe. This film certainly fits into that category because visually speaking it's quite remarkable and it seems like each shot must have taken hours to set up in order to get right. The miniatures used in the film are obviously miniatures but it's clear they were shown like this for a purpose. It builds atmosphere. There color and set design is another major plus working for the film and especially the lay-out of the hotel.Another thing that works are the performances with each actor doing a very good job. Not only do we have Fiennes but there's also F. Murray Abraham, Jude Law, Jeff Goldblum, Bill Murray, Edward Norton, Tilda Swinton and Adrien Brody and Willem Dafoe, both who easily steal the show. There's certainly nothing to complain about in regards to the performances as everyone steps up and comes across with very original characters.Having said all of that, I just never once connected with the film and this is certainly not good when watching something. Obviously many people love this movie and it's a hit with most critics but to me there just wasn't much here to keep me entertained."
THE GRAND BUDAPEST HOTEL,3 May 2017,5/10,"THE GRAND BUDAPEST HOTEL is another quirky comedy from director Wes Anderson, a man who can seemingly make no other type of movie. I watched and enjoyed the first half an hour of this film, finding it fresh and inventive; however, the magic began to wear off after this point, and by the end I found it more than a little tiresome. I have a feeling that the director's style would best be suited to short films, not overlong efforts like this.The problem with the film is that it has no meaning, no depth. What you see up on the screen is everything you'll get. The plot is simplistic, and devoid of much interest; Anderson keeps you watching only by including endless random cameos from all of his celebrity friends and actors. I've never been a fan of Ralph Fiennes and he can't shake off his coldness here, although the young cast members fare better. Some of the stars, like Willem Dafoe and Jeff Goldblum, are great but get too little screen time. The movie raises a few smiles and has some nicely dark moments, but I was left wanting more from it and I found the whole experience oddly hollow."
THE GRAND BUDAPEST HOTEL,23 July 2014,9/10,"The Grand Budapest Hotel is an old relic in the eastern European former republic of Zubrowka. In 1985, the author of the book Grand Budapest Hotel (Tom Wilkinson) recounts how in 1968 he (Jude Law) got the story from Mr. Zero Moustafa (F. Murray Abraham). He talks about his early life as Lobby Boy (Tony Revolori) with the original concierge M. Gustave H. (Ralph Fiennes) in 1932 who was willed a priceless painting by Madame Celine Villeneuve Desgoffe und Taxis (Tilda Swinton) setting off a battle with the woman's family led by her son Dimitri (Adrien Brody) and the violent Jopling (Willem Dafoe). Gustave is arrested for Madame D's murder. Agatha (Saoirse Ronan) is the girl of purity who's in love with Zero. Kovacs (Jeff Goldblum) is the executor of the will.This is a new high for Wes Anderson. He's filled this with his usual unique visual style and his quirky characters. In addition, he has used it in an exciting thriller with a bit of mystery. There are some really dangerous bad guys. There is real tension that isn't always there for a Wes Anderson film. He always had the quirky, the fascinating and the unique. This has so much more than that. It's a pretty fun thrilling ride."
THE GRAND BUDAPEST HOTEL,31 March 2014,9/10,"It's so nice to have a movie that is knock-down drag-out hilarious. From the beginning foray, telling us about how the hotel came to be, all of its history, and the introduction of the cast of characters, the delightful episodic delivery, it reminded me to some extent of those spectacular comedies of the sixties and seventies: ""The Great Race"" and ""It's a Mad, Mad, Mad, Mad World."" What transpires is Ralph Fiennes' feast for the camera and a story of great love, pain, and intensity. What works well is that there is a balance between a serious dramatic line running through a serious story that is inundated with sight gags and wonderful bits. The prison break will live with me forever, the little hammers and chisels smuggled into the prison inside boxes of strawberry torts. The quirky people from Jeff Goldblum to Willem Dafoe to the irrepressible Adrian Brody. So much has already been written about this but I wanted to get my two cents worth. One reviewer talked about it not making any money. If that's the case it means that a whole bunch of viewers have passed up a gem."
THE GRAND BUDAPEST HOTEL,18 September 2015,,"as remember of pieces from a lost age. as homage to a lost world. as trip in a special form of fairy tale. a fantastic journey , spectacular inside in heart of genres, books, adventure's basic idea and humor with a lot of nuances. a film who impress for its strange simplicity, for new version of honesty, for the emotions from childhood. for the game who has the public as partner. for the original , subtle and profound image about the history of the XX century. short, a delight. full of surprises and nostalgia, remarkable for the science of detail, mixture of stories and exercise to understand different taboos in nice manner. a film about us. from a not ordinary director."
THE GRAND BUDAPEST HOTEL,10 February 2015,6/10,"""The Grand Budapest Hotel"" is the newest film by Wes Anderson and also the one that gave him more nominations at the Academy Awards than anything he has done before. Of course, he also wrote the film, together with Hugo Guinness with whom he collaborated in different ways already for ""Fantastic Mr. Fox"" and ""The Royal Tenenbaums"". The film begins with an old man telling a story to a younger man and we find out that the old man is the owner of ""The Grand Budapest Hotel"" and worked as a lobby boy many decades ago under Ralph Fiennes' central character. This film is very Wes Anderson: the straight camera shots at objects people, the unique set decorations and the subtle humor from start to finish in the script, especially the way Fiennes' character interacts with everybody. The Mendl cakes also fit it perfectly. The big shooting at the end was pretty hilarious. It was obviously not to be taken seriously and just so random just like the way the characters slided down the snow with so much speed earlier in the film.The film is packed with known actors, mostly with very small performances, sometimes only one or two scenes: Adrian Brody, Jude Law, Saoirse Ronan, Tilda Swinton, Bill Murray, Tom Wilkinson, Edward Norton, Harvey Keitel, Jeff Goldblum, Owen Wilson, all of them Oscar nominees (the latter two not for acting). And finally Willem Dafoe is also in the film, as a ruthless killer with a somewhat different villain performance than his Spider Man turn, but equally great. He is just so good when it comes to playing scary, maybe my favorite from this movie. From the German perspective, I was surprised to see Michalowski, Markovics and Lukas in several scenes.Occasionally, it is a bit style over substance, but most of the time, it's a decent movie. However, I am still surprised about the awards recognition it got. Best comedy/musical/screenplay of the year I cannot agree with. That does not mean it's bad though. I would recommend it, especially if you have seen and liked some of Anderson's previous films. Also, I'm curious what Revolori's career will look like in the coming years. The mentor/student relationship with his character and Fiennes' may be the same like with Fiennes being his teacher in terms of acting in this film. Will he disappear quickly or have a grand career? Time will tell."
THE GRAND BUDAPEST HOTEL,22 September 2019,10/10,"Wes Anderson had made a delightful offbeat art house film that never outstays its hospitality. It has a stamp of an assured filmmaker, confident of his eccentric style.Mr Zero Moustafa (F Murray Abraham) recounts to a writer (Jude Law) his tale of the now faded Grand Budapest Hotel over dinner.In 1932, the Grand Budapest Hotel was epitome of decadent and luxury somewhere in Eastern Europe. Zero Moustafa (Tony Revolori) a refugee started out as a newly hired lobby boy. He is taken under the wing of the eccentric concierge Monsieur Gustave H (Ralph Fiennes.)Gustave in effect runs the hotel and attends to the personal needs to some of the older ladies who stay in the hotel such as Madame D (Tilda Swinton.) When she dies, Gustave is bequeathed a valuable painting. Her son Dmitri (Adrien Brody) is far from pleased with this. Gustave is accused of the old lady's murder and Dmitri's henchman Jopling (Willem Dafoe) makes sure any irritant is disposed off quickly.Wes Anderson has directed a whimsical and absurd black comedy with a camp performance from Fiennes that has a startling odour. It was a shame that he was not Oscar nominated. There are cameos from Anderson regulars such as Bill Murray, Owen Wilson and Edward Norton. The story can get dark and murderous at times, it has an underlying sadness. You see proto fascists who demand to see papers of all the travellers on a train. Enough to parallel the real world of the 1930s."
THE GRAND BUDAPEST HOTEL,4 July 2014,7/10,"A writer (Jude Law) travels to the decadent Grand Budapest Hotel in the mountains of the Republic of Zubrowka and he meets the owner Mr. Zero Moustafa (F. Murray Abraham), who is a very simple man. Zero invites the author to have dinner with him and he tells his story and how he became the owner of the hotel. In 1932, in the glorious days of the Grand Budapest Hotel, Zero Moustafa (Tony Revolori) is hired to work as lobby boy under the command of the legendary concierge Monsieur Gustave H (Ralph Fiennes) that becomes his friend. Gustave manages the hotel and staff and also attends the sexual needs of the old ladies lodged at the hotel. He spends one night with Madame Céline Villeneuve ""Madame D"" Desgoffe und Taxis (Tilda Swinton) and soon he learns that she was found dead at home. Gustave summons Zero to travel with him to the funeral and he learns that he has inherited the valuable painting Boy with Apple. Madame D's son Dimitri (Adrian Brody) and her family do not accept that a concierge may have inherited the painting and Gustave and Zero steal it and return to the Grand Budapest Hotel to hide the painting. Gustave promises Zero that he would be his heir for helping him. But Gustave is falsely accused of murdering Madame D and is arrested and imprisoned. Will his friend Zero leave him die in the prison?""The Grand Budapest Hotel"" is another original and weird movie by Wes Anderson with his usual bizarre characters. The story is funny and entertaining and it is impressive the number of stellar cameos along 100 minutes running time. Tilda Swinton is unrecognizable in the role of an old lady. My vote is seven.Title (Brazil): ""O Grande Hotel Budapeste"" (""The Grand Budapest Hotel"")"
