Title,Date,Rating,Comments
BROOKLYN,28 February 2018,9/10,"""Brooklyn"" was a frustrating movie to watch. So much of it was perfect...the amazing costuming that really evoked the early 1950s, great direction, the amazingly perfect music and some of the best acting I've seen in years. Yet despite having all this, the film STILL frustrated me because of a problem with the plot. This problem is an easy one to work out...yet inexplicably it became monstrously huge. Eilis (Saoirse Ronan) is a young Irish lady who has just learned she's being sponsored to go to America. While she's thrilled with a chance at a new life, it's all so overwhelming and strange and you follow Eilis on her journey. The first half of the film is incredibly sweet and nice. I knew since it was a movie things could not stay this way but I sure was hoping it would. Sadly, Eilis' sister has died and she must go back home...and leave the lovely Italian-American man she's come to love and just married. Inexplicably, when she arrives back in Ireland, she doesn't tell anyone she is married and even leads a wonderful man on by making him think he had a chance with her. And, through all this I felt like screaming ""WHY wouldn't you just tell everyone you are married and be done with it??? That's what any sane person would do!!""....and that is why no matter how much I loved the film it misses out on being a classic."
BROOKLYN,29 September 2017,8/10,"Love drama and with a great cast that includes Julie Walters, Jim Broadbent and promising former child actress Saoirse Ronan, talented Nick Horby adapting the lovely gentle read that is the book, 'Brooklyn' seemed my kind of film.My thoughts after seeing 'Brooklyn' was that it was a lovely film. Not quite top 10 of 2015 material but one of the easier to watch and like films of the year, providing that the gentle deliberate pacing does not bother you (it didn't me). 'Brooklyn' has a slight and simple story that doesn't break boundaries, cover new ground and lacks edge, but this does not matter when it is as sweet, charming and touching as it is.Faults are few actually. The final third is a little forced with some of it feeling a bit too neat and a slightly passive indecisiveness, even for her conflicting emotions and difficulties with following her heart, in the lead character that wasn't there for the rest of the film. Despite a natural easy-going chemistry with Saoirse Ronan, Emory Cohen is a little too laid back in his role that he comes over as dull.Ronan however is terrific, she was a promising child actress as said, here in 'Brooklyn' she comes of age and gives her character nuance and pathos without weakening the character. In support, the standout is the sheer comic delight that is Walters while Broadbent is suitably robust. Domhnall Gleeson is charming.John Crowley keeps things beautifully controlled without slacking. 'Brooklyn' looks beautiful, the 1950s setting is austere yet strikingly evocative and the cinematography positively glows. Michael Brooks' score is subtle but very well suited to the period and the film's tone.Scripting is intelligent, emotion-soaked and has the right amount of charm and sweetness without going sugary or frothy. Some may find that story-wise it's small in scale, being slight and conventional somewhat, but there is no denying that 'Brooklyn' has a big heart and that the love story is beguiling that shows the film making successful efforts at depth and truth.It's as warm as sitting by the fireplace with a pair of slippers on your feet and drinking hot milk and am not the first to admit having tears of joy (there are some understated humorous moments without busting a gut, which was appropriate) and sadness (it's a tear-jerker but doesn't try too hard to be or manipulate people into getting emotional, the emotion is very much genuine). The characters are well written and for what they may lack in depth they more than make up for with heart and charm.Overall, a lovely, beguiling, warm love story that may be small in its scale but when it comes to the heart it couldn't shine any bigger. 8/10 Bethany Cox"
BROOKLYN,2 January 2016,,"Brooklyn (2015)*** 1/2 (out of 4) Saoirse Ronan plays Ellis, an Irish immigrant who leaves her entire world behind to take an offer to start from the ground in Brooklyn, NY during the 1950s. At first the young woman finds herself homesick and unable to get used to her new surroundings but this all changes when she meets a man (Emory Cohen) and falls for him.BROOKLYN is a rather small movie about a small person but it's so brilliantly acted and so well-made that it's easy to see why it's getting so much love. The movie isn't full of special effects or loud explosions but instead it's a rather warm and beautiful character study about the impact of two different cultures and how one must follow their heart and not just what is expected of them. While there's nothing ground-breaking or 100% original here, there's no question that it's a film that one can easily fall in love with.The best thing about the picture is without question the performance of Ronan who really breaks through the screen. I hadn't seen the actress is too many roles before this one but it's easy to see that she has a major presence on the screen and there's no question that she nails the rather difficult role. The role asks her to play all sorts of ranges and the actress nails all of them. This includes the rather shy and depressed girl at the start of the picture and the way Ronan shows the character coming into her own is just a pleasure to watch. It's certainly one of the most detailed performances that you're going to see in the year.The supporting cast is full of wonderful actors and actresses who really do a wonderful job in their roles. Cohen really deserves special mention as he nearly steals every scene he's in with a terrific laid back performance. The screenplay takes its time building up the characters but the entire thing just comes across so authentic. You really do feel as if you're watching real people in a real world. The visual look of the film is quite excellent and the costume design and sets are terrific and really transport you back to the 1950s.BROOKLYN isn't the first movie to deal with a homesick immigrant who finds love but it's just so fresh and warm that it's easy to fall in love with its characters and just go along with the ride."
BROOKLYN,4 May 2016,7/10,"It's the 1950's. Eilis Lacey (Saoirse Ronan) is a reserved young woman in Enniscorthy, Ireland, living with her mother and sister Rose. She emigrates to America where Father Flood (Jim Broadbent) has sponsored her. She's staying in Madge Kehoe (Julie Walters)'s girls' boarding house. She struggles with her job and homesickness. Father Flood gets her into accounting school. She is pursued by Italian boy Tony Fiorello (Emory Cohen).Saoirse Ronan is a terrific performer. She brings out something powerful. The story has few surprises. The plot is flat and the drama is limited. This is a very simple immigrant story. It does get at some universal truths in that experience. It would help if Emory Cohen is more charismatic. I don't mind that he's not the stereotypical Italian character but he needs more power. There is limited heat and it's all generated by Saoirse's will of personality. She is great. The movie needs to get up to her level."
BROOKLYN,30 January 2016,6/10,"This description implies a positive as well as a negative component. 2015's ""Brooklyn"" is very watchable from start to finish, but has no moments that really exuded brilliance of any kind. It scored a Best Picture nomination with the Oscars this year and famous writer Nick Hornby, who did not write the original, but adapted the material for the screen, got in too. Same goes for talented young actress Saoirse Ronan playing the lead character. It makes totally sense that she does as she is by far the most known Irish actress from her age group and was already an Oscar nominee before this film. Supporting cast includes a couple well-known names too such as Jim Broadbent and Julie Walters.The story is about a young woman (after World War II) who is stuck between her family living in Ireland and her future in the United States. At the same time, she is stuck between two men who have feelings for her and she does have feelings for them as well. It is a very simple plot really and nothing too outstanding or memorable in terms of the story. The only really interesting aspect is which path she will choose in the end and if we even find out. Predictability is certainly not a weakness of this film here. There are no weaknesses altogether, but there are also no outstanding moments. I am okay with Ronan's nomination, even if I myself would not honor her in any way, but as for the Academy picking this film as one of the finest of the year, I cannot agree at all. Oh yeah, director is John Crowley and you may have seen his ""Boy A"" starring Andrew Garfield. Looks like he has a nice touch in terms of getting strong performances out of young actors. All in all, I recommend the watch, but only if you are a great Ronan fan or like films set around 1950. The latter, however, is also a bit of a problem as the film really relied mostly on the relationships between the characters and the inner turmoil of the protagonist. This movie certainly could have needed more historic references. In a perfect scenario, these would have been included instead of some of the not too interesting scenes, so this film could have been kept at 100 minutes and nothing of value would have been lost. Still, overall, a positive verdict from me. Thumbs up."
BROOKLYN,17 September 2016,7/10,"Sometimes you may not feel the love someone else feels for you. Sometimes a city may be the recipient of that love. Or it's just the dream and the coming of age that makes you feel you belong somewhere you just landed. While this has many themes and paints a really big picture (which some may find a bit too much for their liking, depending on their taste), it does hold together pretty well.The acting is really something and the story really takes you on a journey (no pun intended). There is something for everyone to be found here and even though I've never been to Brooklyn (or America for that matter), the romantic idea of it makes it look fantastic. If you really want something, you have to go get it ... no matter what other say or have experienced, you have to make your own way ..."
BROOKLYN,13 February 2016,8/10,"What the picture made me do was reflect on what my grandmother must have felt like when she emigrated to America as a teenager. She too left family behind for a better life and I had never really given much thought to what that experience might have entailed in terms of longing for the past while trying to assimilate into a new environment and culture. For her, that occurred at the turn of the Twentieth Century, much earlier than this picture's setting. In fact the story does seem to take place quite a few decades prior to 1952, at least that's the impression I had while watching until the time frame presented itself.This was my first glimpse of Saoirse Ronan and I thought she gave a thoughtful portrayal of someone challenged to face the unknown with a determination to persevere and succeed. What's interesting about the story is that there are no insurmountable obstacles to overcome, but simply day to day life that needs to be dealt with as opportunities present themselves. Back in Ireland following the death of her sister Rose (Fiona Glascott), Eilis (Ronan) successfully resists the attempts of her mother and former acquaintances to reconsider her life, with a pivotal moment occurring when shopkeeper Mrs. Kelly attempts her blackmail routine on the young woman. In a finely crafted scene Eilis puts the woman in her place with an uncommon strength of character that defined her newly acquired maturity.The picture finds itself in good company for this year's Academy Award nominations. As good as Ronan's performance was though, I don't think it's enough to carry the film to a Best Picture win against some of it's more dramatic competition. However it's a genuinely heartwarming picture, beautifully filmed, with a nostalgic feel for anyone that might have grown up during the era."
BROOKLYN,1 February 2016,7/10,"An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within.There is not much to say about ""Brooklyn"". It has two good things going for it. One, obviously, is a strong lead from actress Saoirse Ronan. As this is more or less one person's story, she carries the film, and her Best Actress nomination is no surprise. She has very little chance of winning when up against Brie Larson, but a nomination is still an achievement. Ronan fans will be quite pleased.The other standout feature is the cinematography. While it was not nominated for such, it is worth pointing out the intense colors used to show the moods and time periods. Being Irish, of course, there are many bright shades of green. If Eilis (Ronan) is not dressed in green, someone next to her will be. It is quite a vibrant film.Many critics put the film in their top ten for 2015, some even giving it a solid first place. What those critics saw and what I saw are two very different films. While this is a good movie, it really amounts to little more than a romantic drama. It has a bit of weight thrown in by making it a period piece and having the trans-Atlantic angle. But underneath that, it is the same old story of falling in love... perhaps too quickly.""Brooklyn"" is the odd-man-out for the Best Picture category. It is a film that is clearly on the lower end of the list and probably never should have made it at all. ""Carol"" would have been the obvious replacement, or even ""The Hateful Eight"". Perhaps ""The Danish Girl"". But whichever, it seems very unlikely that of all the movies released in 2015, ""Brooklyn"" was among the very best."
BROOKLYN,19 July 2019,10/10,"I heard about ""Brooklyn""'s release in 2015-2016, but due to my life situation at the time (it's a long story) I never got around to seeing it. I finally have. What an experience. There have been a lot of movies about immigrants and about Ireland - there could be an entire college course focusing on either of these - but I think that this particular film deserves special recognition. The story and performances are the main strength, but there's also the moral issue that the movie address (loyalty to one's roots vs. one's future).In the lead role of Eilis, Saoirse Ronan has the role of a lifetime. We all loved her performances in ""Hanna"" and ""Lady Bird"", but this will probably go down as her greatest one. Which is not to subtract from her co-stars. Everyone puts in their best efforts here and it shows. Without a doubt, this is a movie for the ages. A true credit to Ireland.As to the issue of whether or not it should've won any of the Oscars for which it got nominated, we can debate that forever. I'd say that every nominee that year had its merits."
BROOKLYN,21 January 2016,8/10,"I saw this reviewed on Film 2015 with Claudia Winkleman and Danny Leigh, then it got attention when awards season came along, with many positive opinions and the award nominations it received I was definitely going to see this, directed by John Crowley (Boy Z, Is Anybody There?). Basically set in 1952, Eilis (pronounced AY-lish) Lacey (Oscar, BAFTA and Golden Globe nominated Saoirse Ronan) is a young woman from the small town of Enniscorthy in southeast Ireland, she works at weekends in a shop run by the spiteful Miss Kelly (Brid Brennan). Eilis's older sister Rose (Fiona Glascott) has arranged for her to go to the United States of America to find a better future, on departure she suffers seasickness and food poisoning, and is locked out of the toilet by the cabin neighbours. Eilis is given advice and support by the women in the bottom bed bunk, she is an experienced traveller, this helps her with entry into the US and starts her new life in a boarding house in Brooklyn, New York. The home is full of many Irish immigrants, Eilis and her fellow residents, all young women, dine every night together with traditionalist Irish landlady Mrs. Madge Keogh (BAFTA nominated Julie Walters). Eilis soon finds work at a department store, but she earns gentle scolding from her superior Miss Fortini (Jessica Paré) because she is shy and quiet when serving customers, and writing letters to sister Rose back in Ireland only causes her homesickness. Eilis has an interest in working in finance and accounting, so she is visited by Irish priest Father Flood (Jim Broadbent) who arranged for her job and accommodation, he tries to enrol her in bookkeeping classes. One evening Eilis attends a dance, there she meets Italian young man Anthony ""Tony"" Fiorello (Emory Cohen), he is most interested in her and becomes her boyfriend, these developments make Eilis feel much more comfortable in New York, but she is slow to return her declaration of love. Father Flood gives Eilis the devastating news that her sister Rose has suddenly died from an unknown illness, speaking with her mother Mary (Jane Brennan), who is struggling to cope following the funeral, Eilis decides to return home to Ireland for a visit. Tony insists that before she leaves they must first secretly marry, they do so without telling either of their family or friends, upon her arrival it seems that everyone is conspiring to stop Eilis from returning to Brooklyn. Eilis does have a scheduled return in a week, but she cancels as her mother has accepted, on her behalf, an invitation to attend the wedding of her best friend. Then it seems that Eilis is being set up on dates, no- one being aware that she is married, with eligible bachelor Jim Farrell (Domhnall Gleeson), a young man on the verge of inheriting property, she is also given emergency basis work to replace her sister as a bookkeeper, she starts to feel that now she has a future in Ireland that did not exist before, and she stops opening letters from Tony. Her former employer Miss Kelly however discovers that she is already married, Eilis recalls that there are no secrets in her small town, word spreads fast, so she informs her mother of her marriage, and that she will be returning to Brooklyn the next day. On the ship returning to America, Eilis plays the role of an experienced traveller, offering her own words of guidance to a first time young woman immigrant, in the end Eilis and Tony are reunited and happily embrace. Also starring Emily Bett Rickards as Patty McGuire, Michael Zegen as Maurizio, Nora-Jane No one as Sheila, Paulino Nunes as Mr. Fiorello, Eileen O'Higgins as Nancy, Jenn Murray as Dolores, Eve Macklin as Diana Montini and Mary O'Driscoll as Miss McAdam. Ronan is a fabulous choice to play the young Irish woman finding her place, including where she calls home and her romance, there are great supporting performances also from Walters, Broadbent, Cohen and Gleeson. It is a very simple story, an Irish girl goes to America, and then things happen to force her home, and she is torn between her old life and new life, you could argue there is nothing edgy or ground-breaking in the plot, but it doesn't matter, the coming-of- age and romantic elements work well, it is authentic with the time period and is just simply good old-fashioned entertainment, a most enjoyable historical period drama. It was nominated the Oscar the Best Motion Picture of the Year and Best Writing, Adapted Screenplay for Nick Hornby (About a Boy), and it won the BAFTA for the Alexander Korda Award for Best British Film, and it was nominated, Best Adapted Screenplay, Best Costume Design and Best Makeup and Hair. Very good!"
