Title,Date,Rating,Comments
FENCES,24 February 2017,,"Fences (2016) ** 1/2 (out of 4) The working-class Troy Maxson (Denzel Washington) soon finds his little world crumbling down when his oldest son wants to play football. The father, for his own selfage reasons, refuses to let the son and this here opens up several other wounds.FENCES is based on the Broadway play and I must admit right up front that I really wanted to enjoy it more than I actually did. There are no questions that the film contains some great performances and there's also no question that there are some very dramatic and good scenes. With that said, I found there to be a lot of issues with Washington's direction and I honestly just didn't like the plays translation over to the big screen. The biggest issue I had with the picture is the fact that it looks rather lazy on the big screen and looks more like a play than a movie.I know some will say, ""well, it is play"". No, it is now a movie so it should look like one. With that said, I've heard several negative reviews talking about how the Washington character was just so mean, so unlikable and so obnoxious that you just couldn't enjoy the picture. All of that is certainly true about the character but at the same time I enjoy when movies try to tell the stories of unlikable people. This is certainly a very interesting character and I thought it should have worked much better than it did but as I said, the technical issues really kept the story from fully exploding.It's really too bad so many great performances are wasted. I really enjoyed Washington here who certainly got into every inch of this character. You could literally just see the actor floating from one scene to the next as he truly became this part and never once did you feel as if you were watching a performance but instead you were seeing a real person. Davis is also extremely good in her supporting part. The supporting cast is great as well as Jovan Adepo doing great work as the son, Stephen McKinley Henderson as the best friend and Mykelti Williamson as the retarded brother.FENCES runs way too long for what it is and, as I said, the play-like look on the big screen just didn't work for with. Still, the performances are great enough to where they can keep you entertained in what's going on."
FENCES,4 January 2019,4/10,"A good film it might be, but FENCES isn't for me. It's a 1950s-era family saga about the volatile relationship between man and boy; he's a failure for various reasons and he's determined to see his son turn out in his own image. The film not only stars Denzel Washington but was directed by him too, and he gives a very enthralling performance, supported well by Viola Davis. Sadly, what lets this down is a script; it's about everything and nothing, and it goes on and on an on hammering the same point home. The character vocabulary is limited, the characters themselves rather unlikeable, and it's one of those films where very little happens too."
FENCES,4 October 2017,7/10,"It's 1950s Pittsburgh. Troy Maxson (Denzel Washington) is a former pre-integration baseball player and a garbage man. He works with his best friend Jim Bono. Rose (Viola Davis) is his long suffering wife. He dominates his son Cory who is working to be a football player. He had purchased his home with disability money paid to his brother Gabriel (Mykelti Williamson) who was injured in the war. His estranged son Lyons from a previous relationship often comes over to borrow money.These are two giants dialing their performances up to eleven. They stay there and don't allow for any gears to change. The setting is striped down which accentuates its play origins. A few tonal changes would help build the drama. Instead, they are just plowing through. It does have a great confrontational climax although the denouement should be shortened. This showcases great powerful actors but the story needs to have some differing tones."
FENCES,18 September 2017,6/10,"Because August Wilson wrote the play and screenplay, I figured this was going to be great. But it turned out to be an endless monologue of self pity. If the guy had a heart of gold or a modicum of concern for people, I may have gotten into this. I realize that Denzel Washington plays a character that has come up in the school of hard knocks and facing the evils of racism. But not only is he defeated, he openly tries to defeat everyone else in the film. Viola Davis is his long suffering wife. He's a guy that was a really good baseball player before the color barrier was broken. Maybe a star. But the times kept him from ever going anywhere. His brother is a war veteran who has suffered brain damage. He has a normal son with great athletic ability. His father betrays him when he is going to meet with recruiters which would lead to a college education. The movie looks like a stage production and Denzel delivers long speeches that he determines tell what the world is. In his eyes, it's not worth the effort. Disappointing after all the attention."
FENCES,18 February 2017,6/10,"Denzel Washington stars and directs the award winning play by August Wilson who died in 2005. Washington apart from the initial scenes has kept the film stage bound.Washington plays Troy, a working class refuse collector in 1950s America. His dreams of playing professional baseball were thwarted because of racism. He still holds the view that the white man holds the upper hand which would not be an uncommon belief in that time period.Troy can be charming, caustic as well as a braggart. He jokes and tells stories at the bar to his friends but we suspect he has told them many times before.His wife Rose (Viola Davis) usually intervenes before the tales gets too broad when he recounts them to his workmate and neighbour Mr Bono.We gather Troy was once a ladies man, he has a grown up son, Lyons from his first wife. A second son, Cory with Rose who he has been with for about 18 years. Regularly dropping in is Troy's brother Gabriel wounded in the head in the war.Initially we see the tension between Troy and musician son Lyons who shows up on payday for a loan from his dad. Troy is not happy that he refuses to get a job instead chasing a pipe dream of trying to become a musician.It is Rose who keeps the peace. We also see simmering tension that will progressively build up between Cory and Troy, as the father dashes his youngest son's dream of playing professional football. Troy wants him to get a trade.Cory has had enough of his father who he sees as a tyrant forever holding others back.Over time we find out first through Bono that Troy has been seeing another woman on the side. That Troy is a hypocrite.In due course he heads for a collision with Rose who desperately tries to keep her home and husband together.The film is an acting tour de force from Washington and Davis but it comes across too much as an overlong staged play.The confined stiff atmosphere ends up suffocating the film and the elements of the play get lost.The title 'Fences' has a subtext of building barriers whether it is physical or mental. The movie built a wall between the viewer and the screen."
FENCES,24 October 2017,9/10,"When Denzel and Viola were on Broadway in the successful revival of this August Wilson play, I would walk by the Cort theater as the show let out, wishing that I was a part of that very racially mixed audience. I was lucky enough to snag a playbill, but snagging an affordable ticket was impossible. I've stood in the back of the Cort theater for shows for standing room only, but that wasn't possible for this smash hit. In my many years of theater going, I've gotten to see one August Wilson play, ""The Piano Lesson"", learning about how the characters in all those plays were somehow connected, and that helped strike an interest in me to see all the others.Through lengthy conversations, the characters played by Denzel Washington and Viola Davis brought to the forefront every aspect of their personalities. Washington doesn't get much sympathy as the typical hard headed man of the house, objecting to his younger son's determination to get a sports scholarship (as he was considered too old when black men were finally able to join the professional leagues) and always harassing the older adult son over financial issues. His showier role however is upstaged by the subtlety of Viola Davis who quietly tries to guide him away from his stubborn ways while keeping their home happy. It's her steel magnolia that remains the heart and soul, while old fashioned macho pride threatens to vanquish everything she's managed to achieve. She remains a gentle and dignified soul, even when Washington drops a huge bombshell on her.Thought provoking and human, this is quite theatrical, an aspect that modern audiences might have a difficult time adapting to. Davis, who won a leading actress Tony, won the supporting actress Oscar, and it's very apparent that she should have been considered leading. I've seen some fine actresses in my time of all races, and Davis ranks near the top of the greatest. She's like a storm brewing inside, one that doesn't want to move up to hurricane level but eventually finds she has no choice. Davis allows herself to look undignified in one harsh moment where the young son must rush in to defend their mother, something I can totally identify with, bringing up long suppressed memories. This shows several variations of the human soul, some ugly and yet very human, and one gorgeous and heroic. It's the fences between the different levels of humanity that drives the idea home that it takes a special kind of heart to tear down those fences for good."
FENCES,28 February 2017,6/10,"In the 50's, in Pittsburgh, the bitter and proud fifty-three year-old garbageman Troy Maxson (Denzel Washington) lives a simple life in a poor neighborhood with his wife Rose Maxson (Viola Davis), his teenage son Cory (Jovan Adepo), who is an amateur football player, and his brother Gabriel ""Gabe"" (Mykelti Williamson) that is an insane man after losing part of his skull in the war. His best friend is Jim Bono (Stephen McKinley Henderson), who works with him, and his estranged thirty-four year-old son Lyons (Russell Hornsby) is married and tries to survive as a musician with financial difficulties. Troy is a frustrated man since he was too old to become a professional baseball player when the leagues began to admit black athletes. He refuses to receive the recruiter of a college and consequently does not allow Cory to join college. The tension increases in his family when he confesses to Rose that he has a mistress that is pregnant. Meanwhile he has been building a fence in the limits of his real estate.""Fences"" is a heavy drama in the 50's in a black community with a black family. The lead character Troy Maxson is not a bad man; actually he is a provider that delivers his paycheck to his wife. However, he is an illiterate man that treats his son the way he was treated in the past. He tries to protect him from the disappointments he had with sports and is unable to see that times are changing. But his attitudes build a fence between his family and he and Troy ends the story alone. The performances are top-notch and Viola Davis and Denzel Washington deserve the nominations to the Oscar. My vote is six.Title (Brazil): ""Um Limite Entre Nós"" (""A Limit Between Us"")"
FENCES,13 August 2017,8/10,"The film takes place 1956-1957 in Pittsburgh. Troy (Denzel Washington) works as a garbage man. He harbors a certain bitterness of life. He is a black man in a white man's world, not seeing the changes since 1918. He was a successful ballplayer in the Negro Leagues, but was too old to play when the leagues were integrated. He likes to tell stories and has ""more stories than the devil has sinners"" and the stories grow with each re-telling. He has a wife Rose (Viola Davis) and a son Cory (Jovan Adepo) who lives in fear of his stern father.The movie is a long drama which doesn't have any real conflict until 75 minutes into the feature. We get to learn about Troy and take that walk in his shoes. In spite of all of his faults and failings, Troy believes in responsibility, perhaps more than love.It is an interesting look at life at that time when American race culture was making a slow change. This is far from an action film and may be too slow for those who don't want to see an emotional drama. Well acted.Guide: N-word. Sex talk. No swearing, sex, or nudity."
FENCES,15 February 2020,8/10,"When it comes to acting pieces (movies), this one can be seen as an example or how to or whatever you want to call it. Denzel is a powerhouse, but everyone else holds their own. This is really powerful stuff and every scene is mesmerizing and really holds a lot of tension. I do think that at places the pacing might be a bit off, but overall that is just nit picking.If you like dramas, this will do the trick. Also if you are into character pieces. Our main protagonist is flawed - actually that is an understatement. The fact that Denzel is playing him is quite the neat trick. You'll forgive him certain things .. it's Denzel after all right? But the character he's playing ... not an easy one to love. And yet he achieves that - it's Denzel after all (his wife is at least equally as good and as I said above, everyone acts their heart out)"
FENCES,26 January 2017,9/10,"Wow, Denzell Washington and Viola Davis are superb here, but if you think about it, Washington is playing two different characters in the movie. With his working stiff buddy Bono (Stephen Henderson) he's a brash and entertaining storyteller, regaling one and all with tales from his past that get rosier with each telling. I couldn't believe the way he dissed Jackie Robinson and Hank Aaron, stating that he was a better ball player than either of them. But because Troy Maxson (Washington) was a man who's time has passed him by, he takes out his frustrations on older son Lyons (Russell Hornsby), who he considers a slacker with a poor work ethic, and his teenage boy Cory (Jovan Adepo), who has dreams of his own to play football, earn a scholarship, and make a better life for himself.The killer scene occurs when Troy confronts wife Rose (Viola Davis) with the news that he's 'going to be a daddy'. Never have I seen an actor or actress turn on a dime so quickly, from a composed and motherly woman into one who's rage and emotion explodes so viscerally on screen. You watch Davis's face transform and it's a wonder to behold. Right there was where I became convinced she'll have an Oscar in waiting, so we'll just have to wait and see.At the time I saw this film I wasn't aware that the story was based on a stage play, which makes the picture more dialog driven than most. For me, that's just fine, as I like to see a story in which the players are given ample opportunity to develop their characters. In this one, Troy Maxson is a man you like and dislike at the same time, and an actor who can accomplish that is a rare commodity. This will be one movie to keep an eye on with the potential to upset the apple cart during the coming awards season."
