Title,Date,Rating,Comments
HELL OR HIGH WATER,12 September 2017,10/10,"One of the most critically acclaimed films of 2016 and nominated for four Oscars, 'Hell or High Water' also had an intriguing idea, a talented cast with Jeff Bridges being a particular attraction and a script by ace writer Taylor Sheridan (writer for the brilliant 'Sicario', and went on to direct one of the most promising directorial debuts of 2017 with the recent 'Wind River').'High or High Water' was not a let down in any way. One of the finest films of 2016 and to me all its four Oscar nominations were among the year's most deserving (Bridges' nomination for Best Supporting Actor should have been a strong contender for winning). It is not the most original of stories sure, but that did not matter at all because it executed all its components impeccably and still had its share of surprises. It does have a slow start somewhat but not in any way a want-to-switch-it-off way.Along with 'La La Land' (it has become popular to hate that film, loved it personally), 'Hell or High Water' was one of the year's best-looking films. It has a rustic Western look in terms of setting that is very effectively evoked and it is stunningly shot. It should have been a contender for Best Cinematography, but at least got some recognition for the concise editing.The rip-roaring, at times hauntingly elegiac and at other times rousing, soundtrack enhances everything going on on screen. That one of the best scores that year was not even nominated and the pretty awful score for 'Jackie' (one of the worst things about a disappointing film) was even to a very subjective reviewer, who absolutely despises the ""I don't understand..."" and all its various other just as clichéd, overused and abused variations, is not easy to fathom.Best Original Screenplay was very much deserving, with Sheridan once again striking gold with a snappy, smart and tightly structured script. While meditative in pacing, the story is nonetheless absorbing and surprisingly rich in its complexity. It's also intricately told and with a mix of the hard-edged and the elegiac.David Mackenzie does a remarkable job directing, getting the most out of the story and atmosphere and bringing out the best of his cast. Chris Pine's lead performance is one of his best, but it's the supporting cast that shine more.Ben Foster, in a role that is the polar opposite to Pine's and perhaps the slightly more interesting, is a revelation, even more is an astounding Jeff Bridges who completely disappears into his role to unforgettable effect. One must also single out Gil Birmingham, who really wrenched the heart in this year's 'Wind River' and gives a different but every bit as wonderful turn here.In conclusion, wonderful film and a 2016 highlight. 10/10 Bethany Cox"
HELL OR HIGH WATER,26 August 2017,8/10,"If Hell On High Water does nothing else you will throw stones or whatever else is handy at the television the next time you see Tom Selleck or Henry Winkler or any of those other folksy actors from back in the day hawk the virtues of the reverse mortgage. It should be called the reverts mortgage because it reverts to your heirs upon your demise. I can certainly sympathize with the Howard brothers here. When my mother passed away and left my brother and I with the bought and paid for completely debt free family home we both salvaged a considerable estate. Not like Chris Pine and Ben Foster have. Their little patch of land with the house on it is owed to the Texas Midland Bank and they have to cough up the full amount or be kicked off. Pine with wife and family there the situation is a crisis. Fortunately Foster is an experienced criminal who has an expertise in robbing banks. Even with some mistakes these two get away with a lot.That includes fooling the Texas Rangers on their case who are Jeff Bridges who is days from retirement and Gil Birmingham a full blooded Comanche Indian. They have an interesting relationship and Bridges isn't exactly the most politically correct person out there.Hell On High Water got a nomination for Best Picture in 2016 and Bridges was nominated for Best Supporting Actor. Let's just say goals are accomplished, not without loss on both sides. The brothers Pine and Foster have a nice tandem chemistry the same as Bridges and Birmingham.The film this seems to best compare to is Clint Eastwood's classic A Perfect World. Watch and see if you agree."
HELL OR HIGH WATER,20 February 2017,,"Hell or High Water (2016) *** 1/2 (out of 4) Toby Howard (Chris Pine) and his ex-con brother Tanner (Ben Foster) rob three banks in one day with plans on hitting more the following day. Pretty soon Texas Ranger Marcus Hamilton (Jeff Bridges) and his partner are on their trail.Director David Mackenzie's HELL OR HIGH WATER is a throwback to a previous era's Western where you've got good guys, bad guys and guys that are somewhere in between. A lot of praise was aimed at the film and it's easy to understand why because it's a very laid back picture that takes its time getting to why the brothers are doing the crime and it also takes its time in explaining why the Ranger is so interested in it.What impressed me most about the film was the fact that it was so laid back. The quiet nature of the Texas small towns are certainly on display and I liked the fact that the director didn't mind keeping things at a slow burn leading up to the climax. I'm certainly not going to spoil the ending but it perfectly sums up everything that we had seen leading up to it. I can see how some might be disappointed that this film wasn't louder and feature stronger stuff but the atmosphere and setting were perfectly handled.Another major plus are obviously the performances but would you expect anything less from the three leads? Pine is certainly coming into his own and delivering one fine performance after another. His character is the one that is most haunted by his actions and I really liked the depth that Pine brought to the role. Bridges, who picked up an Oscar-nomination, is also quite good playing the Ranger who (no shock) is about to retire. For my money it was Foster who stole the film playing the more psychotic brother. I really thought the actor did a fantastic job at playing this crazy person who also had a great love for his younger brother.The cinematography, the editing and all the other technical aspects are excellent. I did have a few problems with the picture including some of the scenes that had songs playing over them. The country music selections were fine songs but at times I thought they weren't needed in a few of the scenes. Still, HELL OR HIGH WATER is a current day Western and a darn good one at that."
HELL OR HIGH WATER,8 June 2017,6/10,"HELL OR HIGH WATER is an appropriately gritty bank heist thriller that manages to breathe some freshness into an overworked genre. The film has a sweaty desert setting and casts Ben Foster and Chris Pine as a pair of brothers cast into a world of crime due to economic difficulties. Pine has the lesser role of the two, basically all square-jawed niceness, while Foster, who has been an interesting presence in Hollywood ever since THE PUNISHER, adds another deranged role to his repertoire.Pitted against these siblings are the local police force, spearheaded by a typically laconic Jeff Bridges. The plot as it plays out is quite predictable, but the direction is far above average and the action sequences almost hum with electricity. The bank heist scenes are as tense as you'd expect, but a HEAT-style shoot-out and car chase are both very well achieved and some climactic moments are also nicely portrayed. It's not a film I'd consider a masterpiece, but it does the job well enough and the realism never drops for a second."
HELL OR HIGH WATER,26 March 2017,8/10,"Toby Howard (Chris Pine) is divorced and older brother Tanner Howard (Ben Foster) is a recently released bank robber. Their mother recently died after a long illness. Together, they go on a spree robbing branches of Texas Midlands Bank. Texas Ranger Marcus Hamilton (Jeff Bridges) is investigating. He thinks that they're on a mission to gather a set amount from the small quick robberies.This movie takes all the old western concepts and brings them out to the modern time. They even have cowboys driving cattle on the run from a fire. Each one of these people realizes that times have passed them by and the world is changing. The acting is more than solid. Pine and Foster have great sibling chemistry. Jeff Bridges is comfortably acting within his range. The best character is the old cranky waitress. Her scene is hilarious. There is a tension and a sadness with these characters. It's a really compelling world."
HELL OR HIGH WATER,7 February 2017,6/10,"""Hell or High Water"" is an American movie from 2016. It is probably the most known work by Scottish director David Mackenzie so far and the script comes from Taylor Sheridan, a successful actor as well. This is Sheridan's second screenplay only and after ""Sicario"" was also already pretty good, this one here is at least on par, especially because Sheridan shows that he is also really great in terms of comedy. Two thirds of this film are relatively light and the movie lives through the cool/badass dialogues by the two cops as a vital ingredient. The movie runs for 100 minutes and scored several Academy Award nominations, one of them for Sheridan's script, another for Jeff Bridges' supporting performance (is he really supporting?) and it also got in for Editing besides the crucial Best Picture nomination. The film is basically two duos of people from start to finish: the bad guys and the cops, even if you could say that at least one of the bad guys is not entirely bad as his motivation behind these bank robberies is somewhat honorable and we are also reminded at the very end that he never killed a person in his life.It is a genuinely entertaining film and a lot of this is thanks to Bridges. I am okay with his Oscar nomination, even if a lot of his great performance is thanks to the dialogues written for his character. More serious mentions like the one about his dead wife are not elaborated on enough for Bridges to really make a dramatic impact, but the second half of the film, basically everything after his colleague gets killed, is pure Oscar bait and I am not surprised he is nominated again, the second time after his win and no less than 45 years after his very first Oscar nomination. He has pretty great chemistry with Gil Birmingham and even if the latter is not getting any recognition awards-wise, I still hope it can boost his career. Now about the bad guys: Who would have thought that Chris Pine can make this character work as honestly I always saw him as a bit of a mediocre (in terms of range) Hollywood beau. But he did what he had to do here in order to make the film even better. He reminded me of the main character from ""Justified"" at times, only that he was one of the bad guys of course. And Ben Foster confirmed what realistic movie buffs have known for over a decade now, namely that he is incredibly underappreciated in Hollywood and maybe the one actor in Hollywood right now without an Oscar nomination who is most deserving to get one. For this film, it did not work out yet, but I hope it will soon in the future.Overall, this is a good example of a modern western. It plays right now, i.e. in the 21st century and offers pretty good performances from start to finish. It is also genuinely funny on so many occasions. One example would be the old waitress who almost stole the movie with her one-scene performance. Hilarious stuff there and she was on par with Bridges and Alberto Parker. Surprised that Parker is that old already, he looked great for his age. But that is just a side note. Now I said that this film is pretty funny, but it is also dramatically relevant and edge-of-seat stuff on some occasions, especially in the last 40 minutes. I myself would not say that this is one of the best films of the year, but western fans like myself (and fans of the previously mentioned television show) will still enjoy it and some of the scenes are certainly contenders for some of the best 10 or 20 (in terms of both comedy and drama) moments of the cinema year 2016. One final thumbs-up for the music in here. The songs used fit very well in terms of tone and atmosphere."
HELL OR HIGH WATER,17 December 2016,7/10,"Modern urban crime westerns tend to be ponderous slow burners and must have Tommy Lee Jones in the cast.British director David Mackenzie brings an outsider's perspective to Hell or High Water and keeps the pace moving even adding some humour. Mr Tommy Lee Jones is replaced with Mr Jeff Bridges.Two brothers, Toby (Chris Pine) who is more thoughtful and sensible and Tanner (Ben Foster) who is more reckless as well as being an ex-con. Both rob remote branches of the Texas Midland bank. They take loose bills from the cash registers, not all the robberies go smoothly but the boys have an ultimate motive.They are robbing the bank that plans to foreclose on Toby's ranch which may contain oil. The boys are basically taking the bank's money, laundering it and repaying back the same bank.Bridges plays veteran US Marshall Marcus Hamilton on the verge of retirement who takes more of an interest in the robberies than the rest of the police as these are not big money crimes and no one has got seriously hurt so far.With his half Indian partner Alberto (Gil Birmingham) they develop a theory of what they might be going next as well having some admiration for the robbers.In a of these types of movies, the robbers keep robbing until they fall out and the police get on to them. If there is an endgame to their scheme it is an inept one. The characters here at least have put some thought here although flawed and Tanner is always going to be a liability.We still know we are going to get an almighty shootout at the end andwe also get a more surprising and personal showdown between the Marshall and Toby. It does not work for me which lets the film down as a character's wounds would leave him open to a smart lawman.Yet in the main this is an intelligent, thoughtful and well acted film, it has his moments of slow burn but it is pacy enough. You have some humour such as the waitress who got a big tip refusing to part with the money as the tip was proceeds from a bank robbery or Alberto wistfully telling the Marshall that once the white man took the land from the natives and now they are losing the same land to the banks."
HELL OR HIGH WATER,18 December 2016,7/10,"In Texas, after the death of his mother, the unemployed oil and gas worker Toby Howard (Chris Pine) is losing her ranch to the Texas Midlands Bank. Toby is divorced from his wife that lives with their two sons. When his brother Tanner Howard (Ben Foster) is released from the prison, they team-up to rob agencies of the Texas Midlands Bank to raise money to pay the loan so that Toby may leave the real estate to his sons. Meanwhile the racist Texas Ranger Marcus Hamilton (Jeff Bridges) that is near retirement and his Indian descendant partner Alberto Parker (Gil Birmingham) try to anticipate the next movement of the thieves.""Hell or High Water"" is an original heist film where the ""bad guy"" is indeed the bank. The characters are well-developed and the screenplay has witty dialogues, mostly from Jeff Bridges' character. My vote is seven.Title (Brazil): Not Available"
HELL OR HIGH WATER,30 July 2017,,"With all the 'film of the year' mentions and other such praise, I was not sure what to expect from this film; I am sort of accustomed to finding such films are ""worthy"" but not much good. In this case though I was pleasantly surprised to find that it was a solid and straightforward thriller, that puts a lot of stead on character, atmosphere, and creating a convincing and engaging world.This it mostly does very well. The narrative sees two brothers robbing banks for small amounts, with a specific target to reach to be able to buy back their family's land from the bank; meanwhile a lawman on the cusp of retirement tries to stop them. It sounds a little clichéd, but what the film does is set the tone just right. The Texan heat is tangible, but so is the sense of a populace under pressure day-to- day. Such things are not in the main scenes, or main characters, but are evenly distributed across the whole film in such a way that it produces a world that is convincing, and people who are engaging and convincing.Within this, the pace of the film allows for the characters to breath, which means we invest in all of them. As a result the robberies are tense affairs, even if they are simple too – it is not a film that needs big set-pieces per se. That said, there are plot developments and details later in the film which do seem to be either holes or convenient writing – but by that point I was on board and willing to go with it. The performances do a lot to help with this, and there is a lot of quality in here. Foster and Bridges are known quality and do well, but I had some surprises with Pine, Mixon, Birmingham, and some others.The film is not as perfect as some suggest, but it is an engaging and convincing affair which has good pace, atmosphere, characters, and performances."
HELL OR HIGH WATER,3 September 2017,5/10,"Tanner (Ben Foster) gets out of prison, serving time for robbing banks. He teams up with his straight brother Toby (Chris Pine) for a series of bank robberies to pay off various liens against the ranch owned by their recently deceased mother. They wash the money at an Oklahoma casino. Marcus Hamilton (Jeff Bridges) plays a sheriff nearing retirement who is after them. Alberto Parker (Gil Birmingham) is his ""half-breed"" partner one of the many inappropriate slurs used in the film.Chris Pine was rather plain and subdued during the film, just being dutiful to a family that prefers to live without him. Jeff Bridges was a bore. Ben Foster was the only real animated character. He was reckless.The acting was okay. The dialogue a bit dry, except when then were bad mouthing Native Americans and Mexicans and even then it wasn't impressive. I imagine the film's popularity is due to the populist appeal of banks being inherently evil, and the common man can get back at them...this and the bank robbery scene where everyone in the bank has a gun.Guide: F-word. Sex. Blurred nudity. Disparaging language. Being a fan of Illuminati bankers, I didn't like it as much as my fellow reviewers."
