Title,Date,Rating,Comments
MANCHESTER BY THE SEA,21 May 2017,7/10,"Being familiar with director Kenneth Lonergan's previous work, one knew what to expect from his chosen themes and his style. 'Manchester By the Sea' has Lonergan written all over it, and while it was not a ""love"" film it was an ""appreciate"" one.It is an uneven film and understandably polarising (people will love the acting, inspired use of music and the mix of humour and pathos but others will find it overlong, slow and rambling), with a first half that will alienate some. There are many things that impress, especially the acting which is what drives 'Manchester By the Sea'. This said, even if my reaction to 'Manchester By the Sea' was less (like it wasn't for me or intensely disliking it, I would have no problem with anybody saying they liked it, not the sort of person who condescends and shows a lack of maturity and respect to other people's opinions (one of my bugbears on IMDb).Getting on to my hopefully balanced review of 'Manchester By the Sea', pointing out its flaws and merits, as said it is easy to see why 'Manchester By the Sea' is not for everybody. It is perhaps longer than necessary, some of the first half did tend to ramble and could have done with a trimming. In fact, the first half generally wasn't as interesting as the rest of the film, and likely to put people off watching any further. It did tend to be dull and meandering, the mix from flashback to present day not always clear and didn't always go anywhere. It was when the tragedy came in and the relationship between Lee and Patrick when 'Manchester By the Sea' becomes more worthwhile if stuck with.After this point, 'Manchester By the Sea's' only faults are a few contrived moments (like the freezer scene and the at times excessive and out of place F bombs) and an ending that falls on the abrupt side.However, 'Manchester By the Sea' has suitably picturesque scenery and is shot with a lot of atmosphere. Lonergan directs with a lot of thoughtfulness and restraint and much of the script has a good balance of humour (with some genuine belly laughs with Lee and Patrick) and pathos (the fire and funeral scenes will have one reaching for the tissues). The show-down between Lee and Randi is beautifully played and electric.'Manchester By the Sea's' best asset is by far the acting. Lucas Hedges makes a compellingly real character out of one that could easily have been annoying, and while Michelle Williams is underused she also gives a remarkably moving performance. Kyle Chandler also impresses. 'Manchester By the Sea' is Casey Affleck's film though, Affleck is on blistering form and has rarely been better in his tough-talking and also introverted role.Also want to mention the music, giving much intensity and poignancy to the drama with inspired use of pre-existing music. Albinoni has never been more affectingly utilised on film, his ""Adagio"" can be one of those over-exposed pieces of music but here added so much to the drama's emotion that it was truly beautiful and haunting. Another effective use of music was ""He Shall Feed His Flock...Come Onto Him"", the alto and soprano duet from Handel's 'Messiah'.In summary, slow start but sticking with it 'Manchester By the Sea' rewards. Didn't love it, but there was enough to make it appreciate it. 7/10 Bethany Cox"
MANCHESTER BY THE SEA,23 April 2017,8/10,"A whole lot of pretty New England seacoast scenery is lovingly and exquisitely photographed in Manchester By The Sea including the title town. You might even get inspired to take a vacation there after seeing Manchester By The Sea. But there's far more to this film than beautiful scenery.It's the story of the Chandler family uncle and nephew. Lee Chandler lives and works in Boston quite humbly as a janitor when he received the word that his brother Joe just keeled over and died. The family knew this brother had a weak heart and that this could happen. All but one member of the family. The exception being Lucas Hedges his teen son. He's a jock kid, a hockey player with a bit of attitude. But he's quite vulnerable and the father who was played by an actor named Kyle Chandler provided in his will that his brother Lee played by Casey Affleck be the guardian of his kid. The mother who is Gretchen Mol has been separated for years from the father and she's an alcoholic. Another brother has moved to Minnesota.The problem is Affleck left Manchester By The Sea after a mind numbing tragedy of his own that may have been the result of his own carelessness. Casey was and is quite the party animal which was part of what caused the tragedy. In any event he wants nothing to do with Manchester whatsoever.Putting it simply Affleck just never quite got around to growing up. And Hedges is in some critical years and in need of a father, the last thing Affleck wants to be.Writer/Director Kenneth Lonergan took his time and drew some deep and rich characters for his Oscar winning original screenplay. You really think this is a real family struggling with some serious family issues, no actors involved here. Almost like what reality TV should be.The other Oscar that Manchester By The Sea won was for Best Actor for Casey Affleck. Director Lonergan got a great performance that struck all the right notes, where Affleck has to be contained he is, where he explodes with emotion it's the right amount. Credit has to go for his instincts as well.Lucas Hedges was nominated for Best Supporting Actor and I'm sure we'll see a lot from him as well. See the travails of the Chandler family as real as cinema gets."
MANCHESTER BY THE SEA,23 February 2017,,"Manchester by the Sea (2016)**** (out of 4)After the sudden death of his brother, Lee Chandler (Casey Affleck) must return to the town that he has been running from in order to take care of his 16-year-old nephew (Lucas Hedges). It doesn't take long for the haunting past to catch up with Lee who might just not be able to face it.MANCHESTER BY THE SEA is an extremely quiet movie but it's also a very powerful one. I'm not going to say anything else about the plot as I don't want to give anything away but it's certainly a very deep and emotional gem that has an extremely good story as well as some magnificent and emotionally charged performances. This certainly isn't a movie that's going to have a wide appeal because it's just too depressing for that but those willing to sit through it will find it to be quite rewarding.Writer-director Kenneth Lonergan does a magnificent job with the screenplay and I especially liked the structure that the film goes for. We're given a few flashbacks throughout the early part of the film to give us enough information to explain why the Lee character is the way he is. When we first meet him he's somewhat of a jerk and you can just feel that there's some hidden pain in him. I really thought the film used the flashbacks perfectly to show us what caused Lee to get this way and the film plays out perfectly well as all of the past comes back. We've seen several films deal with a character battling the past but I must say that this here is one of the best examples of a man being haunted and finally having to face his demons.As great as the screenplay is, you've also got some terrific performances to help pull out all of the emotion. Hedges is extremely good in the role of the nephew and Kyle Chandler is terrific in his few scenes as the brother. The always dependable Michelle Williams' turns in another remarkable performance as the ex-wife who has her own set of pain. The film, however, clearly belongs to Affleck who turns in the greatest performance of his career. He talks in a very quiet manor and sometimes he doesn't say anything at all but you can just look in Affleck's eyes and see the pain. In the way he walks you can see the weight of the world holding him down. This is a very emotional performance and a deep and haunting one yet the actor pulls it off without a problem.The film also benefits from a terrific score, some beautiful cinematography and there's no question that the setting is perfect for the story. As I said, this is a mighty depressing film so I can see why some might want to tap out early on but those willing to sit through it will certainly be rewarded with a powerful film with some of the best acting of the year."
MANCHESTER BY THE SEA,24 March 2017,8/10,"Lee Chandler (Casey Affleck), his wife Randi (Michelle Williams), and their children lived happily in Quincy, Massachusetts. His brother Joe (Kyle Chandler) and wife Elise (Gretchen Mol) have son Patrick. Lee suffers a devastating loss which destroys his life. Joe has terminal heart problems. Unbeknownst to Lee, Joe left Patrick to Lee as his guardian. Lee struggles to come to grips with the responsibility.This movie does careen from comedy to sadness to anger to quiet contemplation going from one time to another. I do wish that filmmaker Kenneth Lonergan was able to use a sharper knife in the editing process. With more than two hours, the running time could be squeezed down by at least fifteen minutes. The film is allowed to wallow in its sadness. A tighter film would be more emotionally impactful. There are surprisingly broad comedic scenes mostly with the girlfriend and one epic scene from Michelle Williams. The performances are terrific and this has real heart."
MANCHESTER BY THE SEA,25 February 2017,10/10,"Sometimes we have a work of art that doesn't have as its purpose to make us feel good. The criticism from the nay-sayers of this film talk about how depressing it is; that there is nothing happy about it. What this is is one of the most insightful portrayals of a man consumed with guilt that you will ever see. I know little about Casey Affleck, other than the obvious, but his portrayal of a man who feels the burden of inadvertently killing three of his children, is astonishing. Some say the characters are unlikable, including the son of his deceased brother. Well he is what he is. Yes he's a teenaged womanizer full of testosterone and self, but are we to change it for people that don't like him. That makes the issues that Affleck's character has to reconcile after his brother names him guardian of his son. This is a slice of realism, from his having to deal with his brother's death and all that entails (responsibility for the funeral and the legal issues). He is such damaged goods that someone needs to look after him. This is not a feel-good film. It presents us with a dysfunctional figure who is back in the town where everyone considers him a murderer. Could win the Oscar this year. If not, Affleck probably will."
MANCHESTER BY THE SEA,6 September 2018,,"A simple story. Almost like a confession. About a man , his nephew and a challenge. Balance between past and present. And Casey Afflek in one of his most inspired roles. Yes, it could be boring and strange and using cliches and proposing a drama who is too familiar and not giving revelations and being more a theater play than a real drama. Significant are the truths from dialogues and looks. The deep solitude and the many refuges, the clash between personal life and duties. It is a not comfortable film. It seems more than it is. Maybe, because the story is too simple and the proposed plot is a reflection in mirror. But, against doubts, it has a clear virtue - the performances. Minimalistic. But convincing. From Michelle Williams to the revelation of the impecable job of the young Lucas Hedges And that is more a good point. But the lead trait of the film becoming, scene by scene, an interrogation to its public."
MANCHESTER BY THE SEA,10 February 2017,6/10,"""Manchester by the Sea"" is an American movie from 2016 and one of the big players this awards season with 4 SAG nominations, 6 BAFTA nominations, 5 Golden Globe nominations (including one win) and 6 Oscar nominations including Best Picture. The movie is really long, almost 2 hours and 20 minutes, and it was written and directed by Kenneth Lonergan, a two-time Oscar nominee before this movie already (one of these for Scorsese's Gangs of New York). Lonergan has been a more prolific writer than director during his long career, but as for his newest movie here, he was the man in charge for both positions. The title references the city of Manchester and as the addition in the title says, this is not the one in England, but the lesser known in New Hampshire. This is the place where the title character Lee, played by Casey Affleck, returns to after his brother dies. Affleck has been the front runner for a long time this season and until the SAG Award win by Denzel Washington, he also seemed a lock for Best Actor glory. Now the race is pretty much open between these two again. Affleck still certainly has a shot at glory unlike Michelle Williams and Lucas Hedges. Supporting actress is probably decided in favor of Oscar beggar Viola Davis and Hedges' nomination was actually a bit surprising that he took the spot as his traction seemed to have died down a little bit. But this support for Hedges may also tell us that the Academy likes the movie, which increases Affleck's chances. I personally am not too sure about the nominations for Hedges and Williams. Both were decent, but among the best of the year I don't know. Their nominations may be referred to as coat-tail. Anyway, the performances of these two could hardly be any more different. Williams only has three scenes basically in the entire movie, but these are among the most memorable because of how loud and in the face they are and because of the crucial things that happen. Hedges on the other hand has a great deal of screen time here, but he really only has one moment that is certified Oscar bait (his breakdown).Anyway, looking at the film as a whole, Williams' character is the protagonist's connection to the past due to a terrible accident that happened back then, while Hedges may be his connection to the future. One thing I found very interesting in connection to Hedges was the use of ice. He plays hockey of course, but one of his most memorable moments is when it comes to him being confronted with a freezer after he has the image of his dad lying in there at the morgue as well and he is really uncomfortable with this thought. Then, after the funeral, his relationship with ice is back to normal as he asks his uncle for some money to buy himself some ice cream. Sure it is a very small (maybe even random) reference, but somehow I found it memorable and mentionable. Now about Affleck, I think he is obviously the heart and soul of the movie and looking at how generally I would not say I am a huge fan of him, he definitely managed a good performance that won me slightly over, at least for this movie. Still, I feel that to me he always comes off as a bit lackluster, but by now I have understood that this is just his style and somehow it fits very nicely with Lee here, so I would say that him being memorable in this film does not necessarily have to do with Affleck giving a great performance. I think it is rather that he was a great casting decision and also that Lonergan's screenplay works wonders and definitely elevates his performance. But I am okay with Affleck's Oscar nomination, a win would be too much though.I already mentioned earlier that this is a pretty long movie. It is certainly not for everybody as there is honestly very little happening and it is all about the characters' relationships and interactions, most of all uncle and nephew growing closer together. It starts relatively early from Hedges' character's side as he sees him almost instantly as some sort of father figure, but Lee does not see him as a son. Actually he does not throughout the entire film. One example would be the conversation about a girl staying overnight early on, which is another great piece of writing. Not that Affleck is bad with his delivery, but it's all Lonergan to me here. There is occasionally a tad of comedy too like the scene with the boy and his two girls, maybe to keep it from becoming too depressing at times I guess. This is never a comedy though and the drama is always the most important component. The film uses flashbacks on several occasions. I generally am not the biggest fan of flashbacks, but here it was working nicely because it was easy to see when these were because Chandler's character was in all of these. I personally think this was a good watch. It's nowhere near the best of the year for me personally (unlike for the Academy), but it is a decent character study and probably among the 15 best written films from 2016. That's why I give it a thumbs-up overall and recommend checking it out."
MANCHESTER BY THE SEA,24 January 2017,6/10,"Manchester by the Sea is a moody, slow burn film about a man living with grief. Lee (Casey Affleck) is a maintenance man for various buildings. He goes about his job with little interaction with the tenants he does work for. He lives a sparse life and seems to avoid female company. He goes to bars for a few drinks where he can be prone to violent out bursts. Lee seems like a troubled man and it only through flashbacks we find out what that is.When his older brother Joe dies of a heart attack in Manchester by the Sea, Lee finds out that his brother wanted him to be the guardian for his teenage nephew, Patrick but this means living in Manchester. Lee has an affection with Patrick which we see in the flashbacks, so it is not a case of establishing a relationship with him, more of overcoming Lee's demons. Maybe Joe hoped that looking after Patrick will help him overcome it.We find out through flashbacks that both brothers were married, but Joe was stricken with a heart defect and his wife left him leaving him to look after young Patrick. Later Lee's marriage collapsed after his children died in an accidental fire which Lee might had caused. It is this grief that has turned him into a shell of a man and why he cannot live in Manchester. Even when his former wife tries to connect with him and apologises for all the horrible things she said to him, he remains distant from her and to the world.Director and writer Kenneth Lonergan imbues this melancholic film with some bouts of humour such as his nephew trying to get it on with his girlfriend only to be interrupted by her mother every few minutes. Lonergan also uses pieces of classical music to give the film emotion but at times it becomes jarring.The film succeeds in its uniformly good acting from Affleck, Michelle Williams, Jason Hedges, Gretchen Moll, Kyle Chandler and Matthew Broderick.However the film is gloomy and chilly as the wintry conditions in this film where the ground is so hard that Joe's funeral cannot take place."
MANCHESTER BY THE SEA,26 February 2017,8/10,"In Quincy, the quiet and ruthless janitor and handyman Lee Chandler (Casey Affleck) is summoned by George (C.J. Wilson), who is a family friend, to go to Manchester since his older brother Joe Chandler (Kyle Chandler) has had a heart attack and is in a hospital. When Lee arrives, Joe has just died and Lee makes arrangements for the funeral with George. Then he seeks out his sixteen year-old nephew Patrick (Lucas Hedges) at the hockey training to tell the news. They go to the morgue and then they head to Joe's lawyer to learn his will. Lee is surprised that Joe has assigned him to be Patrick's guardian. He is reluctant and neither wants to stay in Manchester nor deliver his nephew to his alcoholic mother Elise (Gretchen Mol) and decides to bring Patrick with him to Quincy. However the teenager does not want to leave his life in the town. While planning Joe's burial and funeral, Lee is haunted by his past in Manchester, where he happily lived with his wife Randi (Michelle Williams) and three children until the day a tragedy happened with his family. What will be his final decision?""Manchester by the Sea"" is a realistic film with a tragic and depressing story and no redemption for the lead character. The plot is well resolved for his beloved nephew Patrick but never to Lee, who does not forgive himself for what happened to his family due to his negligence. The direction, screenplay using flashback to explain Lee's behavior and performances are top-notch. Many viewers would expect a more optimistic and happier conclusion but the author chose only a better improvement in the lead character's attitude toward life and this might be the reason of great number of bad reviews. My vote is eight.Title (Brazil): ""Manchester À Beira-Mar"" (""Manchester by the Sea"")"
MANCHESTER BY THE SEA,6 August 2017,6/10,"Lee Chandler (Casey Affleck) is a handyman in Quincy. When his brother Joe (Kyle Chandler) passes, Lee returns to Manchester and discovers he is listed as the guardian of his 16 year old nephew Patrick (Lucas Hedges). At 30 minutes into the film we discover he is ""THE"" Lee Chandler and at about an hour we find out why. It is a story about operating outside of your comfort zone and moving on, or not.This is you basic Lifetime type of film. Lucas Hedges (Oscar Nominee) and Michelle Williams were not convincing in their roles, especially during their ""crying"" scenes which bordered on so bad it was funny. After 2 hours and 17 minutes, the film ends and you feel like you are left hanging. Lee is a quiet man who can't open up. He likes to drink and fight. I neither hated nor liked him nor any of the characters. Boring with predictable scenes, such as when the hand went through the window. I saw that coming a mile away.The film has been over hyped in an Oscar year that doesn't measure up to previous years' nominations.Guide: F-word. No sex. No nudity"
