Title,Date,Rating,Comments
MOONLIGHT,31 January 2020,7/10,"""Moonlight"" won the Oscar for Best Picture. While this clearly means that the folks at the Academy enjoyed and appreciated the film, this does not mean that the movie is one that most people would enjoy. Like ""The English Patient"", there seems to be a real disconnect between Hollywood and the viewing public...and the film isn't particularly enjoyable to watch...and at times, it's actually rather painful or dreadfully slow. Not a terrible film at all...but I don't understand all the hype.The film is about a young man named Chiron. The film is broken into three distinct phases. In phase one, Chiron is about 7 years-old. His life stinks. His mother is a crack addict and he's often beaten up by neighborhood gangs. The sole positive relationship is with an adult named Juan. Juan is an odd case...he's a drug dealer and a very tough guy. But he's also very tender and loving towards Chiron...and he doesn't seem to have any negative agenda...he just cares about the kid. Phase two is middle school. Chiron is still an exceptionally quiet young man...and he's still beaten up by gangs. He mostly tries to do his own thing...and Juan is no longer in his life. His only friend...well, that's a problematic relationship and I don't want to say more, as it might ruin the film. Phase three is adulthood and I am guessing Chiron is about 30. He now is very much like Juan...a drug dealer, but a very lonely one.The problem with this movie for me is that although the acting was exceptional and very realistic, the plot seemed almost inconsequential at times. Additionally, the movie's plot is quite vague. What's also vague is Chiron's sexuality. I read that the film is a very gay-positive film about a gay man...though this has been so de-emphasized I am shocked anyone really even cared. I wish they'd explored this is greater detail...and provided a lot less slow, uninteresting moments. Overall, a good film but certainly nothing that seems Oscar-worthy...and I still feel very confused by all this hubbub about ""Moonlight""."
MOONLIGHT,16 May 2018,8/10,"Wanted to see as many 2016 films as possible, especially those that won or were nominated for the big awards. Took me a while to see 'Moonlight', with the controversy it garnered when it was announced for the Best Picture Oscar and the amount of hate it's got here part of me was wary.Finally getting round to seeing 'Moonlight', it turned out that it was more than well worth the while and that the wariness was not needed. 'Moonlight' is not a perfect film and may not have been my personal pick for the Best Picture award (for me that was 'La La Land' though that is not a popular opinion it seems). Truly admired what it set out to do and found it a brave and powerful film, despite what the detractors say there is far more to 'Moonlight's' appeal than politics, sexuality and race (clearly trying to find conspiracy theories and reasons for why a film they dislike is loved by others, without taking into account that the film simply just connected to and resonated with those who liked it).'Moonlight' does end on an anti-climactic note, some of the last act is a bit rushed. A longer length would have helped as a result, it also would have helped make a couple of events in the first act a little clearer and not so choppy. It may not say much new, despite the ground-breaking concept on paper with the exploration of lives rarely seen on film, and doesn't always have subtlety. Then again it is tackling far from subtle themes and a heavy subject, so that sort of was going to be inevitable. However, 'Moonlight' is an exceptionally well made film. The cinematography and editing are some of the most eye-pleasing and best of that year, and can't find anything to fault the expertly handled direction. The music is cleverly mixed and has haunting power and fluidity. Regarding the writing, it is not perfect, at times as said a little heavy-handed and vague in parts, but it is thought-provoking and handles very ambitious, relevant, important themes with power, truth and (mostly) delicacy. The story makes the most of the three act structure, it's handled simply but not simplistically and also handled cleverly and with passion, honesty and intelligence. Found myself relating quite a lot to and being moved significantly by the story and found the film handled a heavy and sensitive subject matter with a lot of relevance and importance today more than admirably. Can't fault the acting, doing wonders with compellingly real characters and strongly defined character relationships (especially the central one). Much has been made of Maharshala Ali and Naomie Harris and deservedly with two of the best performances that year, Ali especially is extraordinary. It is easy though to overlook Alex R. Hibbert, Trevante Rhodes and Ashton Sanders and one shouldn't, as they are just as worthy (particularly Sanders). Overall, didn't completely blow me away but very well done and with a lot to admire. 8/10 Bethany Cox"
MOONLIGHT,2 February 2017,,"Moonlight (2016) **** (out of 4)Extremely well-made and lyrical movie that deals with a young black man trying to survive in Miami while discovering who he is through a series of hard times. We first meet ""Little"" (Alex R. Hibbert) as a young kid who is discovered by a local drug dealer (Mahershala Ali) who tries to teach him some life lesson. We then meet him as a teenager (Ashton Sanders) where he is constantly being bullied while at the same time trying to learn his sexuality. Finally, in the third act, we meet him as an adult (Trevante Rhodes) and see how these earlier events have shaped his life.MOONLIGHT is a fantastic character study and I'd argue that it's one of the most interesting ever made. I'm not saying it's one of the greatest films ever made but at the same time I would argue that it's one of the best directed and acted movies that I've seen in a very long time and the end result is something rather special. Yes, we've seen these coming of age dramas for countless decades now but this one here still manages to come across rather fresh and original.What I loved most about the film were the performances by the three actors playing the same character at various stages of his life. A lot of movies try this and it's rare that all three are so believable in their roles that you really do feel as if you're watching one character throughout a period. All three actors really did seem to have studied each other or at least had such great direction where they were all acting the same way, with the same emotions and as the film went along you could see how the teenager was in the younger version and how these two versions played a major role on the adult.The performances here are simply wonderful with Hibbert, Sanders and Rhodes delivering some of the finest performances of the year. The amount of emotional and realism they bring this character is something really breathtaking to watch. Ali is the real standout though as he plays a man we meet and who at first we don't know anything about him. We slowly learn about his character but the presence Ali brings to the role is something truly excellent to watch and he delivers a knock out performance. Janelle Monáe is also wonderful as his girlfriend as is Naomie Harris as the boy's mother.Director Barry Jenkins does an extremely wonderful job at keeping the film moving along. There's a terrific visual style including the opening sequence, which just grabs you and pulls you into this world. MOONLIGHT is one of the better character studies out there and it certainly takes you on a fantastic voyage of a boy trying to learn to be himself and become a man."
MOONLIGHT,23 March 2017,7/10,"In a Miami black neighborhood, local drug lord Juan (Mahershala Ali) takes an interest in a small boy named Chiron who is picked on by the other kids. Chiron is befriended by Kevin and his mother is taking drugs. Years later in high school, Chiron is getting picked on worst and he has a gay experience. It ends badly. Years after that, he is a muscle-bounded drug dealer when he reconnects with his past.It's great to have a movie about this lesser known Miami community. It has a different flavor. Ali is an intriguing actor. Despite the darker elements, the visual is beautiful and the characters are fresh. The high school section is compelling. When the bully starts circling, the movie elevates to another level. That part is the climatic high point of the movie. The third section is less compelling and anti-climatic. There are ways to make it compelling but the story peters out. Chiron could befriend a new boy or take his revenge. Either way would be more compelling to finish the movie."
MOONLIGHT,28 October 2019,7/10,"This is an intense couple of hours where the main character is pushed and prodded by the societal elements he encounters. With each passing minute he is forced to push aside a particular direction and go with the influences. Not much new here. No, let's face it, the things he deals with are prominent in our world, and a young man like him would be hard pressed to deal with those things. But there is a bit too much crammed into this film at times."
MOONLIGHT,28 December 2019,,"I saw it as a chain of questions. Behind the good acting, atmosphere and cinematography. Because the evolution of Chiron seems more a question , a large one about the evolution of each from us. The start, the big eyes and pressures and refuges and the first touch. The prejudices and the angry under new pressure. And the adulthood . The end of circle, the vulnerability under the tough look and attitude, the fall in the basic problem of the early years. Sure, it has holes and it is slow it can be boring. But it is is a well crafted interogation and , near the great performances, this is the main virtue in its case."
MOONLIGHT,31 March 2017,6/10,"""Moonlight"" is an American English-language film from 2016 and this is the movie that won Best Picture in a truly controversial presentation at the Oscars this year. It was probably a really really very close win over the suspected front-runner ""La La Land"", so it was somehow fitting the way it turned out. Anyway, this one here runs for 105 minutes approximately and it was written and directed by Barry Jenkins, who won an Oscar for his screenplay. This film is about one character and it is structured nicely into 3 parts during different times from this character's life. One is about him being a small boy, the next about him being a teenager and the final part is about him being a grown-up. Mahershala Ali only appears in the very first part and this was enough for him to win an Oscar. I think he was pretty good, but I am not sure if I'd call him Oscar worthy. Maybe a nomination would have sufficed. Naomie Harris was also nominated and she is in all three parts, even if only relatively short in the final section. And while the third and last part was probably my least favorite, I still want to give a thumbs-up to Trevante Rhodes who despite his strong physicality managed a very vulnerable performance and André Holland who did a great job next to Rhodes.So yeah, I think the middle part was probably the best (it certainly had the most touching moment namely when the central character gets hurt physically by the one he trusts the most, but it is also a powerful moment because he will stand up from now on), but also most likely the toughest to watch and there were 3-4 really shocking moments in there. One would also be when we hear what happened to Ali's character from the first sequence, even if it is just mentioned in one sentence. The film's strength is perhaps that it really feels very authentic and close to reality. You never have the impression you are watching actors here and also the story works out nicely. When the protagonist enters the world of crime and violence at the end of the second part, he is sucked in it very quickly and his physical transformation fits as well just like his profession. But at the very end (as we also see in the last shot), he is once again the little boy he was right at the beginning. All in all, I would say this is a solid movie and I don't mind it being nominated for Best Picture as it is really very good in its best moments, but the win may be a bit too much. I think it is roughly on par with the equally pretty good but not great ""La La Land"", maybe slightly inferior, but I am quite baffled the film won. Of course, the Academy adjusted their rules recently to help Black movies and actors after all this discrimination talk last year (with which I do not agree at all though), so this certainly helped ""Moonlight"" in getting the edge over ""La La Land"". But I am surprised because the subject is very specific and the Academy has not always reacted that warmly to gay-themed films, but also because ""Hidden Figures"" is a film with historic relevance and not just a personal story like this one here and I find it quite surprising it won Best Picture, also because it is also not a masterpiece from the technical perspective. But maybe they wanted to go for something else this year and honestly I am not too mad about ""Moonlight"" (pretty random name though with the color blue reference on one occasion in the film) winning, even if I would not say it is one of my very favorites from all the Best Picture nominees that year, let alone all Best Picture winners ever, or anywhere near my favorite 2016 films. It's still worth seeing for sure."
MOONLIGHT,18 February 2017,6/10,"This is a rare beast. A film exploring the life of a young black gay man in America.We first see Chiron as a young boy being chased by some bullies in a rough part of Miami. Even by this time some of the school kids have an inkling Chiron might be queer. He is certainly introverted and even lonely, his mother is a crack addict.The only solace young Chiron finds is from a neighbourhood drug dealer called Juan who takes an interest in him with his girlfriend Teresa and his only comfort is spending time in their home.We next see a teenage Chiron, still bullied due to his small stature, his mother has gone deeper into addiction but he finds comfort with lifelong friend Kevin and an awakening of his sexuality but this comes crashing down as Kevin has to beat him up as part of a gang initiation. Chiron leaves this stage of his life under arrest as he tackles the bully who has tormented him for years.We next see Chiron as a young man in another city, he has bulked up and like his mentor Juan, now a drug dealer. However when he receives a call from Kevin he returns to Miami to see his mother and then confront Kevin as well as his true feelings and the encounter they had one moonlit night as teenagers.Director Barry Jenkins has made a small scale, slow paced, low budget drama. Some of the finance was provided via Brad Pitt's production company. It is in many ways a simple, but human tale of a young bay growing up. The first two actors playing Chiron are excellent, although it is difficult to see the resemblance with the more muscular actor who plays the older Chiron.Although a lot of thought has gone in by the director as to the way it has been filmed and the use of colours, some parts of it were far from original. The influence of Truffaut's The 400 Blows is there to be seen.It was obvious that Kevin will have to beat up Chiron as soon as he wanted to join the school gang because I saw a similar scene in the British film Ill Manors."
MOONLIGHT,23 February 2017,6/10,"""Moonlight"" is a dramatic and very well acted film about three stages in the life of a black character since he was a bullied boy and teenager in Miami until his adulthood in Atlanta. The first part (""Little"") is heartbreaking, with the boy Chiron completely lost between the rejection of his crack addicted mother and the love of his new friends, a drug dealer and his girlfriend. The second part (""Chiron"") is inferior but also attractive when Chiron is an adolescent and the problems and doubts he has to face in this difficult phase of life practically alone. Unfortunately, the third part (""Black""} is awful; Chiron has become a strong man (the biotypes totally different from his childhood and adolescence), drug dealer and gay. It is impressive how professional cinema critics love films where the characters are gays (remember ""Brokeback Mountain"", one of the most notorious) and the power they have to influence worldwide viewers with their opinions. A few people dare to say that the King isn't wearing anything at all, like in the ""The Emperor's New Clothes"". My vote is six.Title (Brazil): ""Moonlight: Sob a Luz do Luar"" (""Moonlight: Under the Moonlight"")"
MOONLIGHT,5 August 2017,6/10,"This is the third mediocre film I have seen being nominated for ""Best Picture."" PLOT SPOILERS AHEAD. ""Little"" grows up being bullied. He is befriended by a crack dealer in a do-rag. His mom uses crack. As a teen Little is now Chiron. His mom still uses crack. He stays with the girlfriend of the crack dealer. He is still bullied. As a man, his name is Black. Mom lives at a rehab center. He now wears a do-rag and sells crack. He lacks a personality. His sexual orientation is a hidden theme, the whole LGBT thing misses its mark.This was not a good Urban tale. It is not a drug film per se. I suppose if you are a Black Cuban growing up in the streets of Miami, with zero personality, you might relate to the film. I failed to relate to it as much as Janelle Monáe who played Teresa minus any type of accent. When you say, ""Do you feel me?"" you do so with some attitude, not like some kid from Kansas. Mahershala Ali was convincing in his role and indeed the film was interesting when he was on the screen. He at least talked. Unfortunately the movie centered on a quiet moping kid/teen/man filled with self pity. If you want to make a film about a quiet man, give him a personality. I like Noel Clarke films better.BTW ""La La Land"" and ""Manchester by the Sea"" are the other two over hyped films. These are three cases of the ""Emperor's Clothes"" where lousy films are given high billing because it seems to be cool and intellectual to do so. Skip these three and go see ""Hidden Figures."" Guide: F-word. Sex. No nudity"
