Title,Date,Rating,Comments
LADY BIRD,19 March 2018,8/10,"""Lady Bird"" suffers from a curse all Oscar-hyped films have....when you have heard so much about them for so long you can't help but feel a tiny bit disappointed. Now I am NOT saying it's a bad film or I disliked it...but the hype really made it tougher to love the movie more....something that the filmmakers have no responsibility for in any way.Apart from all the great press and many Oscar nominations, I actually knew very little about the movie. Heck, for a little time I thought it was all about LBJ's wife!! It turns out to be a dandy story about a rather typical teenage girl...facing a few typical problems as well as a mother who is very uptight and critical.So what did I like about the film? Mostly the acting...which seemed very real. In particular, while I hated Laurie Metcalf's character (the mother was very annoying and easy to hate), she did a GREAT job with her...and showed she's more than just a lady who was a regular on ""Roseanne"". Many other nice performances as well....and I like how the staff at the Catholic school were NOT all monolithic and angry but represented all sorts of folks. Overall, worth seeing and a good film that suffers a tad due to super-high expectations from me...but hopefully not you."
LADY BIRD,6 March 2018,10/10,"With one of my favourite trailers of the year, the awards attention, the theme of coming of age and the critical acclaim, 'Lady Bird' very quickly became one of the year's most anticipated films for me. Deliberately didn't see it at opening weekend though, just in case it was busy and difficult to get tickets, after the insane opening weekend of 'Black Panther'. 'Lady Bird' in no way disappointed. With the above, was hoping that it would be one of my favourite films of the year and it turned out to be exactly that, the awards attention and acclaim more than fully deserved. This doesn't just fly, 'Lady Bird' actually soars and have not seen a coming of age-themed film in recent memory this sparkling or honest or with this amount of humour, brains, heart and charm. Have seen it mentioned as a passion project, and if it was the passion and hard work can be seen all over.It is a very appealing film visually, with beautiful and colourful cinematography and with editing that flows succinctly and cohesively. The music is has energy yet knows when to understate itself when needed. In her first film as solo director, Greta Gerwig directs with a nimble touch, the comedy is light on its feet and she avoids making the emotional elements heavy-handed or tonally jarring.The script is one of the year's best, my personal pick actually for this year's Best Original Screenplay Oscar of the nominees. The comedy sparkles in wit and is genuinely hilarious, done in an honest and true to life way yet with some cringes like it would be in real life too. Over-sentimentality is avoided in the more emotional and dramatic scenes, there are some really sweet and poignant moments and an endearing personal touch.Found myself really emotionally investing in and relating to the mother and daughter relationship, their bonding bringing tears to my eyes and then making me smile and laugh when botched and leaving me with hope at resolution at the same time. The coming of age/angsty elements have a truthfulness, authenticity and twinkle and it was very easy to identify with them if in the same position growing up, they're often very funny but also very heartfelt and charming.Story is immensely engaging throughout right from the riotous opening to the more emotional and avoiding-being-too-pat ending, anchored by the mother and daughter relationship that entertains, moves and provokes thought. Didn't mind at all that it wasn't ground-breaking, due to not expecting it to be as coming of age can be predictable. Enjoyed the way the characters were written, and appreciated that the film broke away from the typical archetype of school teachers being over-disciplinary and without humour.Performances are never less than great, with Saoirse Ronan and Laurie Metcalf fully inhabiting their characters and phenomenally. It was wonderful for both to get awards attention with both giving two of the year's best performances. Lois Smith twinkles too in her role.If Lucas Hedges (who has grown quite a lot) and Timothee Chalamet (not as good as his truly remarkable performance in 'Call Me By Your Name' but showing why he is one of the most promising recent rising stars) continue to go down this promising path they are likely to go on to big careers.Concluding, fabulous film and one of my favourites of the year. 10/10 Bethany Cox"
LADY BIRD,2 September 2018,8/10,"Laurie Metcalf and Saiorse Ronan playing mother and daughter in this coming of
age story set in Sacramento, California. Young Ms. Ronan has quite the senior
year and deals with all kinds of issues before going off to college.It usually works out this way, that one parent is in the role of disciplinarian while
the other is kind of the soft touch. I well recall in my brother-in-law's family my
sister-in-law did the disciplining while my brother was the soft touch with the
kids. Sometimes that places undue hardship on the one who enforces the
rules. Something that Laurie Metcalf is conscious of. Especially when Ronan
goes to dear old dad to soften the blows and dad is played by Tracy Letts.Sex is very important as the family really likes a boy from her theater group
Lucas Hedges. He's like the perfect All-American Catholic youth from the
parochial school. Due to issues on Hedges's part it can never be with them
though they try.Not getting Hedges, Ronan settles on Timothee Chalamet to be her one and
only first. He is, but there's a lot less to Chalamet than meets the eye.Back in the 80s there was this great film Heaven Help Us which really took
Catholic education to the cleaners. It takes a few hits here, but the nuns are
really fleshed out 3 dimensional characters and some actually possess a bit of
the wisdom their calling says they should develop.Lady Bird earned Oscar nominations for Ronan and Metcalf for Best Actress
and Supporting Actress. Additionally it was up for Best Picture, Best Director
and Best Original Screenplay.Most of all the audience will truly root for Saiorse Ronan to make some sense
out of this we call life. Or at least figure some of it out."
LADY BIRD,13 March 2018,9/10,"It's 2002 Sacramento. Christine MacPherson (Saoirse Ronan) demands to be called Lady Bird. She has a combative love hate relationship with her hard-working mother Marion (Laurie Metcalf). Her father (Tracy Letts) is struggling. Lady Bird is desperate to go to college in New York despite her mother's money concerns. She has a crush on Danny who is surprised that she actually lives on the other side of the tracks. She abandons her best friend Julie to get close to rich girl Jeanna and rich slacker musician Kyle.Greta Gerwig brings a personal touch to the mother-daughter relationship and her home town of Sacramento. There is a warmth to their verbal combat. There is real heart to their portrayal. There is biting humor and quirky gentleness. There are real insights into the mother daughter connection. Only one scene troubled me. Saoirse dials up the ""Please talk to me"" scene to eleven when a nine would be more heart-breaking. I see the emotional push but it gets too manufactured in that one scene. Overall, this is an outstanding film with some great laughs."
LADY BIRD,7 December 2017,10/10,"This is a stunning tale. Christine, ""Lady Bird,"" is a teenager, getting ready to graduate and move out of Sacramento. Her parents are polar opposites. Her mother, a victim of alcoholic abuse as a child, has trouble saying a single positive thing about her daughter. Lady Bird is creative and alive and her own person. What I like was that she had foibles and normal teenage propensities. She is looking for love and thinks she finds it, but circumstances leap in front of her. She wants out, but her mother does everything she can to block her independence. They are strapped for money and the mother thinks Lady Bird is too big for her britches. We are introduced to characters that are never over the top. There are few, if any, Hollywood explosions. They talk and interact and they are incredibly believable. The biggest problem is that Lady Bird's mother leaves the daughter no avenues, and so the girl must lie and deceive. There are several peripheral characters who are portrayed with admirable restraint. I look forward to seeing the next offering from this first tie director. Great movie but not for everyone."
LADY BIRD,20 April 2018,6/10,"""Lady Bird"" is a new American movie, actually a 2017 release already, but here in Germany it took until 2018. This one runs for a bit over 90 minutes and was written and directed by Golden-Globe-nominated actress Greta Gerwig. If you see that this was not only nominated for 5 Oscars (without succeeding though), but also won over 100 awards and was nominated for another 200, then there is no doubt that this was one of the big players this awards season, especially because it also took home the Golden Globes for lead actress Saoirse Ronan and Best Comedy/Musical. It is a really good movie I cannot deny. Maybe I would not agree that Gerwig's direction is outstanding enough for an Oscar nomination, but taking into account that this is just the second film she directed, it is damn impressive. And the script is Oscar-worthy in my opinion. Gerwig succeeded so well here in giving all the characters, the ones with a lot of screen time as well as the ones with very little, so much shades that it is a joy to look at. This especially includes the title character. She is not an angel and actually she can be pretty mean as we find out during the breat surgery scene or the abortion scene. But that also has to do with some of her insecurities and inner conflicts. Even those guys, who are eventually depicted as the ones that are not helping the protagonist are not depicted as real antagonists or as downright evil. All the characters feel so realistic and I not even once had the impression that I was watching fictitious people, but real ones. And once more Ronan proves that she is a star in the making, although that's maybe not fair looking at her film history as she is a star already and easily among the very best actresses from her age group now, maybe even the number one. It only seems a matter of time till she gets that Oscar. I think Roseanne's Laurie Metcalf here was in the early lead to take home the Best Supporting Actress Oscar, but lost pace when Janney took over and dominated the race. Metcalf's character is the far more subtle one from the two, but even if she was really good, I think that most of the character's memorability results from the way Gerwig wrote her. Can also add here that the dialogue writing is exquisite.It's all about Lady Bird and her life in this coming-of-age story, especially the boys falling for her or actually rather the boys she is falling for as the ones played by very young recent Oscar nominees Chalamet and Hedges may have other things on their minds than Lady Bird. But it is also a good movie about friendship and making the right decisions about the people you really want to care about because they care about you. And of course the protagonist's relationship with her parents, especially her mother plays a crucial part here just like the parents' struggles in general. Her brother and his girlfriend are included too, more for comedic reasons mostly. Comedy is also a field where this film succeeds pretty well, never in a way that is in your face or try-hard, but very subtle yet very entertaining, just like you've seen it in films that have Gerwig star as an actress. Looking at her young age, I think we are really in for some great stuff from her hopefully in the next decades. I am positive it's gonna happen. This film here is definitely closer to a ****/***** than to a **/***** for me and I very much recommend checking it out. There isn't one scene really here that will stay in your mind overall, but there also is not a single scene that was weak or truly forgettable in my opinion. It's really tough to find a flaw with this film. If you like coming-of-age tales about female characters, then it is really a bit of a must see. Fittingly with Chalamet in here too, you could say that this is the straight, female-centered equivalent to Call Me By Your Name from the same year. And finally, I also found it interesting how time has passed far enough already that the events of 911 are a historic background in films already. Oh boy have we gotten old. Soon those who turn 18, weren't even born when the attacks happened. My oh my. But it was included in a pretty interesting manner here. So what are you waiting for. Watch these 1.5 hours. It's not one of these movies that is infinitely better to be seen on a big screen compared to a small screen, but it is one of those movies that you don't want to miss out on. Go for it. Oh and I realize I am still not finished and would finally like to add that the title makes very much sense here because the film basically ends the moment that lady bird flies up in the air and disappears. Another nice idea. That's all folks!"
LADY BIRD,11 December 2018,6/10,"Lady Bird is a well acted film, it has a very good and touching performance from Saoirse Ronan. However as a coming of age drama, it offers little that is new and is also not that quirky.Lady Bird is set in Sacramento in 2002. Christine AKA Lady Bird (Saoirse Ronan) has a spiky and difficult relationship with her mother Marion (Laurie Metcalf.) At the start of the movie Lady Bird throws herself from a moving car after arguing with her mother and her arm is in plaster.Life has not worked out for Marion as she had hoped. Her husband has always been financially insecure, now lost his job and battling depression for years.Lady Bird is going to a good Catholic high school. She wants to go to a college in the east coast, a big city like New York. Marion is worried that they may not be able to afford the college fees.Lady Bird becomes embarrassed about her upbringing when she makes new friends who are hipper or just richer. She makes out that she comes from a better part of town and she also drops her old friends. Lady Bird takes up with slacker musician Kyle who she loses her virginity to. She later realises that Kyle was just shallow and used her.Only later does Lady Bird figure that she has been hard on her mother and appreciate what her parents did for her.Maybe because I have been a parent to teenagers, have a daughter going to university. I can understand Lady Bird wanting something more, being unsure of life which is not uncommon for people of her age. I also understand her mother's concerns, thinking she is being taken for granted by her daughter and being fearful for the future with financial stresses.I think Lady Bird realises when her relationship with Kyle does not go as expected. She knows that she still has a lot of growing up to do and begins to appreciate her friends and family."
LADY BIRD,11 January 2018,7/10,"""Lady Bird"" is an inspiring film for teenagers and practically the directorial debut the unknown Greta Gerwig, who is also the writer of this sensitive coming of age story. Saoirse Ronan has wonderful performance in the role of Christine 'Lady Bird' McPherson, a teenager with typical adolescent problems. Troubled relationship with her mother and siblings; high-school pranks; romance; sex; disappointments with boyfriends and friends; financial problem; dream on going to college and improving life, all these elements are realistically explored by Greta Gerwig, maybe based on her personal experiences in Sacramento. The optimist conclusion with the growth of Christine is another plus in this original film. My vote is seven.Title (Brazil): ""Lady Bird: É Hora de Voar"" (""Lady Bird: It Is Time to Fly"")"
LADY BIRD,18 April 2018,8/10,"Growing up is a hoot ... well for the observers or rather viewers of this that is. And if you have a really good movie like this. You can see why this had an impact at the Academy Awards, especially under the recent #metoo movement. Even if this was made way before and surely never thought to be a flagship of a movement like some make it to be.If you like a good story, with great characters and really good (and funny) dialog, this is a movie to watch out for. If you've seen the trailer you may know a couple of the biggest jokes already, but the movie still works. One thing you also get from the trailer is the offbeat humor. You can tell if you like it or not. Quality wise there should not be anything to complain about"
LADY BIRD,4 February 2018,7/10,"I can't be the only person who thought this might have been about the wife of the thirty-sixth President of the United States, but I didn't see any other reviewers mention it. So I guess that puts me at the outer spectrum of IMDb users by age because that's the first thing I thought of.I don't know, I thought this was a fairly entertaining picture but I don't see how it rises to the level of a Best Picture nomination, sneaking past a film like ""Mudbound"". You've got your typical teen-age angst going on with Lady Bird and her friends, but none of it came across as truly character defining. The principal players were all competent enough and I thought Saoirse Ronan carried herself well as the title character. It was pretty uncanny how she and Laurie Metcalf resembled each other enough to where they could actually have been mother and daughter. The father though (Tracy Letts), probably could have been a bit more grief stricken over losing his job, especially with college coming down the pike for his daughter. I read another review that thought the best line of the picture had to do with Sacramento being described as the 'midwest of California'. Uh-uh. For that I'll have to refer the viewer to the dance scene when Sister Joan (Lois Smith) instructs Lady Bird and Danny (Lucas Hedges) to ""leave six inches for the Holy Spirit"". That double entendre observation cracks me up even as I write about it."
