Title,Date,Rating,Comments
PHANTOM THREAD,3 February 2018,10/10,"Have a lot of admiration for Paul Thomas Anderson and really like to love all his work, especially 'Boogie Nights' and 'There Will Be Blood', even finding a lot to admire with his weakest film ('Inherent Vice' from personal opinion). Also consider Daniel Day-Lewis a wonderful actor and that his triple Oscar wins are testament to that. With 'Phantom Thread' being touted as Day-Lewis' swan song (very sad) and with so many award nominations, interest was incredibly high despite not being completely sold by the advertising. Seeing it yesterday when it first came out in my country, found it to be a truly outstanding film in every regard. One of the most beautiful and most interesting films seen recently and the standout so far of the 2017 films released here this year. Also consider it Anderson's best film since 'There Will Be Blood' and one of his very best. 'Phantom Thread' is a visually stunning film. It's beautifully and cleverly photographed (the techniques and types of camera-work being typical Anderson), with the cinematography allowing one to be in awe of the sumptuous production design and jaw droppingly gorgeous costume design (my win for this year's Oscar for its category). Anderson's distinctive directing style is written all over the film. Meaning visual boldness, the memorable way in how he uses music, how he handles thematic consistency and having characters that are flawed but realistically so while not being necessarily likeable. All present here. Jonny Greenwood's music score is as ever an interesting and layered in mood, hauntingly beautiful and clever one on its own, one that is not forgotten. Just as remarkable is the sympathetic way it's used while being like its own character in the film. Undoubtedly the reason for its Oscar nomination. The pre-existing music makes every bit as much of an impression, perhaps even more so. Most of it classical, with a mix of solo piano, symphonic and especially chamber music (on top of popular songs from the period). They are either understatedly heard in the background, appropriate for a gentle piece like Faure's Berceuse, or like characters of their own that enhance the intense mood of the scene in question, such as the Schubert and especially the Debussy (made to sound easy by the performance of the quartet, when it's actually a nightmare, Debussy in general is hard having sung many of his songs and he can be unforgiving to vocalists).Throughout, 'Phantom Thread' is very thoughtfully and even poetically scripted, with remarkable complexity. To make Alma an ambiguous character with vague motivations was an intriguing choice, and while it will no doubt frustrate viewers and will be considered a flaw it came over very well and only added to the realistically complicated dynamic of her relationship with Reynolds. In terms of the story, 'Phantom Thread' is anchored by this relationship dynamic. It may not be a novel theme, with other films having done it (a recent example being 'Mother!'), but 'Phantom Thread' handles this far better than most of them, what it says about it is illuminating, fresh and surprisingly subtle. Also effective was how the high fashion world is portrayed, on the outside it's glamorous in how it looks and is worn and methodical in how the dresses are made but behind the scenes there is bitterness and cruelness, a very truthful, if again not new, depiction and a relevant one by today's standards.Acting is throughout extremely good, superb with the three leads. Vicky Krieps is a powerful and subtle presence (very difficult to do with a character with as much ambiguity that Alma does), while Lesley Manville makes a somewhat thankless role terrifyingly formidable. But it's Day-Lewis' film, it's perhaps his most personal role with a little of himself in Reynolds and Day-Lewis gives the performance of his life portraying a man with vulnerable sensitivity and erratic quirks and is simply mesmerising, his swan-song being one of his finest performances and one of the year's overall best too. Am rooting for either him or Gary Oldman for 'Darkest Hour' for the Best Actor Oscar.It's already been said that Reynolds is not a likeable or relatable character. To me, he is not likeable but he is flawed in a realistic way (as said a trademark of Anderson and one of his strongest examples) and personally could identify with his quirks and sensitivity, being an autistic person prone to sensitivity and erratic moods, a lot of difficulties and obstacles having to be faced all my life and having a few compulsive quirks of my own. Though not as extreme as those of Reynolds, still try to be nice and easy to get on with despite all this. Overall, a divine film. A long film and a slow one but hugely rewarding. An easy 10/10. Bethany Cox"
PHANTOM THREAD,5 April 2018,7/10,"In post-war London, Reynolds Woodcock (Daniel Day-Lewis) is a renown dressmaker. His sister Cyril is his constant assistant. At a restaurant, he is enthralled with the fumbling waitress Alma (Vicky Krieps) who is also taken with him. He is particular with what he likes and lives a regimented life. Alma becomes his muse and model but his controlling nature overwhelms her.Paul Thomas Anderson has a great eye and Daniel delivers a great performance as usual. I'm not familiar with Vicky Krieps. She has some great surprising turns and is skillfully controlled. This is an intriguing portrayal of an imbalanced power dynamic. There is a surprising turn in the middle which I did not expect. After the turn, I expected a better downhill descend into a devastating collapse. Instead, it does something just as unexpected and I'm not as thrill about the second half. One has to respect the director's vision in this but it does leave me a little wanting."
PHANTOM THREAD,2 March 2018,,"One of films who you expect. for elegancy, delicate humour, bitter dramatism. for sophisticated beauty. for the sensation of trip in a special side of past. for the status of artistic last will of Daniel Day-Lewis and expression of the art of Paul Thomas Anderson. and for the solide balance made by the performances of Vicky 
 Krieps and Lesley Manville.a film about fashion world. at the first sigh. because it is a film abbout a man and his circles . about passion and love and decisions and refuges, frustrations and romanticism in a special form. a film about life. so soft and subtle and charming and precise. than it gives to viewer one of rare states of pure admiration. for me, it is the expected film from many years. because it is not only beautiful of brilliant example of craft. but a sort of cure against traits of near every day reality."
PHANTOM THREAD,25 December 2017,8/10,"A couple of months ago, a friend was saying ""I'm not saying you should see MOTHER! but you're a yahoo if you don't""; when I saw it, I found it a self-indulgent artistic polemic against self-indulgent artistic polemics. This movie, in contrast, is a lampoon of those 1930s and 1940s movies in which someone suffers endlessly for some selfish artistic a**hole, dying of Dread Movie Disease in the 7th reel and looking more beautiful than ever, while the artist conducts his symphony or receives the applause at the premiere of his play; the protagonist is unnoticed save for the Vitaphone Orchestra and perhaps the Hall Johnson choir. Then, just as it is getting a little too long and self-indulgent, the movie switches gears. And does it again. All in that beautiful Technicolor lighting you got in Great Britain on prints that were a bit too dark.... thanks to uncredited cinematographer Paul Thomas Anderson.There's no reason this should be to your taste; large sections of it, about Vicky Krieps suffering because she loves Day-Lewis so much, and he, despite his occasional heterosexual activity (about like Donald Westlake's Parker) cares for nothing but making beautiful dresses and the memory of his dead mother, were not to mine. Still, by the end, when it's all creepy, I was left wondering whether this might actually be a comedy. It's certainly a commentary on obsessive artists, and a lot more subtly and artistically rendered than Aronofsky managed."
PHANTOM THREAD,4 February 2018,6/10,"""Phantom Thread"" is a new American film released in 2017, here in German cinemas not before 2018. It runs for over 2 hours and reunites writer and director Paul Thomas Anderson again with lead actor Daniel Day-Lewis, in what is considered the final performance of the outstanding actor's career. Hopefully this won't prove true. Since the new millennium, we saw him play characters with crucial connections to economy (industry to be more precise), filmmaking, politics and some others too. Here he takes us into the world of fashion and as complicated as this world may be, it has nothing on how complicated his (love) life is indeed. Unsurprisingly, DDL scored another nomination that was not as surprising as PTA getting in for Best Director at the Oscars, not because he would be undeserving, but because he had almost no momentum. Having seen the film now, I am glad he is getting the recognition as this is a really beautifully directed film. The most surprising thing though is that Luxembourgian actress Vicky Krieps, who is almost unknown in Hollywood, plays the female lead, is even first-credited before Day-Lewis. But while he is of course the best thing from the cast, Krieps holds her own very well next to the legend. And actress Lesley Manville scored another surprising Oscar nomination too, but not an undeserving one either, for playing the protagonist's sister.I must say that until the very end with its big plot twist, I would be hesitant to actually call this a romance movie, but with what we find out then, it probably is, even if it is a very bizarre form of romance. There must have been a reason though for him so strongly refusing treatment during the first illness. And he said early on that it could have been some bad food, so maybe there he was not in on it yet, but when he later rules out food he knew what was going on. But he gets the weakness he longed for and one person taking care of him. Completely aside from that, this was also a beautiful film visually. I very much liked the scene of Woodcock sitting in front of the snowy mountains near the end, even if it was not filled with deep symbolisms or metaphors. It was just a stunning camera shot. What else? Don't worry if you don't know or care about fashion as neither do I and I still enjoyed the movie. A lot at times even. I am not too sure if I like the slightly masochist turn at the very end, but I cannot deny that it was among the most interesting moments the film has to offer and you can discuss a lot about it. Honestly, there are no likable characters in this film at all, but this film is a prime example of how strong writing and characterization result in the consequence that this is not a problem at all. Maybe you won't cheer for anybody here, not identify (hopefully) with anybody here, but you are nonetheless curious about what happens next in their lives. Maybe this is not my favorite film by PTA or my favorite film starring DDL, but this is just because of how great some of their other works are, not for a reason that this one here is weak. It most certainly isn't and it is a worthy addition to the bodies of work of everybody working on it. Not among my very favorite 2017 films, but I give it a thumbs-up and recommend checking it out. A must-see almost for Day-Lewis fans. My favorite scene was probably the surprise dinner that went all kinds of wrong and Day-Lewis, Krieps and Anderson are really oozing creativity in this one. Outstanding and one of the best scenes of the entire year. That's all folks. Watch ""Phantom Thread"". You most likely won't regret it."
PHANTOM THREAD,14 March 2019,7/10,"This must be the first time in some years Daniel Day Lewis has made a film where he speaks with his own normal English accent.Director Paul Thomas Anderson has woven a beautifully crafted film set in 1950s Post War England and the haute couture fashion houses in London.Reynolds Woodcock (Daniel Day-Lewis) is a renowned dressmaker to the rich and famous. His clientele span the generations of the families his House has made clothes for.His sister Cyril is his assistant and business partner. She does truly understand his whims even if they irritate her and his behaviour with women that he takes a shine to.While having breakfast in a restaurant, Reynolds is taken in by a fumbling waitress Alma (Vicky Krieps.) Given the shape of her body she becomes his model and his lover.However after the exuberance and ecstasy of designing new outfits, Reynolds has a downer in his mood swings. This is reflected in his relationship with women. We see a scene where he is distant and disdainful of a girlfriend when he wants to be just left alone.Over time, Alma becomes a victim of this controlling, passive-aggressive behaviour. She cooks dinner for him as a surprise but Reynolds dislikes the style of the food and the order of the day being disrupted.However when Reynolds falls ill, Alma stays with him and nurses him better. Reynolds comes to respect her, Cyril has always liked her but it seems Alma figured out how to deal with his temperament.Phantom Thread is a clever love movie of a woman who not only wants her man but realising what makes him tick. It is a beautifully crafted film but it also goes on too long and does lull in places. There is no doubt it as times dry and pretentious. Yet I did admire its playfulness.Vicky Krieps gives the best performance but there were little odd things that could had been expanded on. I realised we know little about Cyril when we get a scene where she is standing next to her husband."
PHANTOM THREAD,14 April 2018,9/10,"Daniel Day Lewis - whatever the story is, you are guaranteed an acting masterclass with this guy. And while the pace of the movie will be trying for some (it is really slow), others will cherish it. You may also have the issue of likeability or general understanding of the actions the characters take. Especially Daniel's character does some very strange things - but all make sense in the microcosmos of the character that was written in the script and created by him.The you have the female opposite. Actually two of them, but the one that is front and center is off to say the least too. And it makes sense within what she is trying to do. Even without being told everything about her past, you know the actress did her homework, because she is confident in what she does, even if we as viewers may not understand (at first). This drama will split those watching it then, but you can't fault the actors or the costume department or any other department for that matter that worked on this. Quality work"
PHANTOM THREAD,11 August 2018,7/10,"This story might be considered in the realm of one getting in life what they deserve. There came a point in the film where it became completely ludicrous why Reynolds Woodcock (Daniel Day-Lewis) and his paramour Alma (Vicky Krieps) should have remained together. That would have been the first instance in which Alma went the poison mushroom route, and I was kind of intrigued that no one figured that out the first time around. But then, when Alma revealed the specifics of her cat and mouse game to Reynolds himself, I was convinced that these two maladjusted individuals were simply using each other for some twisted version of a relationship that in no way could have been considered love. Like a lot of reviewers here, I can appreciate the rich period detail of the picture, and the gowns designed by the House of Woodcock were elegantly exquisite. But the principal characters were not, for as one dimensional an individual as Reynolds was, Alma proved way beyond a reasonable doubt that she was a ball buster supreme in her own way. Both the 'toast scraping' scene and that loooong pour of water meant to get on Reynolds' nerves were classic in execution. There's no denying that both Day-Lewis and Ms. Krieps were brilliant in their portrayals, though in the end, the story itself came across as rather pointless."
PHANTOM THREAD,26 August 2018,8/10,"We cinephiles were disappointed to hear of Daniel Day-Lewis's retirement from the screen, but his final outing is a good one. Paul Thomas Anderson's ""Phantom Thread"" casts the world's most devoted actor as Mr. Woodcock, a dressmaker to the high society types in 1950s England. Surrounded by people as stodgy and proper as he is, Mr. Woodcock's life takes a different turn when he hooks up with a waitress (Vicky Krieps).The highbrow plot isn't the most profound, especially since it's the cinematography and the Oscar-winning costume design that stand out. What sticks in my mind are the performances. Day-Lewis and Krieps make clear that although the characters come from different backgrounds, they have something to offer each other. Certainly a better relationship than we see among the staid rich people for whom Mr. Woodcock designs clothes.It's not a great movie, but I liked the performances and the mildly comical depiction of Mr. Woodcock as ""very English"". Not at all the sort of movie that anyone would've expected from the director of ""Boogie Nights""."
PHANTOM THREAD,12 February 2018,7/10,"I found out about this film through its nominations in Awards Season, but then I also found out it was the final film for the leading actor, his swan song before retirement, that gave me even more reason to watch it, written and directed by Oscar nominated Paul Thomas Anderson (Boogie Nights, Magnolia, There Will Be Blood, The Master). Basically set in 1950s London, Reynolds Woodcock (Oscar, BAFTA and Golden Golden nominated Daniel Day-Lewis) is a renowned fashion designer who creates dresses and garments for members of high society, he is charismatic and a genius, but also obsessive and controlling. The day-to-day operations of his luxury fashion house, ""The House of Woodcock"", are managed by his sister Cyril (Oscar and BAFTA nominated Lesley Manville), she also has significant influence over his life. Reynolds is haunted by the death of their mother, and stitches hidden messages into the linings of the dresses he makes. After debuting one of new pieces to a client, Reynolds visits a countryside restaurant, and becomes interested in waitress Alma Elson (Vicky Krieps), he asks her out on a date, and she accepts. A relationship develops between Reynolds and Alma, she soon moves in with him and acts as his muse, assistant, and love interest, Cyril is initially distrustful of Alma, but gains her respect for her wilfulness and determination. Alma enjoys being part of his creativity and seeing him work at first, but Reynolds proves hard to please and reserved. Alma and Reynolds bicker constantly, including a night when she makes a romantic dinner, he lashes out at how it is prepared, and repeats that he will not tolerate deviations in his routine that he has worked hard to perfect. Alma is desperate to regain some control in their relationship, so she decides to poison his tea with some wild mushroom shavings she gathered outside the house. Reynolds is readying a wedding gown for a Belgian princess but becomes gravely ill and later hallucinates his mother's ghost, but Alma takes care of him. Reynolds soon recovers, he finds himself deeply moved by Alma's devotion to him, he asks her to marry him, she initially hesitates, but then agrees. The relationship goes well at first but soon transfers back to a pattern of bickering and arguments, Reynolds feels his work is severely affected by Alma's presence and their marriage, he concludes it may be time to send her away. Alma responds by poisoning his omelette with more mushrooms, but this time Reynolds realises she has done this. She tells him she wants him to be weak and vulnerable, so she alone can take care of him, help him get stress relief and regain his strength and creativity, just so she can poison him again. Reynolds accepts the idea and bites into the food, submitting to his dark love for her. As he lies sick, Alma imagines their future with children, a rich social life, and running the dressmaking business as a partner, she acknowledges there will be challenges ahead, but their love for each other and their new arrangement can overcome them. Also starring Brian Gleeson (Brendan's son) as Dr. Robert Hardy, Harriet Sansom Harris as Barbara Rose, Gina McKee as Countess Henrietta Harding, Titanic's Richard Graham as George Riley, News of the World and Camilla Rutherford as Johanna. Day-Lewis does not often play English characters, he does give a terrific performance as the dressmaker with a very strict way of doing things, Krieps is very interesting as the woman who has affection for him, but equally tries to challenge his ways, and with her time on screen, Manville does well as the terrifying sister who is seeing the arguments from both sides. It is essentially a melodramatic love story, a war of nerves between the two lovers, also an insight into the delicate mind of a perfectionist, the costumes make for some interesting viewing as well, if this is Day-Lewis's final film, then it is a good one, a worthwhile drama. It won the Oscar for Best Costume Design, and it was nominated for Best Motion Picture of the Year, and Best Original Score for Jonny Greenwood, it won the BAFTA for Best Costume Design, and it was nominated for Original Music, and it was nominated the Golden Globe for Best Original Score. Daniel Day-Lewis was number 85 on The 100 Greatest Movie Stars, he was number 20 on The 50 Greatest British Actors, he was number 9 on Britain's Finest Actors, and he was number 15 on The World's Greatest Actor. Very good!"
