Title,Date,Rating,Comments
THE POST,23 January 2018,6/10,"'The Post' had a lot going for it. A great cast, that it was directed by Steven Spielberg (who directed a lot of great films and several childhood favourites) and an intriguing subject, such a lot could have gone right here. A lot actually is done right but not everything, found a lot to admire but it didn't quite click as an overall whole. Can see why it has been so positively reviewed but can also see why it has not worked for others.What makes it especially worth watching is the cast. On paper there was a lot of talent in the first place and there is some truly great work here. Impeccable in the case of commanding Tom Hanks and a typically powerful turn from Meryl Streep as the most fully rounded character, then again usually one wouldn't expect anything less from actors of such high calibre. Bob Odenkirk's nuanced contribution is the standout of the supporting cast, while Carrie Coon and Matthew Rhys are also strong.It is a well made film visually, made with grit, slickness and style and with an audaciously evocative period setting. While not one of his best or most memorable works, and it won't go down as an iconic score, John Williams' music is a clever mix of lush orchestral themes and a more sparse electronic tone that adds a suitably unsettling vibe. Spielberg shows signs of capable direction, while the second half is thrilling and suspenseful.'The Post' is at its most successful in its portrayal of gender inequality and that some of the decisions made were difficult ones to make and how and why they were made and enforced. The script does have enough thought-provoking moments to keep one gripped.Against all this some of the story is heavy-handed and hammers home its points too much, the exaggeration of the Washington Post's involvement was a prime example. The pace is uneven, the first half did need a fair bit of tightening up and felt too calculated while there is also a rushed feel to the film (perhaps for it to be released in time for awards season), particularly in how interesting and important themes and ideas were glossed over and not fully explored and there is some carelessness at times to Spielberg's directing.Contrivances and a too talky and too on-the-nose approach is apparent in some of 'The Post's' script in primarily the first half, while the too tonally soft and lacking in dramatic integrity conclusion seemed at odds with the rest of the film. In summation, an intriguing and worthwhile film but to me it was an uneven one. 6/10 Bethany Cox"
THE POST,15 July 2018,6/10,"THE POST is Steven Spielberg's attempt to make a newspaper-focused political thriller along the lines of ALL THE PRESIDENT'S MEN or SPOTLIGHT. As a film, it fails in comparison to either of those classic movies, although it does have plenty of reasons to tune in. The direction is adequate and the material fine, although this isn't as good as BRIDGE OF SPIES as it doesn't have the same heart. The main problem I have with this is Meryl Streep, giving a performance EXACTLY the same as the one in THE IRON LADY. Her character feels extraneous, shoehorned into the story to add a modern-day feminist spin, and the whole moral dilemma she faces is more than tiresome. The good news is that, back in the newsroom, an all-but unrecognisable Tom Hanks is at the top of his game and leads the meat of the story, which is involved and suspenseful enough to keep you watching and engaged in the tale that plays out."
THE POST,17 August 2018,8/10,"In 1966 Vietnam, Daniel Ellsberg is a military analyst in the field writing reports for McNamara. He grows disillusioned with the outright lies to the American public and decides to smuggle out the secret Pentagon studies. In 1971, Kay Graham (Meryl Streep) is the struggling owner of the Washington Post taking over from her late father and then her late husband. As a woman, she is an oddity in the upper echelon white men corporate world. Chief editor Ben Bradlee (Tom Hanks) is tired of being out-reported by the New York Times. When the Times is halted from reporting by a suit from the government, Post reporter Ben Bagdikian (Bob Odenkirk) is able to track down Ellsberg and obtain a copy of the Pentagon Papers. Kay is faced with the dangerous decision to publish.The subject matter is important and relevant for the present day. Director Spielberg is heavy-handed in a couple of scenes but mostly, he is able to bring a tense realism to the proceedings. The first half is a little slow. It needs a little tension from the Ellsberg side. It needs more of the Times with him. The acting is first rate from well-established veterans. The setting has a lot of minute details that give it a real sense of time. The central story of Kay's struggle is one of the central plots. Here Spielberg is at his most heavy-handed. Over and over again, young women look admiringly at Streep. I'm actually more struck by her fragility and her growth as a character. It works much better when Spielberg isn't pointing the camera right at the female empowerment of it all. He needs to give the audience more respect. It's a Spielberg lack of subtlety that is getting more noticeable as the years go by. Kay is walking the step of the Supreme Court and she's flank by the silently adorable female crowd. It doesn't need to be that obvious. He just needs to dial it back to ten. What I appreciate most about this movie is the tackling of the close relationship between the press and the political establishment. The 4th estate likes to portray itself as an impartial arbiter but they are often influenced by their connections. It's compelling to see the influence and the breaking of that. Overall, it's a great look at a compelling moment in newspaper history."
THE POST,16 January 2018,8/10,"If you lived through Vietnam and have read and seen the material in the aftermath (including Ken Burns' incredible documentary), there seems little doubt that our leaders were at the center of the deaths of thousands of our dear sons and daughters. From Truman to Eisenhower to Kennedy/Johnson to Nixon, image was what it was all about. The tapes and phone conversations prove this. So when Daniel Ellsberg delivered those damning documents to the New York Times, he brought down evil. Nixon had the world by the butt and overreached. So what about this movie. I have to agree that it wasn't as good as I thought it was going to be. Despite portrayals by real troopers and a masterful performance by Streep, it had a kind of yawn factor. Somehow, there seemed little suspense. Of course, we knew the story, but it never picked up much steam. It needed fine tuning. An interesting continuing commentary in IMDB is the use of a movie forum to perpetuate a soapbox. But to give this film a one or two because it shows the parallels of that time with the one we are living in, is counter to the whole point of reviewing. Anyway, I thought it was a reasonably thoughtful portrayal of a time when government got bigger than it should have."
THE POST,15 March 2020,8/10,"Was the week the Washington Post began to print the Pentagon Papers really the same week the company went public, or was that something the screenwriters added to the script of this movie? It's a very adult, hip, feminist script that seems timed, not just for the sort of Suffragette script we got a couple of years back during Oscar season, but in light of the post-Weinstein Hollywood that's leading into hysteria and reaction from Catherine Deneuve.My first reaction to the trailers was that Tom Hanks was channeling Jason Robard Jr. That made me check the cast list of All the President's Men. Katherine Graham doesn't appear in that movie. It's all about the boys of the newsroom, with women keeping the books and fetching the coffee and even writing the stories about the weddings, I suppose, but never saying anything important or central to the story. Rosalind Russell has retired into a negligee for the seventh reel, and Meryl Streep feels herself feels herself alone and inadequate to the job she must do, alone among the merchant bankers, but knows she is the one who must do it.The principal pleasure in this movie is observing people talking, saying things to each other, eventually hearing and reacting, the way people do. Streep, Hanks, Bob Odekirk... movie-maker Steven Spielberg has not neglected the big shots, but like many a film maker, his technique has gotten simpler as he has aged, and when the story is about people talking, how elaborate do you need to be?"
THE POST,3 March 2018,6/10,"""The Post"" is a recent American 2-hour movie from 2017 and here we have the newest work by Oscar-winning filmmaker Steven Spielberg. He got acting heavyweights Tom Hanks and Meryl Streep on board for this one that focuses on the press reporting on the government's comments and secrets about the Vietnam War, so this one plays of course several decades in the past. Maybe you have come across the name Daniel Ellsberg in other projects, then you roughly know when this is set and what it is about, even if his character is not one of the key players here. It's more about life at the Washington Post, so there are some parallels to Spotlight in terms of where the film is set and the controversial subject it is about, even if it is another area completely of course. But it is also a Best Picture nominee at the Oscars and Meryl Streep got in once more too for her portrayal. Still 2 nominations are not that much given how successful the film was with other earlier awards bodies. Spielberg and Hanks were probably not too far away from a nomination and can you imagine that the latter has not been nominated for an Oscar in over 15 years. The tough competition in Original Screenplay also made it difficult for this one here to get in. In terms of the cast, there are of course many more familiar faces next to the two stars. We get a Breaking Bad reunion and then there's Paulson, Brie, Rhys, Cross, Coon etc. so if you have watched films and television in the last years, you will know some players here for sure.As for the plot, I am sadly not too sure the execution fits in with the gravity and importance of the subject. The question if they will release it is one that can be guessed correctly very quickly of course and the way they present the road taken towards this decision is not always particularly entertaining to watch. The film did not drag a lot for this running time and that is always a success of course, but something was missing here to convince me that this really should be listed among the year's best. Early on it seems as if the main antagonist could also be the New York Times, but the longer the film goes, the more obvious it becomes that the President is the enemy and let's be honest they really used some cheap shots here that felt more like from a gossip magazine making use of several smear campaigns against the current President and honestly press today really could learn something from press back then, at least if we believe the way it is depicted in here. Honor and integrity still played a role back then, today it's much more about stirring things up. Anyway, as for the film here, the weakest moment was probably the rushed-in Watergate reference here and it left a really bad aftertaste as it happened the moment the ending credits rolled in. Before that, there is some mediocrity, but there are also many good moments. I am not sure Streep was Oscar (nomination) worthy here, but she was good like the rest of the bunch, Odenkirk especially, who may have been the MVP here. Hanks was rock-solid too, Paulson did not really have the material to work with that you'd expect for a third-billed. All in all, it was another decent work by Spielberg, but like with some other of his recent stuff, the real stand-out moments that you will remember weeks or even months after seeing are missing here unfortunately. Still, it's a decent watch for everybody with an interest in American politics and history and I give the film a thumbs-up, just not an enthusiastic one. Seeing this film once is probably enough for a lifetime."
THE POST,25 January 2018,6/10,"Steven Spielberg has made a prequel to 'All the President's Men.'The Post deals with The Washington Post scoop of getting hold of the leaked Pentagon Papers in 1971 which gave a different slant to the US involvement in the Vietnam war.Once they decided to publish the newspaper along with the New York Times, they had to take the battle to the Supreme Court.Tom Hanks plays the editor Ben Bradlee, his performance is a world away from Jason Robards. Meryl Streep plays the publisher of the Post, Katharine Graham. She has to prove herself worthy in following in the footsteps of her father and late husband who successfully ran the newspaper.Despite Spielberg's attempt to jazz up the story the film comes across as stilted. There are times when it builds up momentum and speed and the pace comes to a crashing halt.It is like there was not enough of a story there to justify a film that attracts the talent this film has both in front and behind the camera. None of Spielberg's film-making skills can disguise that this is an underwhelming movie."
THE POST,30 January 2018,7/10,"In 1971, The New York Times has access to classified documents about the Vietnam War. However, the government uses the justice department to stop the distribution of newspapers claiming violation of the national security laws. Immediately after, the Washington Post has access to similar documents but they decide to face the government and publish the newspapers against the will of their lawyers and investors.""The Post"" is a film directed by Steven Spielberg with the battle between the press and Nixon´s government in 1971. The performances of Meryl Streep and Tom Hank are top-notch as usual and the dramatization of the situation is suspenseful. The truth about the Vietnam War is probably painful for the American people that lost their sons to hypocrite governments. However the right of free press without financial interest from the government seems to be utopic at least in the present days. My vote is seven.Title (Brazil): ""The Post: A Guerra Secreta"" (""The Post: The Secret War"")"
THE POST,24 January 2018,8/10,"This is a behind the scenes look at the Washington's Post decision to publish top secret documents after a court had shut down The New York Times. While the Times was publishing the story, the Post was covering the WH wedding. Katherine Graham (Meryl Streep,) the owner of the Post, was taking the company public on AMEX in order to save the floundering small town publication. The film was interesting but doesn't hit a bull's eye. Hanks is good, but seriously, Jason Robards was better. Katherine Graham is portrayed as weak and having difficulty making decisions, someone who was once called, ""the world's most powerful woman."" There are themes such as ""the press vs the President"" that relate to modern times as well as showing the close relationship of government to the press as being unhealthy for democracy. There was an ""F"" word but I don't recall the protest phrase ""We don't want your stinking war."" Not the adjective I used. The film does a lousy job at introducing people. I knew who they were because I lived through this, but for anyone who doesn't know publishers, owners, reporters, and cabinet officials of the era, might be lost. I read ""The Pentagon Papers"" and the whole aspect of the government lying about a war, I did not find amazing. What I did find interesting was that Ho Chi Minh had written 2 US Presidents (Wilson and Truman). He wanted to be an ally of the US, loved our democratic institutions and requested help to free them from the French. Our OSS trained the Vietnamese (who would later become the Viet Cong) and recommended that Vietnam be given their independence and not turned back over to France. The rest we know."
THE POST,12 April 2018,7/10,"Actually this is very timely. In a time where the White House tries to silence and/or bully the press (and others for that matter), you wonder if you are thrown back ... back into time. And then you get this story and go: ""Oh yeah, there was a time when the truth was not supposed to reach the public."" On the other hand, how much does the overall public care? It seems like if some do not feel like they are being affected by some things surrounding them (see what happened with Facebook and if anything will change).But back to this. And while this is not as good as last years Oscars contender about a newspaper and their reveal of a scandal, this is still more than solid and decent. Performances are really good, which is to be expected if you look at the actors involved."
