Title,Date,Rating,Comments
THE SHAPE OF WATER,8 April 2018,6/10,"""The Shape of Water"" is a film that is not for everyone. First, I must warn any die-hard cat lovers NOT to watch the movie, as there's a very explicit scene where a cat has its head bitten off! Second, if nudity bothers you, please find another picture to watch, as there is significant nudity...much of it full frontal nudity...and more than you'd typically see in a rate-R picture. This is not so much a complaint...more something the viewer should be aware of before they try watching the story.The story itself is a very dark and rather nasty tale about an amphibious creature who has somehow been captured by the US government. Instead of trying to communicate with it, the guy in charge mostly tortures it and plans on having it dissected. At the same time, Soviet spies want to kill it because somehow they think he's a potential weapon to be used against them(??). However, a mute and sexually frustrated cleaning lady falls for the creature and decides, with the help of her gay friend, to rescue the 'thing'.So did I like it? Not especially. Although I love how unusual and creative the film was, so much of it was filled with nasty and awful characters (something Guillermo Del Toro loves, I know)...but too nasty for my taste. In other words, the guy playing the boss was almost cartoonish in the way he was written....and instead of seeing him as a villain, he seemed a bit more like Boris from ""The Adventures of Rocky and Bullwinkle""! Strange but not especially enjoyable...and I am feeling a bit tired of the director's overwhelming need to show such extreme and realistic violence. And so, as is too often the case, I wonder how a movie in recent years received the Best Picture Oscar when it's not enjoyable to watch.FYI--A decent Florida Key Lime Pie is NOT fluorescent green like it was in the movie. I assume the director used this color as a commentary on the era and the way colored dyes were more the norm...especially since he also chose to have green Jello in another scene.Also, while the lead was played by a woman who was hearing and learned a few signs in order to communicate in the movie, it seems like a lost opportunity not to have a deaf actress play the part. It's odd that Hollywood often talks about causes and inclusion but also often misses opportunities like this."
THE SHAPE OF WATER,15 February 2018,10/10,"So much appealed to me about 'The Shape of Water'. The trailer and story captivated me, Guillermo Del Toro has done some great work prior (especially one of my favourite films 'Pan's Labyrinth'), the critical acclaim and numerous wins and nominations (including a whopping thirteen Oscar nominations as we speak) promised so much as did the talented cast and having Alexandre Desplat on board.Luckily, 'The Shape of Water' didn't disappoint me at all. For me, it's one of Del Toro's best and his best since 'Pan's Labyrinth'. It's a beautifully transfixing adult fairy tale with elements of 'Beauty and the Beast', 'Amelie' and 'Creature from the Black Lagoon', while showing a real sense of unsettlement and affectionate nostalgia from film and music from the golden age.Everything here absorbs, right from the visually gorgeous, musically hauntingly beautiful and really quite wondrous opening to the genuinely unnervingly tense and powerful, in emotion and violent action, climax. The love story is very touching and has a lot of heart, the conflict provided by the as ice cold monster a villain as one can get brings chills up the spine, Elisa and Zelda's friendship has warmth and that between Elisa and Giles has charm and poignancy. 'The Shape of Water' is one of the best-looking films of the year bar none. There is a real fairy-tale, in both sheer other-worldly beauty and sometimes unsettlingly nightmarish, look to the cinematography. The production and costume design are meticulously detailed, evocative (one really is taken back to the Cold War's look and atmosphere) and atmospheric, while the creature design clearly looked like a lot of care and effort went into it and the editing has a natural and cohesive flow. Alexandre Desplat's music score is ethereal and hauntingly beautiful, especially so in the opening scene, one of the best scored opening scenes of the year. The vivid sound mixing and editing helps it a lot, and the pre-existing music also makes a positive impression with the rendition of ""You Never Know"" touching the soul and haunting the mind. 'The Shape of Water' is one of the best examples of Del Toro's mastery of story-telling when the material is particularly good, like it is here and in 'Pan's Labyrinth', with all the different elements ideally balanced and just as strong individually. Regarding the script, it's tightly structured, poetic, poignant, nostalgic, thought-provoking and with nothing inconsequential. What is done with the monster is a revelation, not just because the design is so rich in detail, expressive and real but Doug Jones masterfully brings nuances, chills and heartfelt emotion and makes the monster much more than a creature design that looks good but with no soul.Can't fault the acting either. Sally Hawkins is one of the finest recent examples of conveying so many different emotions and nuances without saying a word, my personal favourite as of now of the nominees for this year's Best Actress Oscar category (yes even more so than Frances McDormand for 'Three Billboards Outside Ebbing, Missouri'). Octavia Spencer is humorously earthy and sympathetic and warmth and sincerity shines through every aspect of Richard Jenkins' performance. Michael Shannon has rarely been creepier than he is here and Michael Stuhlbarg is also fine. In summary, unsettling and truly beautiful, one of the year's must sees. 10/10 Bethany Cox"
THE SHAPE OF WATER,6 December 2019,6/10,"THE SHAPE OF WATER is, of course, Guillermo del Toro's latest opus and the first of his oeuvre to receive Oscars. I'm a long-time fan of the director, ever since I saw CRONOS back on television decades ago, so I was eager to check out a film which is quite clearly the director's homage to THE CREATURE FROM THE BLACK LAGOON. The end result is engaging and well made, as well directed as you'd expect from del Toro, but not without some serious flaws.Sally Hawkins gives a thorough performance as the mute lead although her thunder is stolen by more striking turns from the likes of Michael Shannon (the most interesting he's been since BOARDWALK EMPIRE) and, of course, the great Doug Jones, who inevitably steals all his scenes. The first hour of set-up is intriguing and interesting alike, but I found that the pacing really stalled as soon as the creature relocates to the bathtub. At that point, del Toro seems to deliberately stall things, in no hurry to get to the rushed climax, so it all becomes drawn out and embarrassingly romantic. The black-and-white musical interlude is the low point here, an overly indulgent scene that had me cringing. It's a pity, as this makes the film fall below the likes of the HELLBOY films or del Toro's excellent Spanish-language movies."
THE SHAPE OF WATER,22 February 2018,8/10,"It's 1962 Baltimore. Elisa Esposito (Sally Hawkins) is a mute janitor in a military research facility. Her next door neighbor Giles (Richard Jenkins) is a close friend. Zelda Fuller (Octavia Spencer) is her talkative co-worker. Brutal researcher Richard Strickland (Michael Shannon) arrives with an unique water creature.Guillermo del Toro deserves praises for his beautiful work. I would rank this as one of his best films. Sally Hawkins is as endearing as always. Michael Shannon has his intense darkness. It's a great love story between a mute woman and a sea creature. It's sexual, erotic, sweet, and thrilling. It's always great when Guillermo invests real emotions into his visual extravaganza."
THE SHAPE OF WATER,29 January 2018,9/10,"When it comes to Del Toro, we know we are going to get a dose of weird. We will also get some fine filmmaking. The cinematography, the presentation of danger is heavy. This is another one of those cold war stories where a nautical creature is captured and kept in a tank. He has human like features. For some reason, it is decided by the evil military complex that this fellow be destroyed. The Russians fear that somehow survival of the creature puts them in danger, so they want him done in as well. Meanwhile, a young woman who is an orphan and a mute, seems to have an unexplainable attraction to this being. She manages to set up an escape and brings him to her apartment above a movie theater. There is a federal agent who is blamed for the escape. He is the real monster in the film. What transpires over the second half is very strange. There is a wait time to get our creature into friendly waters. I won't add any spoilers here. I think people who are criticizing this film, weren't listening to several key hints. I thought it was a delight. The only real criticism for me is the over the top ugly violence perpetrated by the Americans and the Russians."
THE SHAPE OF WATER,4 March 2018,,"More than a film. because, as movie, it is easy to be critic about it. but it is a confession. for remind small significant things. for remind old truths. for discover ignored ways. a love story. eccentric , at first sigh. portraits of different people. and the mark of an admirable director, impressive for the touch of story with impressive cinematography and great impact with not the most comfortable sides of reality. like almost each film of Guillermo del Toro , at first sigh, a fairy tale.in which all is so familiar. in fact, a seed. or a parable. about its viewers. because it is the film who has yourself as part of it. this is the basic virtue. and the motif. for do not ignore. sure, like its strange beauty and references to old stories from childhood , deepper present in us across decades."
THE SHAPE OF WATER,19 March 2020,6/10,"Guillermo del Toro is a real talent, but I think this movie asks a question that I was not that interested in: given that sexuality is an intensely personal kink, who would be turned on by the Creature from the Black Lagoon? And aren't the people who don't like the Creature from the Black Lagoon just horrid statists?My interest in the various more popular forms of scifi have never extended to K/S or such. They never brought it up; therefore it didn't happen or was none of my business, and none of yours either. The dirtier, the better, and the less your business. And mine. Good fences make good neighbors, and so do drapes for the windows. And thick walls.There are some fine images, and Del Toro has gotten some top-notch performers in to offer some wonderful performances, including Sally Hawkins, Michael Shannon, Richard Jenkins (a personal best performance) and Octavia Spencer. However, as is often the case with these visual stylists, the pacing becomes uneven in the middle. I get the impression the director is fighting with the editor and the pacing suffers."
THE SHAPE OF WATER,22 March 2018,6/10,"""The Shape of Water"" is a new American movie that is mostly in the English language, but also includes a great deal of sign language due to the protagonist's muteness and also minor parts in Russian and even French. These 2 hours are the Best Picture Academy Award winner this year, which was not necessarily a surprise on Oscar night, but may have been if we take a look at its awards recognition on other occasions. It is basically only the PGA that was a strong indicator here as the film lost out at the BAFTAs and Golden Globes and was not even nominated for Best Ensemble at the SAGs. But the Oscars loved it for sure looking at the 3 acting nominations as well as the screenplay nod, even if it never had a chance in any of these 4 categories, but still it took home 3 more Oscars including a Best Director win for Guillermo del Toro, who never was really in doubt, and who joins Cuaron and Gonzalez Inarritu in what is a great decade for Mexican filmmakers at the Oscars, not just a great night for Mexico in general at the Oscars this year.In terms of the acting nominations: I am happy for Hawkins as she is really good and also she has a very unusual kind of physical attractiveness. Not sure if she is better than in her painter movie this year, but she is excellent in both. As for Richard Jenkins, I quite like him and even if his turn here maybe profited more from his character being so likable than from a truly great performance, it's nice to see him get in a second time. Spencer was okay, but not awards-worthy and it's baffling to me what the Academy keeps seeing in her. It's a bit sad to see that Michael Shannon (quite liked the way they categorized him as the monster and not the creature from the water) never really had a shot at a nomination as he may be giving the exact opposite to Jenkins here, perhaps the best villain portrayal of 2017 and his character feels a bit similar at times to the one he portrayed on Boardwalk Empire, at least during the early seasons. In general you can say here that the characters do not really have shades apart from Stuhlbarg's perhaps, if at all, but that it does not hurt the movie as a whole in my opinion.Now away from the awards, this was a good watch, but best of the year I cannot agree. The characters are all interesting to follow and you easily wonder what happens next to them, but there are weaknesses and actually not just one or two. The depiction of violence is not a problem at all, but rather helps the film, but from the romantic perspective, the film was a disappointment to me. The way the two get closer was not depicted too realistically I must say. It felt pretty rushed and as a consequence, everything else about the love story element apart from the slightly awkward sexual references feels not too convincing. Another problem I had was with the protagonist's singing moment, when we finally hear her speak and even portray a number. This was clearly intended as one of the most touching and memorable moments, but this also did nothing for me because the character of Elisa is defined through her muteness, but never in a negative way or anything. It is what makes her and so the moment she loses her defining trait is one that had more of a negative touch to it for me because there is never the feeling that she is actually unhappy the way she is. And what is him eating a cat in one scene, then cuddling another in the next and they just let him near it. Sure they don't want him to feel like a caged animal again, but still. The reference with the scars at the neck turning into gills is fine, I actually thought of gills early on. The ending story-wise and visually is fine too and it makes a strong connection to the (somewhat) happy ending, even if the poem did very little for me. Maybe it is better in the English version as I watched the German dub.Another interesting aspect here is the use of water (and fluids) on so many occasions that makes the slightly sub-par title a bit better I guess. As for the creature itself, it is another example of Del Toro delivering in terms of fantastic creatures. The looks are really spectacular for this film and it is in general maybe where it is best. Close to flawless from the directing perspective, but sadly many flaws with the script that is also by Del Toro, at least as a co-writer. I think it is a bit ironic that this may be the man's career-defining work eventually, at least at this point as a Best Picture winner because I think he has not only done better in his career in general, but especially in the fantasy genre. It is one of the weaker Best Picture winners in recent years I'd say, but still a solid watch. Not too surprised the Academy liked it with its historic references, political references, grown-up moments in terms of violence and sexuality, statements on homosexuality and discrimination against Blacks and generally its message in support of underdogs regardless if we are talking about the creature (the shape of water?) or Hawkins' character. So I see why it won over the in my opinion superior Get Out and Three Billboards. Nonetheless, of course I recommend checking out ""The Shape of Water"" as this was a very entertaining over 120 minutes, especially with Shannon's character going full rogue towards the end, even if it is not the high-quality love story I wanted it to be. Thumbs up."
THE SHAPE OF WATER,27 January 2018,7/10,"Guillermo del Toro makes an adult version of ET with some added Beauty and the Beast, Starman and magical realism.Set in early 1960s Baltimore with the Cold War in full swing. Sally Hawkins plays Elisa Esposito. She is mute, lonely with some scarring on her neck. Each morning is the same, bath, masturbate and get ready for work.Elisa lives in a creaky apartment above a cinema. One of her few friends is in the neighbouring apartment who can sign with her. Giles (Richard Jenkins) is a veteran commercial artist who seems to have had some sort of breakdown, had drink problems and wants to have a relationship with the man working in a diner. Elisa is a janitor in a top secret research lab with her best friend Zelda (Octavia Spencer.) The lab is doing experiments with an amphibious creature from the black lagoon (Doug Jones) captured by Strickland (Michael Shannon) in the Amazon. The creature as worshipped like a god but here he is experimented on and tortured.Elisa when she is cleaning the lab manages to communicate with the creature. She feeds him boiled eggs, plays music and dances for him. She secretly feds him every night with egg and listens to music in his room, and they become close to each other. Her actions are unnoticed by Strickland but she has been observed by scientist Dr Hoffstetler (Michael Stuhlbarg) who also wants to understand the creature and he is unhappy that the go ahead has been given to dissect the creature.Now there is a race against time to save the creature.Guillermo del Toro has created a watery, fantasy, charming Gothic romance with too much teal. I think he realises this himself by giving Strickland a teal Cadillac. Shannon plays an effective, sneering villain who himself is enchanted with Elisa's silence. There is horror and humour in this movie with a song and dance sequence with an amphibian. I am sure Doug Jones must have enjoyed that."
THE SHAPE OF WATER,14 January 2018,9/10,"In Baltimore, in the early 60´s, the lonely and mute Elisa Esposito (Sally Hawkins) is the janitor of a secret government laboratory where she works in the night-shift with her friend Zelda Fuller (Octavia Spencer). She lives in an old apartment above a movie-theater and she usually watches television with her other friend, her next-door neighbor Giles (Richard Jenkins), who is a gay artist. When a creature captured in a South-American river and brought to the laboratory, Elisa feels curiosity and learns that he is an Amphibian Man (Doug Jones). She secretly feds him every night with egg and listens to music in his room, and they become close to each other. However the security agent Richard Strickland (Michael Shannon) is bitten by the creature and loses two fingers. He meets General Hoyt (Nick Searcy) and convinces him to eliminate the creature. When Elisa discovers, she decides to rescue the Amphibian Man and release him in the sea. The scientist Dr. Robert Hoffstetler (Michael Stuhlbarg), who is a Russian agent, decides to help her. ""The Shape of Water"" is a romantic dark fantasy film by Guillermo del Toro with a beautiful and bizarre love story. Elisa is a sort of the Beauty and the Amphibious Man would be the Beast in this mature film. The cinematography is amazing in an environment of the early 60´s in Baltimore. The performances are top-notch and the soundtrack is top-notch. ""The Shape of Water"" was awarded with the Golden Lion in the Venice Festival and many awards in the Golden Globe. It was also considered one of the top ten movies of 2017 by the American Film Institute. My vote is nine.Title (Brazil): ""A Forma da Água"" (""The Shape of the Water"")"
