Title,Date,Rating,Comments
BLACK PANTHER,5 March 2018,6/10,"Wanted to see 'Black Panther' for a while, one of my most anticipated films of this early half of 2018 and as somebody who likes to loves most of Marvel's films. The idea was interesting as was what the film was hyped up to be, the trailer looked great and the high ratings and critical acclaim promised even more. My thoughts were that 'Black Panther' was a decent and intriguing film with a lot of very well done to great elements, but it didn't blow me away and left me disappointed after the hype. As indicated, far from hated it, didn't love it. Actually saw 'Black Panther' on opening weekend in a sold out showing (it was touch and go as to whether a ticket could be gotten), but had to properly form my thoughts for a while and was nervous seeing the very divisive IMDb reaction and the condescension on both sides (mostly negative), which has slightly died down since to feel less nervous.Starting with the good/great things, 'Black Panther' is mostly impressive visually. The special effects were variable, but there were some spectacular ones, while it's beautifully and stylishly shot, slickly edited and sumptuously costumed. It's the extraordinary production design that was most note-worthy. Loved the use of technology, which was really cool. The music has the right amount of haunting intensity, energy, dignity and pathos, so a fine score on its own but not always utilised right in the film, a few ill-fitting moments mood-wise.Much of the action is exciting, though there could have been more, and there is a good deal of thought-provoking script-writing with some nicely injected humour. One is immersed in the world of Wakanda, which is a fascinating world in thematic terms. The story does grip once it gets going and doesn't feel as confused and jumpy, with timeline and location changes needing to be clearer, like it did to begin with and a lot of it even when turning our everyday struggles on their heads is surprisingly relevant. Personally thought that much of the acting was good, with a very charismatic lead performance from Chadwick Boseman, Michael B. Jordan bringing a self-loathing conflicted edge and swagger to Killmonger and Andy Serkis relishing his role with aplomb. The women are just as good, with a dignified Lupita Nyong'o, regal, no-nonsense and feisty Danai Gurira and particularly a funny and endearing Letitia Wright. While his role is small, Daniel Kaluuya is great fun in it. Direction is above competent, if not innovative, and really appreciated the film making Killmonger more than the standard Marvel villain, here one with questionable personal motives but one where one can see his point of view and empathise. Although his actions are inconsistent and don't always make sense and he could have been more threatening, generally he is one of the better Marvel villains and the most developed character in a film too full of stock ones (the titular character being the other exception). 'Black Panther' has faults however. Most of the characters are stock and clichéd, while some of the first half is too talky, the film is a little slow-going and confused to start with and some of the political elements are laid on too thick. Adding to the general feel that, even with the splashes of humour, the film takes itself too seriously and with the amount of predictability it has doesn't do enough new with a novel concept. There are exceptions to the cast. Forrest Whittaker is wasted as a non-developed character with too short screen time, on top of the scene being rushed his final scene has no impact as a result. Martin Freeman is too fish out of water as well. Although some of the effects are spectacular, others are very ropy. Especially in the final action scene between Black Panther and Killmonger which resembled a very early days/years video game. That scene also felt rushed, sometimes vaguely choreographed and anti-climactic, though the whole climax felt over-stuffed and too busy. Overall, decent and interesting but was expecting more. Personally don't think it's the best Marvel film, while a long way from bad let alone terrible, for me it's one of the weaker ones. 6/10 Bethany Cox"
BLACK PANTHER,22 February 2018,6/10,"Chadwick Boseman who played a pair of real live black icons and played them
well makes a reappearance as T'Changa whom we met in Captain American
Civil War. Jackie Robinson and Thurgood Marshall should only have had the
superpowers this guy has. Including a mysterious mineral that gives those who use it some real staying power. Kind of like kryptonite.With technological advances we can sure do more with these superheroes than
could have been done in Hollywood's golden era. But I think the real reason
these films are so popular is that real life isn't providing us with that many
heroes to admire. Sure easier to root for Marvel Comics creation.Anyway Boseman's father died and being the crown prince he's the logical
successor. But in the hidden kingdom of Wakanda you can get challenged.
Something like the way the Klingons choose their leader. Boseman defeats
one challenger, but another one, an exile raised in the mean streets of Oakland played by Michael B. Jordan emerges and he takes over for a bit.
Boseman is down, but not out.Kids and Trekkie types will certainly love this. Not my particular cup of tea,
but it's nicely done and packaged.The only question I have is that if these Wakandans are as powerful as they
are, why weren't the first Arab slave traders repelled let alone European buyers? Seems like that was the time to make their presence known."
BLACK PANTHER,7 December 2019,5/10,"BLACK PANTHER is well known as the first Marvel film featuring a black superhero, well supported by an almost all-black cast. Whether it stands up on its own as a decent film is another matter, however. In fact, I found this quite sloppy at times, despite all of the effort and talent involved with its conception. I liked the idea of the hidden African kingdom well enough, although too much time is spent on set up and I think they should have just hit the ground running as they've done in other Marvel movies.The film is replete with action scenes, from hand-to-hand combat to a big car chase through the streets of Busan. The cast put in assured performances and can't really be faulted either. However, I was expecting more from the special effects, which aren't so special at times; the climactic scenes of the fighting rhinoceri reminded me unfavourably of the STAR WARS prequels at times. The writing is also a mixed bag, moving smoothly in Bond-style man-on-a-mission scenes but otherwise stalling, never quite achieving the gravitas it so desperately wants. It feels very much like Marvel knew they were taking a gamble with this one, so tried very hard to please everybody, but the end result is merely perfunctory."
BLACK PANTHER,4 May 2018,8/10,"To the outside world, Wakanda is a poor, isolated, reclusive kingdom in the center of Africa. In reality, it is a technologically advanced nation of five tribes through its use of vibranium from a crashed meteor. T'Challa (Chadwick Boseman) returns home to take over the throne after the death of his father in Civil War. He is after arms dealer Ulysses ""Klaw"" Klaue who had previously stolen vibranium and caused mass Wakandan deaths. Klaw is working with Killmonger (Michael B. Jordan) who seems to have intimate knowledge of Wakanda. In 1992 Oakland, the former king killed his brother who assisted Klaw during the heist.Arguably, the MCU is the top box office franchise of today and it's nice for them to spread their influences into other niches of cinema. This is tackling some cultural aspects within the MCU superhero structure. All that is admirable but the question remains whether this is any good. The answer is that it's plenty good. First, Boseman is exceptional and projects a regal personality. The villains are great although I don't see the need of Killmonger working for Klaw. He should be killing him at first sight. There are a few things that concern me. The final battle feels obligational due to the superhero structure. The other great aspect is the women of Wakanda. They are all great. I also like the humor sprinkled among the action. It's not jokey but actually funny. The MCU is hitting on all cylinders and this is another solid hit."
BLACK PANTHER,7 August 2020,5/10,"I don't have a comic book background (well I did sixty years ago), so I go into these films without predispositions. This was highly touted because of the title black superhero. And so I embraced it because I like it when barriers are broken. The problem was that the thing was convoluted and endless. I stayed with it to the bitter end but found little to make it unique among its Marvel brotherhood. If anything, it pulled in every cliche one could think of, having a black hero. Maybe the producers will learn from this and bring the guy back. By the way, it didn't deserve all those ""One"" ratings. There were some incredible scenes. It just didn't meld."
BLACK PANTHER,5 January 2019,,"My desire was to love it. I am not fan of Marvel universe, I am not admire the action films, I am loyal to classic mythologies. And I do not believe in the need of artistic films to be , in obvious and almost agressive manner, political manifesto. ""Black Panther"" has a virtue- the cast. In few cases - the performances. But its fundamental sin is the high ambition to impress its audience. And it does it. But not always inspired. It is an impressive film, no doubt. But, maybe writing the bad word, it is...too impressive. It is more an eccentric show than a reasonable film. Sure, it must be a blockbuster and I am happy for its succes to the young public. But, it could be better . Maybe because it has the right actors and the spider - story could be more reasonable. Off course, I am too subjective and too old for understand the noble intentions and the high virtues behind the each scene. But I feel it , with regret, as almost...racist film. Because the political corectness has its limits. This film looks to be an exception. It is not."
BLACK PANTHER,20 February 2018,6/10,"""Black Panther"" is a new American movie that makes it quite comfortably past the 2-hour mark and here we have the most recent addition to the Marvel universe as in the face of the topic of racism that is still oh so dominant (really more than it should be as we are living in very tolerant times) we get the first Black superhero movie in a long time. Ryan Coogler directs and he is also part of the writing squad. I would say that by including a main antagonist here that is also Black they took some racial tension out here, but if you look at the political history of America and the Black Panthers, it may not be the wisest move to go with this animal. Besides, I felt there was far from sufficient elaboration why they did. The dream sequence with the father being a panther now that he is dead alone wasn't enough for sure. Another slightly controversial decision that the main antagonist is an American megalomaniac was not the most sensitive either. But luckily, there are also enough positive things to mention here. Technically, the film is on a pretty high level in terms of sound and visual effects, there is no reason to say it isn't on par with other Marvel stuff from recent history. Also the film shows that you don't need characters from previous Marvel films to succeed the way they included Hulk most recently in Thor 3. And Boseman in the lead does a pretty good job like everybody else almost, certainly better than Cumberbatch for example. The one exception here is Kaluuya whose character did almost nothing for me and whose performance rang pretty false too on several occasions. The one who made up for that was Andy Serkis, who was great fun to watch and perhaps the best thing about the movie, one of not too many white performers here, who were mostly included for comedic (not entirely) situations. This description also fits Martin Freeman's role and he was the same as usual sadly, but luckily his material was good without being too challenging, so it worked. Not the Freeman you'd expect in this film though, is he?From the Black cast, a special mention goes out to Winston Duke who was really hilarious and makes the most of the little (screen time) he was given here. His cannibalism/vegetarianism joke was perhaps the best (recurring) joke the entire film had to offer. Michael B. Jordan was a good main antagonist I think, even if he seemed a bit insignificant early on, but that's okay. He sure is no Andy Serkis. The film's weakest moment was the epilogue that we got here the way we got it in every Marvel movie where we have the King tell the press that his country will no longer ignore global conflicts and this went entirely against everything before that as one of the key messages here was that they do not want to be involved while the bad guy wants to use the country's ressources to dominate the world. It was simply wrong. Obviously this was done so that they could include Black Panther in other upcoming Marvel films like the next Avengers movie, but probably others as well. Very cheap and if that's one of the things you remember the most when leaving the theater, then that is almost a negative deal-breaker. But luckily most of what we saw earlier was good enough, especially the shots at comedy that never felt as wrong or try-hard as in an Iron Man film (sorry RDJ), for me to still recommend the watch here. There are nonetheless serious issues here like the way the protagonist recovers so unrealistically quickly after his defeat and honestly this really felt like taken from Batman's conflict with Bane and he cannot defeat the bad guy at the peak of his physical fitness before that, but then he wins afterward after being in a coma recently? Nah guys. The female amazon tribe story added nothing for me either. So overall, realism, authenticity and convincing character elaborations are an issue here and the final scene in America about that apartment felt really try-hard in making a political impact and the film is never as touching or politically relevant from the contemporary perspective as it wants to be, but it is like other recent Marvel films okay from the pointless fun perspective. I give it a thumbs-up. Worth checking out, but not a must-see by any means."
BLACK PANTHER,13 March 2018,6/10,"Marvel Films have their formula down to a fine art. Even their lesser known heroes are making hit movies.T'Challa made his initial appearance in Captain America 3: Civil War. In Black Panther he returns to his mystical homeland of Wakanda to become king after the death of his father. Wakanda so far has kept his its powers, wealth, resources and technology hidden.However T'Challa's late father hid a dark secret about his own brother, who wanted to use force to aid his fellow black brothers in the USA. Now the dead brother's son, Killmonger wants to battle T'Challa for the throne and he wants Wakanda to lead the struggle for black power and cause chaos around the world.The film pulls a nice trick in having two foes, at first we are led to believe it is going to be Klaue.However I found the film rather choppy and in some ways predictable. At times I kept thinking back to the Lion King.I liked that Marvel is not afraid to enter the debate about discrimination and whether it is right and legitimate to use force to overcome it. It is something Marvel Comics has tackled from its early days.A well mounted, good looking action film but it lacks substance. The box office figures are shocking. It is good but not that good."
BLACK PANTHER,28 February 2019,5/10,"""Black Panther"" is a great deception for any viewer with brains. The hype creates expectation but the film is absolutely overrated. The plot and the characters are shallow and senseless. The Wakanda society accepts the dispute for the kingdom between the outsider Erik Killmonger and T'Challa without any plebiscite. The villain defeats T'Challa is a fair fight as per the Rules. Then Tchalla´s mother, sister and girlfriend recover him using the powerful plant destined to Wakanda kings. And T'Challa returns to Wakanda in a coup d'état, destroying the aircrafts sent by Killmonger to the spies. W'Kabi and his army support Killmonger and in the end, it seems that everything is all right in Wakanda that seems to have a great division between the social classes. There is also excessive references to the ""birth of mankind"" in the view of the writer. My vote is five.Title (Brazil): ""Pantera Negra"" (""Black Panther"")"
BLACK PANTHER,27 August 2018,,"This film was very well received and praised by critics on arrival. The cynic in me still believes that the social importance of the film means that many people were willing it to success even before seeing it. To be fair, the film is a good standalone entry in the Marvel universe of films, but at the same time it is still a film in the franchise - not some magically new type of beast. The high percentage of the cast who are black and positive characters is probably the most obvious thing highlighted by the critics, although it does seem like window dressing at times, with the African culture laid on thick on everything. Interestingly, the film reinforces negative images of African-Americans through the view characters from this specific group - not overly so, but enough to notice as it clashes with the main presentation.Outside of its value as social tool, to show studios yet again that they should not assume what they assume about their mass audience, the film itself is fun, lively and mostly interesting. The plot has good pace and nice developments, although it is not as morally murky as it could have been. Some of the cast do play to this aspect, but the film never really wants to be in a grey area so much as to have clear goodies and baddies. The action sequences are good and play out with the usual humor and high production standards. The cast is well led by Boseman, who has charisma and presence. He is very well supported by a deep cast - with Jordan in particular making a great 'villain'. Ironic in a film praised in America for being a positive challenge to the sort of 'OscarSoWhite' world of Hollywood, that so many of the cast are British but regardless so many people are good here with few weak links.In the end it is still a Marvel franchise film, and first and foremost it does what this needs and does it well. The social aspects are important, but not while you're watching it - which is fine because it is enjoyable and slick enough to hold the attention and be worth a look."
