Title,Date,Rating,Comments
BOHEMIAN RHAPSODY,25 July 2019,8/10,"Long ago, I tired of the Oscars. Much of it was because too often the films they picked and the performances they praised were ones that simply were unpleasant and box office poison. In the case of ""Bohemian Rhapsody"", however, the film earned nearly a billion dollars at the box office AND managed to win four awards...and one was a major one (Best Actor). What a refeshing breath of fresh air...and what an enhoyable and inspiring film.One thing you should know about me is that I was a history teacher and hate most bio-pics and historical films. This is because too often they play very fast and loose with the facts in order to tell a more cinematic tale. While some of this happens in ""Bohemian Rhapsody"", the vast majority of the film seems true and isn't filled with fabrications. Sure, you can find a few examples here and there where the film changes dates and facts to make the story seem more inspirational...but a lot less of this happened than I expected.In addition to generally sticking to the facts, the film had two major things going for it: Rami Malek's amazing performance as well as a strong desire to entertain the audience. The film will definitely get your blood pumping and feet and body moving....and at times it feels like you've been in a time machine and are actually seeing Queen in concert. Overall, exceptionally well done and inspiring."
BOHEMIAN RHAPSODY,27 October 2018,8/10,"Have a lot of appreciation for Queen. Not a favourite band of mine by all means, but it is difficult to not understand their importance and appeal. They had some iconic songs (namely ""Bohemian Rhapsody"", ""We Will Rock You"", ""We Are the Champions"" and ""Don't Stop Me Now"") and Freddie Mercury's immediately recognisable vocals and Brian May's virtuosic guitar playing were always out of this world.'Bohemian Rhapsody' fascinated me when hearing about it and became most of my most anticipated films for the year. When hearing some negativity for the film, my expectations lowered a little, but saw it anyway because it did look and sound good. It did turn out to be a good decision, it is good to see that others here loved it and don't agree with the mixed critical reception respectfully.Sure there are clichés (such as what some of the rest of Queen say) , but very few films are not and many are much worse in this regard. Like a lot of biopics, there are inaccuracies that may drive die-hard Queen fans into a frenzy, and the odd factual distortion, but again 'Bohemian Rhapsody' is not the first or worst film to do this and am going to judge it as a film on its own and not on a documentary level.As a film on its own terms, 'Bohemian Rhapsody' has an awful lot to admire. Getting the issues out of the way, the ones that could have been handled much better was the with the revelation of Freddie Mercury's AIDs diagnosis to the rest of the band, could have been done with more tact and less crass (like saying what it was a consequence of) and revealed too early and at the wrong time, and the implications with the phone ringing off post-taking centre stage that the event was a flop when it actually was a triumph.Some of the early parts were a touch rushed as well, Mercury's ascent to stardom could have been less breakneck.However, 'Bohemian Rhapsody' is stylishly film and evokes the period beautifully. As to be expected, the songs are incredible and will be embedded in your brain for a long time, then again it is Queen of course. They are affectionately staged and performed in a way that made me remember what made me appreciate Queen in the first place.Didn't find the script that simplistic or cliff-notes like, while there is a nice mix of moment of laughter, tension and tears and enough parts that entertained and informed, if not as in depth as it should. The story is never dull and the Live Aid depiction is both rousing and poignant. It's capably directed and while all the performances are fine if underused, it is Rami Malek's outstanding turn as Mercury that will live long in the memory, true to what made Mercury so interesting a person and performer without being an impersonation.Concluding, impressively done and better than anticipated. 8/10 Bethany Cox"
BOHEMIAN RHAPSODY,5 March 2019,8/10,"Rami Malek best known for playing subdued computer programmer Elliott Alderson in the TV series Robot takes on quite a different character as lead singer
Freddie Mercury of Queen. A rock legend Mercury died of AIDS in 1991, but
the melody as an older songwriter wrote still lingers on.I learned quite a bit in the fact that both Malek and Mercury came from some
real minority religious faiths that have seen their share of persecution. I did
not know that Malek came from a Coptic Christian family in Egypt. They are
certainly people who feel it every time Moslem fundamentalism gets a boost.
I have a friend who like Rami Malek's family is also a Coptic Christian and fled
Africa for Canada.Freddie Mercury born Farrokh Bolsara is from a family who followed the
Zoroastrian faith. It is the religion of ancient Persia and there are not too many of them left in Iran. Most of the 130,000 left in the world are in India
known as Parsees. Like the Judeo-Christian-Moslem religions it is a religion
of an all encompassing Deity and an equal bad one like the western Satan.
Like the others Zoroastrianism frowns on same sex kanoodling.Homosexuality very frowned on by his parents and Mercury himself did have a
loving relationship with Mary Austin played by Lucy Boynton. Still he could not deny himself and one of my favorite scenes in the film is when Queen is
on tour in America and there's wordless scene where Malek checks out a hunky
truck driver at a service station and follows him into the men's room. Mercury
was in the closet still, but the door was opening wider.The familiar soundtrack of Queen favorites are the second best part of the
film and in concert Malek really becomes Freddie Mercury. What an incredible
name he gave himself, mercurial and flamboyant with an electrifying stage
and screen presence.Bohemian Rhapsody won a Best Actor Oscar for Rami Malek and also got awards for Editing and Sound Mixing and Sound Editing. It missed out for
Best Picture.Most of all Bohemian Rhapsody is quite the tribute to Queen and the performer and the artist named Freddie Mercury."
BOHEMIAN RHAPSODY,4 August 2019,6/10,"BOHEMIAN RHAPSODY is the latest musical biopic and this time it's about the legendary Queen frontman Freddie Mercury. Mercury is one of my all-time favourite singers, and this film is certainly a well-made exploration of his life and rise to fame. It's also rather lengthy and more than a little laboured at times, so that many parts of Mercury's life are skipped over or excised altogether. Rami Malek does a fine impression of Mercury and certainly looks the part, and the attention to period detail is enjoyable. I could have done with a few more songs amid the family drama and genre tropes; the only time this really picks up with the right kind of energy is for the climactic Live Aid gig. The real-life footage of Mercury singing over the end credits puts things into perspective too."
BOHEMIAN RHAPSODY,2 September 2019,7/10,"It's a biopic of the popular band Queen and its lead singer Freddie Mercury. It starts in 1970 London. Freddie Bulsara (Rami Malek) is a baggage handler at Heathrow. He joins Roger Taylor and Brian May after they lose their lead singer. They add bassist John Deacon. Freddie changes his name to Freddie Mercury and marries girlfriend Mary Austin. The band signs with manager John Reid and becomes a world wide success. Freddie has an affair with Paul Prenter and comes out to Mary. It's a troubled life journey culminating to the celebrated Live Aid concert in 1985.The most important aspect of this biopic is Rami Malek's performance. For the most part, it is very good. If I choose to be snarky, I would say the teeth did half the job. While I think he has the essence of the role, his musical performances fall short in terms of power. In the end, all I know about Freddie Mercury is through his music videos and Malek needs to turn the dial to 11. Malek does fill up the role with humanity. One gets the sense of his confidence which seems to be a mask for his insecurities and his sexuality. He is a man of many dimensions and Malek is able to match his charisma. It's a very good performance.If there are flaws, the movie is pulling some of its punches back. I'm not pushing for a gay orgy scene but his homosexuality is held back for presumably the audience. If not that, then there could be more done with his drug use. I rarely call for montages but this case calls for it. It could go dark with a montage of his drug use. By going darker, his climb back to the light would be more exhilarating. As for exhilarations, I expected more from the Live Aid performance. I remember watching some of the concert back in the day but not for long stretches. The movie tries to make it something epic especially with the donations. I can't speak to that but it goes a little too far. It pushes too hard. I would eliminate the phone bank scenes. Overall, this movie is compelling. The band and its music is epic. The performances are good. It's a pretty good musical biopic."
BOHEMIAN RHAPSODY,7 July 2019,8/10,"I finally watched this film. The critics were a little hard on it, but it's awfully hard to divorce yourself from the incredible talent of Freddie Mercury. Yes, it is pretty contrived, which, unfortunately is the fate of the biopic. From the beginning the character was larger than life. We did get a bit into the recording industry stuff, but I'm not quite sure how much of the pain was put forth. Also, Freddie's recognition of his gayness had to have been hinted at a but earlier. But the music was so good and it makes me want to check out some videos of Queen in concert. By the way, did the Mike Meyers character actually say that Bohemian Rhapsody will never be sung by people in a car? This was a bit much."
BOHEMIAN RHAPSODY,31 October 2018,,"Sure, it could be better. and it deserves to be better. The music, the atmosphere, Freddie Mercury, the steps to succes and its meanings are good points. Nothing new, all familiar. Maybe too familiar and created with
too many drops of fake. The best detail , sure, Rami Malek fine job. But he is a significant piece because the film has the virtue to give a show. That is the motif for see it. For the meet with the show. For a sort of time trip. It is a provocative film, presenting what you know. Or believe to know. But the manner to do that is
a good promise and Malek as Atlas gives a reasonable motif for see the film.t."
BOHEMIAN RHAPSODY,15 June 2019,,"When you have the image of Freddie Mercury front to you across entire film, it is easy to not be very enthusiastic about ""Bohemian Rhapsody"". But the conclusion must be fair. Rami Malek does a great job. He deserves Oscar prize out of any doubt. The film has the precious gift to be an inspired invitation or start point for discover a pure artist for the new generations and to remember songs and great shows for elders. Not the last, it is a honest biopic. And the beautiful proof for the imposibility to make a film about Freddie Mercury. Because you know him, his songs, his vulnerabilities for the simple reason than he is a part from yourself."
BOHEMIAN RHAPSODY,11 December 2018,10/10,"Okay here we have ""Bohemian Rhapsody"" and these 2 hours and 15 minutes are from what I have seen so far the best film of 2018 and chances are high it will stay that way. Mamma Mia 2 wasn't bad either, but I really don't understand why everybody is talking about the sub-par ""A Star is Born"" as the defining music film of the year when clearly this one we got here is it. I am glad to see it receives a great deal of awards recognition these days, even if sadly the critics don't like it as much, but still hopes are high Rami Malek gets in at the Oscars too and I think he may even have an outside shot at the win. Best Actor seems very open this year and he is in every scene of these over 2 hours and carries the film basically alone on his shoulders. I am a bit surprised how much I liked Malek. I was not sure initially knowing him from other projects if he is the right choice for the lead here, but he really won me over 100% and not just because of his ethnical background. Shame on me for not knowing Mercury was of Parsi origin. The other strong aspects here besides Malek are the music of course and also the script/story. You really get to know the Queen frontman in this film. For example I did not know about his strict father or that he was really married to a woman before discovering his true sexuality. There is one scene when Mercury confesses to his wife that he thinks he is bi not to hurt her, but she responds clearly that he is gay. That stayed in the mind.The longer the film goes, the more it moves towards its destination: the Queen performance during Live Aid in the mid-80s. This was kept away from Mercury from his (false) friend for quite a while, but eventually with the help of his former wife, Mercury makes the right decision to bond with his former band members again and leave those that don't want the best for him, the vultures and leeches, another fine quote by Mercury when he says farewell to the man who tore him down. But there's many other interesting characters like the band manager who seemingly wants the best for Mercury and his career and also suggests he should leave his band members, but he is not a villain like the lover he stays with until almost the end. Or of course the record producer played by the almost unrecognizable Mike Myers (Austin Powers) who says Queen will never be big if they release Bohemian Rhapsody as a single. And we see him again towards the end when Queen are at the peak of their popularity right during Live Aid. The latter is probably the biggest laugh-out-loud moment of the film, but there are also more serious references like about H.I.V. slowly killing Mercury and it seems he knows it with the ""what if he does not have that much time left"" comment. But still, it is all in the filmmaker's mind and also good for the audience that this is never intended to become a sob story at all. ""Show must go on"" is the best example and we have Mercury talk to his band members that he does not want to waste time with getting pity or being sad for himself, but instead invest everything he has left into the music to make his heritage as spectacular as possible. And boy did he succeed with that.Okay I mentioned Bohemian Rhapsody and Show must go on already, but there are other great hits included in here, some more significant and longer, some less significant and shorter. I Want To Break Free, Under Pressure, Radio Gaga, We Are The Champions, We Will Rock You, Love of my Life, Somebody to Love and so on. These are just a few and even if you are not a great Queen fan, you have come across all these tunes at one point in your life or another and you will recognize them immediately while perhaps also starting to hum the melody for yourself. I would not call myself an expert on Queen or Mercury, so I listened to some of their most known in the days/weeks before watching the movie and I think it was a good idea to get me in the mood and enjoy the film as much as I wanted to. And I told you earlier how I really really loved it. I think they did everything right here, showing us the greatness of Queen, but also how talent-wise and entertainment-wise Mercury was the absolute standout from them, also with his scene early on when he wants to become a lead singer and sings to prove himself, but in terms of the band also when we hear him say they are all legends towards the end. This film will really make you curious about the actual Live Aid performance by Queen and you should go for it. It is on Youtube and runs for over 20 minutes.Also this is not a film about gay rights or anything. It is a character study and a whole lot about music too of course, so don't be scared of any kind of political messages really being shoved in your face. Like I said before, experienced director Bryan Singer did everything right here and his two Oscar-nominated writers Morgan and McCarten add their fair share too and show us their experience in coming up with one of the best screenplays of the 2010s. And the ""doing right"" also includes the casting of Rami Malek for the lead. Perhaps many movie-goers who don't watch small screen series will not know him or Mr.Robot and the rest of the cast does not include any big names either (except Myers perhaps), so maybe the cast will not lure millions of viewers into theaters, but the subject should and I think it did. I think this film is an absolute must-see from any perspective. I am writing this as somebody who sadly (or luckily?) is too young to remember Queen and Mercury from back when they were really big, so maybe those who do remember find some flaws with the film, but then I guess I'm lucky that I didn't because the consequence is that these were the best over 2 hours I've had at a theater in a long time. Also from a neutral less Queen-focused perspective, the film includes all you want to see in a music-based movie, great songs, struggles with band members and managers and the press, popularity getting to your head, the impact of time and why Queen was successful when they were successful in the 1980s in terms of the (then) contemporary state of society and a lot more. So in short, this one gets a perfect rating from me and I still find it strange to see Malek/Mercury without the trademark mustache from his later years. I highly highly recommend seeing this film, preferrably on the big screen. Do not miss out."
BOHEMIAN RHAPSODY,18 January 2019,7/10,"My youngest son was born years after Freddie Mercury died. He started to sing some Queen songs when he was still a toddler. I knew then that their music was going to live forever. They have joined The Beatles and Abba whose songs transcends generations.A lot about Freddie Mercury is well known. Bohemian Rhapsody brings very little that is new to the table.Credit has to go to Bryan Singer for framing the story from the band's beginnings to their triumphant performance at Live Aid in 1985.I was worried that some white actor would play Freddie Mercury, real name Farouk Bulsara who was of Indian origin. Rami Malek is at least of Egyptian roots.We see young Freddie working at an airport. When a student band loses its lead singer, Freddie offers his services, he could reach some high notes and he dresses extravagantly. When the band has some initial success, he becomes legally Freddie Mercury.The band members have a tumultuous relationship. John Deakins is more normal, Roger Taylor could be temperamental, Brian May had big curly hair and a homemade electric guitar. All of them could write songs and fight to get it on the albums. Together they created a string of hit songs. Some of them catchy: We Will Rock You, others were more extravagant such as Bohemian Rhapsody.Freddie though although he has a girlfriend from the early days of the band is soon struggling with his sexuality. As the band gets bigger, his appetite for a hedonistic lifestyle increases. This includes casual relationships with men and self destructive behaviour that causes further conflicts within the band.Singer knows how to lift the film with Queen songs. He does well to recreate the events of Live Aid when the band best known songs get pumped out.Queen aficionados would know when liberties have been taken with the truth and the timeline of the band.Malek delivers as Freddie, especially with the accent. I thought Joseph Mazzello was good as Deakins. I enjoyed the unrecognisable cameo from Mike Myers as the record head.After Bohemian Rhapsody finished, my wife turned around and said she was really entertained by the movie."
