Title,Date,Rating,Comments
GREEN BOOK,10 December 2019,8/10,"My main reason for watching 'Green Book' was due to me wanting to see as many 2018 films as possible, and that it had won the Best Picture Oscar (so naturally wanted to see too that it was that good). Like Viggo Mortensen as an actor, the film's concept was appealing and it looked appetising. Word of mouth, including from very trusted friends online and in real life, was very positive so there were plenty of other reasons too.'Green Book' turned out to be when watching a very good film and nearly a great one with many fantastic things. Wouldn't go as far to say that it is my favourite film of 2018, and as far as the other Best Picture nominees go there was a preference for 'Roma' and 'The Favourite', but if to put it in a group of either best, solid middle and worst films of the year 'Green Book' would be closest to being in the best category of those three groups. It is a very, very well done film and its good intentions are evident throughout and noble.It could have done with more grit in places, really do appreciate that it was trying not to be heavy-handed or trying to offend with a quite heavy theme but they could have done more with it and given a little more depth to what there was. Not saying it wasn't there, quite the contrary, just wish there was more.Credit is due for the laudable and successful efforts in making the story accessible and it is one that easy to like and get into, but actually it could have afforded to do a little more risk-taking and have a little more complexity.Viggo Mortensen though brings a lot of charm and entertainment value to his role, and Mahershala Ali is a dignified and very moving contrast. Their chemistry is wholly natural and beautifully irresistible (never feeling contrived or rushed) which provides a lot of 'Green Book's' heart, while their characters are more than just characters and instead feel very human. This is very different territory for director Peter Farrelly and it is surprisingly restrained direction from him and it suits the material very well. It's a lovely looking film too and affectionately photographed, while the music is beautifully chosen and fitted some nice nostalgic song choices here.The script is thoughtful, charming and also moving, and regardless of anybody feeling that it is a little too accessible and could have done with more grit the story kept me riveted and left me moved, inspired and like my heart had been warmed. The YMCA scene is a powerful one and a character development turning point handled beautifully.Summing up, one of those very good and nearly great films. 8/10"
GREEN BOOK,22 February 2019,7/10,"It's 1962 New York City. ""Tony Lip"" Vallelonga (Viggo Mortensen) is a nightclub bouncer and a tough guy ingratiating himself with gangsters. When his workplace gets shut down for a two month renovation, he gets a job driving peculiar classical pianist Dr. Don Shirley (Mahershala Ali) to his concerts in the deep south.There are issues but the movie has its heart in the right place. I don't mind the racist Tony Lip finding redemption and friendship in Shirley. Viggo is doing it pretty broadly but the main problem is Shirley. There are scenes where Farrelly is desperate for humor but it only heightens my disbelief. First is the cringeworthy KFC. It's crazy that a man has never had fried chicken despite coming from the south. The point should have been that he prefers not to eat fried chicken (and watermelon and collard greens and grits). It's not that he doesn't like it. He avoids it to avoid his roots. The same goes for the music. He's a musician for heaven's sake. Maybe he's not up to date but he had probably studied aspects of modern music and he's probably met a few of those artists. It's all wrong. His broadly played homosexuality is also a little awkward. I was really scared where Farrelly was taking that until it was saved by Tony who as a nightclub bouncer claims to have seen it all. It's a nice surprising twist to his character and in keeping with his transactional nature. Even the letter writing could be improved if some forethought had occurred. There is no reason why Dolores would go gaga over the letters when she suspects that it's Shirley's writing. She should hold back on the affection with the other girls going gaga. Only when she gets the house letter does she goes head over heels. It would show that she knows him best. These little nagging issues keep the movie from being great although I still enjoyed it."
GREEN BOOK,19 January 2019,10/10,"I saw Don Shirley perform in college in 1966. At the time I simply thought he was a hell of a pianist, using that bass and cello to come up with a unique sound. So when this movie came along, I thought ""I saw that guy!"" I know the critics are being hard on this film, but I sat for two hours, totally captivated. I know there are stereotypes. Could that be because the repeated actions against minorities and the actions of racists have become so commonplace they seem like stereotypes. I believe the performances of these two fine actor made the show. There is a subtlety to this movie that transcends many others of its type. Yes, there are Southern cops; yes, there are men's rooms that are off limits; yes, there are simplistic views of racism by white New Yorkers. But what I got was a realistic presentation of an evolving friendship. Shirley is abrasive and self-centered; Lip is clueless most of the time. And I believed in them. See this film."
GREEN BOOK,7 January 2020,,"Maybe, it is the greatest Christmas movie. For the clear define of the meanings of Nativity. The storytelling and the performances are the basic pillars . But the film has the virtue to have the viewer as part of it. In simple and convincing manner. So, a great film , in all the seanse."
GREEN BOOK,27 February 2019,6/10,"""Green Book"" is an American movie from 2018 and one of the big players this awards season. So it surprises me a bit that with all the attention it racked up, this film ""only"" managed five Oscar nominations. Still, it may still be in second position for the Best Picture win (behind Roma) after its massive success at the Golden Globes. And it has Mahershala Ali pretty much safe winning his second Oscar (who'd have thought five years ago) while also being more than an underdog to add another for its screenplay. The man in charge there when it came to adapting this over 2-hour movie was Peter Farrelly and he is also the director. Among others, Farrelly got help with the script from Nick Vallelonga and if you paid only a bit attention during the movie, then you will recognize immediately the last name. Yep he is Tony Lip's son and it is pretty fitting that not just his father appeared in several mob-related movies that are deemed classics today.Anyway, lets not talk about these now, but about this one here. Who would have guessed that the director of Something about Mary and Dumb & Dumber would come up with a movie like this? Actually, if you take a closer look, it is not a huge surprise because the critical reception here has not been as one-sided as you may guess. The subject sure comes in handy for Hollywood these days with the diversity issue still going strong, probably not as strong as at its peak, but still. Yes sometimes, it may seem a bit shallow honestly and I would not put the film anywhere near my favorites of the year, but there are also many good aspects. First of all, it flew by and for a film considerably over 2 hours, that is always a success. Then there's the acting. Everybody really does a good job here and that includes most of all lead actors Mortensen and Ali. Yes, lead actors. There is no way Mahershala Ali is a supporting player. What a ridiculous idea. No story without him, no journey throughout the States, no messages about racism. The film would not have existed without him just like it would not have existed without Mortensen's character. Actually, this is a pretty poor decision and going strongly against everything the film teaches us by putting the Black character in second row and it is even more disappointing to see the Academy really falling for it, most of all because of the character's background and story, but also because of the massive screen time honestly.Okay, what else was good? Individual scenes. You will recognize them when you see them. One would be when the two recognize immediately how their humor is really different early on. I am talking about the salt joke and the Pittsburgh boobies joke here. One of many fairly funny moments too that are not lacking despite the serious background like everything about the letters. Another would be whom the Black protagonist calls from jail and how Mortensen's character is completely stunned. This is a scene that while it works nicely from the comedy perspective is also fairly crucial drama-wise as Ali explains in the car. Another entertaining scene was the KFC one when we really see the two bonding and joking for the first time. It is also a good scene with a look at perhaps the most intriguing issue of this movie: namely Ali's character being too white for his own and too black for the high society that enjoys his music. He is scared of doing what Black people do. He knows less about Black music than his Italian lower class driver and he eats no food that Blacks usually eat. Instead he drinks a fine wine on his own. To avoid having to play a ballgame with other Blacks, he lies that he has a meeting with someone and leaves. He sure belongs nowhere and this story line is where the film really delivers.And opposing who Ali's character is and isn't, there is Mortensen, who faces a very slightly similar fate with being part of the dominating race, but really just at the bottom end of the food chain beating people up for money and making ends meet. He is a simple guy, but a good guy in fact. Do not mistake the fact of what he throws away early on because it was used by Blacks for him being a racist. It is more the general movement that made him do so, what society was like in the 60s back then and also what his buddies were like and these sure do include a handful racists. Had he been really racist, he would not have accepted the job as a driver. The fact that he refuses to clean his boss' shoes has not anything to do with racism either, just with him not wanting to be humiliated in any way. This also becomes obvious in the luggage packing scene where he won't be anybody's servant or butler, just the driver and man who solves problems his very own way. Now as for the police, they sure don't get away in a likable manner here and the final police officer scene with the one not minding the man's color during Christmas time cannot really save it and feels for the sake of it. But good inclusions nonetheless, even if the scene at the indoor swimming pool was not the best, actually the worst probably. An indicator at homosexuality that I don't mind, but it really did feel rushed in and there are no further elaborations. On the contrary, we find out he was married before, so was this one reason why it failed? It is not too important eventually and should have been left out in my opinion.Of course, another good aspect here is that the film is really linked to actually existing people that did share a lifelong friendship following their journey together as we find out right before the closing credits roll in. Overall, a good and interesting movie with a right now obviously very appealing subject to liberal Hollywood. I think this one's worth watching for the two lead performances alone and the pretty nice chemistry they had and who would have thought Mortensen can pull off Italian this well. I don't think many actors would have been as good and gotten the Oscar nomination here being next to a far showier and baitier character (Ali's), but proves again that Mortensen is probably still the number one actor from Scandinavia (well he's American, but has roots there) in 2020, even if I personally like Mikkelsen at least as much. Drifting away now from this film, so it is time to end this review. I give Green Book the expected thumbs-up and positive recommendation. Not an overly enthusiastic one though."
GREEN BOOK,5 January 2019,6/10,"Green Book is really an updated version of Driving Miss Daisy directed by Peter Farrelly.Based on true events and set in 1962. Tony Lipp (Viggo Mortensen) is a mouthy nightclub bounce from the Bronx. He is out of a job as the nightclub is going through renovations.Tony has been recommended to be a driver and bodyguard to erudite black piano player Dr Don Shirley (Mahershala Ali.)Dr Don is going on a pre Christmas tour of the deep south. Tony will drive him to the venues with the help of the Green Book, a guide book for black travellers. That will tell him the roads a black man can take, the motels a black man can stay in.The relationship between the two men is like the odd couple. Dr Don is fastidious. Tony is a slob and easily gets into fights, he is also a racist at first.Both men bond as they hit the road, experiencing constant discrimination.It is a well acted film with a regal turn from Ali. There is comedy and the film gets a little gloomier as it heads deeper to the south.The racism is anesthetized to make it palatable for modern audiences. In reality a black man being chauffeur driven by a white man in the deep south would had been odd and more dangerous.I did feel the film is a little too glib and superficial. It has an ending which is a little too neat.I doubt for a moment that even today, those backwood roads in the deep south are safe for some black travellers."
GREEN BOOK,26 February 2019,9/10,"In 1962, the Italian-American Tony ""Lip"" Vallelonga (Viggo Mortensen) is as family man happily married with children with his beloved wife Dolores (Linda Cardellini). When the night-club Copacabana where he works as a bouncer closes for two months to be refurbished, Tony needs to find a two-month job to support his family. He accepts to become the driver of the classical Afro-American pianist Dr. Don Shirley (Mahershala Ali) in a tour with two other Caucasian musicians through the racist South of America. He receives a Green Book, a travel guide with references of safe locations to black people and along their journey, they develop friendship and respect for each other.The Oscar winner ""Green Book"" is a great film that discloses the racial segregation in the early 60´s in America. The touching story of friendship and injustice has magnificent performances of Viggo Mortensen and Mahershala Ali. The screenplay blends drama, music and comedy and is based on a true story. ""Green Book"" is a film that really deserves the Oscar. My vote is nine.Title (Brazil): ""Green Book: O Guia"" (""Green Book: The Guide"")"
GREEN BOOK,10 January 2019,8/10,"Tony Vallelonga aka Lip (Viggo Mortensen) is the bouncer at the Copacabana. When it is shut down for renovations, Tony hustles to feed his family. He is offered a lucrative job to be the driver and gofer for Don Shirley (Mahershala Ali) a trained classical pianist. His tour will take him through the racially divided south in 1962. This is a story about an odd couple who both managed to change and find common ground.Based on a true story, although I doubt the initial scene of the baseball game as the film gave the impression it was later in the year. Predictable Hollywood script. The title comes from the title of a travel book used by African-Americans to learn about safe places to eat and stay.Guide: F-word. No sex or nudity."
GREEN BOOK,23 January 2021,10/10,"Not often these days so I give ten stars to a film, with Green Book however, I had no other choice, this film had me totally captivated.It's a fascinating story, I had no idea that it was based on true events, temporarily losing his job at a club, Tony Lip Vallelonga gets a job driving for Doctor Don Shirley. Shirley has a specific reason for touring in the deep south.It's one hell of a journey (I know it's a term that's easily bandied about in films, but it's appropriate here,) physically and emotionally, it's a battle of wills, ideas, concepts, each man learns something from the other. You see the true horror of what Shirley faced in day to day life, from buying a suit, to eating dinner.The acting, is simply outstanding, you couldn't put a pin between Viggo Mortensen and Mahershala Ali, the pair are unbelievable in this film, it's no wonder awards came flooding in.It looks sensational, they brought 1962 to life, and the music throughout is spot on.I laughed, I sobbed, I connected, a cinematic triumph, Green Book is an incredible film. 10/10."
GREEN BOOK,11 May 2019,9/10,"It is difficult to make a movie based on a true story, with characters that existed, that has to walk a fine line when it comes to racism, the history of America and not making them too unlikeable, but also finding the middle, so there is still enough tension between the pair we are about to go on a journey with - and overall the movie succeeded.There are certainly things that did not work or might seem like an omission - Viggos character shows a despise, a darker shade to him at the beginning, that does not really seem to come up later. And then there is the meeting - which is cleverly orchastrated but we never really understand why it continues from there. But not everything needs to be explained. Unless that takes something away from your movie watching experience.Script is tight and the actors are really getting it on good. And there is still enough drama to go around. You will laugh, you may cry a little (or a lot) and overall you will see a great movie. All cynicism aside, this very well made (did not look into how close this is to what actually happened, you may research that on your own, if you like)"
