Title,Date,Rating,Comments
VICE,12 December 2019,7/10,"Saw 'Vice' for quite a few reasons. The subject was fascinating as is Dick Cheney himself. That it was positively reviewed, well mostly, and got the awards attention it did (yes, have always taken the big awards more seriously than others because while there have been questionable wins and even nominations in every category every year there are just as many that are richly deserved), showed a lot of promise.Also really liked 2015's 'The Big Short', another positively reviewed Adam McKay film, and what was especially good in that film also came over to me as particularly good here in 'Vice'. My main reason though, and this seems to be true of a lot of films seen recently (both those released this year and first time viewings for all years), was the cast. Hard to go wrong with Christian Bale, Amy Adams, Sam Rockwell and Steve Carrell (who is good and more with good material).While full potential is not fully achieved and it is a bit uneven and messy, a larger part of me really enjoyed 'Vice', which did impress me with its ambition and invention. It is a film that will hugely entertain a good number while challenging others, and will be and is even a polarising experience more than understandably. As said it is a long way from perfect and between this and 'The Big Short' the latter is the better film. Am going to agree with those that criticised the editing, which does go too over the top on the intended quirkiness and like it was trying too hard to be inventive and it comes over as choppy instead.The story execution, while mostly compelling, does suffer zig zagging to and fro too much, which gave it an unfocused feel that didn't always make the film feel cohesive. So it did come over as a bit rushed and muddled at times, and it definitely could have benefitted from trying to do less and not go over the top on the details. Was a little mixed on the narration, it has a lot of clever moments (and was not expecting the twist regarding it) but there were times where it wasn't necessary and intruded a bit.'Vice' however has a lot that is good. Although there were reservations with the editing, there was some quite audacious photography that succeeds better at being inventive and the production/locations and costuming show great care in making the time and place clear. The best thing though visually was the makeup for Cheney, which was a masterstroke and rendered Bale unrecognisable. The film is tightly directed by McKay and the music is a beautiful mix of melancholic and uplifting. While the story is not flawless by any stretch, it is still very compelling even when more deliberate than 'The Big Short' and told with great gusto. It is a tough and very relevant subject, handled in a way that hits hard. Two things are especially good in 'Vice' though.One is the script, which is often darkly hilarious, unsettling in its frank truth, very informative even though the amount told to us is vast and bleakly tragic. The other is the cast, with all the actors on point and make their characters well rounded (the negative portrayal of Cheney though is polarising, his family objected to it, and some may find it on the biased side, but to me he avoids caricature). Bale is magnificent, one of his best performances this decade and it shocked me seeing him this cold and menacing. Adams is just as powerful a presence and their chemistry is eerily twisted. Rockwell is always great and Carrell is fun to watch while never resorting to silliness. Tyler Perry shows too that his performance in 'Gone Girl', a brilliant film and he was surprisingly good in it, wasn't a fluke in an another relatively against type role.In a nutshell, good but not great. 7/10"
VICE,9 April 2019,8/10,"With the making of Vice Richard Cheney of Wyoming reached a status that no one
else has in American history. Who else who only made it to the office of Vice
President managed to have a movie made about them. The only other one was
Aaron Burr.There's not much about Dick Cheney that I had not already known. The story of
a hell raising kid from Wyoming who rose to be among the movers and shakers
of our country might be considered an American success story. If he had only
used his talents for the creation of a little good in the world I might be more
favorably disposed.As a Vice President Cheney is also unique in truly becoming an assistant President and actually making policy. In our history the only other one like that who comes to mind is Martin Van Buren who Andrew Jackson's Vice
President in Jackson's second term.The real surprise in this was Amy Adams who played Lynne Chaney. I never knew that much about her and she has a really great scene where kickstarts
her drunken boyfriend Cheney basically saying shape up and make something
of yourself in this world that men run. Fascinating the response here. Lynne
Chaney says work the system, someone like Ruth Bader Ginsburg in the same
situation makes up her mind to change things. Amy Adams got a Best Supporting Actor nomination as did Sam Rockwell for Best Supporting Actor.Still Vice is driven by the Best Actor nominee Christian Bale and his portrayal
of Richard Cheney. It's a many sided portrayal and Cheney does not come out
all bad. For instance he's shown as being supportive of his lesbian daughter
Mary Cheney. Qualify that by saying he also realizes among the crowd he seeks to court for votes having an out lesbian daughter isn't going make him
friends. Lynne Chaney realizes that even more.Bale got an Oscar nomination for Best Actor and the film was up for Best Picture and several other awards. It only won in the Makeup category.Most interesting role was that of Jesse Plemons, an every man sort of character who narrates the film and has a unique relationship with Richard
Cheney. You find out if you watch the movie.An interesting look at some of our recent American past through the eyes of
a consummate insider."
VICE,29 March 2019,6/10,"This is a biopic of former American Vice President Dick Cheney (Christian Bale). Starting in 1963, he's a drunken punk. He gets kick out of Yale and his girlfriend Lynne (Amy Adams) gives him an ultimatum. He sets off for Washington and interns for congressman Donald Rumsfeld (Steve Carell). He gets elevated into the Nixon administration and with Ford. He wins the House seat for Wyoming. When his youngest daughter Mary comes out of the closet, his political career seems to be over. Then George W. Bush (Sam Rockwell) comes calling for him to be his VP pick.Writer/director Adam McKay is a Hollywood liberal and this movie has a deliberate liberal bend. If one dissects this movie from its style, there actually isn't anything too controversial other than Lynne's mother's death. Like the opening text says, this is the truth or as close to the truth considering how private the Cheneys are. It's the McKay style that is unnecessary. It pushes the material unnecessarily. The basic material is already politically slanted. The flash edits is akin to McKay yelling at the audience. It doesn't add comedy. It doesn't add spice to the story. It's just annoying. Dick is also not the most physically dynamic of characters although Christian Bale really disappears into the role. I am surprised that more isn't made of his Halliburton days. The one thing I did learn about is the Unitary executive theory. I knew about the concept and the execution. I just didn't know that it has a name.Finally, there is Jesse Plemons playing the mysterious Kurt as the narrator. The reveal is underwhelming. The big shocking emotional turn is how the Cheneys dealt with Mary. It is the most human of family drama in this political life. On the one hand, I'm giving McKay credit for not playing up Mary's turmoil since he has no inside information on that part of the story. On the other hand, Cheney's heart seems like trying too hard and failing at something poetic, and Mary's turmoil would be a more compelling button to his story. Overall, this McKay movie would work much better without the McKay style."
VICE,18 April 2019,6/10,"When I look at a movie, I look for balance. To start with, I had to put aside my animus toward the Bush administration and Cheney as the Iago to Bush's Othello. Christian Bale fashions an infectious bully in Cheney whose heart is his Achilles heel. He is presented as a man whose ambition is fueled by Lady Macbeth (oops, his wife). He is presented as a bumpkin early on and then makes the crossover to the thing he becomes without a lot of thought for the bodies left lying around. Of course, like many who have never faced warfare first hand, he is proud of sending American forces to fight for the aggrandizement of his supposed boss (and die facing an enemy that did not have weapons of mass destruction). I did like Carrel's portrayal of Rumsfeld. The cutting with stock footage of war and politics has been done so many times already and the dead guy narrating seemed really odd. It's an OK movie, but without Bale it is quite pedestrian."
VICE,8 March 2019,2/10,"This is ""Vice"", a fairly short title for a really long movie as this one makes it comfortably beyond the 2-hour-mark. The writer and director is Adam McKay from SNL and after I already disliked his take on the banking crisis from a few years ago that was vastly overrated in my opinion, I can say I did not only dislike this film here, but truly hated it. This has to do with Christian Bale too, but it's not just him. His Oscar nominations for these two films (and Golden Globe win here) feel very false, but yeah I am not surprised liberal Hollywood appreciates this kind of material. Now lets focus on this one here. I witnessed the Bush presidency first hand as I was already old enough to understand politics when he was elected (yep elected!) President back in 2000. That's why I thought this film could get more interesting than The Big Short. Boy was I wrong. You can clearly see the ambition here, but the talent is absolutely not there. This starts with all the scenes involving Breaking Bad's Jesse Plemons. Who'd have guessed he manages such a solid big screen career. Anyway, here he is pointless filler. His involvement is a bad joke and how he acts like a character overseeing Cheney's life and the attempt to make him at least a bit significant eventually through killing him off to be a donor for Cheney went all kinds of wrong too. Besides and that he cannot be blamed for, what he adds exactly in terms of his dialogues rings very false too. Most of it, especially early on, are stupid exaggerations and obscene insults even on one point. Next problem is Sam Rockwell. I really like him as an actor and I cannot say he deserved his Oscar nomination one bit this time. But it happens not too seldom that an actor gets nominated right afterwards again after his win. Jeff Bridges is another examle and there's more from recent years. As for Rockwell, it s all about the make-up. I cannot deny he really looked the part and the makeup Oscar is not undeserving by any means. But he had neither the material nor the character to make a huge difference here. But again liberal Hollywood loves filmmakers making fun of W I am not surprised. As for Bale, he was probably as good as he could have been with what he was given. Again, a whole lot here is makeup again too for sure. The Oscar nomination is okay, the Globe win is way too much.But I especially want to say a few words about the film itself. It looked really clumsy and with that I am talking about the jumps in time as well as several moments that may seem creative to the untrained eye, but actually are not. One would be the fake credits rolling in early. The next would be the conflict between a Republican and a Democrat at the very end from this study group. They say on one occasion that everything you see and hear in this picture is based on facts. Okay, lets go. Is it a fact that Cheney's new heart comes from a soldier who died in a car accident? Is it a fact that Lynne Cheney did not say on the phone she loves him back which clearly bothered him. Is it a fact that Dick reacted caringly for his daughter when she confessed to him she was a lesbian while Lynne acted cold and distant? I could go on like that. For a long time. The reality is nothing apart from the very very basic plot points here is depicted the way it happened. It is a very fictionalized movie. Did Cheney become more ruthless the older he got? Was it really him who threw his mentor Rumsfeldt and his daughter under the bus? Debatable. Here it is presented to be 100% the case and that is of course not true. Completely away from the main character, I think the film also looked very clumsy from the editing and story-telling perspective. Those jumps in time hurt more than they helped and felt very incongruent. And what was it with all these little very brief sequences in-between that felt like taken from a bad episode of Family Guy (in live action) and mediocre children's education television. You will recognize them when you see them, there are really a lot. It may be McKay's style, but it really isn't anything to be proud of. One example would be the beating heart sequences towards the end, but also during another Cheney heart attack early on, which were handled in a way where they clearly make fun of a man suffering from a heart attack. So this film is not just extremely incorrect and far away from reality and how things actually happened, it is also extremely disrespectful in an already childish manner. There is almost nothing positive I can say here, perhaps that it elaborated in a way on said lesbian daughter early on that would not make Cheney look like a monster. In addition, there were large parts of the film when it seemed as if McKay could not decide really if he wanted to make a documentary or a live action movie. Maybe he needed the former aspect to make it look slightly realistic at least. But obviously badly-written and spoken (German dub I watched) narration plus a most random witch hunt against Fox News (lets not mention the liberal-biased left-wing CNN shall we) cannot make up for the endless amount of flaws included in this movie. Huge thumbs-down and the Oscars should be ashamed for giving this one such a great deal of attention. Highly not recommended. Perhaps the worst Oscar nominee 2019. Watch something else instead."
VICE,8 January 2019,6/10,"In The Big Short, Writer-Director Adam McKay tackled the financial crisis, it was one of the best films of that year.In Britain the Conservative Party saw the financial crisis as an opportunity to bring in reforms under the banner of austerity when they came into government.This did not mean putting extra measures into place to prevent another financial crash or pursue the wrongdoers. It did mean slash public spending. So now more people than ever are homeless, slash welfare benefits, go for years without pay rises. The fat cats have done alright though.McKay's satirical expose of Dick Cheney in Vice has the same attitude. When 9/11 happened, Cheney (Christian Bale) saw this as an opportunity to take power for himself and take rights away from Americans and others.It was done all in the name of National Security.The initial scenes of Cheney is a young, drunk, fat nobody. With the support of his wife Lynne (Amy Adams) Cheney lands in Washington and becomes a rising insider courtesy of smarmy, oily Donald Rumsfeld (Steve Carell.)When Cheney agreed to run for Vice President with George W Bush (Sam Rockwell) he had an eye on a power grab. When he became Vice President he made sure all the important people in the White House were under his control.Cheney used the concept of Executive Authority to widen the powers of the President and Vice President and override the checks and balances.Vice despite a remarkable performance from Bale does not wholly succeed. It's approach is not as fresh as The Big Short. The free wheeling attitude of The Big Short does not cut it here. I am not sure McKay managed to get a handle on his subject. He is just too darn elusive.Cheney is a monosyllabic bore. A cruel vindictive bully. Maybe he is not interesting enough for a biopic. Vice is just a little too messy and unfocused to be a cynical satire."
VICE,14 January 2019,9/10,"This is a biopic of Dick Cheney (Christian Bale). Like an Oliver Stone film, it takes liberties with the events, creating scenes to explain certain aspects. Unlike a Stone film, you know where it is fictional, such as the restaurant scene. The film opens with Cheney's past as a subplot. We can credit him, at least partially, for creating extreme right-wing media through the elimination of the fairness doctrine. He also pushed the ""Unitary Executive Theory"" which states the POTUS is above the law and can not commit a crime, something that is in the news with the current administration.Amy Adams made Lynn Cheney likable. Sam Rockwell made George W. Bush look like a clown. James Franco would have been better if that is what they wanted to do. Tyler Perry as Colin Powell. He has played Madea too much for me not to imagine Madea giving his UN speech, ""Honey, you don't want to mess with US.""There is some narration by a man named Kurt (Jesse Plemons). I don't know if his life was real or a fictional prop.Interesting to say the least to see the use of focus groups for word choice.Guide: F-word. No sex or nudity."
VICE,24 January 2021,7/10,"I have to be totally honest, I don't know a hell of a lot about Cheney, so I wanted to be educated, and entertained. Americans had Bush and Cheney, we in The UK had Blair, what a time.. My skin crawled when I saw Blair, I imagine many feel the same the other side of the pond.A very good film, interesting to see it from the point of view of Cheney, as opposed to Bush, his rise to power and prominence, and all that he did.I did find the film a little overlong, and drawn out in parts, but it's a complex story, one that needed time to develop. The September 11 sequences are harrowing, and bring back to life those abhorrent events on that horrific day.The highlight, Welshman Christian Bale, who once again proves beyond doubt, that he is one of the best, he's an awesome actor. Adams is great as Lynne, and seems to be the driving force.If The U.S does it, it can't be torture, I'm not sure as to the accuracy of events here, pretty shocking. This doesn't put Cheney in a particularly good light at all I would suggest.I found some of the cutaways a little jarring at times, I'm not too sure if they actually helped the flow of the film, or got in the way.What about the intelligence .... What indeed.Very interesting, 7/10. I feel like I've learnt something."
VICE,17 May 2019,9/10,"... President or a character trait? There is a reason they chose that title. Well that's me assuming of course, but you can see it too. What I didn't see, at least until I watched the movie, was Dick Cheney. This shines a very interesting light on a figure who had way more influence than many people knew at the time and maybe still are not aware of.And take Bale now - you might already be aware that he takes his acting seriously. Now with added makeup this goes even further. No wonder this won an Oscar (I don't think anyone bet against that) in that department. Sam Rockwell almost gets drowned/forgotten about in all this. And his George H.W. Bush Jr. is as good as Bale Cheney is. So while we can and probably will be stunned by the performances and how close they are to the real thing, the movie itself is gripping too. So it's not just a gimmick...this really is good"
VICE,2 March 2019,7/10,"I cannot wrap my head around the performance Christian Bale gave here as former Vice-President Dick Cheney. He was magnificent in appearance, tone and mannerism. Equally up to the task was Amy Adams as Cheney's ever faithful and devoted wife, dedicated to his personal and professional success. With that though, one would be cautious to accept everything presented in the movie as factually accurate, as much of the dialog that occurs between characters and the situations they engage in cannot be dependably verified. It is an entertaining movie however, and one I enjoyed well enough if you can hold your ideological convictions in check. Cheney could have been presented entirely as a villain, so it was noteworthy to see those instances of love and compassion he displayed as a family man, particularly when daughter Mary (Alison Pill) came out as a lesbian. The supporting players were well cast as well; Steve Carrell as Donald Rumsfeld was almost as spot-on as Bale was, and LisaGay Hamilton bore an amazing likeness to Condoleeza Rice. I didn't get the impression overall that the movie was made as satire or as comedy, but I do have to say that Sam Rockwell's take on George W. Bush bore all the earmarks of a Saturday Night Live skit. So as for those scenes with him in it went, it didn't take much to realize that the film's intent was as agenda driven as they come. But no matter, for a political movie I was willing enough to take the politics out of it as much as I could to appreciate the performances, and in a nutshell, they were all pretty good."
