Title,Date,Rating,Comments
1917,10 April 2020,9/10,"I am not particularly a huge fan of war films. Much of it is because they too often glamorize war or present bullet-proof heroes who are anything but realistic. However, I am glad I watched ""1917"" because neither of these problems exist in the story plus it's a very good depiction of war and the awfulness of it...particularly WWI.The story is very simple...two lance corporals are sent on a mad dash across enemy territory to alert troops on the other side of this no-man's land that they are walking into a trap. The film shows their journey and the thrilling finale.The plot is among the simplest I've seen in a war film and the movie is really about action and the men's struggle to sneak across the battlefield and alert their troops....simple. Yet it was made so thoughtfully and realistically that it really worked well. A brilliantly made film...among the best I've seen about war. But it's also very graphic and unpleasant....so be forewarned."
1917,13 April 2021,10/10,"There are some great WW1 films out there, the granddaddy of them all in my view being 1930's 'All Quiet on the Western Front'. Also appreciate many of the actors here, though they are in cameo roles, and Sam Mendes as a director (of the films of his seen, almost all, 'Spectre' is the only one to not do much for me). Roger Deakins and Thomas Newman are masters in their field, Deakins is one of the best cinematographers in the business and Newman's score for 'Road to Perdition' is a favourite.'1917' was seen for all those reasons. As well as because of the critical acclaim, with it being considered as one of 2019's year's best films. After seeing it, my thoughts are that the acclaim for '1917' is richly deserved in one of the best and most powerful films that year. It did connect a lot with me, due to watching it not long after reading the harrowing war diaries of my great-grandfather (who fought in the war and was mustard gassed and blinded).First and foremost, '1917' is a visual and technical achievement. It is beautifully and evocatively designed and Deakins' cinematography, with awe-inspiring and never gimmicky use of the long unbroken one take technique, is nothing short of masterful. Mendes ensures that the tension, even in the slower moments, never slips, keeping the intensity (at its best almost nerve-shredding) going.Newman provides another hauntingly beautiful score, that does stir the emotions in the latter parts of the film when things become more urgent. The sound is thrilling in its authenticity, so much so it was like being there. The film is intelligently scripted and to me the two lead characters, especially Scofield, were easy to get behind, interesting and their bond came over as realistic. The story is engrossing throughout, it briefly loses a little momentum just before the climax perhaps, but the first half is emotionally powerful and the climax is unpredictably intense.Such a good job is done too with showing the full horrors of war from a visual standpoint, a psychological one and in the unflinching action. Without going too far, the point of view not being hammered home. '1917' benefits hugely from the splendid lead performance of George MacKay and Dean-Charles Chapman is strong too despite his role not being quite as meaty. The cameos from Benedict Cumberbatch, Colin Firth, Richard Madden and Andrew Scott manage to make big impressions in short screen time.Overall, brilliant and powerful film. One of the best films personally watched in 2020. 10/10."
1917,28 December 2020,6/10,"Sam Mendes' 1917 is, like DUNKIRK before it, a visually impressive but ultimately hollow viewing experience. I mean, I love tracking shots in cinema, but this is just one after another and the effective becomes diluted and underwhelming after a time. The film is at its best when the characters are picking their way through labyrinthine trenches in some stunning visual moments, and there are some CGI-aided set-pieces which are phenomenal too. A great film to look at, then, which brings to life the battlegrounds of WW1 in a way that few films can. A shame that there's virtually no story to go with the visuals. Mendes decided to do the writing himself, which was a mistake, and the characters are dull and paper-thin despite the actors trying their best. There's suspense in the first half, then a great twist, but this proves to be the highlight of the film as things go downhill afterwards. The nadir is the bit where the protagonist forgets his mission to coo at a baby for ten minutes. At this point it's just treading water until the end thankfully comes."
1917,13 March 2020,8/10,"Lance Corporals Blake and Schofield are given an urgent message by General Erinmore to deliver to a cut-off unit to stop a planned attack. They travel across abandoned German positions and across German lines facing many dangers.This is directed by Sam Mendes with cinematography by the great Roger Deakins. It's a faux continuous shot. It's masterfully filmed. The tension is more limited until the action starts. It tries to raise the emotional content after the plane crash. It would work better if Blake starts as the main character. It could have been a great shock. That's what this movie lacks. It doesn't have the bite of great twists and turns other than the great resolution. Nevertheless, this is an exceptionally filmed war action movie and that it is worth every penny."
1917,5 August 2020,10/10,"Shades of Apocalypse Now. This film is a flawless integration of music, tension, cinematography, and an allegorical story. There are physical and intellectual labyrinths that this poor soldier must meander through. The two men are the usual cannon fodder used to manage a nearly hopeless task. When one is lost, the other cannot hold back. There are many close calls which teach us that at times one must chuck aside fear and endure. The trenches of World War I were like mazes, with death running through them. I have a hard time with war movies. I think this film will be remembered as we move forward in time."
1917,10 January 2020,8/10,"The command has realized that the Germans have pulled back for a trap on a British offensive. The telephone lines are cut, and the only way to get the orders through to the colonel commanding the offensive is to send two soldiers through the lines. One of them has special incentive. His elder brother is a soldier in the attack. If it goes through, 1600 men, will be wiped out for no purpose.... including the soldier's brother.It's a classic story-telling format that dates back to the ANABASIS: get from point A to Point B, only here it's just two men traveling through the alternating inferno of the Great War's front lines, and the bucolic springtime of northern France. Effective as that is, director Sam Mendes and cinematographer Roger Deakins have shot it, as near as they could manage, as one long take - after I had realized what they were doing, about twenty minutes into the film, I began to look for ways of editing things together. While I spotted a few, there was really only one obvious spot, and that was after more than an hour had passed.This deliberate effort to make this movie in this manner clearly has a point. It is a constant barrage, one long cinematic sentence that must be swallowed whole. It forces the viewer to take it all in in one piece, giving, perhaps, a hint of the overwhelming sensory overload of this struggle to get through.It certainly worked on me."
1917,22 January 2020,6/10,"""1917"" is a new movie, an American/British co-production from 2019, that was directed by Oscar winner Sam Mendes and he is also one of the two writers in charge of the script here, which is definitely not usual at all because this is his very first writing credit and this really makes me say: ""Why oh why Sam did you not start penning film scripts earlier?"" The outcome is really good and after seeing it, I am not too surprised that it is one of the big players this awards season and really took ceremonies by storm lately the way it won Best Drama at the Golden Globes, in what was definitely considered an upset. And won the PGA Award not much later. So you can probably say that this is the film to beat at the Oscars, even if Tarantino is also still in a good spot and I must say even if I liked this film here, I like Tarantino's work still a bit more. I still think it is better than Scorsese's newest as well as the overrated Parasite. But we talked about that one on another occasion.Now let me say a bit about these almost two hours we have here. The number in the title is of course a reference to the year 1917, during which World War I was still taking place, so this is a war movie from beginning to end and that makes it even more surprising that I really liked it you can say because this is perhaps my least favorite genre. So if you enjoy war-themed movies you will like this one even more. Then again, seeing all the horror, it is probably more of an anti-war film than a war movie by definition, just like Apocalypse Now for example. The cast includes some big names, but at the center of it all there are two young actors in the first half, and one of them in the second half and both are no big names. So a similar approach to Nolan's (overrated) Dunkirk, but even there the famous actors (like Hardy) had more screen time. The somewhat big names here are Firth (early on) and Cumberbatch (at the end) and maybe you will recognize Andrew Scott too, who is part of it early on. Or Mark Strong. Firth I liked. He usually plays sensitive characters, but he can pull off ""tough"" as well. Cumberbatch I just cannot see as a gritty soldier, especially not as the one who commands a unit, come on. Then again I don't think too highly of him as an actor anyway. Scott and Strong were fine.Now a few words, however, on the two young actors at the center here. They really deserve to be mentioned because they did a fine job. The one who is really in it from beginning to end reminded me physically of the young Andreas Lust and I cannot imagine I am the only German/Austrian who thought so. Anyway, this film is (a bit like Birdman) one shot basically from beginning to end. The action just blacks out in those moments when one character is unconscious or otherwise the camera moves away from the characters and this way they could have made it work. Of course, this was not all recorded in 2 hours and then it's a wrap. But it feels that way and that is why it is a success. It is so nicely written, I said that before, but it deserves to be said again. There are many very good moments that show how much attention to detail is included in this film. Just pay attention to how the guys are joking about trying to do a parody of a superior officer, but our hero just sits there with a really sad face expression due to what happened a little earlier. Or also this refers for example to the frame that includes how the older from the two sits in the grass next to a tree very early on and then also after the film when his big mission is over and he managed to warn the batallion. Or the mouse/rat scene with the animal falling down and running away and this way causing the explosion. Now that was really one of the most tense moments of the film, also how one character saves the other's life after that.Or not much later when we have the scene with the German pilot and his knife and he actually stabs one of the two and kills him before getting shot himself and this was such a shocking moment when you realize the kind-hearted boy from the two, who loves telling stories and who has a brother he loves very much and who has a mother/family that owns a garden etc., is actually about to die because you thought it is his mission to save his brother and everybody else in his batallion, but nope: It is the other who moves to the center of it all consequently and if you take a look at how he questions the entire mission after almost being killed and asks his friend why oh why did he pick him, there was some slight foreshadowing you can say. Oh well, I say that now. When the other kid was killed (in what was even a tragically altruist death because he, unlike the final one central character who just wanted to let him die, tried to save the enemy soldier's life and got attacked immediately afterwards), I did not think about it like that at all, so it is also a very surprising movie. Anyway, the one central character finally accepted the difficult task as we see when he pushed the other soldiers to really get the car moving out of the mud. Unfortunately, this was also the last scene of the film that really really impressed me and when he leaves this group, it gets a bit worse (or not as good anymore as everything before that I would say). Probably it is just personal taste, but the scenes with the French woman and child as well as all the German soldiers did not do that much for me sadly, even if they were technically flawless. There is no denying there. Also let me say that in these parts they nicely elaborated on the man vs. man (1v1) component and that was definitely executed convincingly, most of all the scene with one soldier who fires at our hero from far above.It stays a tense movie for sure, it just goes one step back from great to good I would say and then there is Cumberbatch too, which is not helping. Okay he is not bad or anything, but everything/everybody else is just better. Let me put it like that. So sadly, when eventually he meets his late buddy's brother, who is alive and well, it was not as emotional for me as it could have been. Nonetheless, I want to say again that there are so many quality moments that are also informative like when we find out why the Germans killed the cows or that there are soldiers in the British army with all kinds of ethnicities and colors and that made them strong too because the Germans (obviously with their take on race) do not have that. Two more things I want to mention are the really really good soundtrack and it would be nice if that one wins the Oscar and not the one from Joker and the second thing is the high-level cinematography. Roger Deakins. Do I need to say more? Glad that he does not have to wait for his second Oscar as long as for his first. He is safe for the win really. Finally, a few words on the two young men again. I think it has been a while since I saw a better example of friendship in film with how they interact and support each other and even save each other at times. And how of course the main character's journey was not only to save his comrades, but also to fulfill his friend's last wish and with that I do not only mean the letter to the mother.But even in the face of all that, we should not forget that our hero has his own fate and family and does not only exist to fulfill the fallen's last wish(es). We see that with the photos at the very end and the wish written on them. Also much better this way really than maybe them coming up with a romance story with the French girl or so. The film did not need that. But it needed their inclusion and we see that even with all the soldiers dying, there were also so so many casualties in the simple population (away from the military branch), such as probably also the baby's mother. Tragedy wherever you look. Every corpse you see, no matter which side he fought on or if he fought on any at all, had their own story. This film is really important because it reminds us of the cruelties of war and we should try all we can to make sure these times will stay a thing of the past for as long as mankind exists. And at the same time it tells us a captivating story about those affected by it all. I can only say I liked this one much more than ""Black Hawk Down"" and ""Saving Private Ryan"", films that have been considered classics for a long time, so even if you (like myself) are not too much into war movies, you should check it out, preferrably on the big screen at your local theater. There are so many scenes that are far more effective there (like the rat/mouse scene for example) than on a laptop/television screen. Go for it. Don't miss out. Great job by Mendes and everybody else!"
1917,23 January 2020,6/10,"Sam Mendes has made a technically bravura film which looks like one long take. Something he experimented with at the beginning of his James Bond movie, Spectre.Made by Dreamworks, the company's first shot for the Best Picture Oscar was Saving Private Ryan in 1998.The story is about two soldiers in World War One. Their mission is to make their way across no man's land, the abandoned German lines and reach the advancing Allied troops. They have to deliver a message ordering them not to attack as they are walking into a trap set by the Germans who want to give the impression that they are retreating.One of the soldiers has good reason to take this perilous mission. His brother is part of the Allied group and is in danger. Therefore the story owes a nod to Spielberg's Saving Private Ryan.Impressively photographed by Roger Deakins, it sets out to show the dirty horrors of trench warfare. The story though is slight and gets lost with the style of filmmaking that Mendes has employed.I thought it lacked the verve of Peter Weir's Gallipoli, a film which I kept thinking off when I watched 1917. This might be the reason that although it went into the Oscars as a frontrunner, it lost out on the main prizes."
1917,10 February 2020,7/10,"In April, 1917, Lance Corporals Blake (Dean-Charles Chapman) and Schofield (George MacKay) are assigned to cross a no man's land and a German line to deliver a message from General Erinmore (Colin Firth) to Colonel Mackenzie (Benedict Cumberbatch) calling off an attack to the German front. The military intelligence had concluded that the Germans have prepared a mortal trap that will kill one thousand and six hundred soldiers including Blake's big brother Lieutenant Joseph Blake (Richard Madden). Will they succeed in their journey?""1917"" is a good war movie but overrated with the nomination to the Oscar. The masterpiece ""Paths of Glory"" is also based on a World War I drama and is better and better, but was not nominated to the Oscar. ""Joyeux Noël"" that is also better than ""1917"" at least was nominated to the Oscar. ""1917"" has good direction, performances, sets and special effects and is also worthwhile watching. But not with the expectation of an Oscar nominated film. My vote is seven.Title (Brazil): ""1917"""
1917,16 August 2020,,"This is an impressive bit of filmmaking, and it won 3 Oscars for just that - however the areas of the wins are quite telling and fit with my experience of watching it. The wins were all technical in nature, which is fitting because 1917 is a film that very much impresses on its delivery first, and its content a reasonably distant second. It is sort of understandable, because the central plot is about rushed forward motion, and this does mean limited opportunity for the film is flesh out its characters and scenario. It does have a go at it, and does reasonably well, but mostly this aspect is a weakness.In terms of tension and thrills, it does well at its best, producing many good set-pieces through the run-time. The downside of this is that sustained periods without big moments, or engaging smaller drama, do give an up/down feeling to the pace of delivery. Broadly though, it flows well and takes the viewer along with it. Main reason though was the technical delivery. I am a sucker for a ""single-shot"" delivery, so I was already open to loving this film on that basis alone. Okay it is not one single take so much as a series of takes (longest of which is 8 minutes), but this is still hugely impressive and it gives the film the sense of movement and momentum that the narrative benefits from. Cinematography, lighting, sound, editing, effects - all the technical aspects come together impressively and it enough to carry the film over the weaknesses in other areas. The cast occasionally distract by virtue of their fame, but mostly they work well, and the two young leads sell their situations well.Overall though, I still ended the film thinking about the technical aspects than I was about the characters or the film as a whole - which isn't a good situation. When I watched The Irishman, I quickly stopped noticing the de-aging technology and just got into the film; however here the same didn't happen consistently - I found I was broken out of the film and was focused on the camera movement, editing etc."
1917,6 January 2020,6/10,"Two corporals set out across no man's land in WWI to deliver a message to a company to not attack, that it is a trap. One of the corporals has a brother in the group. This is a long drawn out story of two guys trying to make their way through France.I was not as excited about the two man war play as much as the Golden Globes. Oh, BTW war is ""last man standing"" so there is your theme that wasn't worth two hours of gun fire.Guide: F-word. No sex or nudity."
1917,13 February 2020,10/10,"I haven't seen Parasite yet, all I can say is that it must be fantastic, to have beaten this to The Oscar for best movie. The story is incredible, intense, moving, and of course a piece of reality. The raw human emotions is perfectly captured, the Cinema watched in silence, you could tell the audience were captivated.A cinematic Masterpiece, it looks incredible, a lavish, visual treat, the production values are outstanding, it looks and sounds terrific.. There are many moments from this movie that will live with me for a long time. The performances are outstanding, I wouldn't pick out a singular one, they are all terrific.War films are becoming a favourite genre of mine, Dunkirk from a few years ago, and now 1917.If you see one film this year, watch this, it is phenomenal. 10/10"
1917,31 March 2020,10/10,"You never know - usually it is not good for anything. Especially when it comes to single man missions. And this has the backdrop of real war (written all over it). And it also has the one shot movie - you know when there is no visible cut and according to the filmmaker there wasn't any? I mean there is one moment where we go completely dark, so ... and there is always a possibility to cut. But they swear they didn't do it here, so let's take that at face value.The effects are great, the cinematography was a shoe in for the Academy Award ... and it won. Not a surprise. Having said that, there is enough excitement and suspense to keep you on the edge of your seat. Masterfully played (especially if you think about how many takes it probably took to do this) and great production values. This is a masterpiece, no matter if the subject matter is your thing or not"
1917,18 January 2020,10/10,"Impressively filmed, the movie's staging, set design, lighting, cinematography and choreographed action sequences are all top notch and deserving of recognition. I should mention the soundtrack as well, which complements the story as two young soldiers progress their way through No Man's land to deliver an urgent message to a distant unit that faces annihilation. The film makers wisely selected two relatively lesser know actors for the film's protagonists so that celebrity wouldn't get in the way of the story. I was somewhat surprised that Dean-Charles Chapman, portraying Lance Corporal Blake, didn't make it to the end of the movie. His death before mid-picture left Lance Corporal Schofield (George MacKay) the unenviable task of making his way alone across enemy held territory to complete an almost impossible mission. Among a number of astonishing scenes, I was most impressed with the German plane crash that came within inches of claiming the lives of both men. Though the picture claims it's status as being filmed in one continuous tracking shot, there appear at least one or two instances where that might not have been the case, one in particular being quite obvious, even if masked rather well. Even so, the technique may very well earn Sam Mendes the Best Directing Oscar, along with Cinematography and Production Design. The trenches and battleground scenes are particularly impressive, especially near the finale in which the British unit prepares for it's assault. In any case, the picture stands as a worthy achievement in film making, and is especially recommended."
1917,26 December 2020,10/10,"I read the previous review, and saw that it was number 3,000, making mine the 3,001st. All that I can say is that Sam Mendes's ""1917"" is a mind-blowing movie. Filmed as a single shot, it shows the horrors that the British troops witnessed during World War I. The combination of acting, cinematography and musical score create something unlike anything that you've ever seen (not least because of the sheer intensity of the battle scenes). We in the 21st century can never truly imagine the misery of fighting in WWI, but this movie at least gives us a feeling of it.Anyway, fine movie. Definitely deserved its Oscar wins."
