Title,Date,Rating,Comments
FORD V FERRARI,8 May 2020,6/10,"""Ford v Ferrari"" is a film that has a very high overall score of 8.1...meaning that folks love the movie. As for me, I don't share this same level of enthusiasm. To me, it's an okay film with some nice driving sequences. I prefer films like ""Le Mans"" or ""Grand Prix""...mostly because the ending isn't as obvious and fore-ordained. In other words, if you know about the history of the famed Ford GT, you KNOW how well it did in the race that takes up almost half of this film. Still, the driving sequences are nice (not done with CGI) and the actors try their best....although the script occasionally (or more than occasionally) plays fast and loose with a few of the facts. Overall, very watchable but not a great history lesson and a film where you KNOW that the GT will eventually prove better than the Ferrari...otherwise, what would be the point of this film?!"
FORD V FERRARI,19 December 2019,9/10,"After being very behind with film watching and reviewing, a lot of my reviews this year being dedicated to individual episodes of shows, completest quests and some cartoons, finally made the decision to watch more films released this year and to finally review the films seen earlier this year but hadn't gotten round to seeing. 'Le Mans 66' was a very eagerly anticipated film, due to liking the lead actors and loving 'Rush' that this has been compared to by some, and one of the year's (quite hit and miss) more acclaimed films, so there was not any doubt about seeing it.'Le Mans 66' (often advertised though under the easier to remember title of 'Ford v Ferrari') doesn't disappoint a vast majority of the time, almost everything is right with it. Found it an exceptionally well made, acted, written and enthralling film and one of the year's must sees, also one of the few films this year where the advertising actually did it justice which is such a rarity in film (having lost count of the number of great films that were criminally mismarketed or misleadingly so). Seeing as 2019 has been another hit and miss year, with a fair share of good to brilliant films, a fair share of mediocre films or less (including clunkers) and films sitting in between, that is saying a fair bit actually and am not trying to sound like a snob here.It isn't without its flaws, though they are hardly any. Did find the character of Peter and his scenes rather too twee for my liking, like when the film cutaways to him where he pointlessly explains the action. 'Le Mans 66' already had a lot of emotional impact of all kinds, the character and his presence just didn't seem necessary.Maybe it is a little too long too, it could easily have done with being perhaps 15 minutes shorter and lessening or excising Peter's role would have made things better.However, 'Le Mans 66' looks great. Especially the editing, which is actually quite astonishing in the action-oriented scenes and can see some kind of nod for Best Editing at any of the big awards. Likewise with the sound editing, which is quite striking in its authenticity, 'Le Mans 66' capturing the spirit of the sport and the personal lives behind it beautifully. James Mangold's direction is stylish throughout, the action-oriented scenes have plenty of thrills and mostly the personal lives scenes are emotionally investable.Script is tightly structured and is nicely balanced. The story is always well balanced and some twee moments aside is always compelling. The climactic race is absolutely thrilling in every sense of the word. All the performances are spot on, with Matt Damon giving one of his better and most good-natured performances and Tracy Letts excels in his role, especially in his post-drive breakdown and his frankness during the Ford executive presentation. Best of all is Christian Bale in the film's most demanding role, he captures the uncomprimising attitude needed brilliantly.All in all, excellent and one of 2019's highlights when it comes to film. 9/10"
FORD V FERRARI,3 October 2020,6/10,"FORD V FERRARI wasn't exactly a film which the prospect of watching filled me with joy; I'm no sports fan in general and motor racing films generally leave me cold. Still, this one works well thanks to the quality pairing of Matt Damon and Christian Bale, who immediately establish a strong rapport which holds the movie together. I wasn't sure about Bale's accent as it veers a little too close to caricature for me, but he does win you over with his exuberance and charisma here so it's all okay. The rest takes the form of a traditional biopic with the expected white-knuckle racing sequences, which look a little too CGI-ey at times for me, but otherwise this works well."
FORD V FERRARI,24 February 2020,8/10,Racing champ Carroll Shelby (Matt Damon) has to retire due to a medical issue. His racing friend Ken Miles (Christian Bale) is seen as difficult and the IRS has confiscated his garage. Ferrari has been at the top of racing in the 24 Hours of Le Mans. The Ford Motor Company finds its sales going stale and Henry Ford II wants a big idea. Marketing VP Lee Iacocca has the idea to enter the race. They first try to buy Ferrari and Enzo Ferrari insults Henry Ford II. Iacocca recruits Shelby to create a racing car and Shelby recruits Miles to be his driver.This is an old fashion rip roaring good times. Damon and Bale are great. All the actors are great whether it's Tracy Letts being told that he's not Henry Ford or the villainy of Josh Lucas. It's a solid sports underdog story. It's fun like Caitriona Balfe driving crazy. The race is thrilling. It is a perfectly made old fashion movie.
FORD V FERRARI,29 August 2020,,"I love Christian Bale. For each of his roles. But , in this case, I adore him. Because he is real great. Because the""chemistry "" between him and Matt Damon is perfect. But the film gives more . An admirable portrait of Enzo Ferrari by Remo Girone,fine job of Noah Jupe , Tracy Letts proposing a great Henry Ford II and each scene being admirable crafted. A film about race, family and passion. A special one, in high measure, in profound sense."
FORD V FERRARI,21 November 2019,6/10,"""Ford v Ferrari"" is a new American/French co-production that is mostly in the English language and this could be one of the big players this award season. The director is James Mangold and with ""Walk the Line"" being a personal favorite (also because of the subject) and ""Logan"" that I also really enjoyed, I was definitely looking forward to his newest project. Mangold was not part of the writing team here this time, but it was nonetheless three people, namely the Butterworth Brothers and Jason Keller. But while none of them are rookies amymore, the only really experienced one here is the older Butterworth. Still looking at the film's massive running time of 2.5 hours, slightly over even, it is not too surprising that there are three writers credited. Must have been a really long script. Now as for the cast, it is basically two names only: Oscar winners Christian Bale and Matt Damon. There are experienced supporting actors in here too and you will maybe recognize their faces such as Bernthal, McKinnon or Letts (plus surprisingly familiar faces from NCIS and Prettly Little Liars in minor roles), but nobody comes remotely close to the star potential of the two in the lead. But they are both Team Ford here and not one of them Ferrari as you could have guessed from the title. Now this is major car racing movie, perhaps the biggest since Rush from over half a decade ago and if you liked that one, then probably you will like this one here as well. However, we are not inside Formula One this time, but instead the focus is on a competitive racing occasion mostly that is probably more famous in the United States and less famous here in Germany. I am talking about Le Mans or (if you want the long version) the 24 Hours of Le Mans, even if there are references to other races too like the one Bale's character needs to win in order to be allowed into Le Mans by Mr. Ford.So the movie is packed with racing references. However, there are other subjects too like family life, company policies and also the fact that riding sports cars will always be linked very closely to danger, maybe life-threatening danger even. Well certainly the latter. Even today, it is a dangerous sport and back then, it was even more the case. There is that memorable reference on several occasions that as long as you are getting out of the car you are fine. Otherwise... But lets not include further spoilers. Let me just say that the film of course stayed close to reality, so they had to include these developments at the end and certain other parts as well, even if a lot in here was fictitious and added for drama purposes. Which is okay. I knew I was not watching a documentary. For example, while Leo Beebe is not fictitious, but also based on a real person, I genuinely wonder how much about him in here was actually exactly like they showed it. If I was from his family, I probably would not be too happy about the way they depicted things. Aside from that, I thought it was slightly shallow and not too inspired how they depicted him as the antagonist, also with his sucking-up to Mr. Ford for example. The idea behind how he manages to ""steal"" Bale's character his glory was good though and nice not to have a really happy ending.Now let me also add a few words on the two central characters: As for acting and depth, it is really all about Bale, much more than about Damon. We do not even find out about Damon's family backgrounds and really the only thing we do find out about his background is very early on that he was a successful driver as well, but had to end his career because of health concerns and went into engineering then. And all his baitier scenes are basically also empowered by other characters like the carte blanche moment. It's not a too well-written character and I don't think Damon will get a lot of awards recognition here. If any at all. As for Bale, he may get more because he definitely has the better material and there is no denying he is also the more gifted actor. However, he is as always walking the fine line between really going all in and creating something great and going over-the-top and maybe for his character here he tried to make him too special. But maybe it was just my perception. Or the writing. For example when they are telling the guy about how it is not against the rules to change the brakes, it was a bit painful to watch how Bale was acting in that scene. But he has good moments too no denying and I don't think many actors would have played the part better. Still I did not find him (or Damon's character) as likable as they wanted me to.So all in all, I enjoyed the watch here. The film does not get close to Mangold's (what I mentioned early on), Bale's or Damon's best, but this is just because their best is so amazing and not because this one here would be bad or anything. On the contrary. It is fairly decent and felt shorter than 150 minutes. I give this film a thumbs-up, albeit not a 100% enthusiastic one. Go watch if you like the subject or either of the two lead actors or both would be even better. I am writing this as somebody who does not care too much about racing anymore and never cared about Le Mans, so you definitely don't have to in order to appreciate this film. It has from beginning to end some really nice attention to detail (just wanna mention one scene near the end when Mr. Ferrari briefly pays his respect to Bale's character and there are many other scenes, also slight fun moments like the stopwatch etc.) that makes it certainly worth checking out. Go for it."
FORD V FERRARI,22 January 2020,6/10,"Ford v Ferrari sees Christian Bale channeling his inner Nigel Mansell. He plays the racer Ken Mills, a war hero from Sutton Coldfield who became a maverick race driver for the fledgeling Ford racing team.Mills is recruited by former racer turned car designer Carroll Shelby (Matt Damon) who has been hired by the Ford Motor Company to turn around the company's fortunes by making their cars look hip. To do this they are going to knock Ferrari off their perch and win the Le Mans 24 hours race.Of course it is odd to see Ford, a corporate Goliath to be cast as the underdog here. The racing division is championed by Lee Iacocca (Jon Bernthal) but the fly in the ointment is Leo Beebe (Josh Lucas) a square peg in a round hole.In their sights is Ferrari, who themselves are struggling financially and have the temerity to object to being bought out by Ford. In retaliation Ford develop a racing car at a super speed with Miles testing it.Ford v Ferrari is an enjoyable if overlong melodrama, the Le Mans race scenes are done very well. I did find the portrayal of Beebe as the token villain to be facile. He was there to give the film unnecessary tension.The best performance is from Bale who leaves Damon behind."
FORD V FERRARI,15 June 2020,8/10,"""Ford v Ferrari"" is an engaging action film based on a true story, when the American manufacturer Ford decided to build the racing car Ford GT40 to defeat the Italian Ferrari at the ""24 Hours of Le Mans"" in 1966. The plot is dramatic, funny, highly entertaining and not historically accurate (in accordance with those that are fans of car racing), with Matt Damon and the magnificent Christian Bale in the lead roles. But the film never disappoints the fans of a great action film.Christian Bale was nominated in the Golden Globe in the category Best Performance by an Actor in a Motion Picture - Drama and ""Ford v Ferrari"" was Oscar Winner in the Best Achievement in Film Editing and Sound Editing and nominated to the Best Motion Picture of the Year and Best Achievement in Sound Mixing. These awards and nominations would suffice to indicate how good this film is and the viewer does not need to be a car racing fan to like and enjoy it. My vote is eight.Title (Brazil): ""Ford vs Ferrari"" (""Ford v Ferrari"")"
FORD V FERRARI,16 August 2020,,"For its stars, significant budget, and historical basis, Le Mans '66 is essentially a sports genre film that does more or less what you expect. This is not a criticism of it, but I admit approaching it thinking it would be a much stronger film that it was (in certain areas), although I still found it very entertaining. The plot follows a determined team of American engineers and designers, led by former driver Shelby and his 'difficult' British driver Miles, who are dispatched by Ford Motor Company to build the Ford GT40, a new racing car with the potential to finally defeat the dominant Ferrari racing team at the 1966 24 Hours of Le Mans race in France.In terms of drama, it is solidly constructed, but it is a bit practical and direct in what it is doing. The talented cast help the characters and scenes come to life more than they could have done, and generally they do more than enough to keep the viewer engaged and entertained between what are the main selling points of the film - the sports action. The races are excellent in how they are delivered and how they translate the tension and experience to the audience - I've gone off motor racing over the years but was easily into this as it played out. The dedicated to detail and correctness in the main events of the story telling also help, and it feels like a satisfyingly solid film. The production design adds immensely to the quality feel of the film - the sense of period and place is there in all the detail.It should be approached as a sports genre film, because that is what it is, but it is a very strong and well-crafted one throughout."
FORD V FERRARI,8 December 2019,8/10,"The film opens introducing three characters. Carroll Shelby (Matt Damon) only America to win Le Mans is forced from racing because of his heart. He is selling cars. Ken Miles (Christian Bale ) is a savvy independent race car driver with an attitude and no sponsors. The IRS just took his garage. Lee Iococca (Jon Bernthal) is attempting to convince Henry Ford II that if Ford can win Le Mans, it will sell cars. The three of them come together to try to make it happen.A well acted film with the right blend of drama, comedy, and action."
