Title,Date,Rating,Comments
JOJO RABBIT,9 April 2020,5/10,"I love Taika Waititi's work...so it's not too surprising that I'd want to see ""Jojo Rabbit""...his latest and strangest film project. His previous work, such as ""Hunt for the Wilderpeople"" and ""What We Do in the Shadows"", really impressed me. In light of this, it's very sad that I wasn't particularly impressed with ""Jojo""....though I must admit it was well crafted.The problem for me is that the film really ISN'T a drama nor a comedy. A few things, such as Sam Rockwell's outfit near the end of the film, simply are surreal and senseless. If you're looking for a hilarious movie, well, with all the death and Hitler in it, it's not the least bit funny. If you want a serious drama about the final months of the Third Reich, well, the film is often too light and carefree....an unusual case where the movie fails on both accounts with me. This being said, the reviews for this film are incredibly positive and you may well enjoy it....but for me, it's STILL too soon to be making Hitler-fied films like this one...especially since, unlike ""The Producers"", it really isn't funny."
JOJO RABBIT,3 September 2020,8/10,"Jojo Rabbit tells the story of the final days of World War II through the eyes of a
child. To be specific a member of the Hitler Youth. Young 10 yar old Roman Grifin
Davies is our protagonist in this story.When the Nazis gained power the Hitler outh was one of the most insidious ways of consolidating futue power. If they hadn't started the European portion of World War II who knows how long they could have stayed with a whole generation of youth indocrinated as it was.As with youth all over the world Davies is subject to peer pressure. He's not the
most athletically inclined kid around and has a problem with the physical stuff.
He has however an imaginary friend. The Fuehrer himself played by director
Taika Waititi encourages him on. The title comes when the kid gets sqieamish
about killing a rabbit and earns Jojo Rabbit as a title of derision.But his mother Scarlett Johansson is a lot less enthusiastic about the Nazis and she's taken to hiding a Jewish teen Thomasin McKenzie. When the lad
discovers this it puts him on the horns of a dilemma.Part drama, part comedy, part satire, Jojo Rabbit has something to appeak to all tastes. Jojo Rabbit won an Oscar for Best Adapted Screenplay and was
nominated for a flock of other Oscars inclding Best Picture and Best Supporting Actress for Scarlett Johansson.Once viewed Jojo Rabbit is a film that will linger on."
JOJO RABBIT,22 February 2020,9/10,"It's WWII and Germany is losing the war. 10 year old Jojo Betzler (Roman Griffin Davis) can't tie his own shoes and has an imaginary friend in Hitler (Taika Waititi). He is starting Hitler youth training under weary war veteran Captain Klenzendorf (Sam Rockwell). He refuses to kill a rabbit and the guys ridicule him as Jojo Rabbit. One day, he finds a girl living in the wall of his late sister's room. His mother Rosie (Scarlett Johansson) is hiding Jewish girl Elsa (Thomasin McKenzie).This is an inventive film. It is feel-good and heart-breaking. It has comedy and tragedy. It is an outside-the-box, brilliant film from the unusual Taika Waititi. The kid is brilliant. The best friend is funny. ScarJo is terrific. There are some big-time emotional gut punches. There are surprising turns. This is one of the year's best."
JOJO RABBIT,1 April 2020,,"It is a precise diagnosis for present. Touching , poetic, subjective in profound sense, naive, off course.In same measure, it is well crafted satire. And a nice- bitter parable.And a challenge, scene by scene. The prize is the parallel between the performance of young Roman Griffin Davis and David Bennent in The Tin Drum or Archie Yates and Danuel Pipoly in The Lord of Flies. Short, that kind of film easy to define as useful for part of its public or boring, supperficial, violent for others. . Because it seems too much,it is heartfelt and precise and its purpoise, so obvious is just to discover, in its fundamental traits and its nuances, the near reality. So, provocative in many senses."
JOJO RABBIT,27 October 2019,8/10,"Roman Griffin Davis is looking forward to a week at Hitler Youth Camp. When he fails to demonstrate his dedication to ethnic purity and Nazi ideals by breaking the neck of a rabbit, the rest of the campers start call young Johannes -- that's Master Davis -- ""Jojo Rabbit"". He runs off, naturally, and confers with his goofy imaginary friend, Adolf Hitler, who informs him of the ferocity of rabbits. So Roman runs back, where Sam Rockwell is about to give all the boys a chance to throw a grenade, grabs one, and winds up scarring his face and behind. When he gets out of the hospital, his mother, Scarlett Johansson knees Rockwell in the ... well, it's not the behind.All perfectly normal in the year 1945, as the Thousand Year Reich's ever victorious army is being shredded, with Russian, American, British, and probably Chinese armies are about to march on the town. It's when Roman discovers that his mother is hiding Thomasina McKenzie, a Jew, in the floorboards behind his dead sister's room, that things begin to get odd. She takes his knife away from him, but they eventually reach a stalemate, because if Miss Johannsson finds out he's found out, then Elsie will have to go. So instead, he begins quizzing her on her diabolical schemes to take over the world, where are the horns on her head * and so forth. It gradually begins to dawn on him that he may not have understood reality perfectly up to now, which is startling for a boy who has achieved the great age of ten and a half to realize.It's a weird movie about children being asked to grow up too fast. The only movie that feels at all like it is THE DEATH OF STALIN, and this feels way weirder to me. After all, one of my grandfathers was a communist, but everyone agreed that Hitler was the worst person ever. It was so obvious that even the goyim had figured it out, although it took them a war to reach the startling conclusion that someone who had been screaming about Jews, Slavs, Blacks and homosexuals for more than twenty years, and who had killed, oh, all of them he could manage, might not be the nicest guy in the world. It's certainly upsetting to think of him as a goofy imaginary friend.I know what you're thinking. You're thinking ""here's an American Jew who grew up in the aftermath of the Second World War, when about a third of his family had been killed in the Holocaust -- which some of you deny ever happened -- so he has issues! It's not like some one vile, like Justin Trudeau, John Wayne, or Walt Disney, was a goofy imaginary friend, which is impossible, because they were evil incarnate.""Well, we all have issues, don't we? This is one weird movie. Is it a great movie? It's a weird one.
* A question I got asked in Colorado in 1971"
JOJO RABBIT,2 February 2020,6/10,"""Jojo Rabbit"" is a new American 2019 movie and one of the big players this awards season. First of all, I want to say that it is quite ironic that this film came out pretty much the same time here like a film based on a famous German book about a pink rabbit, but international readers have most likely no clue what I am talking about, so I won't go any further into detail about that. Instead, let's elaborate on these slightly over 105 minutes we have here. Director Waititi is a big star in Hollywood now already obviously as he also gave us his take on the Marvel universe, but this film here is the one that means even more breakthrough for him. He is also credited as the one and only writer who adapted the novel into the screenplay. If it wasn't for Peter Jackson, you could also say that he is the biggest filmmaker from New Zealand ever already, even if he missed out on the Academy Award nomination for Best Director, but he was probably close. The only acting nomination for the Oscars went to Scarlett Johansson and it seems the Academy wants to make it up this year for her by giving her two nominations even after ignoring her for so long. This one here is also her better shot at the win, even if both are very unlikely.Lead actor Roman Griffin Davis, who plays the title character, was nominated for a Golden Globe despite his young age. I am not too mad about that. He was pretty good for sure and especially in the second half, he almost carried the film solely on his shoulders with Johansson and Waititi out of the picture. Yes, Waititi also acts in here. You can see on the poster which character he plays. I am not sure I can write the name and my review will get through. Then again, he does not really play the character, he just plays how a young boy perceives said character if he was his best friend. Sadly, while Waititi was incredibly funny and gave a great performance and also I think had he had more screen time, then he could have been nominated for a supporting Oscar too, I struggled with the way they included him. The things he said frequently felt just written and for the sake of it and not what a boy would make out of them, if he was really a figment of his imagination. This applies especially to the Churchill scene you can also see in the trailer, but also the last appearance from said character when the boy almost banned him out of his mind felt out of place. By then, clearly all his sympathies were gone, so they simply should not have had him return, even if the way he got kicked through the window was pretty epic and funny (like Tarantino blowing himself up in ""Django Unchained""). Don't get me wrong, I think the character added a great deal of entertainment and Waititi gave a really good performance, but in the overall picture it did not feel right to me beyond entertainment.The cast includes other familiar faces too: Sam Rockwell is doing fine as always and his two acts of kindness stay in the mind. He did not have too much screen time, but when he was on, he was really commanding and you can see why he is an Oscar winner now. I still think he looks way younger than he is. By the way, he was gay in this movie, wasn't he? So he had his own tragic story too that we did not find out too much about. Rebel Wilson is just in it for some funny punchlines and that is alright. She is easy to recognize in every film she is in, but great range she has not, especially not when it goes beyond comedy. But the audience in my showing clearly loved her and I can't deny Waititi wrote her as good as it gets. At the end, we find out that, unlike Rockwell's character, there is really no hope for her soul. Proud Nazi until the very end. Now I already said RDG was pretty good in the lead, but the one I liked even more was Archie Yates. I am not yet sure if it was his performance or just his material, but this kid was a riot honestly. Every scene with him was a winner and I hope I can see him in other projects soon. In general, they did a great job with the casting here. Nobody feels that they could not work the part and I also include Thomasin McKenzie with that. She gets more screen time the longer the film goes and while her story is definitely the most dramatic from all characters involved, she has lighter moments like everybody else. I just wondered why she really believed these letters came from her boyfriend and how she really knew towards the end that he was dead if she did not even know who won the war. Oh well, minor script flaws, but this one still has a shot to win an Oscar there. Script and maybe costumes are the only shots the film has really. Still more than most others. I do think the script would not be undeserving.This film peaks especially with the dialogue writing (there are so many examples, not just Waititi's character), but also those moments when the girl towards the end steps out into the light and can leave the house again without having to fear death. Or the many excellent ways in which Waititi breathed life into the clash between innocent childhood and the cruel world around them. How the boy says near the end that the Germans won and that she must stay was just one example. It had nothing to do with him being evil, just with him being afraid of losing her. Or when he attacks her with the knife and the wound is almost non-existent. All this shows he is a good boy, also because of the way he was raised. He loves his mother dearly and does not see her as an opponent (except the ""rat"" moment maybe), even if he is not happy about her not telling him about the hidden girl. We see him cry so hard when the mother is dead. There are serious moments for sure, but still I think young people can and should watch this film. So does Johansson's character early on when she shows him these people who were murdered for not supporting the Nazis. This is one from a handful scary scenes. Rockwell's final moment. How they turn poor children into soldiers... Another would be right at the very start, the scene with the rabbit, the one that gives Johannes the nickname we see in the film's title. Again this scene shows that he is not evil or cold-blooded and his only reason for being with the Nazis is that he wants to belong somewhere. He basically just repeats what he hears, the best example is all about the Jews really that he also wrote in his book. It shows that he is curious and wants to make up his mind himself when asking the girl about her kind. He does no longer want to just blindly accept what other people say.Speaking of the girl, this scene with Merchant's character (seeing him first in the trailer I thought it was Lars Eidinger) is among the most memorable from this film. Of course, it is incredibly tense and scary, but it is also over the top (in an entertaining way) and really funny near the end when we see what Jojo wrote and painted about Nathan, the girl's boyfriend. The butterfly scene from before that also stays in the mind. Or the chubby kid's words (for example ""not a good time to be a Nazi"" he was really good in making the simplest statements about really complicated aspects and they still felt real). So yes, this film definitely has far more positive to offer than negative. There were scenes and moments that did not feel too authentic and realistic to me, like some quotes by Jojo felt more from a grown-up and written than actually from a boy his age, which is maybe my biggest criticism. Or how he finds the girl I struggled a bit with. Yes he is a curious boy, but that was really too much effort if you ask me. Or the physical conflict between the two when the girl shows him her strength and that the Germans/Nazis are not really superior in terms of strength. It's not a perfect film, but one that is highly entertaining and stays very memorable too. And even with the sad aspects like Johansson's character dying, it is not a depressing film. The boy lost his mother, but remember he is not an orphan. His dad is still out there somewhere and he can probably return eventually. Or that he basically, one way or the other, has a sister again with what the two went through together that will always unite them. So it is also an uplifting film. This also has to do for sure with what Waititi had in mind about people all ages that should see the film. He certainly succeeded and he would not have, had he turned this into a super depressing political or (anti-) war movie without light moments whatsoever. Instead it is these light moments that dominate the film. Sometimes it had a touch of Wes Anderson to me.And don't be distracted by everybody speaking English here despite the film being set in Germany. This was just a decision because they did not want to cast German actors all along and I don't mind or care at all. You can still watch the German dub if that is a problem for you. For me, it was probably only something that slightly confused me for five minutes or so. Okay I guess this would be all then. I think the rating here on imdb is a bit too high and I can see why some critics did not like it too much, but I personally felt it worked really well as a satire, so no hesitation for me in giving this one a thumbs-up and a positive recommendation. It may not be among the best films of 2019, but it certainly is a good achievement and I would say instead, it is among the most different films of the year and truly a unique achievement that oozes creativity and deserves to be checked out for that reason alone. Finally, I want to add as a little closing statement that I watched the film from the perspective of somebody who has not read the book it is based on. I don't think it is necessary at all to do so in order to enjoy the movie, so I cannot talk about differences and parallels between this film and the base material, but I doubt the book is bad or anything if it results into such an interesting film. Certainly closer for me to 4 stars out of 5 (maybe on a rewatch), but for now I will just go with 3."
JOJO RABBIT,4 February 2020,5/10,"Jojo (Roman Griffin Davis) is a 10 year old boy in Nazi Germany. A lifetime of indoctrination has given him a hatred of Jews. He has been drafted into the Hitler Youth where he does not fit in. He is nicknamed Jojo Rabbit and bullied by the older boys.His mother Rosie (Scarlett Johansson) is raising Jojo alone. His father is missing, his sister is dead. He discovers that his mother has been hiding a teenage Jewish girl called Elsa (Thomasin McKenzie) in the attic. To make his life more complicated, he has an imaginary friend, Adolf Hitler (Taika Waititi.)This would had been a brilliant film if the Monty Python team had made it in their prime. If Mel Brooks had made this, he would have added a song and dance number called Springtime for Hitler.Instead Taika Waititi's film left me cold. It had an air of smugness and self congratulation about how zany this movie is. Only Sam Rockwell caught the spirit of the film with his Captain Klenzendorf, a soldier who knows the war is lost. This is such an uneven film and the satire is off target too many times.Eventually Jojo and Elsa reach an understanding but at times I thought I was watching an episode of Allo Allo."
JOJO RABBIT,2 February 2020,8/10,"Jojo Rabbit (Roman Griffin Davis) is part of the Trump Youth Group. He is a ten-year-old boy who likes to dress up, be part of the club and play Nazi. Hitler (Taika Waititi) is his imaginary friend. As the war closes in on Berlin, he discovers a Jew (Thomasin McKenzie) hidden in the closet. His mother (Scarlett Johansson) is part of the resistance.The film depicts the Germans in a comic fashion similar to ""Hogan's Heroes."" In spite of the dark background, the film is mostly light. Sam Rockwell gives us a comical performance.Guide: No swearing, sex, or nudity."
JOJO RABBIT,23 January 2021,8/10,"I thought this was bags of fun, who said that satire was a thing of the past, Jojo Rabbit prices that it is alive and well..It's one of those films that will have you laughing one minute, crying the next, then awkwardly chuckling in the scene after that.It's very well acted, very well made, the production values are actually very, very strong.I saw this on its release with a few friends, it was my choice, faces were pulled at the thought of it, but everyone enjoyed, one quibbled before the film that she thought it was going to be offensive, it isn't, it's all tongue in cheek.I look forward to seeing it again, I recommend. 8/10."
JOJO RABBIT,7 April 2020,10/10,"So Taika Waititi is an exceptional director and this is proof of that! I mean who'd take Hitler as an imaginary friend (source material is way more serious apparently, haven't read it) and not just run with it, no pun intended, but make a funny, engaging and heartfelt movie with it? Well the answer lies in front of you and is ready to be enjoyed.Although to be fair, there is not just enjoyment and there are quite a lot of scenes here that will make you cringe to say the least. It is not just about showing violence for what it is (explicit), but also finding a balance with the humor. There is a let's everyone say ""Heil"" that seems to go forever, but the scene as akward as it is and seems, still works.JoJo Rabbit has a few things that happen in the background or are not really talked about (see Sam Rockwell and his ... ""hidden"" love, which while obvious is never spoken out literaly) - there are so many little gems in this movie, handled with so much care and dignity, it really is amazing. I know and heard some be offended even before seeing it and never really plan to watch the movie - which is their loss I reckon, but better that way than being offended by something that is widely considered as being funny and as delicate as it can be"
