Title,Date,Rating,Comments
LITTLE WOMEN,20 April 2020,6/10,"I read through many of the reviews for this 2019 version of ""Little Women"" and noticed that most reviewers adored the film. Because of this, I assumed I also would love the movie. Sadly, however, I was left feeling ambivalent about it...and I noticed that my wife and oldest daughter felt pretty much the same way.I won't talk about the plot...after all, there's a summary on IMDB and lots of reviews talk about this. What I should mention is that the film is much more like the book than previous versions....a plus. But the reasons I still did not love this film are what stop me from recommending the film. First, there simply is too much story to cram into a little over two hours. If you are going to try to stick closer to the book, then perhaps consider making it a mini-series. This is because although the film is more like the book, to do this they also omit a lot of things....making the story seem a bit disjoint and confusing. Second, I really didn't think they did a good job of helping the viewers to actually care about the characters. Some of this was because the little women in the story were poorly chosen--much too old in some cases (the 12 year-old early in the story looked to be about 20). Some was because the choppiness of the story really harmed the film because the characters just seemed one-dimensional. Overall, a decent story but even with its sticking closer to the book, I much preferred the 1990s version...which was much more charming, fun and likable."
LITTLE WOMEN,3 January 2020,9/10,"Louisa May Alcott's 'Little Women' has long been one of my all-time favourite books and love 'Good Wives' just as much. The story is just so charming and fills me with joy and emotion every time, all the major events are memorable, the major relationships beautifully fleshed out and all the characters are interesting and well defined, as well as worth relating to. There is no wonder as to why it is so oft-adapted (and generally very well).It is such a good story and the characters are so good that it remains timeless regardless of how many it is read and how often it's adapted. The latest adaptation, written and directed by Greta Gerwig, responsible for 'Lady Bird' (one of my favourites from its year), and starring Saoirse Ronan, Emma Watson, Meryl Streep and Laura Dern (the four biggest names), is the eighth adaptation. And along with the 1994 film with Winona Ryder and Susan Sarandon and the 1933 film starring Katharine Hepburn it is one of the best. Some may not be totally enamoured with it as an adaptation, as the chronology is different and there is a lot of back and forth, but on its own terms it left me and my sisters totally satisfied.Will admit to not being completely grabbed at the start, with it being the worst case of the backing and forthing from Jo's point of view not always working. On the most part this aspect does work surprisingly well, but there were times where it was confusing and not always easy to tell straight away what was the past and what was the present and that was the case with this 'Little Women'.Although the acting is outstanding nearly all-round, for me Louis Garrel was somewhat bland as Professor Bhaer. The character is not the most interesting character in 'Good Wives' in the first place, but with his role being so small here the character felt very underwritten and Garrel doesn't bring an awful lot to it.These two problems are vastly outweighed by everything else and the best of everything else is fantastic. Three things are especially good. The production values are exquisite throughout, the costumes are evocative and the settings have a cosiness and charm that reminds me fondly of the period films of films from MGM in the 40s and 50s. The darker look of the present scenes contrast beautifully with the warm looking past ones. Just in case one is wondering, that is a compliment or at least to me it is. Alexandre Desplat is one of the best film composers working today and his score fits the film and the spirit of the story perfectly, the triumphant moments exploding with sumptuous joy and the emotional ones enhanced by the sorrowful-sounding orchestration. Ronan is quite sensational as Jo, one of her best performances to date in a performance that is sensitive and spirited.Everybody else, Garrel excepted and that was to do with the limitations of the role, also excels. Have not seen Watson better than here, epitomising sympathetic charm even in her desiring of better. Florence Pugh is truly excellent as and the embodiment of older Amy which suited her more than when playing her when younger. While criticisms of her being less convincing as younger Amy where the character is more petulant and spoilt it is not easy not making younger Amy too bratty (especially in the burning of the book incident), it is not hard to see as to why this has been a breakthrough year for Pugh. Eliza Scanlan is a very moving Beth, especially later on, while Laura Dern is a sincere and loving Marmee, Timothee Chamalet is a charming Laurie and has great chemistry with all four leads (especially Ronan) and no other actor for Mr Laurence has made my heart melt more than Chris Cooper. Streep is a very amusing Aunt March.Regarding the storytelling and character writing, 'Little Women' is a near triumph. The story is heart-warming and moving, although the chronology is different and sometimes coherence is affected the spirit and a lot of the major events of 'Little Women' and 'Good Wives' are intact and with full impact. The transitions from past to present and vice versa are mostly quite seamless. Loved the interaction between the four sisters, which charmed, amused and moved in equal measure throughout, while this adaptation is the best at including and fleshing out the triangle between Jo, Laurie and Amy. Jo and Beth's chemistry was incredibly heartfelt and for me the film's big tragedy was heart-wrenching (same with my sisters and everybody in the cinema in a packed auditorium male and female and of all ages), and having Jo's strength and struggles as a writer mirroring Alcott herself was a clever move and a valid one considering Jo was a personal character for Alcott. Almost all the characters are well defined, with strengths and flaws and how they dealt with their triumphs and struggles. Gerwig directs with great confidence and the script sparkles, the charm and poignancy of the story and Alcott's text never lost or jarring.Summing up, a great film and what a way to spend New Year's Day. 9/10"
LITTLE WOMEN,25 March 2020,9/10,"It's the classic American story by Louisa May Alcott about the March sisters; Jo (Saoirse Ronan), Meg (Emma Watson), Amy (Florence Pugh), and Beth (Eliza Scanlen). During the Civil War, their father is away helping the Union troops. Their mother Marmee (Laura Dern) leads the girls in doing good deeds for the community. Theodore 'Laurie' Laurence (Timothée Chalamet) is the new boy moving in with his rich grandfather. The movie opens with young adult Jo trying to sell a story in New York City. It would alternate between the adult sisters and their younger teenage selves.I have never read the book although this is the fourth adaptation, among the countless versions, that I have seen. Greta Gerwig has changed it up and in the process, has given even more depth and more life to the characters. She has added to the theme of the story. She divides the movie into about half teenage years and half young adult years. In many ways, the romance between Amy and Laurie is given more space to grow. Saoirse, Florence, and Timothée gave the movie three great performances. They are backed by solid work from the likes of Laura Dern and Emma Watson. My only problem is the furnishings in this house. It's a little too nice considering that they give away so much to the needy. Overall, this is the best adaptation of the four that I've seen."
LITTLE WOMEN,12 February 2020,,"After brilliant versions, what to expect ? Beautiful costumes, fair atmosphere, nuanced performances. And wise, in final, ignore of chronology. And all is good first for lead actors and for the gifts to young Saoirse Ronan and Timotee Chalamet and Emma Watson and Louis Garrel to give their Little Women.For us, the brilliant columns - Chris Cooper and Meryl Streep, not ignoring Laura Dern or Jayne Houdishell . So, a nice adaptation. Not great, not memorable , not the best. Only beautiful. And polite."
LITTLE WOMEN,13 January 2020,7/10,"It's beautifully shot, beautifully acted, and I understand that in order to appeal to succeeding generations, any classic must have some point that the latest kids will find telling. Nonetheless, Greta Gerwig's efforts to make this appealing to modern, Fourth Wave Feminists by having everyone from Meryl Streep as Aunt March on down go on about the subservient position of women in this era, by having Saoirse Ronan as Jo March write Little Woman, and then get into an argument with the publisher, insisting that the character remain unmarried. This destroys the ending, but of course there are more important things,The actors are excellent, particularly Laura Dern as Marmee. Chris Cooper as Mr. Lawrence does not, alas, get his fake-ogre introduction. Despite the beautiful camerawork and acting, the flash-forward-flashback structure imposed on the movie and the modernist interpretation destroys the film for me. I'll stick to the 1933 version, and perhaps revisit the book."
LITTLE WOMEN,2 February 2020,6/10,"""Little Women"" is a new 2019 film that runs for over 2 hours and, fittingly with the title, this is the most recent filmmaking effort by successful actress, but now even more successful writer and director, Greta Gerwig. Still considerably younger than 40, she is slowly but steadily turning into the most lauded female filmmaker from her generation, especially if we restrict this description to Americans. She may not have succeeded a second time with gettting in for Best Director at the Oscars, bit looking at the huge success with awards bodies for ""Little Women"", I am sure she isn't too sad about that. The latter also includes a screenplay nomination for Gerwig herself and from what I have read, the film definitely has a chance to triumph and get her her first Academy Award. It's maybe between this one and ""Jojo Rabbit"" with ""Joker"" being a potential dark horse. My money would be on ""Jojo Rabbit"", but we will see what happens next weekend. As for the other nominations, this film has no chance to win Best Picture, Best Actress or Best Supporting Actress. Pugh's inclusion for the latter was a bit of a surprise already, but having watched the film now, I believe it is not undeserving at all as her turn was among the best aspects this film had to offer. I am personally happy for her too because I liked her in other projects. Desplat may be a legend by now when it comes to soundtracks, but there the chances are also fairly slim. A win for Costume Design seems more likely and again the main opposition in this category comes probably from ""Jojo Rabbit"". So much for the awards and this was really just a slight reference that does not remotely reflect all the awards this film has been nominated for (and won). So it is not a surprise by any definition that this has turned into the most known adaptation of Louisa May Alcott's novel by now. By far. There have been far more adaptations than you would think, but maybe it needed Gerwig's take on the subject because she is a female too to really make a major impact. Then again, I prefer the idea that she is just really talented and that is why it turned out such a success.For Gerwig, it is her second collaboration with lead actress Saoirse Ronan in a row and as both have resulted in Oscar Lead Actress nominations for the Irish-American actress, we can expect there will be more movies between these two in the future. And not just because of that. What is at least as important is the high quality obviously. I think they made some really wise decisions with the cast here. Ronan is among the very best actresses from her generation. Watson has been there for a while too, even if the really big awards attention is still missing for her. In any case, she is a gigantic crowd magnet. Florence Pugh has joined the elite too with her recent portrayals and finally Eliza Scanlen I must admit I have not been familiar with before this film, but she is okay, does not have too much to work with though, not the material to really stand out the way her co-actresses do. The girls' mother is played by Laura Dern. She has one or two occasions to shine, but other than that, her character is also mostly there to propel the girls. She can live with that as she is pretty safe for winning an Oscar this year for another supporting performance. Bob Odenkirk I was quite happy to see here as I am a big Breaking Bad fan and also like his spin-off show. Shame he is barely in this one here. Chris Cooper is a nice addition as always and plays a truly likable character. Meryl Streep is in the very first scene and has 2 or 3 more scenes later on and there is some great presence to her character, even if she is not featured too heavily. This description applies to others as well.The one male character who is really a lot in this film is played by Timothée Chalamet. I don't need to say much about his background, do I? He has been everywhere recently. His frequent inclusion here is no surprise because his character's lifestyle, but even more so his relationship with the girls, is a major aspect from beginning to end. This especially applies to his scenes with Pugh and Ronan. With the youngest sister, there is no connection and with Watson's, there is only one scene when he tells her he finds her beautiful (even if he does not like her dress). I kept wondering throughout the film if he will end up with one of the girls. His somewhat final words to Ronan's character when she rejects him stay in the mind that she will find somebody else and he will watch because this is excactly how it happens at the very end when Garrel's character returns. Even if it was maybe not too easy for Laurie (Chalamet) to witness, it was still somewhat funny how he kept asking who this man was because he saw her being attracted to him. So no dark bummer ending here. Besides, even if the protagonist (Jo/Ronan) reconsidered her decision and wanted to be with Chalamet's character despite not loving him, it was all good the way it turned out because he seemed happy with Amy in the end and she loved him since day. You can see romance is really the key aspect here. Still, this is a film that will make you laugh here and there too. The audience in my showing loved the maid's statement about Garrel's character being so handsome towards the end. And the 2 minutes of hair struggles (how she sold them, what Amy says, how she cries over her lost hair, not over her dad) were funnier than entire 90-minute full comedy films. I loved it.Of course, in addition to that, we also get a great deal of drama, even tragedy. The latter especially refers to the youngest sister and her fading health. When we find out she died, it's clearly the saddest moment of the film, especially because right before that, things seemed to have improved considerably and we also see Amy around again, who had to leave earlier for a while because they had to avoid her perhaps getting sick as well. Still, it was these events that made the sisters form an even stronger bond. Of course, there are conflicts, not only about men, but also the ones all sisters have with each other. One is sad because she is not allowed to join the others to the theater, so she burns the protagonist's writings. But she regrets her act immediately after and apologizes. Still, as a direct consequence, the protagonist does not warn her about the ice not being too thick at the center of the lake and the younger sister almost drowns there. Some truly shocking moments, even if we sort of knew what was about to happen. They hug it out immediately afterwards. Now I just mentioned the writing. This is just one area in which these girls are talented. Each of them has creative drive: One is an aspiring writer. One is a talented painter. One is a good musician. And the last one (played by Watson) may have aspired to become an actress as we only find out through one quote.Maybe it is this creative force that for me resulted in the impression that every time all four of them were together on screen, you could really feel their energy in the room. This was especially true during the scene when we have the four meet Chalamet's character for the first time. The moment when we find out about Meg's talent (Watson) is also one that is very telling about Ronan's character. She says that her sister should leave with her and try to become an actress instead of staying with her man because she cannot see why somebody would choose a relationship over passion/talent, especially a woman. She played a very progressive character in these really not emancipated times of the Civil War. At the end, the central character falls for somebody herself, so she is not entirely against the idea anymore of her fictitious(?) character marrying at the end of the book. So she is about to have a marriage with somebody she adores (Garrel) as well as have a career to be an independent woman. It is possible. I think the way they combined her talking with the publisher with her happy romance ending was very smartly executed and edited. In general, this film shows amazing attention to detail at times.Still, I cannot say this was a perfect watch. Here and there I struggled a bit with it, but then again period pieces are not exactly my number one preferred genre. There is of course no hesitation for me in giving this film a thumbs-up, but nonetheless I shall elaborate a bit on what I did not like that much. It was mostly just minor moments. For example, I wondered why Streep's character was so worried about financial aspects as she was really rich herself and probably could have provided for every family member easily if it was necessary. What I struggled a bit more with were the jumps in time. I would have preferred chronological narration altogether. When Jo was sporting her new haircut, it certainly helped a bit with seeing at what point in time we are right now, but before that it was difficult, especially because there was an unusual jump back in time (7 years) really quickly after the introduction that is really not seen too often when a film just started 20 minutes ago or so. The make-up helped a bit too in understanding which year it was at that point. Oh well, maybe it was just me who struggled to understand and it will get easier on rewatch. Nonetheless, there is no doubt for me that the good moments this film has are far more frequent than the weaker ones. So it gets a positive recommendation from me for sure. I generally do not like saying a film is more suitable for a female audience, but looking at the gender proportion in my showing and how much (judging from screams and noises) women in the crowd seemed more involved with the story (let alone, this being at its core a story about 4 girls), I think it may be somewhat true for this one here. So go watch it with your girlfriend for her birthday perhaps. She will love you even more afterward. By the way, I was really surprised how full the theater was. It deserves to be seen. Go for it."
LITTLE WOMEN,7 January 2020,10/10,"This is a classic book done with an all-star cast in an entertaining fashion. Saoirse Ronan gives us an Oscar-worthy performance as Jo March. It is a story of life for four sisters in Concord, Mass. during the Civil War with an absent father. They bring out the issues of women's struggles in social class and economics. Jo does not want to get married and doesn't know why she can't love Laurie (Timothée Chalamet). This is the extent of any lesbian hints. All the women want to be independent, but the era prevents them from achieving their primary dreams, except for Jo. I wish Margot Robbie had played Amy."
LITTLE WOMEN,19 January 2020,6/10,"The original novel by Louisa May Alcott, released as two volumes in 1868 and 1869, is an enduring classic, and has produced a good number of film adaptations. There were two silent films in 1917 and 1918, was the 1933 Katharine Hepburn (first sound) version, there was the 1949 Elizabeth Taylor/Janet (first colour) version, there was the 1994 Winona Ryder/Kirsten Dunst/Claire Danes version, and there was the 2018 modern day take to celebrate the novel's 150th anniversary. With Awards Season coming up, this seventh feature film adaptation was being tipped for a few award gongs, directed by Greta Gerwig (Lady Bird). Basically, set in the nineteenth century, it sees the struggles and adventures of the four March sisters, going backwards and forwards in time. In 1868, Josephine ""Jo"" March (Oscar, BAFTA and Golden Globe nominated Saoirse Ronan) is a teacher in New York City. She goes to an editor, Mr. Dashwood (Tracy Letts), he confirms he will publish her work, subject to considerable editing. Her sister Amy (Oscar and BAFTA nominated Florence Pugh), in Paris with their wealthy Aunt March (Meryl Streep), sees childhood friend Theodore ""Laurie"" Laurence (Timothée Chalamet) and invites him to a party. At the party she is angry at his drunken behavior. Meanwhile, Jo meets with Friedrich Bhaer (Louis Garrel), a professor infatuated with her, and he gives her constructive criticism of her work. Afterward, Jo gets a letter saying that her younger sister Elizabeth ""Beth"" (Eliza Scanlen) has gotten sicker, so she returns home. In 1861, in Concord, Massachusetts, Jo and her older sister Margaret ""Meg"" (Emma Watson) go to a party where Jo meets Laurie, the grandson of their neighbour Mr. Laurence (Chris Cooper). On Christmas morning, their mother, affectionately called Marmee (Laura Dern) persuades the girls to give their breakfast to their poor neighbour, Mrs. Hummel (Sasha Frolova). Upon returning home, the girls are surprised to find their table full of food, provided by Mr. Laurence, and a letter from their father fighting in the Civil War. Jo visits their Aunt March, who invites Jo to Europe with her. Amy is invited in by Laurie, following a school punishment for misbehaving in class, before her family comes to take her home. When Meg, Jo, Laurie and John Brooke (James Norton), Laurie's tutor, go out one night, an angry and jealous Amy burns Jo's writings, upsetting Jo. Amy attempts to apologise but to no avail. The next morning Amy chases Jo, ice skating with Laurie. Amy breaks through the ice and almost drowns but is saved Jo and Laurie. That night, Jo expresses guilt over what happened to Amy. Mr. Laurence's grumpy nature is softened upon meeting Beth, he learns of her musical talent and offers her the use of his grand piano. In the present, Laurie visits Amy to apologise for his behaviour at the party. Later, he urges Amy not to marry Fred Vaughn (Dash Barber), but to marry him instead. She turns him down, thinking she is the second choice, after Jo, she also turns down a proposal from Fred, only to learn that Laurie has left for London. In the past, Marmee is informed that their father is ill from the war in Washington, D. C. Jo sells her hair in order to help their mother travel to care for him. Beth is given the piano from Mr. Laurence, but contracts scarlet fever from an infant, part of a family of poor people she was helping. Amy, who has not had the disease before, is sent to Aunt March. Marmee comes home early when Beth gets worse, but she recovers in time for Christmas, with their father surprising the girls returning home. On Meg's wedding day Jo tries to convince her to run away, but Meg tells her she is happy getting married. Aunt March announces her trip to Europe but decides to take Amy instead of Jo. After the wedding, Laurie admits his feelings for Jo, but she insists she does not feel the same way. In the present, Beth's condition worsens, and she eventually dies. Later, Marmee reveals a devastated Amy was returning home with a sick Aunt March. Jo wonders whether she was too quick in turning Laurie down and writes him a letter. On their way back, Amy tells Laurie she turned down Fred's proposal. The two kiss and later marry on the journey home. Returning home, Laurie catches up with Jo and they agree to just be friends. Outside, Jo throws away the letter she wrote for Laurie. The next day, Jo begins writing a novel based on the lives of her and her sisters. She sends the first chapters to Mr. Dashwood, and Bhaer turns up at the March house on his way to California to teach. In New York, Mr. Dashwood was unimpressed, but his daughters found the chapters of Jo's book and ask how it ends. He agrees to publish the book, as long as Jo amends her ending so that the main character will marry. Jo then chases after Bhaer and stops him from going to California. She negotiates copyright and royalties with Mr. Dashwood. Later, Jo has opened a school in Aunt March's house, who gave it to her after she died. Her book has been printed, titled Little Women. Also starring Jayne Houdyshell as Hannah. Ronan gives a trailblazing performance as the tomboyish sister, Pugh is splendid as the aspiring artist sister, Watson and Scanlen are fine, and there is good support from Chalamet, Streep, Dern, Cooper and others. The past versions did the story in linear order, this version going backwards and forwards in time does put a new spin on things, the script is fresh and does embrace the source material well, it is charming and has a splendid use of colour and costumes, a memorable and worthwhile coming-of-age period drama. It won the Oscar for Best Costume Design, and it was nominated for Best Motion Picture of the Year, Best Adapted Screenplay for Greta Gerwig, and Best Original Score for Alexandre Desplat, it won the BAFTA for Best Costume Design, and it was nominated for Best Adapted Screenplay, and Best Original Music, and it was nominated the Golden Globe for Best Original Score. Good!"
LITTLE WOMEN,18 June 2020,,"My wife and I watched this at home on BluRay from our public library. There are several interesting ""extras"" on the disc.This is writer/director Greta Gerwig's movie. Most of her life she has admired the literary work, and has admired Alcott. She jumped at the chance to write the script and direct the movie. The result is a movie a bit different from prior versions and with Gerwig's own spin of what she thinks Alcott would have preferred.We enjoyed the movie but frankly some of the editing choices made it difficult to follow the story and to differentiate between the times when the girls were younger teenagers and when they were young adults. It added a bit of confusion which took away from the viewing pleasure.In this version Jo is played by Saoirse Ronan. I am a big fan of hers and to me her two best roles are in ""Hanna"" in 2011 and ""Brooklyn"" in 2015. But the role of Jo was not the best for her, I think Maya Hawke did it much better, was more authentic as Jo in the 1997 3-hour miniseries.But those are not major points, we enjoyed this movie even though we both think the editing was more confusing than helpful to tell the stories here."
LITTLE WOMEN,16 January 2020,,"I didn't know the story beforehand, so I was rather confused by the non linear story line. I do one the costumes and the acting in the film."
