Title,Date,Rating,Comments
JUDAS AND THE BLACK MESSIAH,5 August 2021,8/10,"The FBI, led by J. Edgar Hoover, is focused on taking down the Black Panther Party and other leftist movements. Agent Roy Mitchell (Jesse Plemons) pushes car thief Bill O'Neal (LaKeith Stanfield) to be his informant and to infiltrate the Illinois chapter of the Black Panther Party. It is led by charismatic Chairman Fred Hampton (Daniel Kaluuya) who is trying to improve Chicago and battle the racist police force.There is an obvious connection to today's events. It's of its time and the present-day time. It's definitely taking a point of view but one can't really argue against it. For sure, it's slanted. Roy Mitchell is the key to finding balance but Jesse Plemons doesn't give him enough depth. He has one fascinating talk about Emmett Till. That's an interesting road to go for that character but it feels like he stops short. He turns into just another callous racist cop when he could be deeper. As for the other characters, Stanfield is the standout and Kaluuya is the saint. Both are great in their roles. This is a very compelling story and its relevance makes it more powerful."
JUDAS AND THE BLACK MESSIAH,11 September 2021,6/10,"""Judas and the Black Messiah"" is an American English-language movie that premiered in 2021, so really recent indeed and I got the chance to see this on the big screen the other day. I was also a bit surprised how the open air theater was really packed that day compared to previous days. It probably also had to do with the good weather, not just with this movie, even if I do not want to take anything away from it in terms of quality. The movie runs for over two hours and that makes it a fairly long movie. There is pretty much every awards season one movie with focus on African Americans that really scores big, frequently two or even three films as well, and this is the one from the 2020/2021 awards season. It took home many, many awards, including two Oscars. One was for Daniel Kaluuya and that was no surprise because he dominated the awards season really from beginning to end and was the only safe Oscar win on Academy Award night if we look at the four acting categories. The second Oscar went to Best Song and that was surely a surprise because if I remember correctly, the song from this film that indeed won was only number 4 in terms of probability with the bookmakers. I must say I am still a bit baffled by that win. Did not find the song particularly memorable. Maybe it had to do with the subject, but even there they recently went for Elton John over songs about slavery, so yeah it stays a mystery. Apart from that, the film was also nominated for Best Picture and Best Screenplay and there was another acting nomination in the category that Kaluuya won, plus finally a nomination for the cinematography, the one category where maybe the biggest Oscar night upset happened. If we look at Best Supporting Actor though, it is a bit debatable if Kaluuya was really supporting. He was probably no less lead than in Get Out. In that film, by the way, Kaluuya and LaKeith Stanfield were starring together as well with the latter's character really not having a lot of screen time. In this film here, Stanfield is lead, not open for discussion. Even with Kaluuya getting first credit and Stanfield being nominated for a supporting Oscar, he is 100% lead.The man (yep, a man, you cannot be sure with this name) behind this movie most of all was writer and director Shaka King. Some short film works, a stoner movie, some television work and now this. Really shows you that it does not matter what you worked on in the past. He was definitely in the right spot at the right time and even the Best Director nomination was not far away. But this year, they picked women and Asian Americans mostly instead. That's okay. King was one of three writers here too. The other two are no big names either. One has worked on a few fairly famous television shows and the other was more of an actor in the past. Definitely a breakthrough for all of them with the Oscar nomination(s) here. And I do not mind the writing nomination at all. It's a tensely written movie with nice attention to detail and I enjoyed the watch as I stated in the title of my review already. I really struggle to this day with the film's title though. Of course, they want Kaluuya's character to be seen as somebody groundbreaking, a great speaker with lots of willpower and dedication, but the comparison to a KKK leader that we hear on several occasions from the bad guy is not entirely absurd. Let's be very clear here. The Black Panthers were a group of radicals. It's absolutely wrong to compare Fred Hamton to the Messiah, i.e. To Jesus Christ. The ways in which he connected groups and managed to do away with boundaries may be one parallel, but his take on the White race is nothing to be proud of at all. Of course, the movie, in times like these with Hollywood more liberal than ever, cannot depict the character as an antagonist. By the way, with the Fred Hampton inclusion here, you could watch this film together with another new movie (that was also nominated for a Supporting Actor Oscar), namely The Trial of the Chicago 7. Hampton is part of that film too, obviously played by a different actor.Anyway, I am not too happy with Kaluuya's win. Nothing wrong with the actor or performance, but yeah, this category has become a bit of a category where they focus on Black actors receiving awards. I mean this is fine if they really give the best performance, but the absurdity of Kaaluya not getting in for lead or especially Stanfield being campaigned as supporting is really an embarrassment. As for Kaaluya, I guess they awarded more the character he portrayed than really the acting performance with how much of a strong leader Hampton was. Interesting also to see what career paths his partner (romantic) and his son took after Hampton's death. We find out about that before the closing credits. I cannot talk a lot more about the cast here, simply because I do not know most of the actors. Two exceptions though. Martin Sheen is one, but his role and screen time are so limited that even his biggest fans may overlook him. This could also have to do with the make-up I guess. But Jesse Plemons from Breaking Bad gets a well-deserved mention. He plays the third-biggest character and has not a lot to work with, but when there is something like the scene when he is supposed to talk about his daughter or when he basically blackmails Stanfield's character to get what he wants, he is really nailing his parts so well. Would have been nice to see him nominated in the supporting category because he really belonged there in terms of screen time and his character's significance, but also in terms of how good his performance was. It's kinda hilarious he is now having a better career than basically everybody from Breaking Bad and that may also include Cranston, but then again Plemons is much younger than all the other key players, even Paul. But yeah, I guess the latter was the one you could have expected to break through after the end of the show, but nope it's Plemons reaping all the success and I am optimistic he will be nominated for an Oscar too one day. This film is another piece of evidence that he is on the right track. I also liked the scene in which he joined the rally/speech and acts like everybody else when he supports Hampton with his voice and fists.Aside from that, you get the usual. Some romance linked to Hampton's character and he is even about to become a dad. Inclusions of other influential Black leaders getting killed, which is a bit of a build-up to Hampton's death, but the Judas component is also omnipresent as Stanfield's character is really only an offender to some extent. He basically does not have much of a choice. Also once again because they cannot depict the Black character as a real antagonist with the state Hollywood is in right now. He may have robbed these other Blacks, which makes sense they showed it this way because Black-on-White crime was not really an option. The talk about a badge being more dangerous than a gun was kinda interesting though, even if perhaps a bit too obvious. But yeah, later on Stanfield's character is also threatened by Plemons' that he will reveal his identity which would certainly result in him being killed by his own men. Just like how it happened to somebody else before that. Or actually it didn't as we find out in another exhibit of how Plemons' team are the really bad guys here. They let somebody else happily get away with murder if it works in their favor. Of course, Stanfield's character is still impressed by Kaluuya's, which further adds to the intention that we should see him as a likable guy too, even with how he tries to sneak out of the building and how he eventually is the reason for Kaluuya's character's death. He gives the latter the drink that has him deep asleep. He tells Plemons' character what the apartment or house looks like in detail. He does not pull the trigger on Hampton in the end, but kinda indirectly he does. Or you could say he was just a pawn and if not he, then somebody else would have done it. There the film also offers interesting aspects at the very end when we see the real life version of Stanfield's character and what he has to say about all that. Not likable at all with how he sees himself there, but you can also wonder how much of it was his true self with his (apparent?) suicide following the night of these massive revelations.Okay, that's pretty much it. Overall, there is unfortunately a great deal of agenda with this movie, but it's still tense and entertaining and sometimes even thrilling, so no real hesitation for me here in giving this a positive recommendation. Still, you should only watch it for entertainment reasons and not if you are looking for historic accuracy. The attention to detail is quite nice though. I mentioned some examples, but you could also take the one other Black fella he meets at the club and who is maybe just another pawn. You will probably focus on the woman there initially, but she is just a side character to these two men. How the other man gives him his fake badge from early on was also interesting, even if the sound effects coming with this moment were surely a bit over the top. Yeah, I think the positive here is more frequent than the negative and especially Stanfield and Plemons turn it into quality for the most part. Try to look beyond scenes like those in which we see Kaluuya's character turn his enemies into companions or how unlikely it was there that a guy from the car scam from very early on was around and you can enjoy the watch here too. I still think it is a bit (or more) of a shame that the movie did not put more objectivity on display, but tried to fit certain agendas. I am not surprised though. So yeah, decent film all in all, but nothing more and the awards attention and also the ratings here on imdb and other websites are far too high. It's watchable though, highly at times. There's worse ways to spend 125 minutes I guess. But also better ways and better (2021) movies."
JUDAS AND THE BLACK MESSIAH,31 May 2021,6/10,"There is a lot of extrajudicial killings in Judas and the Black Messiah.It being set in America in 1969 should be cause for concern. The murders were carried out by the FBI and local police forces.The film examines the rise of young Fred Hampton (Daniel Kaluuya.) The fiery and passionate Illinois chairman of the Black Panther Party.To J Edgar Hoover (Martin Sheen under a ton of make up) any black man wanting racial equality either peacefully or violently should be terminated with extreme prejudice.William O'Neal (LaKeith Stanfield) is the small time car thief who pretended to be an FBI agent. He is coerced by an FBI agent Roy Mitchell (Jesse Plemons) to be a mole in the Illinois Black Panthers.O'Neal sees Mitchell as a role model. He is a man who never seems to have had one. At least Mitchell might be someone who believes in civil rights. Although Hoover and the FBI do their best to corrupt his world view.Kaluuya has the showier part with his blazing speeches, you can appreciate Hampton's passion and zeal. No wonder Kaluuya became the first British black actor to win an Oscar.Stanfield has the trickier part and his role was underwritten. I felt distant with his scenes and I thought the film never got his angle, just whose side was he really on. It's a question Mitchell asks at one point.The film loses something when Hampton is not present. It should had been his movie and I felt if director Shaka King wanted to focus on O'Neal. He should had followed his life more more after Hampton's death.The movie is framed with O'Neal giving an interview for a PBS documentary called Eyes on the Prize 2 broadcast in 1987. O'Neal comes clean about his role as an informer. He committed suicide on the night his episode was shown."
JUDAS AND THE BLACK MESSIAH,27 February 2021,8/10,"This is the story of Black Panthers leader Fred Hampton (Daniel Kaluuya ) who lead the Chicago branch. He had one too many bills. It is also the story of Bill O'Neal (LaKeith Stanfield) the FBI informant who assisted in getting Fred assassinated by the FBI and Chicago Police. The story starts with Fred already as a leader and with Bill getting arrested and becoming an informant.I imagine the role of the traitor was a tough one for LaKeith Stanfield who came through as a reluctant informant. While the film touches on the black struggle, he is not weighed down with being preachy , just letting the facts speak for themselves.Guide: F-word. No sex or nudity."
JUDAS AND THE BLACK MESSIAH,16 July 2021,9/10,"Black Panthers - a quite complex group with a lot of history and a lot of things being done to them for what they overall stand for. And the movie on hand here is also quite complex. Because while we understand from the title what the two main characters are standing for, it is not as easy as that.Also this is seen more from the perspective of the ""Judas"" character. Which I reckon you might think of as a bad or good thing. I'd say it works very well for the movie. Now I should also say that I am not or rather was not aware of the story or what actually happened and the real life characters and how it actually all played out.Having said that, the movie does a very good job getting us into the head of that one main character. Even if we may not be entirely sure of his motivations or think we're not, he's out there to save his own skin - survival and all that. There is one scene where ""Wild Bill"" seemingly is completely furious and yells and all that ... just to change his complete behavious when he gets out and in his car. He starts to smile, he's almost kind of proud of his performance. Something that another character also points out to him (Academy Award being mentioned).So the acting is really good. And the Oscar nominations, but also the win are testament of that. Finally cinemas are open again and we are able to watch movies like this in Germany. Very well structured with some back and forth and some extra pointers and explanation of what happens after the movie is over ... a quite intriguing story to say the least ... and one that probably will make you mad ... for all the right reasons. Still a long way to go ... but reminders like this movie right here (hopefully) help."
JUDAS AND THE BLACK MESSIAH,8 April 2021,7/10,"This is a good companion film to a competitor in this year's Academy Award nominations for Best Picture, ""The Trial of the Chicago 7"". Both deal with civil unrest and the fight for racial justice at a time in our nation's history that more and more seems to resemble our present day. History recalls Fred Hampton as a fiery activist, and his portrayal on screen by Daniel Kaluuya depicts a dedicated if controversial leader in the Black Panther Party. It's frightening to see his calling for violence in the streets and death to 'the pigs' in the face of overwhelming odds against a superior police force. On the flip side, it's just as frightening to witness the tactics used by the FBI and it's agents to coerce Bill O'Neal (LaKeith Stanfield) into a position to rat out his brothers in the cause. Leading the charge was FBI Director J. Edgar Hoover, who had complete disdain for the Panthers and virtually anyone who didn't conform to his brand of patriotism. It wasn't until the credits rolled that I learned it was Martin Sheen depicting Hoover; his face was so weirdly made up I would never have recognized him. Over all, I can't help but feel the timing of this movie can only bring further divisiveness to a country already split in two on virtually every point of political ideology, and feel inclined to echo Special Agent Roy Mitchell's (Jesse Plemons) poignant remark to the reluctant O'Neal - ""I'm all for civil rights, but you can't cheat your way to equality""."
JUDAS AND THE BLACK MESSIAH,24 February 2021,10/10,"For years I had heard about Fred Hampton. As a community organizer in 1960s Chicago, he was influential in uniting various groups in an armed struggle. Not surprisingly, this made him a prime target of the police.Shaka King's ""Judas and the Black Messiah"" focuses both on Hampton and on William O'Neal, a car thief hired by the FBI to infiltrate the Black Panthers. What the movie really introduced me to was the passion with which Hampton gave his speeches in calling for revolution, as well as how the FBI manipulated O'Neal into betraying Hampton.Daniel Kaluuya gives an outstanding performance as Hampton. His fiery orations make you feel as if you're present in his audience. The rest of the cast is mainly there to support him, namely LaKeith Stanfield as O'Neal. Nonetheless, it's an excellent movie, showing the power of one the US's most important political movements, and the government's aim of crushing it (make no mistake: J. Edgar Hoover - played by Martin Sheen in the movie - was a truly evil person). As Hampton said, you can kill a revolutionary, but you can't kill the revolution."
JUDAS AND THE BLACK MESSIAH,22 March 2021,7/10,"I saw the positive review by Mark Kermode on the BBC News, and then the nominations were announced for Awards Season, and I'm glad this was getting a good amount of attention, it made me much keener to watch it. Basically, set in the late 1960s, seventeen-year-old petty criminal William ""Bill"" O'Neal (Oscar nominated LaKeith Stanfield) is arrested in Chicago for attempting a car hijack whilst posing as a federal officer. FBI Special Agent Roy Mitchell (Jesse Plemons) approached him and offers to have the charges dropped if O'Neal works undercover for the bureau. O'Neal is assigned to infiltrate the Illinois chapter of the Black Panther Party (BPP) and its leader, Fred Hampton (Oscar, BAFTA and Golden Globe winning Daniel Kaluuya). O'Neal begins to grow close to Hampton, who works to form alliances with rival gangs and militia groups while extending community outreach through the BPP's Free Breakfast for Children Program. Hampton's persuasive skills in the chapel eventually help to form the multiracial Rainbow Coalition. Hampton also falls in love with BPP member Deborah Johnson (BAFTA nominated Dominique Fishback). O'Neal begins to relay intel to Mitchell, who in return compensates him with money. O'Neal learns later from Mitchell that George Sams (Terayle Hill), a fugitive Party member, has been hiding out in the local BPP office and is an informant, allowing the bureau to obtain search warrants. After Hampton is arrested and imprisoned, O'Neal begins to rise through the ranks and is promoted to security captain. When a shootout between the Chicago Police and the BPP occurs at the chapter office, O'Neal sneaks out as the office is bombed by the police. Afterward, Mitchell rejects O'Neal when he wants to quit being an informant. After Hampton is released from prison while appealing his charges, he reunites with Deborah who reveals she is pregnant with his child. BPP member Jake Winters (Algee Smith) is enraged learning of the death of fellow member Jimmy Palmer (Ashton Sanders), who was hospitalised after being shot by a police officer, Palmer is killed while being transferred to another hospital. Winters engages in a shootout with police, killing several officers before being gunned down himself. After Hampton's appeal was rejected, FBI Director J. Edgar Hoover (Martin Sheen) orders Hampton be ""neutralised"" before he returns to prison. Mitchell corners O'Neal into helping with the plan, threatening to expose him to the BPP as an informant, and O'Neal reluctantly agrees to help. O'Neal is later handed sedatives and ordered to drug Hampton's drink. The next evening, BPP members gather at Hampton's apartment before he is taken to prison. Hampton is offered money from an allied gang leader to flee the country, but he turns it down and instead uses the money to establish a trust under Jake's name. As the evening progresses, O'Neal reluctantly drugs Hampton's drink and leaves soon after. Hours later, officers and agents raid the apartment and shoot Hampton dead, also taking Deborah and others into custody. Later, O'Neal meets with Mitchell, giving him money and keys to a gas station he owns. O'Neal attempts to quit again, but reluctantly accepts the money and keys. It ends with archive footage of Hampton's speeches, his funeral procession, and an interview O'Neal gave in 1989. The epilogue explains that O'Neal continued to work as an informant within the BPP before committing suicide. A lawsuit was filed against the FBI in 1970 and twelve years later was settled for $1.85 million. Today, Fred Hampton Jr. And his mother serve as chairman and board member of the Black Panther Party Cubs. Also starring Darrell Britt-Gibson as Bobby Rush, Get Out's Lil Rel Howery as Wayne, and Dominique Thorne as Judy Harmon. Kaluuya is superb as the charismatic and fearsome civil rights activist, Stanfield is equally good as the man spying on the organisation, and in his short time, Sheen is well cast as the monstrous Hoover. I'm not going to pretend I know (or care) a lot about politics or religion, but with Black Lives Matter and equality issues in recent news, this film feels like it came at the right moment, as it perfectly captures the period, the tumultuous times of racial injustice, with great performances, a thriller-like atmosphere, style, and humanity, it is a watchable biographical drama. It won the Oscar for Best Original Song for ""Fight for You"" by H. E. R. (also nominated the Golden Globe), and it was nominated for Best Motion Picture of the Year, Best Original Screenplay, and Best Cinematography, and it was nominated the BAFTAs for Best Cinematography, and Best Casting. Very good!"
JUDAS AND THE BLACK MESSIAH,6 April 2021,,It is a intense and sad film about the fight for civil rights. Great acting. It's a good watch.
JUDAS AND THE BLACK MESSIAH,14 September 2021,7/10,"As a relative newcomer (i.e. Non-American) to the stories surrounding Fred Hampton, I approached this with some degree of scepticism. I was not a fan of ""The Trial of the Chicago Seven"" (2020) and was expecting something along similar lines. Thankfully, this is a completely different style of film that attempts to explore, explain and develop much more about the personalities involved. The premiss here being that the FBI plant a man (""O'Neal"") amongst his brethren to help them keep tabs on the activities of their man of interest. Both LaKeith Stanfield and Daniel Kaluuya as the hugely charismatic Hampton excel in their roles. It's not a straightforword good v evil, or even black v white style of story. Shaka King has created a much more nuanced assessment of the men, the system, the prejudices and intolerances - across the board - in a way that is raw yet refined. Does the end always justify the means? Are we in the realms of saints and sinners, or are there just those who sin a bit less - or a bit more justifiably? These are questions we are asked and for which we are encouraged to draw our own conclusions. Perhaps I would have liked a more substantial performance from Martin Sheen as J. Edgar Hoover - not for star purposes, but because i felt the story could have benefitted from more exposure to the views and policies of a man (on behalf of a Government) who clearly had an agenda that here is rather undercooked. Still, it is a fine example of provocative film making that shies not from some of the least savoury aspects of human nature. Well worth a watch."
