Title,Date,Rating,Comments
MANK,24 July 2021,7/10,"""Mank"" is a film that seems as if it was never intended to be seen by most of the public. And, while most film critics and the Oscars loved the movie, the average person would have doubtless left the theater (or Netflix) completely confused. After all, to really appreciate the film and follow it, you need to know who folks like Irving Thalberg, William Randolph Hearts and many of Herman Mankiewiecz's contemporaries. I do, mostly because I am a retired history teacher and old film nut...but I am also not the average person. For them, I really feel sorry, as the film bounces back and forth in time and involves all sorts of people long dead....and soon to be forgotten.*The story is a semi-fictionalized biography of Herman Mankiewiecz and it centers on how he wrote ""Citizen Kane"". The problem is that the movie goes on the assumption that he pretty much completely wrote the script and based it upon his contact with Hearst and his mistress, Marion Davies. While this is true...it's partially true according to most sources. The contributions of John Houseman and, especially, Orson Welles, are almost completely ignored by the film. So, my advice is don't take the film as the gospel truth...though I do appreciate how the film also manages, at least a bit, to show that Marion Davies was NOT the talentless idiot she was shown to be in ""Citizen Kane""...something that just seemed cruel from that screenplay.Overall, I found the film fascinating and with some excellent performances. But it's also not a film that I loved...mostly because it seemed to have an agenda...one that was more important that giving the entire truth.*This film is full of inside jokes and cleverness that completely passes over the heads of most viewers and that annoyed me a bit. For example, when talking about the author Upton Sinclair, one comment made was that someone was so dumb that they thought he wrote ""Elmer Gantry""...a book, incidentally, that was written by Sinclair Lewis (though they never explained this confusion nor why it is easy to make for most people). This just seemed awfully elitist."
MANK,15 April 2021,5/10,"I agree with those who feel cheated because this film lacks the effort to show us the personalities of those who made movies in the golden days. Mankiewicz is so random and so troubled that I couldn't get a real direction. From word one I had trouble feeling any sympathy for this man. Gary Oldman is startlingly good, but the direction and writing put him on the stage alone. I would love to have gotten to know a bit more about the other characters from Thalberg to Hearst. I really looked forward to seeing this and sadly will not watch it agaain."
MANK,5 July 2021,4/10,"""Mank"" is an American mostly English-language movie that premiered back in 2020 and now finally reached movie theaters here as well and it was a long and hard road to watcht his one I can only say without wanting to go any further into detail. The outcome was unfortunately not as satisfactory as I would have liked it to be. I got mostly curious about it because this film was one of the biggest players this recent awards season and took home two Oscars as well. The one for its production design was expected by many, but the trophy for its cinematography came as a bit of a surprise because Nomadland dominated the awards season until that point in this category. I think the visual aspects are probably among the film's biggest strengths, so I am not entirely against these nominations. However, there are many nominations that I cannot really be supportive of. Most of all, Best Picture. This was not only not one of the best eight films of the year, but not one of the best 80 films either, maybe even 800 if we count international releases there too. Fincher's nomination is a bit baffling too. He has directed many films over the course of his career that are far greater achievements and have not really received a lot of praise. Admittedly his nomination is still more understandable than Amanda Seyfried's. I even like the actress, but her turn here has nothing to it that deserves awards recognition. Her hair was kinda nice. With Gary Oldman, you could say that he deserves it more, but I am not sure either. I mean it was almost painful really how this movie felt like nothing but a vehicle to propel his awards ambitions and with the nomination, you can say again that they were tricked. One baity moment after the next, but nothing really fit as a story overall. On a more interesting note, you can say that Fincher collaborated with Reznor and Ross once again and once again they were nominated for an Oscar and even won the category for another movie. And finally, the screenplay came from Fincher's dad Jack, over 15 years after the man died and he wrote it many decades ago. So this was really a posthumous Oscar nomination as late as it gets and it is something unique to a film that does not feel unique at all otherwise.This movie runs for comfortably over two hours and I did feel it dragged here and there. I am generally a sucker for black-and-white films, but the outcome here could also not make me overlook the weaknesses in storytelling. Perhaps Fincher should have gone 100% with his father's script, even if it was a family affair for him, but tried to get in some structure here. Either himself or with a better screen writer like Sorkin with whom he collaborated on The Social Network for example. One key issue here for me was the constant back-and-forth honestly. This is to some extent subjective because I prefer chronological movies, but not entirely. The scenes were just really brief and then we jumped a few years forward or back again and it was just truly confusing. The ending then actually also being the chronological ending again with the Oscar win for Citizen Kane with neither Wells not Mank present was fine, but I think that it also tricked many people into forgetting all the mediocrity before that. The final words from Mank when asked about Wells were decent again. Same applies about the mouth trap reference we read on the screen, a direct quote by Mankiewicz. This felt much smarter and interesting then the organ grinder's monkey reference that they wanted to turn into a big thing here. It did not work out at all. Another issue this film had that it was just trying to make too much of an impact in terms of dramatic scenes. Take one character's (alleged) death that we find out about in a letter. Take one character's suicide that could be seen coming (with the bullets being handed to Mank. I mean come on, he was supposed to be smarter than that.) and was supposed to be an emotional highlight (in a sad way), but felt like none of that. These characters or their loved ones needed better explanation and elaboration simply to make an impact. It felt fairly clumsy and rushed in instead.The good moment were fairly rare. Some of the dialogue writing was okay, but often it also felt rather fake and staged in a way where you would think that these characters were not talking like that, also not many, many decades ago. One female character's remark about how another character likes Mank in the first half was still among the better references, but even there the film was as always walking the fine line between quality dialogues and forced and exaggerated dialogues. Pity. One ot (too) many weaknesses. The alcoholism idea was also treated in a strange manner with how turning Mank into a poor man's Schindler who saved an entire village of German jews all of a sudden (maybe therefore the b&w approach? Even more desperate then) justifies giving him some liquor or so? Extremely strange. In general this inclusion felt once again a desperate approach to give the film additional relevance. They really went all by the books at times here, also when they tried to fuel Oldman's Oscar ambitions with this spectacular drunk speech towards the end that has everybody leave the table. It did not feel authentic at all. I am not even sure if Oldman is to blame there or the writing, but to me it was highly over-the-top and sometimes less can be more. Also I must definitely mention the political component. Already did a bit with this being set during the times of Nazi Germany and one statement from a character about Hitler and how he will disappear quickly felt like something really scripted too. Have seen that many times before and usually better. But the key problem with politics is how they tried to have this film appeal to the masses and liberal Hollywood these days. How Mank shakes his head at conservative Repiblicans from the countryside and of course we are supposed to see how wrong they are and how right he is at the same time. And how it is an embarrassment when the Republican candidate wins this important election and how his supporter are boastful and gloating and disrespectful. It was highly embarrassing to witness honestly. Those where the moments when this film really hit rock bottom.Okay, I think by now you understood already that I did not like the outcome here particularly. I think the film struggled mostly during these moments when it tried to truly make an impact. Having another character say that Mank just wrote his best piece ever and how controversial he is also gave me goosebumps, but not in a positive way. The moments and scenes I liked did not happen too often. The inclusion of the Internationale was nice on one occasion on the piano, but I am biased there as well because I simply like the tune. I also enjoyed Orson Welles and it would have been great if he could have been included more often, not just on the phone early on and in the end with the direct confrontation. Maybe the actor did not look 24, but he was fine, brought nice energy to the movie and it would have been nice to see more from him, especially as with the Oscar then in the end, Citizen Kane is really at the center of this movie and it did not feel like that at all. Or also the issue of Mank wanting credit for his work could really have been the vital ingredient of it all, but instead it felt once again rushed in for the sake of it near the end and again they messed up. I do not expect the general public to rate this film as low as I did, but I still find it nice to see the 6 on the left side of the comma here. It did feel like a very pseudo important film to me and I think I only mildly enjoyed it at times because before that, I had not been to movie theaters for many months. So with my usual rhythm, I probably would have disliked it even more maybe. Difficult to say more positive things here. Lily Collins is of course a stunner, there is no denying, even if maybe the lack of color took a bit away from her beauty. But also acting-wise she was not worse than Seyfried for example, just two very different characters. But I do not mean with that that she was awards-worthy. Only that neither were. What else? Charles Dance was wasted. Monika Gossmann was an interesting inclusion here because she is from my country and is not even remotely famous here. Okay, I guess that is it then. This film only deserves to be seen for visual aspects, cinematography, sets, costumes too and maybe also for the music to some extent. But plot, performances and story in general come really short on the quality scale. The tortured genius aspect here has been done a hundred times better in other movies as well. Thumbs-down. Skip the watch this time."
MANK,20 February 2021,3/10,"RKO 281 is a fine movie about the making of Citizen Kane.Mank is a mischievous movie about the co writer of Citizen Kane, Herman Mankiewicz (Gary Oldman.)In recent years the authorship of Citizen Kane has been disputed. With some claiming that Orson Welles did not write any of it and Mankiewicz's contribution to the movie overlooked.Well not that overlooked. Citizen Kane only won one Oscar and that was for best screenplay. So Welles and Mankiewicz did not come away empty handed. The same cannot be said for Greg Toland for the cinematography or Robert Wise for the editing.The authorship dispute has been debunked decades ago by more neutral parties. It is as if some Welles haters like to ignore that Welles was more heavily involved in Citizen Kane. He did direct and star in it. He bought some innovative techniques to the movie along with his collaborators such as Toland.The reason why Mank is mischievous is that director David Fincher films it in the style of Citizen Kane.It has two timelines. One with the writing of the screenplay of Citizen Kane on the behest of Welles. The other are flashbacks. Where the sozzled embittered Mankiewicz dealt with the powerful people in the media industry and how they mixed with political figures.He comes into contact with the big lions roaming the jungle such as the predatory head of MGM Louis B Mayer (Arliss Howard.) Sinister press magnate William Randolph Hearst (Charles Dance) and renowned producer Irving Thalberg (Ferdinand Kingsley.)Mank is a messy film though. It is inert dull and long winded. David Fincher has taken a screenplay that his late father wrote some decades ago.David Fincher has decided to honour his father and gone for Oscar bait. You can tell as its filmed in black and white, hoping to follow in the footsteps of The Artist and Roma. Unfortunately the script is not very good.The other problem are that a few of the main actors are too old for their roles. Tom Burke who is nearly 40 is playing the baby faced Welles who was 26 when Citizen Kane was released. When I first saw Burke as Welles in this movie. I thought he stepped out of the set of F for Fake.Although Gary Oldman's performance has been lauded. He is a 63 year old playing someone in his 30s and early 40s. I doubt all that hard drinking aged Mankiewicz so much."
MANK,9 December 2020,10/10,"Citizen Kane ... if you are a movie lover you at least have heard of this movie. You may not have seen it yet, which is ok, there is time to do that, don't worry - and it makes sense to do just that, before you watch the movie. There is also a different movie that shines a light on the making of Citizen Kane - RKO 281. Also a very fine movie ... but david Fincher really outdid himself. Ok so this is not brutal or anything close to some of his other efforts ... but it is a love letter, not just to Kane and Welles ... but movies from days gone past.Technically you cannot fault the movie in any sense. Story wise you may have issues following this or even feel a certain degree of empathy. Gary Oldman is a powerhouse in this one and it is all about the Mank. So don't expect a lot of Welles in this. Now the movie and Fincher probably take a lot of liberties when it comes to how events unfolded.Performances overall are great, the rapid paced dialog and many homages to the era and Kane are there for everyone to see. Be it low angles, set ups and other stuff you may recognize or that may feel familiar from past days. There is something fresh about going way old school with this. Even sound wise.Fincher is a perfectionist, in case you didn't know or forgot ... this is an amazing movie. And while it is not necessary to be familiar with everything surrounding the movie Citizen Kane, having some knowledge of it and the background will help you enjoy this a lot! Maybe not as engaging as some would have wished this to be, but witty and original and fresh by way of the past ..."
MANK,16 February 2021,9/10,"Would it be inappropriate to state that this film is almost as good as ""Citizen Kane""? I'm exaggerating a little bit, but I did think it was very good. The 1930's ambience in all respects is exceptionally well done - fashion, vehicles, and the preponderance of studio names and celebrities, particularly the noted directors and producers of the era. Though the story line has to do with the writing of the celebrated movie by Herman Mankiewicz (Gary Oldman), the film doesn't dwell on it so much as mention it now and again when it's brought to the screenwriter's attention that the time frame for completion is about due. There seems to be more effort expended on the understated conflict between Hollywood's embrace of capitalism and the writings of socialist Upton Sinclair and his run for California governor in 1934 against Republican Frank Merriam, both of whom are not characters in the actual picture. That context offers to remind the viewer that today's political climate is nothing new and has been a decades long battle in this country. Fans of ""Citizen Kane"" will know that the principal character in 'Kane' is based on businessman and newspaper publisher William Randolph Hearst (Charles Dance), and multiple nods in this movie are present to remind one of Xanadu with it's menagerie of zoo animals, and the infamous 'Rosebud' sled at the conclusion of that picture. Oldman is great as Mank, even as his character comes under the influence of alcohol affecting his numerous and lengthy diatribes, while the supporting cast performs credibly to spark his talented, though scathing wit. And if you needed anything else to recommend the movie, particularly for those of us who love old time Hollywood, the format is done in glorious black and white to evoke memories of a time gone by. I don't think it's a stretch to consider that the picture will earn it's share of award nominations during this year's extended Academy season, and just might capture an award or two."
MANK,22 March 2021,7/10,"Even a global pandemic like COVID-19 was not going to stop Awards Season, and when the nominations for the Academy Awards were announced, this was the film that received the most, and I was looking forward to it, directed by Oscar and Golden Globe nominated David Fincher (Se7en, Fight Club, The Social Network, Gone Girl). Basically, in 1940, twenty-four-year-old Orson Welles (Tom Burke) is given complete creative freedom for his next project by RKO. Welles recruits scathing social critic and alcoholic screenwriter Herman J. Mankiewicz (Oscar and Golden Globe nominated Gary Oldman) for the screenplay. Herman, known to his friends as ""Mank"", is in Victorville, California recovering from a broken leg following a car accident. Herman dictates the script to his secretary, Rita Alexander (Lily Collins, Phil's daughter), who notices similarities between the main character and William Randolph Hearst (Charles Dance). Producer John Houseman (Sam Troughton, Patrick's grandson) is concerned about Herman's dense, nonlinear screenplay, while Joseph ""Joe"" Mankiewicz, Herman's brother (Tom Pelphrey) worries that it may anger the Hearst, the powerful businessman, newspaper publisher, and politician. In 1930, Herman visits an MGM location where he and the female lead, Marion Davies (Oscar and Golden Globe nominated Amanda Seyfried), recognise each other. She introduces him to Hearst, her benefactor and lover, who takes a liking to Herman. In 1933, Herman and his wife Sara (Tuppence Middleton) attend the birthday party for film producer and co-founder of Metro-Goldwyn-Mayer studios (MGM) Louis B. Mayer (Full Metal Jacket's Arliss Howard) at Hearst Castle with many Hollywood celebrities. They discuss the rise of Nazi Germany and the upcoming state governor election, in particular candidate Upton Sinclair (Bill Nye). Herman and Marion go for a walk, where they bond over discussions on politics and the film industry. In 1940, Houseman is getting impatient with Herman's lack of progress. Rita is also concerned with the timing of the writing, as well as Herman's alcoholism. Herman eventually finishes the screenplay in time. Houseman is impressed but reminds Herman that he will receive no credit for his work. In 1934, Herman and Joseph begin working at MGM under Mayer. Studio executives, including Irving Thalberg (Ferdinand Kingsley), actively work against Sinclair's electoral campaign. The studio produces propaganda films for a smear campaign, funded by Hearst, against Sinclair. Herman approaches Marion to get the films pulled but is unsuccessful as she has already left the studio for Warner Brothers. Herman and Sara later go to the Trocadero Nightclub for a party to watch the election night, where Mayer announces the winner, Frank Merriam. Herman's colleague, director Shelly Metcalf (Jamie McShane) is ridden with guilt over his role in the smear campaign, despite personally supporting Sinclair. Then, after being diagnosed with Parkinson's disease, Metcalf commits suicide by gunshot. In 1940, Charles Lederer (Joseph Cross) picks up the screenplay from Herman to deliver to the studio. Joe visits Herman after reading the screenplay and warns him of Hearst's reaction and how it might affect Marion. However, he does believe that it's the finest screenplay Herman has ever written. Marion also visits and tries to persuade Herman to change the screenplay but to no avail. She tells Herman she will try to stop the picture from getting made. In 1937, Herman crashes a party at Hearst Castle, where he drunkenly pitches the idea for the film that he will go on to write in 1940, offending everyone present including Hearst, Mayer, and Marion. Mayer is enraged and reveals that Herman is on Hearst's payroll and calls him a court jester. Hearst tells him an allegory about a monkey and an organ grinder and sees him out. In 1940, despite pressure from Hearst, Welles is determined to make the film, Citizen Kane, and intends to do a re-write without Herman. He visits Herman and offers him a buyout from the studio. However, renouncing the terms of his contract, Herman requests credit for the script, declaring it his greatest work. Welles is upset and tells Herman that he has supported him, before leaving angrily. Herman ultimately receives joint credit with Welles, and the two win the Academy Award for Best Original Screenplay for Citizen Kane two years later. Also starring Monika Gossmann as Fraulein Freda, Toby Leonard Moore as David O. Selznick, Jack Romano as Sid Perelman, Adam Shapiro as George S. Kaufman, John Churchill as Charles MacArthur, Jeff Harms as Ben Hecht, Derek Petropolis as Eddie Cantor, Paul Fox as Joe Von Sternberg, Tom Simmons as Doctor, Jessie Cohen as Norma Shearer Thalberg, Craig Welzbacher as Rexford Tugwell, Craig Robert Young as Charlie Chaplin, Scarlet Cummings and Grace Kennedy-Piehl as Bette Davis, Isabel Dresden as Carole Lombard, Emily Joy Lemus as Billie Dove, Joanne Thomson as Geraldine Fitzgerald, Michelle Twarowska as Joan Crawford, and Trevor Wooldridge as Darryl F. Zanuck. Oldman plays the drunken Mankiewicz struggling with the famous screenplay perfectly, Seyfried is luminous as the actress who is his close friend (the real Davies is apparently the inspiration for the name ""Rosebud""), and there is marvellous support from Dance, Burke, Howard, and others as recognisable Hollywood names. It is an interesting mix of the story of what many consider to be the greatest film ever made, and a celebration of classic cinema. The film was shot in black-and-white using RED cameras, giving the picture and sound quality a feel of something you may have seen from the 1930s or 1940s, with clever back-and-forth storytelling (text onscreen is both clever and helpful), great cinematography, superb costume and makeup period detail, and a brilliantly period-authentic score. Ignoring the political subplot, it is one of those films that really captures the subject matter and makes you feel like you're watching something from the old days, a terrific biographical drama. It won the Oscars for Best Production Design, and Best Cinematography, and it was nominated for Best Motion Picture of the Year, Best Sound, Best Original Score for Trent Reznor and Atticus Ross, Best Makeup and Hairstyling, and Best Costume Design, it won the BAFTA for Best Production Design, and it was nominated for Original Score, Best Original Screenplay for Jack Fincher (David's father, posthumously), Best Costume Design, Best Cinematography, and Best Make Up & Hair, and it was nominated the Golden Globes for Best Motion Picture - Drama, Best Screenplay, and Best Original Score. Very good!"
MANK,7 December 2020,6/10,"Though beautifully photographed and evocative of the 1930s and 1940s, I had a tough time making it through ""Mank,"" the story of Herman J. Mankiewicz during his time writing the screenplay for Citizen Kane. That is a whole other movie and a huge controversy, so I won't go into it.Boring, self-conscious, inaccurate, there are a few acting kudos - Gary Oldman as Mankiewicz is remarkable. I love Lily Collins, and she doesn't disappoint here as Mank's secretary. Tom Burke makes a marvelous Welles.There is other good acting to be had in Mank, but there is also very self-conscious, let's pretend we're in the 1930s and '40s dialogue and acting. It all seemed very put on. That was mostly from minor characters.I loved the character of Marion Davies - her character is sympathetic - but I could have done without Amanda Seyfried's bad acting. Charles Dance was a fabulous Hearst.All in all, a big bore. However, if it inspires you to read more about Mankiewicz, the fight over the Citizen Kane screenplay, and old Hollywood, I recommend it. The governor's race between Merriman and Upton Sinclair is interesting, too - though it was just thrown into this story, possibly becaused the political discussions seemed timely."
MANK,23 January 2021,,"There are so many characters, and they are poorly explained. I don't know who is who. They just keep taking all the time and I don't understand what is happening."
MANK,9 December 2020,7/10,"This features another quite impressive, powerful, performance from Gary Oldman as David Fincher uses his stylish and authentic portrayal of the borderline iconoclast Herman J. Mankiewicz to take us on a tour of Hollywood in the 1930s. It's told by way of flashback, as the bed-ridden Oldman is working on his screenplay for ""Citizen Kane"" and through his frequently drunken hazes we experience much of the politics, bigotry, misogyny, and pretty blatant corruption that prevailed in the upper echelons of the studio system as espoused by the likes of Louis B. Meyer (Arliss Howard); Irving Thalberg (Ferdinand Kingsley) and most especially the king of the hill - WR Hearst (Charles Dance). The monochrome photography adds much to the rich look of the film, and Jack Fincher provided the star with some wonderfully eloquent (often wittily loquacious) monologues - particularly towards the end as his battle against the booze starts to become more of an effort for him to fight and his friends begin to redefine their relationship with him. I was less impressed with the supporting cast - Dance dressed like a circus ringmaster for much of the time and Amanda Seyfried and Lily Collins struggled to make much of an impact, even though both roles are significant in the lives of Mankiewicz and Hearst respectively. It's a considered work, this - it doesn't dwell on the salaciousness of the scenarios; indeed it seems hell bent on avoiding dirtying it's hands with any of the concomitant scandal that accompanied the era, and that is quite odd. It robs the storyline of the oxygen of the underling politics and power-broking that created the ambience Mankiewicz so resented - even loathed. I saw it on the big screen about a day before Netflix rolled it out, and on balance I think a television viewing is all this needs. It's good - but not great."
