Title,Date,Rating,Comments
MINARI,7 October 2021,5/10,"MINARI is a film that won all the plaudits but failed to engage with me as a viewer; I found it really didn't have much to say for itself, which explains the abrupt ending. It's just a simple slice-of-life story with not much in the way of character arcs. The film explores a Korean family striving to make a go of things in 1980s Arkansas, and is well acted throughout by the entire cast - Will Patton is a particular scene-stealer - with a lot of weighty dialogue and small conflict between the characters. Other than that, I found it quite average."
MINARI,1 September 2021,8/10,"It's 1983. Korean immigrant Yi family moves from California to rural Arkansas where the father dreams of growing Korean vegetables and grab a piece of the American dream. His wife has massive doubts. The couple works hard sexing chicks. Their son has heart problems. The wife's mother arrives to take care of the kids. The family is befriended by religious fanatic Paul. It's a struggle on many fronts.It's the classic immigrant struggle and it's as compelling as ever. It feels real. It feels personal. It just feels. It's a movie with all the feelings. It's funny, sad, intense, and light-hearted. All the performances are great and they all feel real."
MINARI,12 August 2021,6/10,"""Minari"" is an American movie that was released in 2020 already, but because of the pandemic, it took until fairly recently for the film to get here to the middle of Europe, so I could finally enjoy it on a big screen. Well, enjoy slightly under half of it I could say because this was when the showing had to be stopped because of heavy rainfall, but I managed to finish the film at home. It stays under the two-hour mark, but still a fairly long film overall. The key cast is relatively small, basically the people you see on the photo here (plus the grandmother), even if the daughter does not have that much screen time either, at least the boy is more at the center of it all story-wise. But I will get to that a little later. The writer and director here is Lee Isaac Chung. Many think of him as a newcomer, but this is not really the case. He is neither particularly young nor lacking experience. More of a massive breakthrough for him with this movie because it reached way more attention than everything else he did before, probably even than everything else take taken together. Barely anybody had heard his name before this year you could say. His movie here was really one of the biggest awards players all season winning over 100 awards and being nominated (without winning) for another over 200. Massive amount. The biggest win was maybe the Oscar for supporting actress Yuh-Jung Youn and also some of the other awards she took home. The actress started her career 50 years ago, so nice anniversary with the movie that also turned her into a star internationally. Asian audiences may know her very well, even if approximately one film per year is not that much. Back to director Chung, he may roots similar to the characters in here, but he was born in America, this movie takes place entirely in America and there are also always segments in the English language. Which is why it did not contend at the Oscars for Best Foreign Language Feature. Might have been a tougher category for the Danish entry otherwise.As for the cast, I already mentioned one protagonist by name, but there are others. About Yeri Han (the mother) and Noel Cho (the daughter) I cannot say too much. However, the little boy is played by Alan S. Kim and he was even nominated for a BAFTA. Debatable if he is supporting, but it's an ensemble cast performance you could say. The BAFTAs certainly loved that little movie. Kim also has lots of screen time here and in the end even gets a little, maybe slightly rushed-inclusion linked to his health that has not been elaborated on before. And of course I must mention Steven Yeun. His success story from playing a rather beta character on The Walking Dead into becoming really the one cast member that managed the by far most successful big screen character is nothing short of impressive. His Oscar nomination here, even with some precursor attention, came as a but of a surprise and same is true about Chung's nomination for directing. But back to Yeun, I am not sure if I think he gives one of the best five mal leading performances of the year, probably not, but he definitely has his moments. The scene when he talks to the boy about what happens to male chickens was really nicely handled. Also his struggles in terms of leading his family in a new country were nicely portrayed. This includes the conflicts between him and his wife, but also other scenes like when he is about to punish his son for a little prank he pulled on his grandmother. He strives to be the head of the family and a leader, but maybe it's not really in his genes. Also how he dealt with new people, new cultures, new traditions was an interesting watch. I must of course mention the fella who carries the cross out there. Yep, the American countryside is still really religious. And surely was back then. This film is set in the 1980s as we find out for example through a mention that Reagan is PotUS. But as for Yeun, I probably would have preferred him being nominated for Burning (Beoning), but it's okay. Walking Dead fans can be happy too with him coming back for an episode, so seems as if he did not forget about his first successes, even if he acted a long time before that already.The movie basically uses some solid formulas. It is never really in your face or too over-the-top, but a quiet character study for the most part and usually quietly convincing. The one big exception is the massive fire near the end, which really poses a threat to everybody. But even there the family sticks together and everybody adds their own share of support, so they somehow make it out not just alive, but even stronger. This includes the parents, but also the grandparents and the children too. A lot of the film is about socializing. They show us how the father bonds with a new slightly nerdy colleague or how the mother makes a potential new friend at her chicken sexing profession. I never really thought about that too much. A job I would hate to make. You're basically playing God with chickens' lives. But I guess somebody has to do it. Then there is the boy making friends with one of the local boys. The latter still looks at him in a confused way earlier that you cannot be sure if he sees him as a potential friend or really dislikes him, but in general the family is accepted in a friendly way by everybody. Like there's two big American ladies there too and on one occasion they talk about how cute they find the tiny slim Asian woman. Of course, you could see some racism in that as well, but this is not the film's objective. Probably because it is about Asian immigrants and not African Americans. With the latter, it feels as if they always have to get in something like that and make powerful statements on tolerance or show evil fascists, otherwise a film cannot be complete. Well, I am glad they did not with this film here. There's enough other quality stuff elaborated on. Take for example the argument between the parents near the end when it comes to their shared (or not shared) future and what impact the situation in the new country has on their love relationship too. But yeah with the local boy we also realize he is harmless when the Asian boy suggests he wants to sleep over with his new friend. Or when the man's colleague is around to have dinner with the Asian family and everybody is super nice and friendly. This is not a film about racism or anything. Thank God.Then we have Yuh-Jung Youn. Talked about her early on already and while I am not sure if she was really Oscar-deserving, I think she really made her mark with this film. Early on, she gets in some nicer and lighter moments, but towards the end, it is also a serious role. Like we see her immediately after her stroke how she is lying there on the ground and it is heartbreaking to see her unable to speak. Or how she is disabled eventually and cannot move her arm, but still tries all she can to help her family. Help her daughter for example with doing the housework. And also sad how what she does eventually results in the fire. But there is no blame or talk about how they want to send her into a retirement home or something. On the contrary: The pretty much last line is about how the old woman chose a good spot to plant the minari. So the film is named after an Asian plant. I guess this final scene is also a key reason why the movie is named like that and you could certainly make a connection and see the place where the minari is rooted now is closely linked to where the family is rooted now and that they belong there and that also the mother decided to stay with her man. It's okay. I could have thought of other, potentially better titles, but this one fits too. Kinda fitting that the German long title even includes the German terms for ""roots"". So yeah, back to the grandmother character: It was a bit unsure if she would live in the end, but she does and they did not make the film really depressing. Still her health is deteriorating, but the son's health is getting better with his heart irregularity, so definitely a feel-good moment when the doctor informs them about it. One this movie needed maybe as well. But the boy and the grandmother also bring some food-good essence earlier. He clearly does not like her, even says so explicitly on one occasion and the pee prank is pretty telling too, but she has a good heart and forgives him quickly and does not want him to be beaten. He is also a little cheeky one with how he gets a rod that could never hurt him in any way or also how his father is so over the moon about hos smart he is or how he makes a little pee joke after the scene when he bonds with his grandmy finally when she says how strong he is.Of course, the clashing of Asian and American culture was also funny here and there. Be it talking about obese people (luckily, they did not try to deliver a fat-shaming message here, but it was all harmless) or the aforementioned religion inclusion or the old lady watching American wrestling and thinking it was all real (of course, in her country it is very real. I could say sumo, but that is more of a Japanese tingey than Korean). It's a smart and interesting movie and character study or I could say characters study because everybody gets sufficient screen time and elaboration and the attention to detail is also good. Soundtrack, i.e. Score, is also nice and I am not surprised it got nominated for an Oscar. Another multiculti inclusion if I look at the composer's name. So yeah, basically really nothing wrong with this film at all. Still I must say I also cannot really include it into my biggest favorites from 2020 and something was missing from that. There was not really a moment where I felt that the film had a chance to get a 4 out of 5 from me unfortunately, so I definitely think it is a bit overrated and the awards were also exaggerated. But luckily, there were also no moments when I thought I could give out a negative recommendation. It succeeds from beginning to end."
MINARI,8 April 2021,6/10,"In many ways Minari is a throwback to the farming dramas of the mid 1980s. Films such as Country, The River and Places in the Heart showing the harsh realities of rural life.Minari has for its protagonists a Korean immigrant family.Set in the 1980s. Jacob (Steven Yeun) has brought his family from California to Arkansas.Sick and tired of his menial job that will lead him to nowhere. He dreams of growing Korean vegetables for the expanding Korean market.His wife Monica (Yeri Han) though is horrified by the move. She liked California and now finds herself living in a mobile home. Their son David has a heart murmur and the closest hospital is a hour's drive away.The children settle down and even make friends. However this new life brings tensions between Jacob and the increasingly unhappy Monica.Pretty soon Monica's mother Soonja comes to live with them as she could look after the kids. It is Soonja who takes the kids to plant some Minari seeds near the creek. It is a type of herb.Monica gets a job in a local chicken factory which is similar to the job she was doing in California.Jacob finds that farming life is not easy. Especially the water he needs to grow his plants which has eaten up his money.Minari is mainly in Korean. The few English speaking characters include Paul (Will Patton) a devout Christian who works on the farm and has his own cross to bear.The success of the Korean film Parasite has helped garner Minari critical success. Director Lee Isaac Chung has been nominated for a best director and screenwriting Oscar for his semi autobiographical story.It explores the immigrant dreams of a better life and hard work. Jacob and Monica seem to integrate with the local Arkansas community as they are Christians who regularly go to church.The presence of the children allows Chung to bring humour and playfulness to the film. Grandma Soonja likes the mountain water that the kids like to drink. It is Mountain Dew.Minari is an understated and poignant film. It does not go for easy histrionics to create false drama. The performances feel natural.However Chung leaves the film a little too open ended. Despite all the tribulations it is grandmother's Minari to the rescue."
MINARI,17 July 2021,9/10,"Korean dramas generally revolve around families. And this one is no different. Even if it plays in America - the majority of the movie is in Korean. You do get quite a bit of english in this too. If you are or know of people who migrated to the country you live in, you will be familiar (no pun intended) with the fact that especially the kids will mix their native language with the language/land they live in.So while the movie does not make a big deal out of it, this and many other things are just there. Subtle and really well woven into the story. The ground work - you could call it that. Overall the family drama works well and it seems like someone knows what a family like this had to go through. A lot of drama, a lot of pain ... and a lot of obstacles to overcome ... but the roots remain ..."
MINARI,10 April 2021,8/10,"This is a poignant tale of a Korean family pursuing the American dream by working a large tract of farmland in the state of Arkansas by way of California. The life of the parents on the West Coast was hampered by work as chicken sexers, something I never heard of before but makes sense if you think about it. The females are separated to lay eggs, while the males are sorted for meat, though in the story it sounds like the males are discarded as being useless. More on this later.The most unusual and entertaining character here is the old grandma (Yuh-Jung Youn) who joins her daughter's family once they've settled into their trailer. It takes some time for the young son David (Alan S. Kim) to warm up to his grandmother, who takes pleasure in drinking water from the mountains (Mountain Dew!) and watching pro wrestlers pound each other on TV. David's offer of a cup of mountain water to grandma is the film's best humorous moment.The dichotomy in the marriage between Jacob (Steven Yeun) and Monica (Yeri Han) Yi is quite evident. Jacob is the eternal optimist in regard to establishing himself as a successful farmer of Korean vegetables, while Monica is a fatalist, not only regarding the outcome with the farm, but also relative to son David's health. I thought it somewhat fatalistic for her to suggest her son to pray to see heaven; it felt like she was preparing him for his death because of a heart condition. Fortunately grandma stepped in with sage advice to help David reorient his thinking on that. The local doctor the Yi's take David to offers further good news by stating that his heart is mending, with guidance that said ""Whatever it is you're doing, don't change a thing"". That almost felt like a rejection of Monica's negativity toward living the life of a chicken sexer and farmer's wife.Unfortunately, a tragedy that occurs due to the grandma's own infirmity, causes a near total loss of the farm's first crop. The closing scene of Jacob discovering the location of the minari patch that grandma started with a few seeds suggests the rebuilding of their family life all over again, though that outcome is left to the imagination of the viewer. One must weigh Jacob's positive, forward looking attitude against his wife's tendency toward inevitable failure. My own sense is that they stay and make a go of it all over again.Now, as to the job of chicken sexing. As often happens, when confronted with something new and odd, I'll do some research, and it turns out you can go on line and take a free test to find out if chicken sexer is one of your top career matches. A not too shabby sixty thousand dollars a year is possible, but on the flip side, it would be hard to come up with a more boring and tedious job than standing all day and separating baby chicks into different colored containers. The world record for a chicken sexer currently stands at 1,682 in an hour, though personally, I don't think that's possible myself, but I've never done it. By this time you probably think I'm making all this up, but you can check it out for yourself with an internet search. Watch the movie first though."
MINARI,19 April 2021,7/10,"I heard the title for this American made Korean language film a number of times when it received multiple nominations during Awards Season, so I was looking forward to watching it. Basically, set in 1983, the Korean immigrant Yi family moves from California to their new farm in rural Arkansas, where father and husband Jacob (Oscar nominated Steven Yeun) hopes to grow Korean fruits and vegetables to sell to vendors in Dallas. His first decision is to dig a well for a natural source of water. He enlists the help of eccentric local man and Korean War veteran Paul (Will Patton). While Jacob is optimistic about the life ahead, his wife Monica (Yeri Han) is disappointed and worries about their son David (BAFTA nominated Alan S. Kim). He suffers from a heart condition and is frequently told not to run. Jacob and Monica also find work separating chicks from male to female at the nearby hatchery. The couple have constant arguments about their situation, with David and his sister Anne (Noel Cho) eavesdropping. The couple arrange for Monica's mother Soonja (Oscar and BAFTA winning Yuh-Jung Youn) to travel from South Korea to help look after the children during the day. David is forced to share a room with her grandmother, who he hardly knows. He avoids her because she does not conform to being a conventional grandmother, often being rude, but she tries to adjust to life in America and bond with the children. The well that Jacob dug runs dry. Jacob is reluctant to pay for water services, but eventually is forced to do so. He runs into further difficulties, including a Dallas vendor cancelling their order at the last minute. But he perseveres despite Monica's telling him she wishes to return to California. This strains their marriage closer to the breaking point. Meanwhile, Soon-ja takes the children to plant minari seeds by the river. She tells them that minari is a most resilient and useful plant and predicts plentiful growth. Minari is a weed-like vegetable thrive in tough circumstances and flourishes in its second season after dying and being reborn. David finally begins to warm to his grandmother after she teaches him card games, bandages his wounds, and helps him to sleep. Soon-ja also encourages him to do more physical activity, something his parents discourage, saying that he is stronger than they think. Soon-ja suddenly suffers a stroke, she survives with medical treatment, but is left with impaired movement and speech. Jacob, Monica, Anne, and David travel to Oklahoma City for David's heart appointment and to meet a vendor to sell Jacob's produce. They learn that David's heart condition has dramatically improved, and Jacob makes a deal to sell vegetables to a Korean grocer. But Jacob indirectly admits to Monica that the success of his crops is more important to him than the stability of their family. Following an emotional argument, the two silently agree to separate. In their absence, Soon-ja accidentally sets the barn containing the produce on fire. Upon arriving home, Jacob rushes in to save the crops, and Monica soon follows. Eventually, the fire gets out of control, but the couple decide to save each other, leaving the barn to burn. A distraught and confused Soon-ja begins to wander off into the distance. Anne and David call for her to come back, but she does not respond. David sprints after her, she takes his hand, and the grandchildren lead her back home. The family fall asleep on the floor, exhausted from the night before. Above them, Soon-ja is awake, in a chair, watching them sleep with a subdued expression on her face. Sometime later, Jacob and Monica are with the water diviner who finds a spot for a well. They intend to stay on the farm and place a marker stone to signify this. Jacob and David then head to the river to harvest the minari, which had grown successfully, with Jacob noting how good a spot their grandmother picked to plant them. Also starring Scott Haze as Billy, and Eric Starkey as Randy Boomer. The performances of Yeun as the man who believes in the Americna Dream, Youn as the wily grandmother and young Kim as the sensitive little boy are all terrific. It is a semi-autobiographical story seen almost entirely from the point-of-view of a child, it has the moments of tragedy and sentimentality, but the bond with the boy and his grandmother and witty and warm, the farming element is interesting, and it is an authentic insight about the struggles of a family, a charming and worthwhile drama. It was nominated the Oscars for Best Motion Picture of the Year, Best Director for Lee Isaac Chung, Best Original Screenplay for Lee Isaac Chung, and Best Original Score for Emile Mosseri, and it was nominated the BAFTAs for Best Film Not in the English Language, Best Director, Original Score, and Best Casting, and it won the Golden Globe for Best Motion Picture - Foreign Language. Very good!"
MINARI,18 July 2021,,"If this had been about Italian immigrants it might have been called ""Parsley"". If about Central American immigrants, maybe ""Cilantro."" The title is a reference to Minari seeds grandma brought from South Korean and plants near a stream.Based on a certain amount of hype, my wife and I were expecting a bit more from this movie. It is based on the recollections of a man and his boyhood experiences in the 1980s, as a first generation American and his immigrant family. They had settled first in California but moved to Arkansas, into a trailer home, to establish their farm. They survive initially by sexting chicken hatchlings, only the females make good-tasting chickens. There are some family problems and rough spots with the farm. When the movie ends there is no definite conclusion, we don't know if grandma's health improves or even if the farm is successful.So while we enjoyed it enough it isn't the kind we might re-watch. On DVD from our public library."
MINARI,15 August 2021,8/10,"After having nightmares after watching Parasite, it was a relief for my mom to watch something more subtle a drama as Minari. A story of a Korean immigrant family moving from California to Arkansas because the father wants to build his farm there, we see them struggle to build a new life and later on, coping with a grandma who's quite funny initially when dealing with her grandson but something happens later on that...well, watch the film. By the way, the actress that played the grandma, Yuh-Jung Youn, derserved her Oscar win for that role! So in summation, Mom and I enjoyed Minari."
MINARI,5 April 2021,,"It is an engaging story about harsh realities faced by immigrants. It is sad, and makes your heart sink."
