Title,Date,Rating,Comments
NOMADLAND,8 January 2021,8/10,"Fern (Frances McDormand) is houseless and living in a van after losing her husband and her home. It's company housing. The town was wiped off the map after losing the company mine. Fern is roaming America, getting odd jobs, befriending fellow travelers, and finding meaning in the meaningless money world.This is a very compelling world. As much as any sci-fi story, this creates an unique world of its own. It is the world of the transient workers, the poor, and the disenfranchised. Frances McDormand creates a very human character. It's a very human story. It's all good and then it gets great. Bob's monologue is really special. ""I will see my son again."" is such a powerful moment. I would suggest a different shot for the ending. I would suggest Fern walking into desert instead of driving away in the van. I get the idea but walking into the sunset would be a poetic and more cinematic ending."
NOMADLAND,24 June 2021,9/10,"When people put themselves in vulnerable positions, bad things can happen. This is a human interaction movie which shows us believable people, meeting and gaining sparks from one another. Francis McDormand has become a premier actress. She's not attractive in a movie star sense, but she has one of the most expressive faces I've ever seen in film. Granted, we don't get to see the harsh side of the equation, which would include theft, intimidation, physical harm, and mental illness. Nevertheless, I found myself transfixed. She worked so hard and her spirit was seldom defeated. How can people be giving this a one. It tells me how jaded we have become. I guess there is a faction that feels the need to take down something that is hyped as if they have some power in their shortsightedness. I'm not saying it is a perfect movie but to say it is paint drying? I guess there weren't enough superheroes or aliens in it."
NOMADLAND,2 August 2021,6/10,"""Nomadland"" is a new American movie that premiered back in 2020 already though. Took me until the second half of 2021 to finally watch this because I was surely going for the movie theater experience here. I also see this is a German co-production. Okay, that I did not expect honestly. Luckily, German media did not brand this as one of their own. I still kinda wonder where the German impact is. Anyway, the director is Chloé Zhao and she is still under 40 and now only the second woman to win a Best Directing Oscar. At the same time, she also won Best Picture (just like Bigelow back then) and was also nominated for the screenplay and editing. Having seen Zhao's The Rider a few years ago, I am tempted to say I liked that one even more than this one here, even if the gap is not massive. Both are decent movies. Still it feels as if Zhao focuses very much on lifestyle out there in the open with a connection to nature and also to America. Surely not a given as she was born in China herself. But her very first film over a decade ago (but less than 15 years) was in the English language already and like so many other she, in her early 20s then, launched her career through short films. Also nothing entirely new that she worked as a writer and editor on her releases. For this approximately 105-minute movie she adapted Jessica Bruder's novel. I am pretty sure the latter would not have expected her film to become a Best Picture winner at some point at the Academy Awards. Many other awards here. The lead actress is Frances McDormand and she already won her third acting Oscar and took home one in producing as well. More about her later on. Her howling moment at the Oscars was a bit difficult to understand as it is not just the isolation / lone wolf reference to nomads, but a story linked closely to the production of this film. The biggest surprise was maybe that the Oscar for cinematography went to another film because Nomadland really dominated this category all awards season long.So with McDormand she was not a safe pick to win this year in a really close Best Actress category. But in the end she pulled through in a similar scenario maybe like it was with her first Oscar win, even if now with her third (and fourth) there were probably even more potential winners. Her second was as safe as it gets though and also fairly recent, which may be the reason why this one here was so heavily-contested. But Hollywood seems to love her enough. She has as many acting Oscars as Streep now and all in lead even and more Oscars in total. Pretty impressive. Then again, she is probably not worse than Streep, so maybe not undeserving and honestly, she really is this movie here from beginning to end. She is in almost every single scene. Every time supporting players have a bigger impact, it is because her character Fern is nearby. Also pay attention to her character's name here and her real name. Not too different. With every other cast member, they went for the real first name. This includes David Strathairn who is always a welcome presence for me, even if the just called him Dave this time. All the other cast members are unknown. I know that Zhao in the past picked non-actors, locals for the part. People who originate from the area in which her films are set. So it could very well be you see some actual nomads here. They are pulling this off really nicely. I mean they do not have deep material or a really great deal of screen time, but moments like the bird nest speech were nicely handled nonetheless. The consequence is that this movie feels a lot like a documentary for the most part. The only exception are maybe the scenes during which Fern is with her family or at her friend's house in the end. All the scenes out there in the open feel as if you were actually watching nomads.And as good as McDormand may have been (and I said this is her movie), I would still say that some of my favorite moments came from the others. Strathairn of course with my personal preference, but I already mentioned the monologue of the dying woman about the bird nests. The one they compare to Santa is alright too, maybe if him opening up about his son near the end was a bit too much perhaps. I mean he never seemed this close to Fern. The scene when they say goodbye (or ""see you down the road"") to one character is pretty nice too. Or what people have to say at the camp fire. So yeah, a character dying from cancer is as serious as it gets, but at the same time we find out she has lived the life she wanted to life and is happy about it. There is a component of closure and fulfillment there. It's not depressing. There are also no really dangerous moments in here. The biggest drama is when a character accidentally breaks something from another character. No scenes where people are threatened by bears or bitten by snakes or something. In general, animals did not play the most crucial role here the way you could have expected from a film like this. You get her driving next to a buffalo on one occasions. Not a lot more. This makes sense though. It may include a great deal of wilderness and beautiful sceneries and landscapes, but in the end it is a documentary about humans and not about animals, a bit about the environment they thrive in. In general, you could see really many stunning landscapes here.Fern's isolation was also depicted nicely through her choices in life. She went away from her sister. Actually, she is so hesitant to ask her to stay for a while that she goes and asks a friend (or ""friend"") for money and there again it shows why she is simply not good with humans. This also shows when she is supposed to hold a baby during the final stages of a movie and we see she is just not like Dave and does not fit in there. She tried, but also did not fit in with her family earlier. Immediate arguing happens. Or take the scene in which she is asked if she can adopt a dog and says not. She is much more into her car obviously as we find out on several occasions. This is not about cute animal companions. More about finding others out there in the open. But most of all finding yourself. Look how she says goodbye to that dog. I mean she does not despise other creatures. She's just not good with them. Another thing I liked about the movie was the entire sound component. The music, but also how they managed to show the difference between noise (usually at her workplaces like Amazon and also kitchen work) and quietness or relaxation when she is out there living her nomad life. A really soothing experience at times, even if Fern always has to worry about making ends meet. Maybe not a movie you wanna watch when you are a bit tired. Not that it is bad or anything. Absolutely not. But there's good and not so good situations for all movies. In general, the main intention by Zhao here was to come as close to reality as possible and I think she succeeded nicely with that. Also telling that the ending is as simple and unspectacular as it gets. Make it a character study in terms of Fern, but also elaborate from beginning to end on what life mor modern-day nomads looks like. I think the film is set less than a decade ago in the past. Probably same time it was set in the book. Overall, there are tempting aspects of course when it comes to nomads and their lives (most of all, the focus on nature and the lack of big civilizations), but then there's scenes in which we find out she asks for discounts if she does without electricity or, even if included in a playful manner, the elaboration on toilet buckets on one occasion.Okay, that is pretty much it then. It's a decent film all in all, but the gigantic amount of awards recognition seems a bit exaggerated to me, especially Zhao's direction basically dominating awards season from beginning to end. Then again, most of the other contenders did not really blow me away this year. At least those I have seen so far. There is still a lot to go for. I have high hopes for Minari especially. But that is another story. I think this film here deserves a watch, even if I expected and hoped I could like this a lot more with my connection to nature and my liking in the lead actress. But yeah, it's going down a bit as well now, especially with her Oscar acceptance speech a few years ago. This one was better. Or I should say ""these"" in terms of the 2021 Oscars because she won several. I'm still curious what's up for McDormand next in terms of movies. Nomadland gets a positive recommendation and thumbs-up from me without really only very minor hesitation. It's also still far away from a good film I must say unfortunately and I doubt I will add one or even two stars on rewatch here to my imdb rating at some point in the future. It's still a solid enough mix of lightness and seriousness all in all and I especially liked that they did not try too hard to get in really many funny moments arising from conversation. The one thing this film surely does is feel natural. In terms of the setting, but also in terms of the characters and that is maybe the biggest achievement. So yeah, go check it out, preferrably on a big screen. I guess at home on a laptop or something and also if you are not that much into McDormand, it will maybe even be a tougher call if it deserves a thumbs-up. But then again, she rightfully said at the Oscars to watch this and others on the biggest screen possible and I agree with that, even if it's maybe not a film that will turn you into a McDormand fan like some of her others could. And that includes even her very, very old stuff like Blood Simple, even if that one barely got any awards recognition. But hey a movie about humans practicing a social distancing lifestyle and a great deal of isolation? Of course this had to win liberal Hollywood's Best Picture Oscar during the pandemic. Never in doubt. Now that's really it."
NOMADLAND,18 February 2021,7/10,"Nomadland is an exploration of people living in vans who are houseless.Some of the nomads have opted out of the rat race where you are saddled with a mortgage and an uncertain job. Others want to enjoy their retirement and live life on the road.Frances McDormand is Fern. She once worked in HR in a Gypsum factory in the town of Empire in Nevada. Her husband worked in the same factory.When the factory closed in 2011, the town died. Later Fern's husband died of cancer.Fern sold most of her belongings, bought a van to live in and travel the country looking for temporary jobs. Maybe Fern was just running away from her grieving.Fern is always meeting people and moving on. It is a world of hellos, goodbyes and see you down the road.Based on a non fiction book. This is a stark slice of life drama from director Chloé Zhao without a conventional story structure.Real life nomads talk about the challenges of living life on the road. Fern faces those tests such as repairing punctures. Later she needs money to repair her beat up van and has to contact her sister.This is a moody, introspective piece. It is at its best when the non actors interact with Fern. Some of them have to cope with illness and maybe reaching the end of their road.Nomadland does not romanticise this lifestyle. It is a hard road to travel. The granite features in Fern's face attest to that.Ludovico Einaudi's music adds a lot to the mood and atmosphere to the film."
NOMADLAND,26 May 2021,5/10,"Frances McDormand loses her job in Empire, Nevada and lives out of a van, working seasonal jobs at Amazon. She works less, vacations more, but has to poop in a bucket and give herself bad haircuts. She hangs out sometimes with folks like herself who celebrate their poverty as a way to getting back to nature to find answers and other BS philosophy poor people come up with. Like old Eskimo grandparents left to die, so are the nomads. They are the throwaways of society finding some solace in community.No one in this group was a criminal as in real life. The film was boring and theme-driven. I find it amazing that it was even nominated for best picture, let alone win the award.Guide: No F-word or sex. Brief distant nudity."
NOMADLAND,18 July 2021,9/10,"Or restless - and really going directly at some of the cliches or rather missconceptions people might have of people who do not have a home - sorry house/roof over their head - a consistent one that is. Frances McDormand fabolous as ever - I mean by now I reckon most know how good she is. You don't even need the Academy Award recognition as reference.She plays that role with such an ease that I caught myself, actually believing she is the character. And she clearly isn't. Of course some authentic people around her (who live the Nomad life, if that is what it is called) help set the mood. Many things may seem random - but that is what this life would be like. Which also makes it kind of unpredictable.Of course you have to have a love for a movie like this. There are so many genuine little moments ... that you may cherish or find annoying. Obviously this is aimed at a specific crowd. And while I did a double feature (I'm calling it that) with F9 as the second movie, I'm more than certain I was the only one who did this. And there won't be many who will watch both movies - certainly not both in the cinema.Which is almost as funny as seeing a movie theatre showing The Avengers in this movie - especially since the director also is responsible for ""The Eternals"" - a MCU project coming out later this year. Looking forward to that."
NOMADLAND,5 March 2021,8/10,"If not for the presence of Frances McDormand and David Straithairn, one would almost consider this film to be a documentary rather than a fictional story. It explores the plight of vagabond folks living on the road between somewhat longer stops to work for a spell before moving on again. McDormand's appearance is almost shocking compared to prior films, here she looks haggard and ravaged due to circumstances forcing her to leave her once home town of Empire, Nevada, a location that no longer has a zip code due to the local Gypsum Company plant closing down, and taking virtually all of it's residents with it. McDormand's character Fern searches out employment at various locations, making enough to get by until the major expense of a broken down van requires reaching out to a sister for financial help. A certain sadness permeates the film, as one realizes that the freedom offered by living on the road carries with it a trade off, as relationships formed become at best temporary, and often times one is reduced to mending a broken plate rather than incurring an additional expense. Yet the handful of vagabonds we meet from place to place are always reluctant to offer their good-byes, rather having a more positive attitude that suggests ""I'll see you down the road."" This film will certainly not appeal to a large segment, as the pace is rather drawn out and is heavy on dialog, though the impact of the message will resonate for those of a compassionate nature. The film just earned a Best Drama Picture at the recent Golden Globes, and even though I generally agree with it's commendable IMDb rating, I'm not sure if that would have been the best selection against competition like ""Mank"" and ""The Trial of the Chicago Seven"", but for those of a wandering spirit, it might certainly earn that distinction."
NOMADLAND,9 March 2021,10/10,"Without a doubt, Frances McDormand has been one of the greatest US actresses of the past three decades. Humble and unglamorous, she's the opposite of the stereotypical movie star, making her Oscar wins all that more important. So it's no surprise that she now stars in Chloé Zhao's ""Nomadland"", as a laid-off woman traversing the western US. McDormand put so much effort into the role that many of her co-stars - many of whom aren't professional actors - didn't know that they were working with a professional actress.I've heard of Chloé Zhao for a few years, but this is the first movie of hers that I've seen. I now want to see her other movies. This is simply an excellent movie. The performances, as well as the use of visuals combine to create a look at the effects that the Great Recession had on countless people. Everyone should see this movie."
NOMADLAND,19 April 2021,7/10,"No worldwide pandemic was going to stop Awards Season, and thankfully many films had been made before the lockdowns happened, including this film that was getting many award nominations, based on a non-fiction book, from Oscar, BAFTA and Golden Globe winning director Chloé Zhao (the first woman of colour to win, and only the second female). Basically, set in 2011, the United States Gypsum Corporation plant in Empire, Nevada is shut down, and the town's ZIP code was discontinued. Fern (Oscar and BAFTA winning, and Golden Globe nominated Frances McDormand, also producing) worked there for years along with her husband, who has recently died. Having lost her job, Fern decides to sell most of her belongings and buy a van to live in and travel the country searching for work. She takes a seasonal job at an Amazon delivery packaging and shipment centre through the winter. Fern's friend and co-worker Linda (Linda May) invites her to visit a desert rendezvous in Arizona organised by Bob Wells (himself), which provides a support system and community for fellow nomads. Fern initially declines but changes her mind as the weather becomes cold, and she struggles to find work in the area. At the rendezvous, Fern learns basic survival and self-sufficiency skills for the road and meets many other nomads. When a tyre blows on Fern's van, she asks fellow nomad Swankie (Charlene Swankie) for a ride to town to buy a spare. Swankie berates Fern for not being prepared and they become good friends as she helps her to learn more road survival skills. Swankie tells Fern that she was diagnosed with cancer has a short life expectancy. She plans to make good memories on the road rather than spend whatever time she has left in hospital. They eventually part ways. Fern later finds work as a camp host at the Cedar Pass Campground in Badlands National Park. There she meets Dave (David Strathairn), another nomad working there temporarily; she met and danced with back at the desert community. Dave falls ill, and Fern visits him at the hospital where he has emergency surgery. The two of them later take restaurant jobs at Wall Drug in South Dakota. One night Dave's son visits the restaurant to inform him that his wife is pregnant and asking Dave to meet his grandchild. Dave is hesitant, but Fern encourages him to go. Dave suggests that she come with him, but she declines. Fern takes a new job at a sugar beet processing plant, but her van breaks down, and she cannot afford the repairs. Unable to borrow money, she visits her sister's family at their home in California. Her sister lends her the money, but questions why Fern was never around in their lives and why she stayed in Empire after her husband died. Fern's sister tells her she is brave to be so independent. Fern later visits Dave and his son's family; she learns that Dave has decided to stay with them long-term. Dave admits feelings for Fern and invites her to stay with him permanently in a guest house, but she decides to leave after only a few days and heads to the ocean. Fern returns to her Amazon job and later revisits the Arizona rendezvous. There she learns that Swankie has died, and she and the other nomads pay tribute to her life. Fern talks to Bob about her loving relationship with her late husband, and Bob shares the story of his son's recent suicide. Bob has the view that goodbyes are not final in the nomad community as its members always promise to see each other again ""down the road."" Sometime later, Fern returns to the nearly abandoned town of Empire to get rid of belongings she has been keeping in a storage unit. She visits the factory and the home she shared with her husband before returning to the road again. Also starring Gay DeForest as Gay, Patricia Grier as Patty, Angela Reyes as Angela, Carl R. Hughes as Carl, Douglas G. Soul as Doug, and Ryan Aquino as Ryan. McDormand gives a terrific performance as the free-spirited woman plunged into a transient existence being ""houseless"", Strathairn is likeable, while the rest of the cast is made up of real-life nomads essentially playing themselves. This film shows an unforgiving, independent, and almost spiritual lifestyle, with social gatherings and a sense of community, connecting with nature, it has fantastic cinematography and a melancholic and soothing score by Ludovico Einaudi, it is quiet and quirky, but a most worthwhile drama. It won the Oscar for Best Motion Picture of the Year, and it was nominated for Best Adapted Screenplay for Chloé Zhao, Best Film Editing, and Best Cinematography, it won the BAFTAs for Best Film, and Best Cinematography, and it was nominated the Best Adapted Screenplay, Best Sound, and Best Editing, and it won the Golden Globe for Best Motion Picture - Drama, and it was nominated for Best Screenplay. Very good!"
NOMADLAND,26 March 2021,6/10,"After her husband dies and she loses her job at a Nevada sheetrock plant that permanently shuts down (emptying out the entire town of Empire), a fiercely independent and stubbornly self-sufficient woman in her early 60s takes to the road in her RV. Unwilling to file early for Social Security benefits--and equally unwilling to put down roots with family or friends, both of whom offer shelter--she takes on a series of seemingly temporary jobs, living in her vehicle and stopping at various parks and parking lots to rest up before taking to the road again. Jessica Bruder's nonfiction book ""Nomadland: Surviving America in the Twenty-First Century"" from 2017 has become a very personal film for star and co-producer Frances McDormand, writer-director-editor Chloé Zhao, and a large cast of mostly non-actors playing themselves. Our heroine, Fern, is eccentrically driven and a hard worker, though the film's narrative--splintered and spotty and darting about--only allows us quick snippets of her days and nights. For instance, we don't know where the money goes that she earns working various jobs; we don't understand why having a roof over head makes her feel boxed in (putting her on the defensive, as if the road was a jealous lover); and we don't know why she prefers living a Worst Case Scenario lifestyle instead of formulating a plan to improve her conditions. Fern experiences the desert, the mountain forests and the ocean, and she loves the freedom nature allows her...but what are we to feel about her when she refuses help? I didn't find Fern particularly likable; McDormand plays her with a tight smile and quick, friendly herky-jerky movements (she's not anti-social), but we don't learn what makes her tick. She's a ""nomad"", a drifter, and always has been (according to her sister), so there's not a dramatic character arc here. Fern doesn't want a man in her life, she doesn't want a home. She's loyal, and a good listener, but she seems to be not just a hard luck case but a bad luck case. By the third act--when fellow-traveler David Strathairn hands Fern a baby to hold--I was more concerned with the baby's safety than enjoying Fern's motherly affection for it. **1/2 from ****"
