Title,Date,Rating,Comments
PROMISING YOUNG WOMAN,5 August 2021,8/10,"""Promising Young Woman"" is a co-production between the UK and USA in the English language and a fairly new release. Well, it is released these days (two weeks from now with the wide release) here in Germany, even if the world premiere happened a long time ago already, last year in fact. This film that is not considerably under two hours long was one of the big players during the previous awards season and in the end it ended up winning one Oscar and many other awards. Could have been more Oscars, could have been less. It took home the screenplay win in a category that was truly packed with movies that would have been contenders almost every year perhaps. Carey Mulligan was considered a frontrunner for a long time as well, but Best Actress was really wide open this year and in the end, Frances McDormand took it, the lead from the Best Picture winner. I like her too, but I think I would have been happier with Mulligan winning. Followed her since her breakthrough in An Education over a decade ago. It's okay though. Really nice to see her back so strongly and I hope one day she will win the Oscar. And I hope even more that she will keep delivering quality movies like this one here. This was a stunning example of how she is definitely among the very best actress from her generation. Just like how she was in her 20s. Still a bit unusual for me to see her with long blond hair this time, but hey it makes sense. Works better with the story than the tame brown hair she usually shows. So she is one of two key women attached to this movie. The second is Emerald Fennell, the writer and director and a prolific actress herself in fact. She was a recent Emmy nominee for playing Camilla Parker-Bowles on The Crown and also appeared in the Oscar-winning The Danish Girl for example. Another actress to manage a really successful transition from acting into writing and directing. It's not just Greta Gerwig. Her Best Director nomination this time was also a bit of a surprise, but probably not a negative one. Same goes for her Bets Screenplay win. There the nomination was always safe.As for the rest of the cast, nobody is as much at the center of the film as Mulligan. (I still find the meaning of her last name kinda funny. Sounds like ""mullet"", but means something entirely different.) Burnham also has a lot of screen time and may be the closest to a co-lead. He scored no less than five Emmy nominations this year for his variety special, actually six if you count the biggest nomination too, but came short in all of those. So also a man with many talents apparently. He has such a familiar face. Every time I see him, I keep wondering where I know him from and it feels as if I have watches a series with 100 episodes and he was in each and every single one of them, but I didn't. Alison Brie I must admit I did not recognize here. Surely one of the biggest names from the cast. Mintz-Plasse is another one always easy to identify, even if he has only one scene and he was creepy and funny at the same time somehow with how disgusting his character really was. Fennell herself has a really small cameo in here. I did not know the actress before, so I did not recognize her either. Molina is a delight as always, especially if he plays kind-hearted characters. Also nice reunion with him and Mulligan from An Education. Greenfield ugh I think he was one of really not many weaknesses here. He has a key scene basically, the night after the tragedy, and he really does not nail it. They should have picked a more talented actor there. I also never saw something special about him on New Girl. At least he played a really unlikable character and it was fairly easy to hate him with the actor in charge. Britton some will recognize. I did not really recognize her, even if her one scene was not bad and kinda challenging too. Many familiar names and faces here, even if most do not have a lot of screen time. Cox plays the best friend. Tolerable, nothing special and mostly in it for slight comic relief, exactly her niche you could say, but maybe receiving the protagonist's chain in the end was a bit too much. And Coolidge I have to mention as well. Love her in everything. She was good her too, with the drama and lighter moments. That dinner with the two parents, their daughter and her potential boyfriend was an absolute riot. Pure comedy gold.As for the movie itself, it was very nicely done. Needs a little bit to get going and you wonder what she really does. I mean she could not have killed all these men if you look at the amount in her little book, so yeah she just exposes and humiliates them somehow to deal with her suffering and grief and her past with what happened to her best friend. Even the latter's mother says she must stop. But once you know about her motivations, it all makes sense sort of. Mulligan played the part so well. Also interesting to see a high-quality movie delivering not only an awesome ""It's Raining Men"" cover, but also turning Paris Hilton into a somewhat creative artist, even if it's more of a guilty pleasure to be honest. I also liked how this film was really unexpected when crucial events happened. It gets you. It really does. Be it Burnham's character being part of the group of men who watched the abuse back then or be it only how he reacts and openly calls Mulligan's character a failure when he realizes that he won't get her back with what happened. Okay, maybe him running into her in front of the club was a bit too much of a coincidence honestly. But the killing at the end sure was really unexpected for me. Not at the very end. I mean you can really discuss if she started the entire thing with the idea to get killed, so in terms of a planned suicide. How she is fighting for her life under that pillow does not mean that she did not want to die. Everybody would do so there because it's a reflex. But they (or she, namely Fennell) found a good way to close the film with the closest to a happy ending there could be. The offenders are caught, again Greenfield's running away was rather cringeworthy, even if it was meant in a funny way, and they will be on trial for murder and also her potential boyfriend (Burham) will get his fair share because he lied to the police and was part of the group back then too. I guess how Greenfield and the male antagonist (the groom) disposed of the body made it easy to see there will be a murder charge, even if you could also make an argument of course that honestly if somebody is about to attack you with a scalpel and one of your arms is still tied to a bedpost, it could be considered self defence. Or at least spur of the moment. We don't find out as this is not a courtroom drama.The one thing this film has on almost every other movie dealing with a similar subject is that it feels really creative and inspired. And of course that these other films do not have Carey Mulligan in the lead. But these other films almost always feel for the sake of it. Like they elaborate on #metoo, on violence against women, on gender discrimination etc. But this is what they rely on. They rely on the film being seen as impressive and relevant because of said subject(s). And often the story, writing and overall outcome could not be any more shallow and simple sadly and the films are still praised because the mainstream media simply want to keep the momentum going when it comes to these inclusions. And also because they are maybe scared to say that a film on these issues can indeed suck. Suck a lot even because many do. This one here is the exact opposite. There is no hesitation for me here at all when it comes to decising if I should give the film a thumbs-up or thumbs-down. The only question was if it is a good or great film. I actually go with the latter now because I really enjoyed it. I don't think it's a flawless film and it was a really close call admittedly, but for now I'd say it's great and it's even my favorite 2020 release. So big thumbs-up here. The attention to detail was also overwhelming at times.This is also not only on these currently very relevant issues I just mentioned, but also compleetly aside from that a quite interesting revenge thriller. And a very different one. I mean it's not bloody, even if they (Mulligan and Fennell) played a little bit early on with us when we see ketchup on her mouth and can wonder if it's blood, but her recenge is just an expression of misery you could say. The character wants others to feel as bad as she does. One after the other and eventually her revenge is not only against men in general (come on, at least the name we remember, most other stuff too probably), but against those directly linked to what happened with her best friend. She meets all kinds of different reactions there. Professionalism, indifference, regret etc. And her reactions are also different. Looks like she hired a guy to beat up Molina's character? But the latter is one really showing remorse saying how he cannot sleep anymore, how he has not been able to sleep properly for years. I feel him. I don't fucntion without enough sleep either. Anyway, drifting away now. One of the best things this film delivers is how it renders the ""we were still kids"" element pointless. And how she makes it personal. How she does not let the boys get away with their actions this time again. And how she lets nobody in the audicen leave the cinema without a lump in their throats, but also with a feeling of satisfaction because the good guys win in the end. Police in this case. Or justice, even if again I must say we do not see anybody found guilty inside a courtroom in this movie. That is all now. I highly recommend checking this one out. It turned really dark in the last half hour, maybe 45 minutes even, but it just got better this way. Big thumbs-up! Oh and Margot Robbie produced this btw. Fitting. Nurse Carey looks a bit like Harley Quinn. Still glad Robbie did not star, even if I don't dislike her anymore like I once did."
PROMISING YOUNG WOMAN,20 March 2021,6/10,"Promising Young Woman is a messy glossy revenge picture. At times it is as chaotic as the mind of its protagonist.Cassandra (Carey Mulligan) is a medical college dropout who works in a coffee shop by day.At night she goes to bars, appears to be paralytic and gets picked up by men who see her as an easy lay. In fact Cassandra is conscious and keeping count of all the sleazebags who have taken her home.Cassandra teaches these men a lesson of the error of their ways. A darn risky move in my opinion as she places herself in serious danger in the process.Her trauma is related to her best friend who was raped at medical college. The rapist got away with it and the college administrators backed the guy's word.Cassandra has had issues and seems to have dropped out of life, going back to live with her parents.Yet romance is in the air when she meets a fellow medical student Ryan from her college who is now a doctor. Maybe happiness is around the corner for Cassandra.Promising Young Woman is full of cynicism. I thought it might be a female revenge movie in the style of Ms 45; in the middle it develops into a rom com.Then Cassandra's thirst for revenge seemingly puts a young girl at risk, the daughter of the college dean. Later she might have placed another woman in jeopardy leaving the audience to wonder if Cassandra is a sociopath.Written and directed by Emerald Fennell, who was the head writer of Series 2 of Killing Eve.The movie shifts several genres and was never going to be straightforward. I just knew Ryan was too good to be true and would somehow be implicated in the college rape.The final act is a cynical cop out. Once again showing that the men would do anything to save themselves.Tonally the movie is grubby and it does fall apart with its muddled message at the end."
PROMISING YOUNG WOMAN,24 May 2021,9/10,"Cassie (Carey Mulligan ) works at a coffee shop and lives with her parents, having dropped out of medical school. At night she pretends to be drunk and have guys pick her up. When they try to have sex with her, she wakes up and scares them and then nothing. We discover her peculiar behavior stems from a college incident.The whole theme of the picture is to show how women's lives are destroyed by college rape and the guy gets off. The particulars may be exaggerated such as the victim would have been at the top of the class and afterwards the attacker was at the top of the class, but it was done to drive home the point. It was also entertaining.Guide: F-word. No sex or nudity."
PROMISING YOUNG WOMAN,26 August 2021,10/10,"I reckon it is or will be easy to dismiss what happens here for some. Unfortunately that does not make the things that are depict in here untrue. From a male perspective you may see different valid points throughout this ... you may feel that certain things do not apply to you. And maybe they don't - that doesn't mean that they don't exist. I know it feels like I'm repeating myself ... something the movie does avoid.Which is quite the feat, considering what it is about and how she goes on a hunt (prowl?) at nights ... I was not sure what she was doing and the movie did leave it upon a bit ... but it does clear up during the runtime. Now she is broken and we slowly get why that is. It is revealed in the right way, even while we do sort of know or feel that we know most of it.What is a nice touch, we never see anything in that regard. There is no sleaze, there is no (visible) exploitation going on. That does not mean it is easy to watch ... or listen to what is happening. I personally am not a fan of the term feminist, but this movie may change your mind regarding that or other things.There are borderline things happening and our main character is not perfect. That does not mean she does not deserve something good ... and it does look like she can have. If she can bring herself to let go ... on the other hand, there is more than meets the eye. Way more ... and the ending ... I'm not going to spoil it for you, but let's say I did not expect that at all.Very well told and truths that do hurt ... but are essential to be seen ... and learned from (hopefully)"
PROMISING YOUNG WOMAN,7 April 2021,8/10,"About mid-way into the movie I had to come to the conclusion that Cassie (Carey Mulligan) was dealing with mental illness in a way that stoked her necessity for revenge against those who humiliated her best friend Nina while in medical school ten years prior. Somehow she internalized some sense of guilt over Nina's death, even though she wasn't at the particular party where Nina got drunk and subsequently raped. It's not made clear how Nina died, but one assumes that she committed suicide as a result of the trauma she suffered with an inability to carry on. What cinched the mental illness idea for me was when she stopped her car in the middle of the road and took a lug wrench to the guy's truck who was taunting her for his inconvenience. The reaction there was over the top and out of proportion, even if the driver was a jerk. There was also that comment from Cassie's mom (Jennifer Coolidge) to the detective investigating her later disappearance when she said that Cassie was 'getting better'.What's immensely clever about the screenplay and the acting is how matter of fact Cassie could be when dealing with friends and her family. Actress Carey Mulligan as Cassie wears so many faces in the story that it's a tribute to her ability to charm or scare the hell out of someone by simply switching gears the way she did with Dean Walker (Connie Britton). The revelation of her potential boyfriend Ryan's (Bo Burnham) presence at the fraternity party years ago is what pushed Cassie over the edge. Many won't agree with me on this, but it's my feeling that Cassie's revenge mission at the bachelor party was her way of committing suicide, partly over grief for her long lost friend, and partly for her inability to move on in life, as was well depicted in the scene with Nina's mother (Molly Shannon).Why come to a suicide conclusion? At the wedding of the man who killed her (Chris Lowell), Ryan receives timed text messages as if they were coming from Cassie, who by now is already dead. Those would have to have been planned by someone who felt that they might not be around to send or deliver the message in person. So at least the thought of being killed had to have been on Cassie's mind when she concocted her revenge plan. And by walking into a situation where death might be imminent, Cassie was at least complicit for the disaster that befell her.I can't really say that ""Promising Young Woman"" is strong enough as a film to garner this year's Best Picture Oscar, but of all the contenders I've seen so far (and I'll see them all), this is the one that I feel will last in memory the longest because of it's dreadful impact. It's conclusion is one I don't think most viewers will see coming, having been entertained by Cassie and Ryan's humorous banter throughout the picture, thereby setting up an expectation that Cassie would emerge a likely hero. The story could have been written that way, but then, who would remember it?"
PROMISING YOUNG WOMAN,29 April 2021,7/10,"The Oscar and Golden Globe nominated directorial debut for actress Emerald Fennell (Call the Midwife, The Crown) was making news not long before it got caught in Awards Season, because of its ""female empowerment"" theme, and the controversial story to bring it to light, I was looking forward to seeing it. Basically, Cassandra ""Cassie"" Thomas (Oscar and Golden Globe nominated Carey Mulligan, also producing) is a thirty-year-old medical school dropout who lives an uneventful existence, still living with her parents Stanley (Clancy Brown) and Susan (Jennifer Coolidge). She also works a dead-end job as a waitress at a cheap coffee shop with her only friend Gail (Laverne Cox). But secretly, Cassie spends her nights pretending to be drunk, and helpless in clubs, allowing men to take her to their homes. When the men are about to take advantage of her, she reveals her sobriety and shocks them, making them think twice next time they approach a vulnerable woman. At the coffee shop, Cassie is reunited with a former medical school classmate, Ryan Cooper (Bo Burnham). After some banter, Cassie spits in Ryan's coffee, but he still drinks it anyway and asks to take her out. She gives him a fake phone number. Meanwhile, Stanley and Susan continually express concerns over Cassie's lack of ambitions and hint that she should move out. Ryan returns to the coffee shop after realising Cassie gave him a fake number, she has a change of heart and agrees to go out with him. Although Ryan appears nice enough, Cassie doesn't let him get too close to her. During a conversation, Ryan mentions his old colleague Alexander ""Al"" Monroe (Chris Lowell), who is getting married. Years earlier, Al raped her best friend Nina Fisher, who was too drunken to know what she was doing. Cassie and Nina reported it, but it was not taken seriously and there was no investigation by the school or legal system. This led to Nina committing suicide and Cassie dropping out of medical school and faking drunkenness in clubs to catch out other predatory men. Cassie is disturbed and begins a plan to exact revenge on Al and the other people who she knows were involved in the aftermath of Nina's rape. She meets another former classmate and friend, Madison McPhee (Alison Brie), who did not believe Nina was raped. Cassie gets Madison drunk and hires a man to take Madison to a hotel room. Madison has no memory of what happened and leaves several distraught voicemails for Cassie, concerned she was raped herself. Cassie next lures her teenager Amber into her car by posing as a makeup artist for her favourite pop band. Amber is the daughter of Elizabeth Walker (Connie Britton), the medical school dean who dismissed Nina's case for lack of evidence. She meets Walker pretending that she wants to resume her education, and questions her about Nina's case. When Walker explains away her actions, Cassie tells her she dropped Amber off at a dorm room with a group of older drunk male students. Walker is terrified for her daughter's safety and tries to call Amber, only to see that Cassie has it. In fear, she apologises for her inaction and not believing Nina. Following this, Cassie admits that she only left Amber at a diner where she is ""stupid"" enough to believe the boy band will be, and Cassie leaves. Cassie forgets to meet Ryan for a date, disappointing him. That night, Cassie lures another man into taking her home man. Whilst leaving, Ryan catches them, who is hurt over being stood up, and leaves. Cassie's next target is a former lawyer, Jordan Greene (Alfred Molina), who harassed Nina into dropping her charges. Greene is remorseful, having had a nervous breakdown over his guilt, and Cassie forgives him. After visiting Nina's mother (Molly Shannon), who urges her to move on, Cassie abandons her revenge plans. She apologises to Ryan and they fall in love. Madison confronts Cassie outside her house, desperate to know what happened after their lunch. Cassie reassures her that nothing happened. Madison gives her an old phone containing a video of Nina's rape that she kept before warning her to never contact her again. Watching it, Cassie is shocked and devastated to see Ryan among the rapists. She confronts him and threatens to release the video unless he tells her where Al's bachelor party is being held. Ryan tells her and insists she forgive him, but Cassie refuses. Cassie arrives at Al's bachelor party posing as a stripper, dressed as a sexy nurse with a colourful wig, spikes the drinks of all Al's friends, and takes Al upstairs. Assuming she is giving him a private dance, and accepting her reason for putting on handcuffs, he is cuffed to the bed. Once cuffed, Cassie reveals her identity, showing Al the rap video, and demanding that he apologise. Terrified, seeing she has a knife, he tearfully apologises and insists it was a long time ago. As she starts carving ""Nina"" onto Al's chest, he manages to break free and fatally suffocates Cassie with a pillow. The next morning, Al's friend Joe (Max Greenfield) finds him with Cassie, he realises that she is dead and consoles Al when he explains what happened. Joe convinces Al that no-one knows that she was at the shack, and they drag Cassie's body to burn it in a makeshift furnace. Her parents file a missing person report, and the police begin to investigate. Ryan tells them Cassie was mentally disturbed and does not tell them where she was going. The wedding takes place, with Ryan in attendance. During the ceremony, Ryan receives several scheduled texts from Cassie. At the same time, Greene receives a package from Cassie with a video of Nina's rape and instructions to give it to the police in the event of her disappearance. Also, Gail finds a half heart-shaped necklace with Cassie's name under the cash register; Cassie was wearing the matching necklace with Nina's name on it when she was killed. The police discover her burnt remains and the necklace, and arrest Al at his wedding for the murder. Cassie's final message to Ryan reads ""Enjoy the wedding. Love Cassie and Nina."" Also starring Adam Brody as Jerry, Christopher Mintz-Plasse as Neil, Sam Richardson as Paul, and Ray Nicholson as Jim. Mulligan gives a brilliant performance as the young woman flitting between sweet and spiky and often being wildly persuasive and then unnervingly threatening to the characters that deserve punishment. This film has a superbly acid-tongued script, that makes important points about why claims of rape should be taken seriously, the lead character is both fascinating and at times scary, but we always remember her pain and reasons for what she is doing. You are gripped throughout as to which direction it will go, it is darkly funny when it can be, the ending is shocking but equally smart, and the pop music soundtrack (including an orchestral version of Britney Spears's ""Toxic"") makes for good listening, it is a great stylish take on the revenge movie, a clever black comedy thriller. It won the Oscar for Best Original Screenplay for Emerald Fennell, and it was nominated for Best Motion Picture of the Year, and Best Film Editing, it won the BAFTAs for Outstanding British Film of the Year, Best Original Screenplay, and it was nominated for Best Film, Best Editing, Original Score for Anthony Willis, and Best Casting, and it was nominated the Golden Globes for Best Screenplay, and Best Motion Picture - Drama. Very good!"
PROMISING YOUNG WOMAN,2 May 2021,,"Carey Mulligan is Cassie. She had been a promising young medical student some 7 years earlier when something happened to her best friend, also a promising young medical student. Now approaching 30 Cassie works as a coffee barista and seems adrift. Until the old male nemesis from medical school comes back to town to get married.The writer-director says she wanted it to play as a very dark comedy, dealing with a very serious issue but with some humor in the scenes. Mulligan is great in the role and was nominated for Best Female Actor.My wife and I watched it at home on DVD from our public library, a very interesting and entertaining movie."
PROMISING YOUNG WOMAN,20 January 2021,7/10,"Fennell's script crackles with good dialog and an excellent structure, with a few turns that made me go ""dang, I should've seen that"" and that was fun. And she realizes it with strong wide-angle compositions. As for those chapter headings.... Eh, no. If I'm to choose between two stories of people on the edge of life and about to crack, ie this or a Joker, I much prefer Fennell's spark and creativity (I know Josh Larsen compared her to #metoo Pfieffer Catwoman and I can see that as well - she's like a very selective but warped vigilante who should have become an actor).At the same time, it takes on the hard task of being a revenge movie while subverting them, and it doesn't get there (is it wrong for it to go Full Femme Fatale Death Wish, or, yeah, Ms 45? if you're going to go for pulp, go for it, but don't also do the ""revenge is a dead end"" thing, as it makes it feel a little muddled). Fennel also I suspect has been around a *lot* of drunk people, and gets actors who know how to play it well (Brie a stand-out).As for the rest of this, Carey Mulligan's best since ""Blink"" (she and Evan Rachel Wood are almost tied for best acting in a Focus Feature in 2020, random category I just made up cause I'm me), and Burnham is superb casting. All of the supporting cast bring it, in particular Chris Lowell from GLOW. I liked it, but it didn't blow me away or say anything particularly insightful about the culture of rape and the survivors as well as the perpetrators. That's ok sometimes, and that's my review."
PROMISING YOUNG WOMAN,3 January 2021,,"What a gripping story! The ending is triumphant, and the journey to get there is very intense."
PROMISING YOUNG WOMAN,16 May 2021,7/10,"A young woman, Cassie, is on a revenge spree, with her victims being male sexual predators. Once a high-achieving medical student she now works in a coffee shop and lives with her parents. Something happened in her past, something that radically changed her life.An interesting and thought-provoking revenge-drama. Ultimately it doesn't really go anywhere new, directionally, in terms of the revenge-drama genre but is quite entertaining and the plot does take a few unexpected twists and turns. In addition, there is a fair amount of intrigue as to what happened in Cassie's past to cause her to be like this.Writer-director Emerald Fennell tries to make the plot as balanced as possible as it could easily have degenerated into a polarising ""all men are bad"" scenario. However, this exposes some of the flaws in Cassie's thinking and actions, leaving you less than 100% engaged with her: while mostly on her side, on occasion she does seem more a villain than a hero. On the plus side, this adds to the edginess and unpredictably of the plot."
