Title,Date,Rating,Comments
THE FATHER,14 April 2021,7/10,"Anthony (Anthony Hopkins) lives in his large London flat for much of his adult life. He's showing signs of dementia as he falsely accuses others of stealing his beloved watch. His caregiver daughter Anne (Olivia Colman) tells him that she's moving to Paris to live with her new boyfriend. His world is disjointed and confused as unfamiliar faces push into his life.It's a fascinating artistic vision of what dementia must feel like. When Olivia Williams shows up, I thought the movie could go in two interesting ways. The new people could be scamming the old man which would be very daring in terms of writing. It could also be a psychological Kafkaesque horror with ever-changing faces. The movie tries that but it's not pushing the Kafka feel enough. This is an interesting movie with some very interesting actors. Maybe the early part of the movie had me expecting too much. I end up reviewing what's not on the screen rather than what's on it."
THE FATHER,10 May 2021,,"The good thing - Sir Anthony Hopkins, after a long expectation, refuge in easy formulas and what can be defined as cliches/ manneririsms, gives a magnificent acting. For me, The Father is a sort of return to past, reminding the bad condition of one of loved ones. But, maybe, the realism is one of its basic fundamental virtues. The provocative perspective, the fall of a world / order and the need, high need to understand as a need of breathing. An admirable work and splendid job of Olivia Colman."
THE FATHER,10 September 2021,6/10,"""The Father"" is a new movie, well from 2020, and a co-production between the United Kingdom and France. The movie runs for under 100 minutes, so not a particularly long film by any means. And yet this was one of the biggest players from the previous awards season. The director is Florian Zeller and his career path can really be described as unusual. He launched his career through stage plays and mostly focused on these as well in recent years, even if here and there he also moved on to movies. So the smallest surprise here is probably that he wrote the screenplay himself. The bigger surprise is that he directed. And he did not have a co-director despite not being experienced at all in this department, but a co-writer. That would be Christopher Hampton and he has been in the industry for a long time and even won an oscar decades ago. Well, he won his second now. This is how successful this film turned out in the end and how audiences, critics and awards bodies loved it. Huge international breakthrough for Zeller too of course and we will see what will be next for him in the future. Certainly promising projects coming up. But as much as Zeller may have achieved behind the camera and with the pen in his hand (metaphorically), the heart and soul of this film was British actor Anthony Hopkins. You see him on the right of the imdb poster of course. He won his second Oscar for his portrayal here and even if he did not go into Oscar night as the frontrunner, not too many neutral observers were unhappy with Hopkins being announced as the winner at the very end, even after the Best Picture winner was announced this time. Hopkins was not there in America, maybe partially because of the pandemic and partially because of his age and the distance, but he recorded a little thank you message the following day if I remember correctly in which he also made a short reference to the late Chadwick Boseman that most people were expecting to win. More on Hopkins later.The woman you see on the left is Olivia Colman of course, already an Oscar winner herself and her win for The Favorite as an against-the-odds upset as well, so kinda fitting. I think she played her part well as she always does, but I don't see huge versatility in her somehow and it feels a bit exaggerated how much awards bodies have loved her in the past. Still she contributed in a way where the film does not get worse when she is on screen and here and there she also has a memorable moment, like the one in the elevator for example with her bright smile after she gets a compliment from her father. That was one of not too many moments where we really saw how much he meant to her and how much she wanted to be loved by him. Despite the violent fantasy. Nice connection to how she in reality(?) takes really good care of him when he is in bed. Another example would be the table argument of course. But as a whole the fact how much she cares for him is also shown to us by all the time where we see them both on the screen, even if they are separated in the end and even if we can never really be sure what is reality and what happens only in Hopkins's character's mind. This is pretty much the key aspect to the script here. I cannot write the mindf... word from beginning to end, but it's all about that. Zeller's main intention here was definitely to make us see things the way they are seen from the perspective of an old man whose memory and sanity are fading quickly. We also see all the emotions he goes through in the process. Be it him joking around before becoming very serious seconds alter (the tap dance scene), be it him saying he is an intelligent man and how he does not want to be treated like a fool. The nun reference there also felt a bit random. But also those moments in which he is as vulnerable as it gets. When he is physically attacked, slapped, though (probably) only in his imagination, or when he, near the very end, compares himself to a tree basically and realizes how he is fading basically. These are all moments in which Hopkins truly shines.As for all the inclusions that do so much with your mind, I will also mention a few examples: Of course, the recurring watch references come to mind. But also the painting from the wall. All the references to his other daughter and how he sees her a bit in a new applicant. Or actually sees her a lot and how confused he is when he sees the other woman near the end. Then there is this loop scene which I also found fairly haunting to be honest when we have his daughter and her man talk about him and how he enters the room when they do. Would they really talk that loudly and even scream immediately afterwards with him not too far away? Anyway, this scene closes with him not taking his seat the way he did before, but going back to his room. By the way, in the trailer this film seemed to be much more about the apartment, but it turned out completely differently. The only thing related to reality clashing with an old mind was maybe when we saw the other daughter (let's call her that) briefly on one occasion. There are many more moments really I could list here, but I don't want to take it away from you if you have not seen the film yet. Or also not take it away from you to draw your own conclusions. I must say that in the second half, I felt it became a bit too much honestly with how everything gets blurry and not too close to reality anymore. For example the scene towards the end (but still a bit earlier and away fro the closing credits) when we see Hopkins' character alone all on his own at an utterly cold and sterile retirement home. This of course gave us in the audience immediately the idea that this is where he was all along, that maybe Colman's character never really existed, but then things take another turn and twist. One after the other. I don't know, maybe I like it more if I watch it again, but I thought that perhaps Zeller wanted a bit too much here. Had almost Nolan proportions with stuff like Inception, only as a full-on family drama.Aside from that, I think this is a pretty interesting project also as a stage play and I would not be surprised if we see it one day at non-movie theaters. Surely a challenge with some characters, even if it's not that many, and also the changing locations of course. I see that Zeller turned this into a film already in France years ago. Interesting. This seems almost lost though judging from the amiunt of votes here on imdb. But back to this one here: By the way, when Colman's character leaves in the end it felt like closure and a framework compared to how she entered the movie. But the film ends with Hopkins' character of course and a beautiful shot of the nature outside his new home. Fitting really. This seems like a film really close to his heart. The birthday his character states is his own in fact and he may be healthier in terms of his mental state, but also his character's name is Anthony. A bit of an irony if we take a look at another Oscar-winning movie, namely Nomadland, and how there everybody has their real name except the protagonist, even if it is not too different either. Let's sta with this one here for now though. What else can you say? Oh yes, Imogen poots is always a nice inclusion, not just for a hetero male like myself, but also acting-wise. Very nice. This also applies to the rest of the cast, especially Sewell and Gatiss who held their own next to Hopkins (and Colman) and this is a really huge achievement I'd say. No matter if it was two scenes or ten.All in all, this movie gets a thumbs-up with no hesitation, even if I somehow feel that I did not like the outcome overall as much as I would have liked and some of the awards recognition is also too much, especially for the screenplay. I felt that it even took away a bit from the emotional component because the fictitious aspects (and how we cannot be sure what's happening at all the longer the movie goes) made it a bit less depressing. For me at least. Difficult to really put a finger on it. I wonder how I will think about that on rewatch, but I have no intention really to go for a rewatch anytime soon. Who knows, maybe once it is on television. This is not a visual masterpiece, so it's not much of a worse watch on the small screen than at a movie theater where I saw it today I believe. The music I did not like too much, but that is of course entirely subjective. High-pitched opera is smply not my thing. But of course it makes sense that the character likes it with his age. They could not have gone for modern pop music or something and it also fits from the cultivated perspective if we look at his really fancy apartment and fairly exquisite alcoholic beverages you see here and there. What will always stay the most with this one here though is how Hopkins turned solid scenes into something exquisite at times. Great props to him and it will take quite some time to find a better performance by somebody in his 80s. May he lives for many more years to come and maybe also give us a few more nice films hopefully. Or just enjoy retirement. Whatever floats his boat the most. Thank you, Mr Hopkins!"
THE FATHER,11 June 2021,6/10,"Anthony Hopkins won his second Best Actor Oscar for The Father.This shocked some people. The late Chadwick Boseman was the sentimental favourite and he had won the earlier awards in the run up to the Oscars.I was not surprised that Hopkins pipped Boseman. People forget just how revered Hopkins is in the acting profession. Other actors would bend over backwards just to share a scene with him.This is a man who was anointed as Laurence Olivier's successor many decades ago.In The Father, Hopkins gives a masterclass in acting. Anthony is a man living with dementia and his world is jumbled up.People, places, relationships have no fixed bearings.Based on Florian Zeller's own stage play. Zeller as director makes small subtle changes to unsettle the audience so they can sympathise with Anthony's confusion, frustration and even anger.Several actors play different characters with slightly askew performances which makes the audience doubt them.It is all part of the film's structure. In the centre of it all is Hopkins and I doubt the film would work without him, especially at the end when he talks about his mother.The film's innovative narrative has been slightly robbed by other genres. The British soap opera Emmerdale had a special point of view episode in 2016 where the former vicar's early onset of dementia demonstrates his confused state of mind.The Father ploughs a similar field. In that sense its framework of being a warped thriller did not really cut it for me."
THE FATHER,13 April 2021,9/10,"This movie brings you inside the mind of someone losing their memories and recognition of those around them. In another genre, what happens here could just as well take place in a horror film. The fascinating thing about the story as it unfolds is that as the viewer, there comes a point where you begin to question whether what you're seeing is what the principal character is experiencing, or whether it's a figment of Anthony's (Anthony Hopkins) imagination. The distinction between his reality and the reveries that make up his daily existence sort of blend together in a way that confound the senses. Hopkins is extraordinary in the role, and if this is his last chance to earn an Oscar for Best Actor, then it's a darn good one in a field with some significant competition. Olivia Colman as Anthony's struggling daughter expresses all the concern and frustration that comes with being the primary caregiver for her dementia stricken father, and there are somber moments in the picture when you want to cry along with her over the hopelessness of both his and her situation. As a harbinger of what might happen to anyone as we all approach those senior twilight years, the film can be a depressing experience, only somewhat mitigated by the care and concern that dedicated health care workers are able to provide in an institutional setting. As tender and comforting as the closing scene is, it's one that will break the heart of anyone who's been through a similar experience."
THE FATHER,19 April 2021,9/10,"With cinemas being closed during the COVID-19 lockdown, it was difficult know when I'd be able to watch this on the big screen, so I'm thankful when it went online, with it being nominated during Awards Season, I was most keen to watch it, based on the acclaimed play by Florian Zeller, who debuts as writer and director. Basically, Anne (Oscar and Golden Globe nominated Olivia Colman) visits her father Anthony (Oscar and BAFTA winning, and Golden Globe nominated Anthony Hopkins) in his flat after he becomes aggressive towards his recent caretaker. Anthony has developing dementia and constantly forgets important life events and where things are in his flat, including his watch, even though he places it in the same place every day. He tells Anne he thinks his recent caretaker stole his watch and that he will never leave his flat. Anne tells Anthony she plans to leave London and move to Paris to live with her new boyfriend. Anthony is confused and thinks she is still married to James, but she tells him that they have been divorced for five years and leaves. The next day, Anthony sees a man he does not recognise named Paul (Mark Gatiss) and is confused that he is living with him in his flat. Paul states that Anthony lives with him and Anne. Anthony is confused when Anne returns from the shops with chicken for dinner and appears as a different woman (Olivia Williams). His confusion causes him to become frustrated. Anne schedules an interview for a new caretaker in his house. Laura (Imogen Poots) meets with Anthony for the position. During their meeting Anthony claims he was a professional dancer and that he doesn't need any living assistance. After Laura has been hired, Anthony states that she reminds him of his other daughter Lucy. He mentions that he has not talked to Lucy for months for reasons he is unaware of. Anthony is taken to Dr. Sarai (Coronation Street's Ayesha Dharker) by Anne and is asked about his memory; he claims he has no memory problems. Anthony tells Laura about how proud he is of his daughter Lucy, who is a painter. Laura tells him she is very sorry about Lucy's accident, but Anthony is unaware of what she is referring to. Laura drops the subject and moves on to give him his medication. Over the course of the film, it is revealed that Anthony has really been living with Anne and Paul for years, Paul has also changed in appearance (Rufus Sewell). But Anthony believes he is still living in his private flat. The night Anne comes back with the chicken from the market, she and Paul have an argument over a vacation to Italy they had to cancel to look after Anthony due to his difficult behaviour with the caretaker, and about how much Anne sacrifices for her father. Paul asks Anthony how long he plans to stay in their flat and annoy everyone, and he slaps Anthony to the point of crying. Then a few moments later, Paul's appearance changes again (Mark Gatiss), and the argument and slapping repeat. Anthony wakes up in his room and walks out of the flat, only to find himself in a hospital hallway. He remembers his daughter Lucy (Imogen Poots) died in a car accident at the hospital. He sees her bloody body in the hospital room. At that moment, he wakes up in a completely different bedroom, now in a nursing home. His nurse, Catherine (Olivia Williams), checks in on him and informs him Anne has moved to Paris with Paul and visits on occasional weekends. Another nurse, Bill (Mark Gatiss), also visits during their interaction. Anthony has an emotional breakdown over his inability to understand what is going on anymore and Anne's disappearance. He becomes child-like and cries wanting his mother. Catherine comforts him as he sobs and tells him she'll take him outside for a walk in the park. Hopkins gives an astonishing performance as the elderly man suffering the devastating illness and constant paranoia and confusion, Colman is terrific as his concerned daughter saddened by his deteriorating mind, and the support of Poots, Sewell, Williams and Gatiss is perfect. What makes this film stand out, besides the extraordinary Hopkins and the fantastic script, is the clever editing and structure of storytelling, with distorted realities and dramatic shifts in perspective, the visual trickery and twists are a literal representation of what having dementia must be like, it is a breath-taking and emotionally engaging drama. It won the Oscar for Best Adapted Screenplay, and it was nominated for Best Editing, Best Production Design, and Best Motion Picture of the Year, it won the Best Adapted Screenplay, and it was nominated for Best Film, Outstanding British Film of the Year, Best Production Design, and Best Editing, and it was nominated the Golden Globes for Best Motion Picture - Drama, and Best Screenplay. Very good!"
THE FATHER,11 April 2021,7/10,"The devastating effects of Alzheimer's disease (although never mentioned by name) on an aged ex-engineer in London. There is no conventional story in ""The Father"", and that's as it should be. Director Florian Zeller, who also co-adapted his 2012 play ""Le Père"" with Christopher Hampton, gets inside the deteriorating mind of the central character with astonishing skill (although it takes about 15 minutes to get into the movie's rhythm). Anthony Hopkins gives an incredible performance; his confused, frustrated Anthony is delusional, forgetful, obsessed with time, unable to distinguish the past from the present, and prone to nostalgic bewilderment and angry fits of befuddlement. We, too, are lost in time as people Anthony is introduced to are either figments of his imagination or are substitutes for whomever is trying to communicate with him in the present. It's a moving journey through a trap-door existence, though the operatic pieces by composer Ludovico Einaudi are a tiny bit excruciating (less so if you admire the genre) and Zeller tends to overdose on weary-eyed closeups of Olivia Colman playing Anthony's conflicted daughter. Six Oscar nominations, including Best Picture and Hopkins as Best Actor. *** from ****"
THE FATHER,2 August 2021,,"This movie was shot in May 2019 just a few months before the COVID-19 pandemic was recognized. The writer-director says he wrote this with Anthony Hopkins, who was 81, in mind. The movie has a number of well established actors but the story's impact depends on Hopkins and he achieves this as very few might be able to do.Usually movies dealing with aging and dementia depict it from the points of view of all the others around, friends, family members, medical personnel. This does the opposite, it depicts it from the point of view of the afflicted person. As such I found myself totally confused after about 20 minutes but eventually understood why it had to be this way. We are seeing what Anthony (character's name) sees and experiences, the confusion as to where he is and his failure to recognize people he knows.In many ways this is a hard movie to watch because we know people who have gone through dementia and its inevitable end, or know people who are in the early stages of it. For that reason my wife chose not to watch this movie.For the subject matter it is a very good movie."
THE FATHER,5 April 2021,,Wow. This story is expertly crafted that I just don't know what is real and what isn't. Amazing acting too.
THE FATHER,27 April 2021,10/10,"Anthony Hopkins and Gloria Williams stars in this movie about an elderly suffering from dementia entitled, ""The Father"". It presents a story of the struggles that a person having no sense of reality with the things surrounding him and the people around him.I just found this movie an average one. The story was simple. There was melodrama written over it as the movie wants the viewer to feel towards the elderly with dementia. No question that it achieved its objective. What made it great is Anthony Hopkins.No question that Anthony Hopkins did a wonderful job as the elderly. He won another Oscar for it. I just got to learn from his movie when the news about Oscar winners for this year. (Personally, I did not even know that the Academy Awards Night was held just like many other people and no wonder the ratings for this year has become disastrous as it was at an ALL-TIME LOW. But that is another topic for another day). Hopkins made it interesting from beginning to end. The movie focused on his character. The story focused on his character. The screenplay focused on his character. And Hopkins delivered as he took it to new heights.Without Hopkins, this would have just been an average movie."
