Title,Date,Rating,Comments
THE TRIAL OF THE CHICAGO 7,17 August 2021,6/10,"""The Trial of the Chicago 7"" isa relatively new movie from 2020 and a co-production not only between the USA and UK, but also India which surprised me a bit. It runs for over two hours and was written and directed by Oscar-winning writer Aaron Sorkin, actually only his second movie as the man in charge behind the camera too. The first scored one single Oscar nomination, namely for his screenplay, the second (i.e. This one here) scored bigger, including a Best Picture nomination. Sorkin was also considered a potential winner for his writing once again, but came short this time. Maybe with his third film then. Seems as if he is getting in the groove. I will elaborate a little bit later on the story. What you should know for now is that the cast is pretty prominent here. British Oscars winners Redmayne and Rylance are on board. Sacha Baron Cohen is always easy to identify and he is the only one from the cast who scored major awards attention. Frank Langella has a great deal of screen time playing the main antagonist. Michael Keaton shows up briefly only, but plays a pretty significant character nonetheless. Also fairly telling he is clearly playing second fiddle to Redmayne again, just the way it was when it came to their clash at the Oscars a few years ago. But back to this one here: Even the lesser known actors like John Carroll Lynch, Jeremy Strong and Alex Sharp have decent recognition value. Oh and I must also mention J. C. MacKenzie. Not a key character he plays, but as a Dark Angel fan I shall not overlook him now around the age of 50. Oh yeah, Joseph Gordon-Levitt is on board here too, but my enthusiasm linked to him is really not too big. Now you see this is a really male-dominated cast. We do have an actress playing Redmayne's character's girlfriend and another one playing an undercover agent, but that's it basically and they do not have a lot to work with. This of course also has to do with history as this film is set in the late 1960s, so over 50 years ago now, and everybody (or at least the majority of characters) you see in here is based on actual people.From the historic perspective I was struggling with the outcome though. I felt there were hardly no shades here and instead of really giving a truly accurate display of said trial, it felt more like a convenient choice to fit in with the political climate in 2021. The best (or worst) moment was maybe when Rylance's character asked another Black character if he can breathe. So blatantly obvious and honestly I am pretty glad that Sorkin did not win an Oscar for his screenplay here. The race aspect felt shoddy and rushed in. I am not sure to what extent there is really 100% credible evidence that the Black Panthers leader was beaten up while everybody in the courtroom was waiting. I guess his lawyer struggles and how he sat there gagged really happened like that and are based on actual happenings, but still. This was a key issue here and I truly felt that this movie was taking sides too much overall. Shades were missing entirely. Even JGL's character who was the closest to showing some character development by slightly swithcing to the good side (you can really say it like that) not only because he stands with everybody else in the end did not make much of an impact. There is a fitting moment relatively early on when all three (groups of) defendants are called the radical left, which is pretty accurate. They are just different in terms of style and manners. Honestly, with all the horrible crimes commited by the Black Panthers, I find it almost disgraceful how they are depicted in here and disrespectful to their victims. The leader is accused of murder, but of course he did not do it. He is severely discriminated against and one of the biggest victims in this movie. I mean it may be correct in this context, but people watching this film learn nothing about the Black Panthers at all. About who they really were.The deeper moments are tolerable, but not as great as they are presented to us. SBC's character's statement on being prosecuted because of his thoughts on a brief occasion was still among the finest moments, also thanks to his line delivery. I am not unhappy he got the Oscar nomination. Actually fairly fitting even with how he plays a stand-up comedian, even if his character does not want to be called like that. The crucial moment in the end, not just the list of the fallen, is when we find out about the blood that Redmayne's character is talking about and who it actually belongs to. Oh well. That was okay, but still felt a bit clumsy and difficult to believe in terms of how assuring it was that he really meant their own blood. And not the blood of the enemy or the police. The moment in which JCL's character becomes violent and apologizes to his family and we are supposed to understand that this blatant injustice brings out violence in even the most peaceful man? Well, did feel a bit written. I am sure that, even if the character had such an outburst in reality (and if there is video evidence including said outburst), what he tells his son early on was mostly scripted. Oh and yes, this film, despite occasional flashbacks and scenes outside the courtroom, is really a full-on depiction of the trial here. I like courtroom drama, but I can see how it may be a bit much for some.Let's talk a bit about the antagonist here. I don't mean the judge this time, but the prosecution. They are really evil, except JGL's character to some extent. Take a look at their dirty tricks to make sure some jurors have to leave. Or the idea with the undercover officer. Okay, she only belongs to them indirectly and actually is depicted as a smart woman. This is also where it became so obvious that they did not in any way want this film to have the slightest anti-female tendency with #metoo and everything still going on these days. She also develops some kind of liking for the defendants as we see during her face expression in the end and also how she will not leave the courtroom. As for the second woman, played by the stunning Alice Kremelberg, her perhaps biggest moment is when she gets an offensively racist call from people following the courtroom drama and those people are clearly right-wing (maybe far right-wing even) and they unleash in the most disgraceful and obscenes ways imaginable. Again, it felt more like about today's political climate than about the one back then. On a more positive side, SBC's ""Daddy, why???"" moment was perhaps the funniest thing I have come across all year in film. At the movie theater at least. Okay, I did not come across a lot, but I found this brief comment too funny and even had to smile from only thinking of it minutes afterwards. It was maybe these scenes that made it easy for Sacha Baron Cohen to get in at the Oscars. His successful second movie may have helped too, so they wanted to give him one acting nomination at least. Of course, also that his character here was not just a clown, but also pretty smart. Look at his Nixon comment or also when he clashes intellectually with Redmayne's character. But also what he had to say immediately afterwards made sure things are put into perspective again. His character just could not stay serious in the long run. Kinda sad to see he commited suicide eventually, even if it was many years later.Overall, I was nicely entertained by this movie, but as I said this may also have to do with the fact that I like courtroom drama. Others may appreciate it less from this perspective. I am still fairly generous with my rating, because in my opinion this film and the exact outcome are definitely a lost opportunity. Lacks shades, lacks real authentic depth and as a consequence also lacks historic significance. Moments like the judge saying he has never beenn accused of being racist towards Blacks and what follows immediately afterwards may feel funny for a second, but if you look at it from a more neutral perspective, I must also say it really felt pretty gimmicky, maybe even in a way that had the film try to hide its (nonetheless obvious) shortcomings between shenigans like this. The more I think about this movie, the less I like it. Sad, but true. My rating on rewatch is certainly more likely to go down two stars. Literally no chance of going up and that's a pity because I think Sorkin here had a cast at his disposal that could have turned this film into something really extraordinary. I am not surprised though that liberal Hollywood (among others) ended up being a massive sucker for this film (also with the SAG Awards win for the ensemble) because it really fits the current political climate. In the end, from my unbiased perspective a close call, but for now I give the outcome a hesitant thumbs-up and positive recommendation. With other actors though and a different setting, it would not have been enough. The script gets a thumbs-down from me overall. You can watch this film if you like, but it's not close to a must-see. Not even remotely close."
THE TRIAL OF THE CHICAGO 7,11 February 2021,6/10,"The Trial of the Chicago 7 is Aaron Sorkin's fictionalised account of the protest marches at the 1968 Democratic convention in Chicago which turned into a violent confrontation with the police.The film leaves little doubt that the protest movement was infiltrated by law enforcement acting as agent provocateurs. The police were looking for a fight.In some ways the film's structure is inspired by the sprawling and free wheeling The Big Short.It is one way to deal with the disparate characters that represented different strands of the 1960s protest movement.The defendants consisted of Yippies Abbie Hoffman (Sasha Baron Cohen) and Jerry Rubin (Jeremy Strong.) Pacifist David Dellinger (John Carroll Lynch.) Social activist Tom Hayden (Eddie Redmayne.) Black Panther leader Bobby Seale (Yahya Abdul-Mateen II) and protesters Rennie Davis, John Froines and Lee Weiner. The latter three were seen likely to get off so the jury would not feel so conflicted for finding the others guilty.The defence was led by the radical lawyer William Kunstler (Mark Rylance.) Seale had his own different lawyer who fell ill and so was denied an adjournment and the right to speak for himself at trial. At one point he appears in court bound and gagged.The prosecution led by Tom Foran (JC MacKenzie) and Richard Schultz (Joseph Gordon-Levitt) were told by President Nixon's new attorney general to get a conviction at any cost.This was a political trial. A kangaroo court that turned into a circus in no small part by the bad tempered mean biased Judge Julius Hoffman (Frank Langella.)Sorkin as director has trouble dealing with the material. Hoffman and Rubin play it for laughs when the trial starts. Hayden is the reasonable one. However this trial was weary, tiresome and divisive.Sorkin makes it too clinical and bland when it should had been messy and gritty. Although by the end tempers are frayed as Judge Hoffman throws contempt charges like confetti.It was a misstep to make Schultz appear reasonable when the real life person did not appear to be so.The Trial of the Chicago 7 is an interesting movie but it should had been a better film. There is an element of smugness and hollowness about it. Sorkin wants to remind the viewers that things are not much different for the protest movement in 2020 under Trump's America."
THE TRIAL OF THE CHICAGO 7,25 October 2020,8/10,"This is another remake of the Trial. I believe I have seen them all unless there was an all African-American Broadway musical. In this one they didn't play ""the song"" which is required during the credit role. Jeremy Strong played Jerry Rubin like he was Rick Moranis. What was that all about?Remakes of trials are never done for no reason. This one was anti-Trump if you read between the lines. It includes Ramsey Clark (Michael Keaton) claiming the President is not the AG client. We see the interpretation of the laws stretched to suit the political needs of the President. We see a judge appointed and rules against accepted norms in order to prejudice a trial. There was government witness tampering. It was a political trial.Guide: F-word. No sex or nudity."
THE TRIAL OF THE CHICAGO 7,13 November 2020,9/10,"Ah well ... I mean even without the current Potus trying to undermine the US elections with trial after trial - while being in denial ... even without that there are some similarities I reckon you can see here. Not too blunt and on the nose of course. So don't get overly excited, this is not about Trump - well not in an obvious sense.It is about a goverment that does not take its protestors for full people. What we get to see here (and man is this edited well, with powerhouse performances, not to mention great dialog) is heartbreaking and really almost crazy. Things you would not expect the American justice system would allow to happen. For the movie to work, you have to have a great villain of course and Frank Langella is quite the treat in that role ... mesmerizing. I am a bit surprised by how subtle Gordon Levitt is going about his character ... but it is fitting. Some may have issues with Sasha Baron Cohen (you may think of Borat or Ali G when you see him and maybe even hear him) ... but he also performs amazingly.So this is a drama, that you may know story wise, but will nevertheless be as engaging as they get ..."
THE TRIAL OF THE CHICAGO 7,5 January 2021,8/10,"I can't say this wasn't a fascinating movie depicting the trial of the Chicago 7, but I also can't say whether everything you see on screen is one hundred percent accurate representing the facts of the case and the personalities and attitudes of the defendants. Of course you never get a completely well rounded view of events as they occur either, and virtually anything that anybody remembers about the rioting at the Democratic National Convention of 1968 is blurred in the flailing batons and teargas of the police battling hundreds of protestors. The passage of time, say half a century, would have the media characterize them as peaceful demonstrators and you would probably see very little of it on your national news. I thought the casting for the film was brilliant, particularly with Eddie Redmayne in the role of Tom Hayden, Sacha Baron Cohen as Abbie Hoffman, and Jeremy Strong as Jerry Rubin. What comes through in the film that wasn't very evident back in the day, was how different both ideologically and attitudinally the defendants were from each other, with Tom Hayden seeming the voice of reason among the Seven, while Hoffman and Rubin carried off their belligerent streak throughout the trial, along with the often repeated outbursts of Black Panther leader Bobby Seale (Yahya Abdul-Mateen II), included in the trial for a time until his presence was ordered a mistrial by Judge Julius Hoffman (Frank Langella), at the recommendation of prosecuting attorney Richard Schultz (Joseph Gordon-Levitt). As over the top and seemingly reckless and domineering as the judge was, the one thing you never get to see in the film is the jury actually delivering the verdict. It's made to seem like Judge Hoffman personally made good on a vendetta against the defendants when they were found guilty of incitement to riot. The idea that this was a political trial is brought up any number of times in the story, and it's probably a safe bet to accept the fact that it was, with your memories of those tumultuous days back in '68 flooding back if you were around when it all went went down."
THE TRIAL OF THE CHICAGO 7,25 February 2021,6/10,"The film industry has suffered due to the coronavirus pandemic, but thankfully Awards Season is going ahead, and there are plenty of films that were starting to get nominations, including this one from Netflix, from Golden Globe nominated writer and Golden Globe nominated director Aaron Sorkin (The West Wing, The Social Network, Molly's Game). Based on the true story, in August 1968, eight men prepare to protest at the Democratic National Convention in Chicago. These men are: Students for a Democratic Society (SDS) leader Tom Hayden (Eddie Redmayne), Youth International Party (Yippies) founder Abbie Hoffman (Oscar and Golden Globe nominated Sacha Baron Cohen) and his co-founder Jerry Rubin (Jeremy Strong), National Mobilization Committee to End the War in Vietnam (MOBE) leader David Dellinger (John Carroll Lynch), MOBE organiser and SDS organiser Rennie Davis (Alex Sharp), community activist and social worker Lee Weiner (Noah Robbins), chemist and anti-war activist John Froines (Daniel Flaherty), and Black Panther Party chairman Bobby Seale (Yahya Abdul-Mateen II). Five months later, all eight of them are arrested and charged with trying to incite a riot. Attorney General John N. Mitchell (John Doman) appoints Tom Foran (J. C. MacKenzie) and Richard Schultz (Joseph Gordon-Levitt) as the prosecutors, while all the defendants except Seale are represented by William Kunstler (Mark Rylance) and Leonard Weinglass (Ben Shenkman). Judge Julius Hoffman (Frank Langella) shows significant prejudice for the prosecution. Seale's attorney, Charles Garry, cannot attend due to illness, leading Judge Hoffman to insist that Kunstler represents all eight defendants, but this is rejected repeatedly by both Kunstler and Seale. Fred Hampton (Kelvin Harrison Jr.) supports Seale throughout, which Judge Hoffman assumes is legal help. Abbie Hoffman openly antagonises the court. Judge Hoffman is forced to remove jurors suspected of sympathising with the defendants and reported threats from the Black Panther Party. Judge Hoffman is also forced to charge the defendants and their attorneys with multiple counts of contempt of court. Numerous undercover local police officers and FBI agents testify. At the time of the convention, Hayden noticed two police officers tailing Davis who was arrested. Abbie and others led a protest to the police station where Hayden was being kept. They turned around and intended to return to the park, seeing the police blockade, with orders to disperse the crowd. A riot ensued, and the protestors clashed with police in an attempt to claim the hill. Kunstler makes a point that none of the defendants instigated the riot. Days later, the defendants learn that Fred Hampton was killed during a police raid. Seale continuously interrupts court proceedings speaking up for his constitutional rights. Eventually, Judge Hoffman orders him to be taken out, to be beaten, and he returns gagged and chained. The prosecution and defence object to the judge's order and Judge Hoffman declares Seale's case a mistrial, the remaining men become known as the ""Chicago Seven"". The defence decides to put Ramsey Clark (Michael Keaton), Attorney General during the riots, on the stand. Judge Hoffman refuses to let him testify in front of the jury that he had declined to initiate prosecutions after the riots because of evidence that the Chicago Police Department instigated them. Dellinger punches a bailiff, resulting in his arrest. Kunstler presents a tape implicating Hayden to the defendants, and preps Hayden for a cross-examination. On the night of the riot, Davis tried to calm officers trying to arrest a young man climbing a flagpole. After the police clubbed Davis's head, an enraged Hayden exclaimed, ""If blood is going to flow, then let it flow all over the city!"". The defendants were eventually cornered by police, who removed their badges and proceeded to assault them. Abbie deduces that Hayden's comment was taken out of context, claiming he was supposed to say ""If our blood is going to flow...""; Hayden asks him to testify. In his testimony, Abbie reinforces that Hayden was misconstrued, and states his disdain for the U. S. government's leadership. At the end of the trial, Hayden uses the closing statement to name the 4,752 soldiers who were killed in the Vietnam War since the trial began. Judge Hoffman instructs and objects for him stop, while this act prompts many in the court to stand and cheer. The end text describes what happened to Abbie, Hayden, and Judge Hoffman after the trial. Also starring Caitlin FitzGerald as Agent Daphne O'Connor, Meghan Rafferty as Mrs. Dellinger, and Alan Metoskie as Allen Ginsberg. The standouts from the ensemble cast are Redmayne (with an impeccable American accent) as the clean-cut moderate, Langella as the easily agitated judge with a short fuse, and especially Baron Cohen as the prankster with a sharp mind and a dedication to cultural revolution, there is also terrific support from the likes of Rylance, Gordon-Levitt, Strong, Abdul-Mateen II and Keaton. Almost the entire film is set in the courtroom, with the occasional dips out to see the night of the riot, and the characters in their own circumstances, it illustrates the volatility of the times, and the dirty tricks employed that led to the unjust guilty verdict. There are admittedly the moments that get very chatty, and you have focus to understand all the facts brought forward in both arguments, but it has a terrific script and splendid performances, with the period and issues captured perfectly, a most worthwhile historical legal drama. It was nominated the Oscars for Best Motion Picture of the Year, Best Original Screenplay for Aaron Sorkin, Best Film Editing, Best Cinematography, Best Original Song for ""Hear My Voice"" for Celeste and Daniel Pemberton (also nominated the Golden Globe), it was nominated the BAFTAs for Best Film, Best Original Screenplay, and Best Editing, and it won the Golden Globe for Best Screenplay, and it was nominated for Best Motion Picture - Drama. Good!"
THE TRIAL OF THE CHICAGO 7,19 October 2020,8/10,"Aaron Sorkin wrote and directed this brilliant film about the trial of the Chicago Seven, which took place In Chicago in 1969-1970.Actually the seven represented different groups, but no matter, they were all painted with the same brush. At the Democratic Party Convention in 1968, there were protests by a group of moderates, led by Tom Hayden and militant ""Yippies"" led by Abbie Hoffman (Sacha Baron Cohen) and Jerry Rubin (Jeremy Strong. Black Panther Bobby Seale (Yahya Abdul-Mateen II), accused of something else, had his trial finally severed from that of the Seven. These men were arrested and arraigned on charges of Conspiracy by the Nixon administration.The trial itself was a joke, led by Judge Hoffman (Frank Langella) who had obviously decided beforehand that these men were all guilty of conspiracy and inciting violence.The prosecution lawyer was the reluctant Richard Schultz (Joseph Gordon Levitt), and on the defendant's side, the fiery William Kuntsler (Mark Rylance).The Yippies as they were called made constant disturbances during the trial, which upset the moderates. Seale was in court without a lawyer and not allowed to defend himself, finally appearing in court bound and gagged.The Chicago 7 were Abbie Hoffman (Sacha Baron Cohen), Jerry Rubin (Jeremy Strong), David Dellinger (John Carroll Lynch) , Tom Hayden (Eddie Redmayne), Rennie Davis (Alex Sharp), John Froines (Danny Flaherty), and Lee Weiner (Noah Robbins).The acting was remarkable, with Cohen and Strong bringing some humor to the situation, Langella perfect as the hateful and prejudiced judge.Mark Rylance who in my opinion can do no wrong gives an excellent performance as Kuntsler, and Joseph Gordon-Levitt did a great job as a torn federal prosecutor Richard Schultz. As Bobby Seale, Yahya Abdul Mateen II is fantasticThis is a horrible segment of American history, during times very similar to those of today. The Vietnam War, killing thousands of soldiers and civilians, had made activists out of young people, all of whom approached protesting in different ways - some with violence, others attempting non-violence, and both being thwarted by both Mayor Daley and the police, free with their billy clubs and tear gas.When former attorney general Ramsey Clark testifies, away from the jury, that under Johnson, there were no indictments because the police started the violence, the judge refuses to let the jury hear his testimony.In the end, the men (including the attorneys) had racked up hundreds of contempt citations and the defendants were found guilty not of conspiracy, but of inciting a riot. As Ramsey Clark left the courtroom, he advised Kuntsler to ""Get started on your appeal"" - and as expected, all convictions were reversed, and the judge's career was over.As for the seven, Tom Hayden became a seven-term Senator; Hoffman committed suicide some years later, Bobby Seale (actually the 8th defendant) is still going strong, as is Rennie Davis; Dellinger, a writer, was actually arrested again in 1996 for doing a sit-in with Abby Hoffman's son; Hoffman himself committed suicide in 1989; Froines taught at university; Rubin invested in Apple but was killed in a car accident in 1994; Wiener went on to work for B'nai B'rith and to this day wants to bring down capitalism.The Trial of the Chicago 7 is an excellent watch, and also interesting to read about.The ending of the film, with Tom Hayden's statement and the reaction of the federal prosecutor Schultz - very powerful and to be missed."
THE TRIAL OF THE CHICAGO 7,20 December 2020,,It is a gripping court room drama which evokes emotions in the viewers.
THE TRIAL OF THE CHICAGO 7,2 November 2020,10/10,Pretty funny. I like the bit with the Molotov cocktail.
THE TRIAL OF THE CHICAGO 7,25 October 2020,7/10,"Sorry, but I didn't get the memo: I'd never heard of this trial and by the end of it I can't say I was actually that interested. A rather disparate collection of acting talent portray an equally imbalanced group of left-wing/hippie/civil rights protesters charged after violent confrontations with police in Chicago at the 1968 Democratic Convention. The accused consist of Eddie Redmayne (Tom Hayden) and Sacha Baron Cohen (Abbie Hoffman) amongst seven who are (save for Hoffman) represented by prominent civil rights lawyer William Kunstler (Sir Mark Rylance) whilst the case for the Government is led by Richard Schultz (Joseph Gordon-Levitt) who has been especially chosen by the US Attorney General, ostensibly to make sure an example is made of these ""hooligans"". As the story develops, somewhat predictably, it turns out that the real star of the whole film is Frank Langella as the Judge - Julius Hoffman - who has, what I can only rather kindly describe as, competence issues - and in this role Langella shines; he is excellent and puts the others in this rather routine, seen it all before courtroom drama, to shame. I dare say that this trial - like so many we are reading about these days was a pivotal moment in the constantly fluid and evolving scenario of the US Government's heavy handed treatment of it's citizens, but after a while these stories lose potency and just fuel the increasing image that the so-called ""land of the free"" is anything but. The last twenty minutes include some inter-cut actuality of the protests that augments it no end - but largely, for me, it's OK - nothing better."
